Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul21_gain8db_3m_off_MAVG_ABS1,18.96,0.25deg/sec,Adaptive Beamforming + Mavg,2090,0.0287081339712918,0.0040079374632766,0.0919851636202141,0.0959931010834907
sc_jul21_gain8db_3m_off_MAVG_ABS2,18.96,0.5deg/sec,Adaptive Beamforming + Mavg,1000,0.025,0.0040090322494506,0.0921894922256469,0.0961985244750975
sc_jul21_gain8db_3m_off_MAVG_ABS3,18.96,1deg/sec,Adaptive Beamforming + Mavg,500,0.022,0.0039854645729064,0.0918484468460082,0.0958339114189147
sc_jul21_gain8db_3m_off_MAVG_ABS4,18.96,2deg/sec,Adaptive Beamforming + Mavg,260,0.0423076923076923,0.0042249266917888,0.0908033050023592,0.095028231694148
sc_jul21_gain8db_3m_off_MAVG_ABS5,18.96,4deg/sec,Adaptive Beamforming + Mavg,110,0.0545454545454545,0.0042865124615755,0.0911160122264514,0.095402524688027
sc_jul21_gain8db_3m_off_MAVG_ABS6,18.96,0.25deg/sec,Adaptive Beamforming + Mavg,2145,0.0195804195804195,0.0040253644778733,0.0918195723375795,0.0958449368154529
sc_jul21_gain8db_3m_off_MAVG_ABS7,18.96,0.5deg/sec,Adaptive Beamforming + Mavg,990,0.0303030303030303,0.0040802630511196,0.0914392651933612,0.0955195282444808
sc_jul21_gain8db_3m_off_MAVG_ABS8,18.96,1deg/sec,Adaptive Beamforming + Mavg,530,0.0415094339622641,0.0040883761531901,0.0919004237876747,0.0959887999408649
sc_jul21_gain8db_3m_off_MAVG_ABS9,18.96,2deg/sec,Adaptive Beamforming + Mavg,255,0.0352941176470588,0.0040805012572044,0.0919599505031809,0.0960404517603854
sc_jul21_gain8db_3m_off_MAVG_ABS10,18.96,4deg/sec,Adaptive Beamforming + Mavg,110,0.0545454545454545,0.0044169490987603,0.0915832541205666,0.0960002032193269
sc_jul21_gain8db_3m_off_MAVG_ABS11,18.96,0.25deg/sec,Adaptive Beamforming + Mavg,2145,0.0251748251748251,0.0040006240764697,0.0917081663936445,0.0957087904701143
sc_jul21_gain8db_3m_off_MAVG_ABS12,18.96,0.5deg/sec,Adaptive Beamforming + Mavg,1100,0.0236363636363636,0.0040459812771189,0.0909835752573879,0.0950295565345069
sc_jul21_gain8db_3m_off_MAVG_ABS13,18.96,1deg/sec,Adaptive Beamforming + Mavg,495,0.0323232323232323,0.004190310564908,0.0907784028486771,0.0949687134135852
sc_jul21_gain8db_3m_off_MAVG_ABS14,18.96,2deg/sec,Adaptive Beamforming + Mavg,270,0.0444444444444444,0.0042538316161543,0.0916708840264214,0.0959247156425757
sc_jul21_gain8db_3m_off_MAVG_ABS15,18.96,4deg/sec,Adaptive Beamforming + Mavg,110,0.07272727272727272,0.004615109617059831,0.09136332165111191,0.09597843126817174
