Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075254_021,-32,NO_RADIO,32,0.0,7.790931072012057,0.0892565250396728,0.0020701885223388,32,,CenterFallback,1,32,0,,
20250721_075254_113,-32,NO_RADIO,32,0.0,7.790931072012057,0.0950324535369873,0.0030813217163085,32,,CenterFallback,1,32,0,,
20250721_075254_213,-31,NO_RADIO,32,0.0,7.87817690350245,0.0869159698486328,0.0020422935485839,32,,CenterFallback,1,32,0,,
20250721_075254_304,-31,NO_RADIO,32,0.0,7.87817690350245,0.0832180976867675,0.0025272369384765,32,,CenterFallback,1,32,0,,
20250721_075254_391,-31,NO_RADIO,32,0.0,7.87817690350245,0.0886168479919433,0.00211763381958,32,,CenterFallback,1,32,0,,
20250721_075254_483,-30,NO_RADIO,32,0.0,7.37175304663414,0.098085880279541,0.0021018981933593,32,,CenterFallback,1,32,0,,
20250721_075254_584,-30,NO_RADIO,32,0.0,7.37175304663414,0.0878095626831054,0.003185749053955,32,,CenterFallback,1,32,0,,
20250721_075254_677,-30,51,51,27.6,19.539869176009503,0.0886809825897216,0.0043690204620361,51,51.0,YOLO,1,32,0,19.539869176009503,0.0
20250721_075254_773,-29,51,51,27.6,18.956136952667435,0.0846152305603027,0.0116598606109619,51,50.0,NeighborSearch,2,32,0,19.98581286382988,-1.0
20250721_075254_873,-29,51,51,27.6,18.956136952667435,0.0986366271972656,0.0111920833587646,51,50.0,NeighborSearch,2,32,0,19.98581286382988,-1.0
20250721_075254_986,-28,50,50,26.1,19.579450919391192,0.0922873020172119,0.0042035579681396,50,50.0,YOLO,1,32,0,19.579450919391192,0.0
20250721_075255_086,-28,50,50,26.1,19.579450919391192,0.0987508296966552,0.0044553279876708,50,50.0,YOLO,1,32,0,19.579450919391192,0.0
20250721_075255_192,-28,50,50,26.1,19.579450919391192,0.0892605781555175,0.0039980411529541,50,50.0,YOLO,1,32,0,19.579450919391192,0.0
20250721_075255_288,-27,50,50,26.1,18.84561229096579,0.0945756435394287,0.0118579864501953,50,49.0,NeighborSearch,2,32,0,19.926110779462466,-1.0
20250721_075255_398,-27,49,49,24.7,19.926110779462466,0.0890507698059082,0.004288911819458,49,49.0,YOLO,1,32,0,19.926110779462466,0.0
20250721_075255_494,-26,49,49,24.7,18.75428503364457,0.0948359966278076,0.0051579475402832,49,48.0,NeighborSearch,2,32,0,19.95282059303496,-1.0
20250721_075255_595,-26,49,49,24.7,18.75428503364457,0.0900959968566894,0.0051860809326171,49,48.0,NeighborSearch,2,32,0,19.95282059303496,-1.0
20250721_075255_692,-26,48,48,23.2,19.95282059303496,0.096421480178833,0.0022230148315429,48,48.0,YOLO,1,32,0,19.95282059303496,0.0
20250721_075255_792,-25,48,48,23.2,19.579417836185343,0.0948138236999511,0.0021417140960693,48,48.0,YOLO,1,32,0,19.579417836185343,0.0
20250721_075255_890,-25,48,48,23.2,19.579417836185343,0.0871293544769287,0.0022485256195068,48,48.0,YOLO,1,32,0,19.579417836185343,0.0
20250721_075255_981,-24,48,48,23.2,19.10065982777984,0.0900862216949462,0.0024378299713134,48,48.0,YOLO,1,32,0,19.10065982777984,0.0
20250721_075256_076,-24,47,47,21.8,19.37886170750444,0.0988333225250244,0.0023136138916015,47,47.0,YOLO,1,32,0,19.37886170750444,0.0
20250721_075256_178,-24,47,47,21.8,19.37886170750444,0.0809571743011474,0.0039784908294677,47,47.0,YOLO,1,32,0,19.37886170750444,0.0
