Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_074814_848,-45,NO_RADIO,32,0,6.587617577283098,0.25516200065612793,0.0062427520751953125,32,,CenterFallback,1,32,0,,
20250721_074815_111,-45,NO_RADIO,32,0,6.587617577283098,0.2254323959350586,0.00417327880859375,32,,CenterFallback,1,32,0,,
20250721_074815_344,-45,NO_RADIO,32,0,6.587617577283098,0.08968544006347656,0.004492282867431641,32,,CenterFallback,1,32,0,,
20250721_074815_441,-45,NO_RADIO,32,0,6.587617577283098,0.08241438865661621,0.00481724739074707,32,,CenterFallback,1,32,0,,
20250721_074815_532,-44,NO_RADIO,32,0,6.977760553676589,0.1007242202758789,0.00410008430480957,32,,CenterFallback,1,32,0,,
20250721_074815_639,-44,NO_RADIO,32,0,6.977760553676589,0.08167600631713867,0.004101276397705078,32,,CenterFallback,1,32,0,,
20250721_074815_728,-44,NO_RADIO,32,0,6.977760553676589,0.08736538887023926,0.0040476322174072266,32,,CenterFallback,1,32,0,,
20250721_074815_822,-44,NO_RADIO,32,0,6.977760553676589,0.08540678024291992,0.004536151885986328,32,,CenterFallback,1,32,0,,
20250721_074815_915,-44,NO_RADIO,32,0,6.977760553676589,0.09422540664672852,0.004428386688232422,32,,CenterFallback,1,32,0,,
20250721_074816_017,-44,NO_RADIO,32,0,6.977760553676589,0.08834338188171387,0.004278659820556641,32,,CenterFallback,1,32,0,,
20250721_074816_113,-44,NO_RADIO,32,0,6.977760553676589,0.08963394165039062,0.004435539245605469,32,,CenterFallback,1,32,0,,
20250721_074816_210,-44,NO_RADIO,32,0,6.977760553676589,0.08761954307556152,0.004330635070800781,32,,CenterFallback,1,32,0,,
20250721_074816_305,-44,NO_RADIO,32,0,6.977760553676589,0.09244489669799805,0.004119873046875,32,,CenterFallback,1,32,0,,
20250721_074816_404,-44,NO_RADIO,32,0,6.977760553676589,0.09779071807861328,0.004421234130859375,32,,CenterFallback,1,32,0,,
20250721_074816_510,-44,NO_RADIO,32,0,6.977760553676589,0.09052515029907227,0.0044269561767578125,32,,CenterFallback,1,32,0,,
20250721_074816_608,-43,NO_RADIO,32,0,6.522047355585215,0.09767293930053711,0.004434347152709961,32,,CenterFallback,1,32,0,,
20250721_074816_713,-43,NO_RADIO,32,0,6.522047355585215,0.0856776237487793,0.004029989242553711,32,,CenterFallback,1,32,0,,
20250721_074816_806,-43,NO_RADIO,32,0,6.522047355585215,0.09307670593261719,0.004147768020629883,32,,CenterFallback,1,32,0,,
20250721_074816_906,-43,NO_RADIO,32,0,6.522047355585215,0.0896601676940918,0.004053354263305664,32,,CenterFallback,1,32,0,,
20250721_074817_003,-43,NO_RADIO,32,0,6.522047355585215,0.10300064086914062,0.004348039627075195,32,,CenterFallback,1,32,0,,
20250721_074817_113,-43,NO_RADIO,32,0,6.522047355585215,0.08822107315063477,0.0044672489166259766,32,,CenterFallback,1,32,0,,
20250721_074817_209,-43,NO_RADIO,32,0,6.522047355585215,0.09692215919494629,0.0044841766357421875,32,,CenterFallback,1,32,0,,
20250721_074817_314,-43,NO_RADIO,32,0,6.522047355585215,0.09326457977294922,0.003950595855712891,32,,CenterFallback,1,32,0,,
20250721_074817_414,-43,NO_RADIO,32,0,6.522047355585215,0.08929896354675293,0.004319429397583008,32,,CenterFallback,1,32,0,,
20250721_074817_511,-43,NO_RADIO,32,0,6.522047355585215,0.08622503280639648,0.004450082778930664,32,,CenterFallback,1,32,0,,
20250721_074817_605,-42,NO_RADIO,32,0,6.917008681489023,0.08723330497741699,0.0043773651123046875,32,,CenterFallback,1,32,0,,
20250721_074817_699,-42,NO_RADIO,32,0,6.917008681489023,0.09318137168884277,0.004395484924316406,32,,CenterFallback,1,32,0,,
20250721_074817_800,-42,NO_RADIO,32,0,6.917008681489023,0.09187531471252441,0.004794120788574219,32,,CenterFallback,1,32,0,,
20250721_074817_901,-42,NO_RADIO,32,0,6.917008681489023,0.09681820869445801,0.004298686981201172,32,,CenterFallback,1,32,0,,
20250721_074818_005,-42,NO_RADIO,32,0,6.917008681489023,0.08308577537536621,0.004268169403076172,32,,CenterFallback,1,32,0,,
20250721_074818_095,-42,NO_RADIO,32,0,6.917008681489023,0.08603525161743164,0.00406193733215332,32,,CenterFallback,1,32,0,,
20250721_074818_189,-42,NO_RADIO,32,0,6.917008681489023,0.09647989273071289,0.004427194595336914,32,,CenterFallback,1,32,0,,
20250721_074818_292,-42,NO_RADIO,32,0,6.917008681489023,0.08758091926574707,0.004285097122192383,32,,CenterFallback,1,32,0,,
20250721_074818_387,-42,NO_RADIO,32,0,6.917008681489023,0.09384417533874512,0.004147052764892578,32,,CenterFallback,1,32,0,,
20250721_074818_488,-42,NO_RADIO,32,0,6.917008681489023,0.0923771858215332,0.004384279251098633,32,,CenterFallback,1,32,0,,
20250721_074818_588,-41,NO_RADIO,32,0,6.915939406622158,0.08657312393188477,0.004447221755981445,32,,CenterFallback,1,32,0,,
20250721_074818_682,-41,NO_RADIO,32,0,6.915939406622158,0.09054899215698242,0.0041866302490234375,32,,CenterFallback,1,32,0,,
20250721_074818_780,-41,NO_RADIO,32,0,6.915939406622158,0.08400940895080566,0.004481077194213867,32,,CenterFallback,1,32,0,,
20250721_074818_872,-41,NO_RADIO,32,0,6.915939406622158,0.08110237121582031,0.004122257232666016,32,,CenterFallback,1,32,0,,
20250721_074818_960,-41,NO_RADIO,32,0,6.915939406622158,0.0836648941040039,0.004665851593017578,32,,CenterFallback,1,32,0,,
20250721_074819_051,-41,NO_RADIO,32,0,6.915939406622158,0.22408342361450195,0.004473209381103516,32,,CenterFallback,1,32,0,,
20250721_074819_282,-41,NO_RADIO,32,0,6.915939406622158,0.08958578109741211,0.0040471553802490234,32,,CenterFallback,1,32,0,,
20250721_074819_379,-41,NO_RADIO,32,0,6.915939406622158,0.0946035385131836,0.004189014434814453,32,,CenterFallback,1,32,0,,
20250721_074819_481,-41,NO_RADIO,32,0,6.915939406622158,0.08814144134521484,0.0041353702545166016,32,,CenterFallback,1,32,0,,
20250721_074819_577,-40,NO_RADIO,32,0,6.9147096789532725,0.08754682540893555,0.004484891891479492,32,,CenterFallback,1,32,0,,
20250721_074819_672,-40,NO_RADIO,32,0,6.9147096789532725,0.09306573867797852,0.00447535514831543,32,,CenterFallback,1,32,0,,
20250721_074819_772,-40,NO_RADIO,32,0,6.9147096789532725,0.08862781524658203,0.004366874694824219,32,,CenterFallback,1,32,0,,
20250721_074819_868,-40,NO_RADIO,32,0,6.9147096789532725,0.08708524703979492,0.004486083984375,32,,CenterFallback,1,32,0,,
20250721_074819_963,-40,NO_RADIO,32,0,6.9147096789532725,0.08986735343933105,0.004465579986572266,32,,CenterFallback,1,32,0,,
20250721_074820_060,-40,NO_RADIO,32,0,6.9147096789532725,0.08728694915771484,0.0042247772216796875,32,,CenterFallback,1,32,0,,
20250721_074820_155,-40,NO_RADIO,32,0,6.9147096789532725,0.08818864822387695,0.004678487777709961,32,,CenterFallback,1,32,0,,
20250721_074820_251,-40,NO_RADIO,32,0,6.9147096789532725,0.08091616630554199,0.004481792449951172,32,,CenterFallback,1,32,0,,
20250721_074820_340,-40,NO_RADIO,32,0,6.9147096789532725,0.09280657768249512,0.004016876220703125,32,,CenterFallback,1,32,0,,
20250721_074820_439,-40,NO_RADIO,32,0,6.9147096789532725,0.09616589546203613,0.0044765472412109375,32,,CenterFallback,1,32,0,,
20250721_074820_543,-39,NO_RADIO,32,0,6.574758069923774,0.09320783615112305,0.004379749298095703,32,,CenterFallback,1,32,0,,
20250721_074820_644,-39,NO_RADIO,32,0,6.574758069923774,0.09086751937866211,0.0045375823974609375,32,,CenterFallback,1,32,0,,
20250721_074820_742,-39,NO_RADIO,32,0,6.574758069923774,0.08513617515563965,0.004097938537597656,32,,CenterFallback,1,32,0,,
20250721_074820_835,-39,NO_RADIO,32,0,6.574758069923774,0.0860590934753418,0.004515647888183594,32,,CenterFallback,1,32,0,,
20250721_074820_928,-39,NO_RADIO,32,0,6.574758069923774,0.08225059509277344,0.004243612289428711,32,,CenterFallback,1,32,0,,
20250721_074821_018,-39,NO_RADIO,32,0,6.574758069923774,0.09388065338134766,0.004454851150512695,32,,CenterFallback,1,32,0,,
20250721_074821_119,-39,NO_RADIO,32,0,6.574758069923774,0.08782768249511719,0.004378080368041992,32,,CenterFallback,1,32,0,,
20250721_074821_214,-39,NO_RADIO,32,0,6.574758069923774,0.09815120697021484,0.00441741943359375,32,,CenterFallback,1,32,0,,
20250721_074821_318,-39,NO_RADIO,32,0,6.574758069923774,0.08676671981811523,0.004038333892822266,32,,CenterFallback,1,32,0,,
20250721_074821_412,-39,NO_RADIO,32,0,6.574758069923774,0.09869027137756348,0.004541635513305664,32,,CenterFallback,1,32,0,,
20250721_074821_518,-39,NO_RADIO,32,0,6.574758069923774,0.0856316089630127,0.004074811935424805,32,,CenterFallback,1,32,0,,
20250721_074821_611,-38,NO_RADIO,32,0,7.175818584887423,0.09147024154663086,0.00453495979309082,32,,CenterFallback,1,32,0,,
20250721_074821_710,-38,NO_RADIO,32,0,7.175818584887423,0.08591151237487793,0.004293918609619141,32,,CenterFallback,1,32,0,,
20250721_074821_803,-38,NO_RADIO,32,0,7.175818584887423,0.08751201629638672,0.004467964172363281,32,,CenterFallback,1,32,0,,
20250721_074821_899,-38,NO_RADIO,32,0,7.175818584887423,0.08599734306335449,0.004307985305786133,32,,CenterFallback,1,32,0,,
20250721_074821_992,-38,NO_RADIO,32,0,7.175818584887423,0.0922844409942627,0.00451207160949707,32,,CenterFallback,1,32,0,,
20250721_074822_092,-38,NO_RADIO,32,0,7.175818584887423,0.08072066307067871,0.0040819644927978516,32,,CenterFallback,1,32,0,,
20250721_074822_180,-38,NO_RADIO,32,0,7.175818584887423,0.08590078353881836,0.004442453384399414,32,,CenterFallback,1,32,0,,
20250721_074822_273,-38,NO_RADIO,32,0,7.175818584887423,0.08752131462097168,0.004409074783325195,32,,CenterFallback,1,32,0,,
20250721_074822_368,-38,NO_RADIO,32,0,7.175818584887423,0.09659433364868164,0.004388093948364258,32,,CenterFallback,1,32,0,,
20250721_074822_472,-38,NO_RADIO,32,0,7.175818584887423,0.0912485122680664,0.0046329498291015625,32,,CenterFallback,1,32,0,,
20250721_074822_571,-37,NO_RADIO,32,0,7.1756515498423,0.09020376205444336,0.0045092105865478516,32,,CenterFallback,1,32,0,,
20250721_074822_669,-37,NO_RADIO,32,0,7.1756515498423,0.08959579467773438,0.004450321197509766,32,,CenterFallback,1,32,0,,
20250721_074822_766,-37,NO_RADIO,32,0,7.1756515498423,0.08408236503601074,0.004251956939697266,32,,CenterFallback,1,32,0,,
20250721_074822_857,-37,NO_RADIO,32,0,7.1756515498423,0.08218216896057129,0.0040476322174072266,32,,CenterFallback,1,32,0,,
20250721_074822_946,-37,NO_RADIO,32,0,7.1756515498423,0.08938312530517578,0.004258632659912109,32,,CenterFallback,1,32,0,,
20250721_074823_043,-37,NO_RADIO,32,0,7.1756515498423,0.09845280647277832,0.004471778869628906,32,,CenterFallback,1,32,0,,
20250721_074823_149,-37,NO_RADIO,32,0,7.1756515498423,0.08960771560668945,0.004485607147216797,32,,CenterFallback,1,32,0,,
20250721_074823_246,-37,NO_RADIO,32,0,7.1756515498423,0.08720064163208008,0.004388093948364258,32,,CenterFallback,1,32,0,,
20250721_074823_341,-37,NO_RADIO,32,0,7.1756515498423,0.09093785285949707,0.0042841434478759766,32,,CenterFallback,1,32,0,,
20250721_074823_439,-37,NO_RADIO,32,0,7.1756515498423,0.08417177200317383,0.00443577766418457,32,,CenterFallback,1,32,0,,
20250721_074823_531,-37,NO_RADIO,32,0,7.1756515498423,0.08722233772277832,0.0045130252838134766,32,,CenterFallback,1,32,0,,
20250721_074823_626,-36,NO_RADIO,32,0,7.423387784931805,0.08923220634460449,0.004452943801879883,32,,CenterFallback,1,32,0,,
20250721_074823_723,-36,NO_RADIO,32,0,7.423387784931805,0.09801006317138672,0.004438161849975586,32,,CenterFallback,1,32,0,,
20250721_074823_829,-36,NO_RADIO,32,0,7.423387784931805,0.09121966361999512,0.004716157913208008,32,,CenterFallback,1,32,0,,
20250721_074823_928,-36,NO_RADIO,32,0,7.423387784931805,0.08439445495605469,0.004084110260009766,32,,CenterFallback,1,32,0,,
20250721_074824_019,-36,NO_RADIO,32,0,7.423387784931805,0.08941435813903809,0.004444599151611328,32,,CenterFallback,1,32,0,,
20250721_074824_116,-36,NO_RADIO,32,0,7.423387784931805,0.09433603286743164,0.00451350212097168,32,,CenterFallback,1,32,0,,
20250721_074824_218,-36,NO_RADIO,32,0,7.423387784931805,0.08804965019226074,0.004225730895996094,32,,CenterFallback,1,32,0,,
20250721_074824_313,-36,NO_RADIO,32,0,7.423387784931805,0.09947443008422852,0.0044705867767333984,32,,CenterFallback,1,32,0,,
20250721_074824_420,-36,NO_RADIO,32,0,7.423387784931805,0.09313678741455078,0.0045223236083984375,32,,CenterFallback,1,32,0,,
20250721_074824_521,-36,NO_RADIO,32,0,7.423387784931805,0.09165549278259277,0.004467964172363281,32,,CenterFallback,1,32,0,,
20250721_074824_620,-35,NO_RADIO,32,0,7.748058345160416,0.08999490737915039,0.004422426223754883,32,,CenterFallback,1,32,0,,
20250721_074824_718,-35,NO_RADIO,32,0,7.748058345160416,0.08611440658569336,0.00422215461730957,32,,CenterFallback,1,32,0,,
20250721_074824_811,-35,NO_RADIO,32,0,7.748058345160416,0.09667158126831055,0.004467010498046875,32,,CenterFallback,1,32,0,,
20250721_074824_915,-35,NO_RADIO,32,0,7.748058345160416,0.09420013427734375,0.0044536590576171875,32,,CenterFallback,1,32,0,,
20250721_074825_017,-35,NO_RADIO,32,0,7.748058345160416,0.09149813652038574,0.004072666168212891,32,,CenterFallback,1,32,0,,
20250721_074825_116,-35,NO_RADIO,32,0,7.748058345160416,0.09708786010742188,0.004547834396362305,32,,CenterFallback,1,32,0,,
20250721_074825_221,-35,NO_RADIO,32,0,7.748058345160416,0.0930788516998291,0.004077434539794922,32,,CenterFallback,1,32,0,,
20250721_074825_321,-35,NO_RADIO,32,0,7.748058345160416,0.09175610542297363,0.004431486129760742,32,,CenterFallback,1,32,0,,
20250721_074825_420,-35,NO_RADIO,32,0,7.748058345160416,0.08688521385192871,0.004434108734130859,32,,CenterFallback,1,32,0,,
20250721_074825_515,-35,NO_RADIO,32,0,7.748058345160416,0.08417224884033203,0.00448298454284668,32,,CenterFallback,1,32,0,,
20250721_074825_606,-34,NO_RADIO,32,0,7.747835719638019,0.08338069915771484,0.004509449005126953,32,,CenterFallback,1,32,0,,
20250721_074825_697,-34,NO_RADIO,32,0,7.747835719638019,0.09143543243408203,0.004415035247802734,32,,CenterFallback,1,32,0,,
20250721_074825_796,-34,NO_RADIO,32,0,7.747835719638019,0.08795857429504395,0.0020995140075683594,32,,CenterFallback,1,32,0,,
20250721_074825_888,-34,NO_RADIO,32,0,7.747835719638019,0.08855676651000977,0.004034519195556641,32,,CenterFallback,1,32,0,,
20250721_074825_983,-34,NO_RADIO,32,0,7.747835719638019,0.0916128158569336,0.0027387142181396484,32,,CenterFallback,1,32,0,,
20250721_074826_079,-34,NO_RADIO,32,0,7.747835719638019,0.08766388893127441,0.004004240036010742,32,,CenterFallback,1,32,0,,
20250721_074826_173,-34,NO_RADIO,32,0,7.747835719638019,0.09064507484436035,0.004364967346191406,32,,CenterFallback,1,32,0,,
20250721_074826_271,-34,NO_RADIO,32,0,7.747835719638019,0.08838963508605957,0.004241943359375,32,,CenterFallback,1,32,0,,
20250721_074826_367,-34,NO_RADIO,32,0,7.747835719638019,0.08973312377929688,0.004023551940917969,32,,CenterFallback,1,32,0,,
20250721_074826_464,-34,NO_RADIO,32,0,7.747835719638019,0.08575177192687988,0.0041277408599853516,32,,CenterFallback,1,32,0,,
20250721_074826_557,-33,NO_RADIO,32,0,7.791502718128385,0.08726072311401367,0.004329204559326172,32,,CenterFallback,1,32,0,,
20250721_074826_651,-33,NO_RADIO,32,0,7.791502718128385,0.09476327896118164,0.0021305084228515625,32,,CenterFallback,1,32,0,,
20250721_074826_750,-33,NO_RADIO,32,0,7.791502718128385,0.09235906600952148,0.004097700119018555,32,,CenterFallback,1,32,0,,
20250721_074826_849,-33,NO_RADIO,32,0,7.791502718128385,0.0864264965057373,0.004158973693847656,32,,CenterFallback,1,32,0,,
20250721_074826_943,-33,NO_RADIO,32,0,7.791502718128385,0.0877079963684082,0.00432586669921875,32,,CenterFallback,1,32,0,,
20250721_074827_038,-33,NO_RADIO,32,0,7.791502718128385,0.09678411483764648,0.004466056823730469,32,,CenterFallback,1,32,0,,
20250721_074827_143,-33,NO_RADIO,32,0,7.791502718128385,0.08395934104919434,0.004546403884887695,32,,CenterFallback,1,32,0,,
20250721_074827_235,-33,NO_RADIO,32,0,7.791502718128385,0.08148741722106934,0.004395484924316406,32,,CenterFallback,1,32,0,,
20250721_074827_324,-33,NO_RADIO,32,0,7.791502718128385,0.09079813957214355,0.004131317138671875,32,,CenterFallback,1,32,0,,
20250721_074827_422,-33,NO_RADIO,32,0,7.791502718128385,0.0885319709777832,0.0021212100982666016,32,,CenterFallback,1,32,0,,
20250721_074827_514,-32,NO_RADIO,32,0,7.790931072012057,0.22948288917541504,0.0021009445190429688,32,,CenterFallback,1,32,0,,
20250721_074827_747,-32,NO_RADIO,32,0,7.790931072012057,0.08741474151611328,0.002182483673095703,32,,CenterFallback,1,32,0,,
20250721_074827_838,-32,NO_RADIO,32,0,7.790931072012057,0.0869448184967041,0.002084016799926758,32,,CenterFallback,1,32,0,,
20250721_074827_928,-32,NO_RADIO,32,0,7.790931072012057,0.09420514106750488,0.0022153854370117188,32,,CenterFallback,1,32,0,,
20250721_074828_025,-32,NO_RADIO,32,0,7.790931072012057,0.09817934036254883,0.0020864009857177734,32,,CenterFallback,1,32,0,,
20250721_074828_127,-32,NO_RADIO,32,0,7.790931072012057,0.08595061302185059,0.002168416976928711,32,,CenterFallback,1,32,0,,
20250721_074828_216,-32,NO_RADIO,32,0,7.790931072012057,0.0901029109954834,0.002087116241455078,32,,CenterFallback,1,32,0,,
20250721_074828_310,-32,NO_RADIO,32,0,7.790931072012057,0.09813570976257324,0.002103090286254883,32,,CenterFallback,1,32,0,,
20250721_074828_411,-32,NO_RADIO,32,0,7.790931072012057,0.09472298622131348,0.002662181854248047,32,,CenterFallback,1,32,0,,
20250721_074828_510,-32,NO_RADIO,32,0,7.790931072012057,0.09053897857666016,0.0026552677154541016,32,,CenterFallback,1,32,0,,
20250721_074828_605,-31,NO_RADIO,32,0,7.87817690350245,0.08919429779052734,0.0027930736541748047,32,,CenterFallback,1,32,0,,
20250721_074828_699,-31,NO_RADIO,32,0,7.87817690350245,0.09438395500183105,0.002123594284057617,32,,CenterFallback,1,32,0,,
20250721_074828_796,-31,NO_RADIO,32,0,7.87817690350245,0.0973513126373291,0.002106904983520508,32,,CenterFallback,1,32,0,,
20250721_074828_897,-31,NO_RADIO,32,0,7.87817690350245,0.09155130386352539,0.0017971992492675781,32,,CenterFallback,1,32,0,,
20250721_074828_992,-31,51,51,27.6,20.53557951269317,0.09724807739257812,0.0043735504150390625,51,51,YOLO,1,32,0,20.53557951269317,0
20250721_074829_097,-31,NO_RADIO,51,27.6,20.53557951269317,0.08990859985351562,0.00440216064453125,51,,CenterFallback,1,32,0,,
20250721_074829_194,-31,NO_RADIO,51,27.6,20.53557951269317,0.09224629402160645,0.004451274871826172,51,,CenterFallback,1,32,0,,
20250721_074829_294,-31,NO_RADIO,51,27.6,20.53557951269317,0.09550595283508301,0.004092693328857422,51,,CenterFallback,1,32,0,,
20250721_074829_396,-31,NO_RADIO,51,27.6,20.53557951269317,0.0835428237915039,0.004058361053466797,51,,CenterFallback,1,32,0,,
20250721_074829_487,-31,NO_RADIO,51,27.6,20.53557951269317,0.08644533157348633,0.003956317901611328,51,,CenterFallback,1,32,0,,
20250721_074829_580,-30,NO_RADIO,51,27.6,19.539869176009503,0.09888982772827148,0.0044710636138916016,51,,CenterFallback,1,32,0,,
20250721_074829_686,-30,51,51,27.6,19.539869176009503,0.09163546562194824,0.004230499267578125,51,51,YOLO,1,32,0,19.539869176009503,0
20250721_074829_785,-30,51,51,27.6,19.539869176009503,0.09134292602539062,0.0028662681579589844,51,51,YOLO,1,32,0,19.539869176009503,0
20250721_074829_881,-30,51,51,27.6,19.539869176009503,0.10870599746704102,0.0020668506622314453,51,51,YOLO,1,32,0,19.539869176009503,0
20250721_074829_993,-30,50,50,26.1,20.16422311447306,0.08803129196166992,0.00208282470703125,50,50,YOLO,1,32,0,20.16422311447306,0
20250721_074830_085,-30,50,50,26.1,20.16422311447306,0.08500337600708008,0.002009153366088867,50,50,YOLO,1,32,0,20.16422311447306,0
20250721_074830_173,-30,50,50,26.1,20.16422311447306,0.08863282203674316,0.002103090286254883,50,50,YOLO,1,32,0,20.16422311447306,0
