Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075119_234,-32,NO_RADIO,51,27.6,20.05073723451256,0.0980143547058105,0.0044300556182861,51,,CenterFallback,1,32,0,,
20250721_075119_530,-32,NO_RADIO,51,27.6,20.05073723451256,0.0896227359771728,0.0040886402130126,51,,CenterFallback,1,32,0,,
20250721_075119_340,-32,NO_RADIO,51,27.6,20.05073723451256,0.0885210037231445,0.0041923522949218,51,,CenterFallback,1,32,0,,
20250721_075119_136,-32,NO_RADIO,51,27.6,20.05073723451256,0.0916130542755127,0.0044565200805664,51,,CenterFallback,1,32,0,,
20250721_075119_436,-32,NO_RADIO,51,27.6,20.05073723451256,0.0893454551696777,0.0028069019317626,51,,CenterFallback,1,32,0,,
20250721_075119_921,-31,51,51,27.6,20.53557951269317,0.0923788547515869,0.0039951801300048,51,51.0,YOLO,1,32,0,20.53557951269317,0.0
20250721_075119_627,-31,NO_RADIO,51,27.6,20.53557951269317,0.1010386943817138,0.0044100284576416,51,,CenterFallback,1,32,0,,
20250721_075119_735,-31,NO_RADIO,51,27.6,20.53557951269317,0.0837917327880859,0.004084825515747,51,,CenterFallback,1,32,0,,
20250721_075119_826,-31,NO_RADIO,51,27.6,20.53557951269317,0.0879480838775634,0.0041689872741699,51,,CenterFallback,1,32,0,,
20250721_075120_128,-31,51,51,27.6,20.53557951269317,0.0881664752960205,0.0040066242218017,51,51.0,YOLO,1,32,0,20.53557951269317,0.0
20250721_075120_508,-30,50,50,26.1,20.16422311447306,0.0906062126159668,0.0042552947998046,50,50.0,YOLO,1,32,0,20.16422311447306,0.0
20250721_075120_323,-30,51,51,27.6,19.539869176009503,0.0801169872283935,0.0040326118469238,51,51.0,YOLO,1,32,0,19.539869176009503,0.0
20250721_075120_223,-30,51,51,27.6,19.539869176009503,0.0921423435211181,0.0043048858642578,51,51.0,YOLO,1,32,0,19.539869176009503,0.0
20250721_075120_606,-30,50,50,26.1,20.16422311447306,0.1011481285095214,0.0043437480926513,50,50.0,YOLO,1,32,0,20.16422311447306,0.0
20250721_075120_410,-30,51,51,27.6,19.539869176009503,0.0902230739593505,0.004410982131958,51,51.0,YOLO,1,32,0,19.539869176009503,0.0
20250721_075121_116,-29,50,50,26.1,19.98581286382988,0.095905065536499,0.0040891170501708,50,50.0,YOLO,1,32,0,19.98581286382988,0.0
20250721_075121_021,-29,50,50,26.1,19.98581286382988,0.0876097679138183,0.0040316581726074,50,50.0,YOLO,1,32,0,19.98581286382988,0.0
20250721_075120_714,-29,50,50,26.1,19.98581286382988,0.097266674041748,0.0042169094085693,50,50.0,YOLO,1,32,0,19.98581286382988,0.0
20250721_075120_819,-29,50,50,26.1,19.98581286382988,0.0914487838745117,0.0044026374816894,50,50.0,YOLO,1,32,0,19.98581286382988,0.0
20250721_075120_918,-29,50,50,26.1,19.98581286382988,0.0965821743011474,0.0040607452392578,50,50.0,YOLO,1,32,0,19.98581286382988,0.0
20250721_075121_219,-28,50,50,26.1,19.579450919391192,0.0800428390502929,0.0043363571166992,50,50.0,YOLO,1,32,0,19.579450919391192,0.0
20250721_075121_416,-28,50,50,26.1,19.579450919391192,0.0944855213165283,0.0043704509735107,50,50.0,YOLO,1,32,0,19.579450919391192,0.0
20250721_075121_618,-28,49,49,24.7,20.29729016007778,0.0975868701934814,0.0041992664337158,49,49.0,YOLO,1,32,0,20.29729016007778,0.0
20250721_075121_307,-28,50,50,26.1,19.579450919391192,0.101475715637207,0.003993272781372,50,50.0,YOLO,1,32,0,19.579450919391192,0.0
20250721_075121_518,-28,49,49,24.7,20.29729016007778,0.0928053855895996,0.0040211677551269,49,49.0,YOLO,1,32,0,20.29729016007778,0.0
20250721_075121_919,-27,49,49,24.7,19.926110779462466,0.0879456996917724,0.0043299198150634,49,49.0,YOLO,1,32,0,19.926110779462466,0.0
20250721_075121_821,-27,49,49,24.7,19.926110779462466,0.0908799171447753,0.0044071674346923,49,49.0,YOLO,1,32,0,19.926110779462466,0.0
20250721_075122_122,-27,49,49,24.7,19.926110779462466,0.0899698734283447,0.0042006969451904,49,49.0,YOLO,1,32,0,19.926110779462466,0.0
