Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul20_gain8db_3m_off_MAVG6,24.94,0.25deg/sec,Adaptive Beamforming + Mavg,1113,1.0,0.0891390135988713,0.0957505381653571,0.1848895517642285
sc_jul20_gain8db_3m_off_MAVG11,24.94,0.25deg/sec,Adaptive Beamforming + Mavg,1092,1.0,0.0901076789304013,0.0956777419362748,0.1857854208666762
sc_jul20_gain8db_3m_off_MAVG1,7.02,0.25deg/sec,Adaptive Beamforming + Mavg,2035,0.0373464373464373,0.0038922878096671,0.0968201304536486,0.1007124182633157
sc_jul20_gain8db_3m_off_MAVG2,7.02,0.5deg/sec,Adaptive Beamforming + Mavg,2090,0.0229665071770334,0.0038336312371577,0.0965876016890603,0.100421232926218
sc_jul20_gain8db_3m_off_MAVG3,7.02,1deg/sec,Adaptive Beamforming + Mavg,990,0.0383838383838383,0.003840713308315,0.0965328539260709,0.100373567234386
sc_jul20_gain8db_3m_off_MAVG4,7.02,2deg/sec,Adaptive Beamforming + Mavg,495,0.0404040404040404,0.0039112071798304,0.0971088929609818,0.1010201001408123
sc_jul20_gain8db_3m_off_MAVG5,7.02,4deg/sec,Adaptive Beamforming + Mavg,210,0.0571428571428571,0.0039813234692527,0.0975015061242239,0.1014828295934767
sc_jul20_gain8db_3m_off_MAVG7,7.74,0.5deg/sec,Adaptive Beamforming + Mavg,2090,0.0325358851674641,0.0038706196552257,0.0962977961490028,0.1001684158042286
sc_jul20_gain8db_3m_off_MAVG8,7.74,1deg/sec,Adaptive Beamforming + Mavg,990,0.0383838383838383,0.0038635612738252,0.0973052545027299,0.1011688157765551
sc_jul20_gain8db_3m_off_MAVG9,7.74,2deg/sec,Adaptive Beamforming + Mavg,495,0.0404040404040404,0.0038452331465903,0.0962868671224574,0.1001321002690478
sc_jul20_gain8db_3m_off_MAVG10,7.74,4deg/sec,Adaptive Beamforming + Mavg,245,0.0489795918367346,0.0037613936832972,0.095562238109355,0.0993236317926522
sc_jul20_gain8db_3m_off_MAVG12,8.76,0.5deg/sec,Adaptive Beamforming + Mavg,1980,0.0292929292929292,0.0038534755658621,0.0981511228012315,0.1020045983670937
sc_jul20_gain8db_3m_off_MAVG13,8.76,1deg/sec,Adaptive Beamforming + Mavg,972,0.0246913580246913,0.0038654264599207,0.0963421826990543,0.100207609158975
sc_jul20_gain8db_3m_off_MAVG14,8.76,2deg/sec,Adaptive Beamforming + Mavg,440,0.0386363636363636,0.0038862819021397,0.0967632293701171,0.1006495112722569
sc_jul20_gain8db_3m_off_MAVG15,8.76,4deg/sec,Adaptive Beamforming + Mavg,165,0.05454545454545454,0.0038996667572945747,0.09709025151801827,0.10098991827531284
