Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_204903_710,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0891807079315185,0.0020608901977539,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_411,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0880358219146728,0.0039329528808593,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_200,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0979156494140625,0.0041100978851318,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204903_803,-32,NO_RADIO,13,-27.6,6.963587448807587,0.094491958618164,0.0040352344512939,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_510,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0888569355010986,0.0038437843322753,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_205,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0910232067108154,0.0041112899780273,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_815,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0893476009368896,0.0039534568786621,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_004,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0861115455627441,0.004002571105957,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_506,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0910913944244384,0.0039765834808349,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_305,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0989189147949218,0.0037839412689208,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_013,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0837445259094238,0.0041370391845703,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204903_904,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0928070545196533,0.0037994384765625,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_606,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0981707572937011,0.004075288772583,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_604,-32,NO_RADIO,13,-27.6,6.963587448807587,0.093076467514038,0.0041589736938476,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_097,-32,NO_RADIO,13,-27.6,6.963587448807587,0.1004986763000488,0.0042915344238281,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_911,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0946369171142578,0.0039699077606201,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_402,-32,NO_RADIO,13,-27.6,6.963587448807587,0.1009042263031005,0.0039877891540527,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204904_712,-32,NO_RADIO,13,-27.6,6.963587448807587,0.0952653884887695,0.0043649673461914,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204907_595,-31,51,51,27.6,20.53557951269317,0.0983071327209472,0.0043253898620605,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204907_195,-31,51,51,27.6,20.53557951269317,0.0858931541442871,0.0038211345672607,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204906_123,-31,51,51,27.6,20.53557951269317,0.0986444950103759,0.0039761066436767,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0]"
20250720_204907_081,-31,51,51,27.6,20.53557951269317,0.1059014797210693,0.0042231082916259,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[16, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204906_759,-31,51,51,27.6,20.53557951269317,0.0976011753082275,0.0042612552642822,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0, 0, 0, 0, 0, 0]"
20250720_204906_437,-31,51,51,27.6,20.53557951269317,0.1033675670623779,0.0041112899780273,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0, 0, 0]"
20250720_204906_337,-31,51,51,27.6,20.53557951269317,0.0925574302673339,0.0039446353912353,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0, 0]"
20250720_204906_010,-31,NO_RADIO,13,-27.6,6.909129653178752,0.106501817703247,0.0040822029113769,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204905_905,-31,NO_RADIO,13,-27.6,6.909129653178752,0.0976803302764892,0.00425386428833,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204907_288,-31,51,51,27.6,20.53557951269317,0.0887918472290039,0.0040009021759033,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204907_487,-31,51,51,27.6,20.53557951269317,0.1007752418518066,0.0037956237792968,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204906_548,-31,51,51,27.6,20.53557951269317,0.104461669921875,0.0042393207550048,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0, 0, 0, 0]"
20250720_204907_384,-31,51,51,27.6,20.53557951269317,0.0969383716583252,0.0036845207214355,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204906_978,-31,51,51,27.6,20.53557951269317,0.0954084396362304,0.0039937496185302,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[32, 16, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204906_229,-31,NO_RADIO,51,27.6,20.53557951269317,0.1008620262145996,0.0039865970611572,51,,CenterFallback,1,32,0.0,,,"[0, 32, 16, 0]"
20250720_204906_660,-31,51,51,27.6,20.53557951269317,0.0917103290557861,0.0039737224578857,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0, 0, 0, 0, 0]"
20250720_204906_864,-31,51,51,27.6,20.53557951269317,0.1069564819335937,0.0039887428283691,51,51.0,YOLO,1,32,0.0,20.53557951269317,0.0,"[0, 32, 16, 0, 0, 0, 0, 0, 0, 0]"
20250720_204905_705,-31,NO_RADIO,13,-27.6,6.909129653178752,0.0965628623962402,0.0039470195770263,13,,CenterFallback,1,32,0.0,,,"[0, 32, 16]"
20250720_204907_701,-30,51,51,27.6,19.539869176009503,0.0949385166168212,0.0037288665771484,51,51.0,YOLO,1,32,0.0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204908_346,-30,51,51,27.6,19.539869176009503,0.0937812328338623,0.0039560794830322,51,51.0,YOLO,1,32,0.0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_204907_913,-30,51,51,27.6,19.539869176009503,0.0914626121520996,0.0040385723114013,51,51.0,YOLO,1,32,0.0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
