Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_195109_270,-45,NO_RADIO,32,0,6.587617577283098,0.11764740943908691,0.004349708557128906,32,,CenterFallback,1,32,0,,,[]
20250720_195109_394,-45,NO_RADIO,32,0,6.587617577283098,0.09891057014465332,0.004128694534301758,32,,CenterFallback,1,32,0,,,[]
20250720_195109_500,-45,NO_RADIO,32,0,6.587617577283098,0.09326362609863281,0.004721879959106445,32,,CenterFallback,1,32,0,,,[]
20250720_195109_602,-45,NO_RADIO,32,0,6.587617577283098,0.0986020565032959,0.0044934749603271484,32,,CenterFallback,1,32,0,,,[]
20250720_195109_709,-45,NO_RADIO,32,0,6.587617577283098,0.09991192817687988,0.004242420196533203,32,,CenterFallback,1,32,0,,,[]
20250720_195109_817,-45,NO_RADIO,32,0,6.587617577283098,0.10512661933898926,0.004361152648925781,32,,CenterFallback,1,32,0,,,[]
20250720_195109_929,-45,NO_RADIO,32,0,6.587617577283098,0.10199642181396484,0.004189252853393555,32,,CenterFallback,1,32,0,,,[]
20250720_195110_039,-45,NO_RADIO,32,0,6.587617577283098,0.08857226371765137,0.0037517547607421875,32,,CenterFallback,1,32,0,,,[]
20250720_195110_134,-45,NO_RADIO,32,0,6.587617577283098,0.10248064994812012,0.004171133041381836,32,,CenterFallback,1,32,0,,,[]
20250720_195110_244,-45,NO_RADIO,32,0,6.587617577283098,0.08815670013427734,0.0040662288665771484,32,,CenterFallback,1,32,0,,,[]
20250720_195110_339,-45,NO_RADIO,32,0,6.587617577283098,0.09371042251586914,0.004023075103759766,32,,CenterFallback,1,32,0,,,[]
20250720_195110_440,-45,NO_RADIO,32,0,6.587617577283098,0.1101841926574707,0.004366636276245117,32,,CenterFallback,1,32,0,,,[]
20250720_195110_558,-45,NO_RADIO,32,0,6.587617577283098,0.0971369743347168,0.002144336700439453,32,,CenterFallback,1,32,0,,,[]
20250720_195110_659,-45,NO_RADIO,32,0,6.587617577283098,0.09573245048522949,0.002389192581176758,32,,CenterFallback,1,32,0,,,[]
20250720_195110_758,-45,NO_RADIO,32,0,6.587617577283098,0.10351014137268066,0.0020952224731445312,32,,CenterFallback,1,32,0,,,[]
20250720_195110_865,-45,NO_RADIO,32,0,6.587617577283098,0.09114503860473633,0.0021262168884277344,32,,CenterFallback,1,32,0,,,[]
20250720_195110_960,-45,NO_RADIO,32,0,6.587617577283098,0.09502649307250977,0.0025129318237304688,32,,CenterFallback,1,32,0,,,[]
20250720_195111_058,-45,NO_RADIO,32,0,6.587617577283098,0.08989286422729492,0.0021772384643554688,32,,CenterFallback,1,32,0,,,[]
20250720_195111_152,-45,NO_RADIO,32,0,6.587617577283098,0.09713220596313477,0.002100229263305664,32,,CenterFallback,1,32,0,,,[]
20250720_195111_252,-45,NO_RADIO,32,0,6.587617577283098,0.0963902473449707,0.0020651817321777344,32,,CenterFallback,1,32,0,,,[]
20250720_195111_352,-45,NO_RADIO,32,0,6.587617577283098,0.09137868881225586,0.00217437744140625,32,,CenterFallback,1,32,0,,,[]
20250720_195111_447,-45,NO_RADIO,32,0,6.587617577283098,0.09531545639038086,0.002161264419555664,32,,CenterFallback,1,32,0,,,[]
20250720_195111_546,-45,NO_RADIO,32,0,6.587617577283098,0.09908819198608398,0.002157449722290039,32,,CenterFallback,1,32,0,,,[]
20250720_195111_649,-45,NO_RADIO,32,0,6.587617577283098,0.09559106826782227,0.0020427703857421875,32,,CenterFallback,1,32,0,,,[]
20250720_195111_748,-45,NO_RADIO,32,0,6.587617577283098,0.08946013450622559,0.002048969268798828,32,,CenterFallback,1,32,0,,,[]
20250720_195111_840,-45,NO_RADIO,32,0,6.587617577283098,0.09977531433105469,0.0020525455474853516,32,,CenterFallback,1,32,0,,,[]
20250720_195111_944,-45,NO_RADIO,32,0,6.587617577283098,0.09963560104370117,0.00211334228515625,32,,CenterFallback,1,32,0,,,[]
20250720_195112_047,-45,NO_RADIO,32,0,6.587617577283098,0.09486198425292969,0.0020568370819091797,32,,CenterFallback,1,32,0,,,[]
20250720_195112_145,-45,NO_RADIO,32,0,6.587617577283098,0.09189701080322266,0.00206756591796875,32,,CenterFallback,1,32,0,,,[]
20250720_195112_240,-45,NO_RADIO,32,0,6.587617577283098,0.09474301338195801,0.004094362258911133,32,,CenterFallback,1,32,0,,,[]
20250720_195112_342,-45,NO_RADIO,32,0,6.587617577283098,0.09206867218017578,0.0040912628173828125,32,,CenterFallback,1,32,0,,,[]
