Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul20_gain8db_3m_off_MLP1,8.76,4deg/sec,Adaptive Beamforming,110,0.0545454545454545,0.0039999289946122,0.0948056632822209,0.0988055922768331
sc_jul20_gain8db_3m_off_MLP2,8.76,2deg/sec,Adaptive Beamforming,230,0.0608695652173913,0.0039824454680732,0.095368512817051,0.0993509582851243
sc_jul20_gain8db_3m_off_MLP3,8.76,1deg/sec,Adaptive Beamforming,440,0.0386363636363636,0.0041788475079969,0.0957130735570733,0.0998919210650703
sc_jul20_gain8db_3m_off_MLP4,8.76,0.5deg/sec,Adaptive Beamforming,990,0.0373737373737373,0.0041189003472375,0.0947715935080942,0.0988904938553318
sc_jul20_gain8db_3m_off_MLP5,8.76,0.25deg/sec,Adaptive Beamforming,1989,0.0402212166918049,0.0040007820675994,0.095174542379595,0.0991753244471944
sc_jul20_gain8db_3m_off_MLP6,7.74,4deg/sec,Adaptive Beamforming,110,0.0545454545454545,0.0043339079076593,0.0950576305389404,0.0993915384465997
sc_jul20_gain8db_3m_off_MLP7,7.74,2deg/sec,Adaptive Beamforming,235,0.0340425531914893,0.0041227746517099,0.0945475294234904,0.0986703040752004
sc_jul20_gain8db_3m_off_MLP8,7.74,1deg/sec,Adaptive Beamforming,450,0.04,0.0040888362460665,0.0943641641404893,0.0984530003865559
sc_jul20_gain8db_3m_off_MLP9,7.74,0.5deg/sec,Adaptive Beamforming,1045,0.0248803827751196,0.0041415965157832,0.0945112591154837,0.0986528556312669
sc_jul20_gain8db_3m_off_MLP10,7.74,0.25deg/sec,Adaptive Beamforming,2052,0.023391812865497075,0.004121980355729318,0.09470250000033459,0.0988244803560639
