Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_230916_948,-32,NO_RADIO,32,0.0,7.790931072012057,0.0890586376190185,0.0045287609100341,32,,CenterFallback,1,32,0,,,[]
20250720_230917_045,-32,NO_RADIO,32,0.0,7.790931072012057,0.0914103984832763,0.0045149326324462,32,,CenterFallback,1,32,0,,,[]
20250720_230917_144,-31,NO_RADIO,32,0.0,7.87817690350245,0.0927095413208007,0.0036187171936035,32,,CenterFallback,1,32,0,,,[]
20250720_230917_241,-31,NO_RADIO,32,0.0,7.87817690350245,0.0931410789489746,0.0045275688171386,32,,CenterFallback,1,32,0,,,[]
20250720_230917_342,-31,NO_RADIO,32,0.0,7.87817690350245,0.097933292388916,0.0044682025909423,32,,CenterFallback,1,32,0,,,[]
20250720_230917_448,-30,NO_RADIO,32,0.0,7.37175304663414,0.0901126861572265,0.0045440196990966,32,,CenterFallback,1,32,0,,,[]
20250720_230917_546,-30,NO_RADIO,32,0.0,7.37175304663414,0.0880811214447021,0.004554271697998,32,,CenterFallback,1,32,0,,,[]
20250720_230917_642,-29,50,50,26.1,19.98581286382988,0.0892226696014404,0.0042574405670166,50,50.0,YOLO,1,32,0,19.98581286382988,0.0,[]
20250720_230917_738,-29,51,51,27.6,18.956136952667435,0.0952093601226806,0.0045089721679687,51,51.0,YOLO,1,32,0,18.956136952667435,0.0,[]
20250720_230917_841,-29,50,50,26.1,19.98581286382988,0.093435525894165,0.0040476322174072,50,50.0,YOLO,1,32,0,19.98581286382988,0.0,[]
20250720_230917_942,-28,50,50,26.1,19.579450919391192,0.1063613891601562,0.0048623085021972,50,50.0,YOLO,1,32,0,19.579450919391192,0.0,[]
20250720_230918_057,-28,50,50,26.1,19.579450919391192,0.0958623886108398,0.0043962001800537,50,50.0,YOLO,1,32,0,19.579450919391192,0.0,[]
20250720_230918_161,-27,50,50,26.1,18.84561229096579,0.0946447849273681,0.0044665336608886,50,50.0,YOLO,1,32,0,18.84561229096579,0.0,[]
20250720_230918_263,-27,50,50,26.1,18.84561229096579,0.0941123962402343,0.0043866634368896,50,50.0,YOLO,1,32,0,18.84561229096579,0.0,[]
20250720_230918_365,-27,49,49,24.7,19.926110779462466,0.1006314754486084,0.00419282913208,49,49.0,YOLO,1,32,0,19.926110779462466,0.0,[]
20250720_230918_473,-26,49,49,24.7,18.75428503364457,0.0894045829772949,0.0050411224365234,49,49.0,YOLO,1,32,0,18.75428503364457,0.0,[]
20250720_230918_571,-26,49,49,24.7,18.75428503364457,0.0976157188415527,0.004427433013916,49,49.0,YOLO,1,32,0,18.75428503364457,0.0,[]
20250720_230918_676,-25,48,48,23.2,19.579417836185343,0.0966300964355468,0.0043787956237792,48,48.0,YOLO,1,32,0,19.579417836185343,0.0,[]
20250720_230918_780,-25,48,48,23.2,19.579417836185343,0.0947475433349609,0.0044488906860351,48,48.0,YOLO,1,32,0,19.579417836185343,0.0,[]
20250720_230918_883,-24,48,48,23.2,19.10065982777984,0.0967819690704345,0.0043840408325195,48,48.0,YOLO,1,32,0,19.10065982777984,0.0,[]
20250720_230918_987,-24,47,47,21.8,19.37886170750444,0.0959963798522949,0.0044751167297363,47,47.0,YOLO,1,32,0,19.37886170750444,0.0,[]
20250720_230919_091,-24,47,47,21.8,19.37886170750444,0.0970737934112548,0.00443696975708,47,47.0,YOLO,1,32,0,19.37886170750444,0.0,[]
20250720_230919_194,-23,47,47,21.8,19.21457609187693,0.0944938659667968,0.0044612884521484,47,47.0,YOLO,1,32,0,19.21457609187693,0.0,[]
20250720_230919_296,-23,47,47,21.8,19.21457609187693,0.1020188331604003,0.0042190551757812,47,47.0,YOLO,1,32,0,19.21457609187693,0.0,[]
