Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250721_000756_540,-45,NO_RADIO,32,0,6.587617577283098,0.12727952003479004,0.007937908172607422,32,,CenterFallback,1,32,0,,,[]
20250721_000756_678,-45,NO_RADIO,32,0,6.587617577283098,0.08815431594848633,0.0050601959228515625,32,,CenterFallback,1,32,0,,,[]
20250721_000756_775,-45,NO_RADIO,32,0,6.587617577283098,0.09144759178161621,0.004239320755004883,32,,CenterFallback,1,32,0,,,[]
20250721_000756_874,-45,NO_RADIO,32,0,6.587617577283098,0.09049010276794434,0.003836393356323242,32,,CenterFallback,1,32,0,,,[]
20250721_000756_971,-45,NO_RADIO,32,0,6.587617577283098,0.08895444869995117,0.004205942153930664,32,,CenterFallback,1,32,0,,,[]
20250721_000757_067,-45,NO_RADIO,32,0,6.587617577283098,0.08593130111694336,0.004153251647949219,32,,CenterFallback,1,32,0,,,[]
20250721_000757_160,-45,NO_RADIO,32,0,6.587617577283098,0.08736515045166016,0.0044138431549072266,32,,CenterFallback,1,32,0,,,[]
20250721_000757_255,-45,NO_RADIO,32,0,6.587617577283098,0.08838200569152832,0.00442194938659668,32,,CenterFallback,1,32,0,,,[]
20250721_000757_350,-45,NO_RADIO,32,0,6.587617577283098,0.09621334075927734,0.004113197326660156,32,,CenterFallback,1,32,0,,,[]
20250721_000757_454,-45,NO_RADIO,32,0,6.587617577283098,0.08763933181762695,0.004407405853271484,32,,CenterFallback,1,32,0,,,[]
20250721_000757_549,-45,NO_RADIO,32,0,6.587617577283098,0.09946465492248535,0.004256248474121094,32,,CenterFallback,1,32,0,,,[]
20250721_000757_656,-45,NO_RADIO,32,0,6.587617577283098,0.0959784984588623,0.004117012023925781,32,,CenterFallback,1,32,0,,,[]
20250721_000757_759,-45,NO_RADIO,32,0,6.587617577283098,0.09669089317321777,0.004396677017211914,32,,CenterFallback,1,32,0,,,[]
20250721_000757_863,-45,NO_RADIO,32,0,6.587617577283098,0.0903768539428711,0.004305362701416016,32,,CenterFallback,1,32,0,,,[]
20250721_000757_961,-45,NO_RADIO,32,0,6.587617577283098,0.09137868881225586,0.004556417465209961,32,,CenterFallback,1,32,0,,,[]
20250721_000758_060,-45,NO_RADIO,32,0,6.587617577283098,0.0899665355682373,0.004398822784423828,32,,CenterFallback,1,32,0,,,[]
20250721_000758_157,-45,NO_RADIO,32,0,6.587617577283098,0.09113812446594238,0.00458073616027832,32,,CenterFallback,1,32,0,,,[]
20250721_000758_256,-45,NO_RADIO,32,0,6.587617577283098,0.0910637378692627,0.0044727325439453125,32,,CenterFallback,1,32,0,,,[]
20250721_000758_355,-45,NO_RADIO,32,0,6.587617577283098,0.0922994613647461,0.004393100738525391,32,,CenterFallback,1,32,0,,,[]
20250721_000758_455,-44,NO_RADIO,32,0,6.977760553676589,0.09416532516479492,0.004513740539550781,32,,CenterFallback,1,32,0,,,[]
20250721_000758_557,-44,NO_RADIO,32,0,6.977760553676589,0.08633065223693848,0.0044422149658203125,32,,CenterFallback,1,32,0,,,[]
20250721_000758_651,-44,NO_RADIO,32,0,6.977760553676589,0.0937964916229248,0.004481315612792969,32,,CenterFallback,1,32,0,,,[]
20250721_000758_753,-44,NO_RADIO,32,0,6.977760553676589,0.0894477367401123,0.004487752914428711,32,,CenterFallback,1,32,0,,,[]
20250721_000758_849,-44,NO_RADIO,32,0,6.977760553676589,0.0897209644317627,0.004431247711181641,32,,CenterFallback,1,32,0,,,[]
20250721_000758_947,-44,NO_RADIO,32,0,6.977760553676589,0.09778952598571777,0.004552125930786133,32,,CenterFallback,1,32,0,,,[]
