Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250721_001648_512,-32,NO_RADIO,51,27.6,20.05073723451256,0.0995454788208007,0.0044035911560058,51,,CenterFallback,1,32,0,,,[]
20250721_001647_408,-32,NO_RADIO,51,27.6,20.05073723451256,0.0946688652038574,0.0044934749603271,51,,CenterFallback,1,32,0,,,[]
20250721_001646_907,-32,NO_RADIO,51,27.6,20.05073723451256,0.0873777866363525,0.0043599605560302,51,,CenterFallback,1,32,0,,,[]
20250721_001648_619,-32,NO_RADIO,51,27.6,20.05073723451256,0.0903525352478027,0.0044641494750976,51,,CenterFallback,1,32,0,,,[]
20250721_001646_502,-32,NO_RADIO,51,27.6,20.05073723451256,0.0963420867919921,0.0042755603790283,51,,CenterFallback,1,32,0,,,[]
20250721_001650_086,-32,NO_RADIO,51,27.6,20.05073723451256,0.0957434177398681,0.0021674633026123,51,,CenterFallback,1,32,0,,,[]
20250721_001648_034,-32,NO_RADIO,51,27.6,20.05073723451256,0.08837890625,0.0043625831604003,51,,CenterFallback,1,32,0,,,[]
20250721_001649_986,-32,NO_RADIO,51,27.6,20.05073723451256,0.0971403121948242,0.0020966529846191,51,,CenterFallback,1,32,0,,,[]
20250721_001649_019,-32,NO_RADIO,51,27.6,20.05073723451256,0.0932221412658691,0.0043878555297851,51,,CenterFallback,1,32,0,,,[]
20250721_001646_698,-32,NO_RADIO,51,27.6,20.05073723451256,0.1004846096038818,0.0042834281921386,51,,CenterFallback,1,32,0,,,[]
20250721_001648_717,-32,NO_RADIO,51,27.6,20.05073723451256,0.0933437347412109,0.0043599605560302,51,,CenterFallback,1,32,0,,,[]
20250721_001647_305,-32,NO_RADIO,51,27.6,20.05073723451256,0.0961127281188964,0.0043442249298095,51,,CenterFallback,1,32,0,,,[]
20250721_001647_827,-32,NO_RADIO,51,27.6,20.05073723451256,0.1017768383026123,0.0038213729858398,51,,CenterFallback,1,32,0,,,[]
20250721_001647_001,-32,NO_RADIO,51,27.6,20.05073723451256,0.0978040695190429,0.0049288272857666,51,,CenterFallback,1,32,0,,,[]
20250721_001647_616,-32,NO_RADIO,51,27.6,20.05073723451256,0.0981698036193847,0.0041644573211669,51,,CenterFallback,1,32,0,,,[]
20250721_001649_317,-32,NO_RADIO,51,27.6,20.05073723451256,0.0950024127960205,0.002821922302246,51,,CenterFallback,1,32,0,,,[]
20250721_001647_722,-32,NO_RADIO,51,27.6,20.05073723451256,0.0995731353759765,0.0044655799865722,51,,CenterFallback,1,32,0,,,[]
20250721_001649_614,-32,NO_RADIO,51,27.6,20.05073723451256,0.0893900394439697,0.0021512508392333,51,,CenterFallback,1,32,0,,,[]
20250721_001649_517,-32,NO_RADIO,51,27.6,20.05073723451256,0.0936923027038574,0.0022244453430175,51,,CenterFallback,1,32,0,,,[]
20250721_001646_107,-32,NO_RADIO,51,27.6,20.05073723451256,0.0979399681091308,0.0044302940368652,51,,CenterFallback,1,32,0,,,[]
20250721_001648_818,-32,NO_RADIO,51,27.6,20.05073723451256,0.0899546146392822,0.0044591426849365,51,,CenterFallback,1,32,0,,,[]
20250721_001646_606,-32,NO_RADIO,51,27.6,20.05073723451256,0.0855410099029541,0.0036914348602294,51,,CenterFallback,1,32,0,,,[]
20250721_001647_203,-32,NO_RADIO,51,27.6,20.05073723451256,0.0934386253356933,0.0045957565307617,51,,CenterFallback,1,32,0,,,[]
20250721_001646_213,-32,NO_RADIO,51,27.6,20.05073723451256,0.0888445377349853,0.0044236183166503,51,,CenterFallback,1,32,0,,,[]
