Experiment,SNR Threshold (dB),SNR Threshold Factor,Reference Max SNR (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul22_gain8db_3m_Off_redo_AB1,7.02,,,0.25deg/sec,Adaptive Beamforming,3300,0.0384848484848484,0.0222386223619634,0.1058825456012378,0.1281211679632012
sc_jul22_gain8db_3m_Off_redo_AB2,7.02,,,0.5deg/sec,Adaptive Beamforming,884,0.0418552036199095,0.0039352067994855,0.109724207970891,0.1136594147703765
sc_jul22_gain8db_3m_Off_redo_AB3,7.02,,,1deg/sec,Adaptive Beamforming,440,0.0386363636363636,0.0039446153424002,0.110124505108053,0.1140691204504532
sc_jul22_gain8db_3m_Off_redo_AB4,7.02,,,2deg/sec,Adaptive Beamforming,220,0.0409090909090909,0.0039684566584499,0.1094141125679015,0.1133825692263515
sc_jul22_gain8db_3m_Off_redo_AB5,7.02,,,4deg/sec,Adaptive Beamforming,108,0.037037037037037,0.0038728206245987,0.1097834949140195,0.1136563155386182
sc_jul22_gain8db_3m_Off_redo_AB6,7.74,,,0.25deg/sec,Adaptive Beamforming,1760,0.0375,0.0039292181080037,0.1099180611697109,0.1138472792777147
sc_jul22_gain8db_3m_Off_redo_AB7,7.74,,,0.5deg/sec,Adaptive Beamforming,880,0.0386363636363636,0.0039781640876422,0.1075914255597374,0.1115695896473797
sc_jul22_gain8db_3m_Off_redo_AB8,7.74,,,1deg/sec,Adaptive Beamforming,440,0.0409090909090909,0.0039991389621387,0.1087500393390655,0.1127491783012042
sc_jul22_gain8db_3m_Off_redo_AB9,7.74,,,2deg/sec,Adaptive Beamforming,220,0.0454545454545454,0.0039884599772366,0.1101253173568031,0.1141137773340397
sc_jul22_gain8db_3m_Off_redo_AB10,7.74,,,4deg/sec,Adaptive Beamforming,110,0.0545454545454545,0.0041540666060013,0.1087874109094792,0.1129414775154806
sc_jul22_gain8db_3m_Off_redo_AB11,8.76,,,0.25deg/sec,Adaptive Beamforming,1870,0.0379679144385026,0.0039596954131508,0.1076280732843327,0.1115877686974835
sc_jul22_gain8db_3m_Off_redo_AB12,8.76,,,0.5deg/sec,Adaptive Beamforming,935,0.0385026737967914,0.0038876734952875,0.1078564174672498,0.1117440909625373
sc_jul22_gain8db_3m_Off_redo_AB13,8.76,,,1deg/sec,Adaptive Beamforming,378,0.0476190476190476,0.0039399042331351,0.1071610810264708,0.111100985259606
sc_jul22_gain8db_3m_Off_redo_AB14,8.76,,,2deg/sec,Adaptive Beamforming,220,0.0454545454545454,0.0038218292323025,0.1079597960818897,0.1117816253141922
sc_jul22_gain8db_3m_Off_redo_AB15,8.76,,,4deg/sec,Adaptive Beamforming,110,0.05454545454545454,0.003856778144836376,0.10775101618333294,0.11160779432816931
