Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250623_165521_652,-32,NO_RADIO,32,0.0,,0.14892578125,0.0012316703796386
20250623_165521_804,-32,NO_RADIO,32,0.0,,0.144829511642456,0.0012850761413574
20250623_165522_246,-31,NO_RADIO,32,0.0,,0.1519463062286377,0.0012862682342529
20250623_165522_401,-31,51,51,27.6,38.39558445427543,0.1750228404998779,0.0011882781982421
20250623_165522_578,-30,51,51,27.6,36.98859311606721,0.1749205589294433,0.0010311603546142
20250623_165522_756,-30,51,51,27.6,36.98859311606721,0.1736583709716797,0.0010621547698974
20250623_165523_287,-29,50,50,26.1,37.28952889803539,0.3070626258850097,0.0011258125305175
20250623_165523_110,-29,50,50,26.1,37.28952889803539,0.1751036643981933,0.0009689331054687
20250623_165523_772,-28,50,50,26.1,35.97841705067741,0.168936014175415,0.0010082721710205
20250623_165523_943,-28,49,49,24.7,38.02927001881152,0.167041540145874,0.0010511875152587
20250623_165524_458,-27,48,48,23.2,38.82167586233856,0.1676115989685058,0.0011234283447265
20250623_165524_112,-27,49,49,24.7,37.13923419132509,0.17295503616333,0.0009999275207519
20250623_165524_808,-26,48,48,23.2,37.345967950827685,0.169602632522583,0.0010232925415039
20250623_165524_628,-26,48,48,23.2,37.345967950827685,0.1773970127105713,0.0010819435119628
20250623_165525_163,-25,48,48,23.2,36.205264873629936,0.2100074291229248,0.0009386539459228
20250623_165524_979,-25,48,48,23.2,37.345967950827685,0.1814222335815429,0.0012094974517822
20250623_165525_545,-24,47,47,21.8,35.53567195911971,0.1726744174957275,0.0011768341064453
20250623_165525_720,-24,47,47,21.8,35.53567195911971,0.3249106407165527,0.0013439655303955
20250623_165526_411,-23,46,46,20.3,35.64232810817132,0.1773626804351806,0.0010492801666259
20250623_165526_229,-23,46,46,20.3,35.64232810817132,0.1796624660491943,0.0010640621185302
20250623_165526_590,-22,46,46,20.3,32.92536425200893,0.1690044403076172,0.0009970664978027
20250623_165526_762,-22,46,46,20.3,32.92536425200893,0.1720635890960693,0.0010440349578857
20250623_165527_460,-21,44,44,17.4,37.85373971322024,0.1679069995880127,0.0010809898376464
20250623_165527_292,-21,44,44,17.4,37.85373971322024,0.1654751300811767,0.0010595321655273
20250623_165527_630,-20,44,44,17.4,36.11593697153989,0.1730735301971435,0.001065969467163
20250623_165527_982,-20,43,43,16.0,37.99122476745601,0.180049180984497,0.0010693073272705
20250623_165528_165,-19,43,43,16.0,36.818106639893536,0.1754918098449707,0.0010230541229248
20250623_165528_342,-19,43,43,16.0,36.818106639893536,0.1815240383148193,0.0010130405426025
20250623_165528_705,-18,43,43,16.0,34.4172661917743,0.1720979213714599,0.0013160705566406
20250623_165528_880,-18,42,42,14.5,37.32086321926382,0.1727478504180908,0.0013296604156494
20250623_165529_055,-17,42,42,14.5,35.52677154188616,0.1774897575378418,0.0010154247283935
20250623_165529_411,-17,41,41,13.1,37.47915145956361,0.1756248474121093,0.0014231204986572
20250623_165529_935,-16,41,41,13.1,35.57182981113544,0.1723756790161132,0.0010533332824707
20250623_165529_762,-16,41,41,13.1,35.57182981113544,0.1708223819732666,0.0010685920715332
20250623_165530_293,-15,40,40,11.6,38.33252326460904,0.1667003631591797,0.000929832458496
20250623_165530_462,-15,40,40,11.6,38.33252326460904,0.1785264015197754,0.0010385513305664
20250623_165530_826,-14,39,39,10.2,38.08709929912137,0.1781873703002929,0.0013680458068847
20250623_165530_643,-14,40,40,11.6,35.76359405300283,0.1808071136474609,0.0013916492462158
20250623_165531_189,-13,39,39,10.2,37.39151482121171,0.1709930896759033,0.0015256404876708
20250623_165531_007,-13,39,39,10.2,37.39151482121171,0.1792175769805908,0.0010051727294921
20250623_165531_553,-12,39,39,10.2,35.25565876058799,0.1722221374511718,0.0011823177337646
20250623_165531_906,-12,38,38,8.7,37.28685317028297,0.1960375308990478,0.0011343955993652
20250623_165532_104,-11,38,38,8.7,35.49131228992866,0.173419713973999,0.0010757446289062
20250623_165532_280,-11,37,37,7.3,37.505648269117614,0.1709575653076172,0.000948429107666
20250623_165532_978,-10,36,36,5.8,39.091385821485055,0.1738779544830322,0.0010347366333007
20250623_165532_628,-10,37,37,7.3,36.256909348496464,0.1749088764190673,0.0010547637939453
20250623_165533_154,-9,36,36,5.8,37.61015430462598,0.1728842258453369,0.0010240077972412
20250623_165533_329,-9,36,36,5.8,37.61015430462598,0.1757194995880127,0.0009870529174804
20250623_165533_507,-8,36,36,5.8,36.46838627201015,0.1733269691467285,0.0010967254638671
20250623_165533_683,-8,36,36,5.8,36.46838627201015,0.1781618595123291,0.0010654926300048
20250623_165534_043,-7,35,35,4.4,34.62115084545157,0.1766786575317382,0.0010607242584228
20250623_165534_222,-7,35,35,4.4,34.62115084545157,0.1706359386444091,0.0011332035064697
20250623_165534_577,-6,34,34,2.9,35.818977001439976,0.1754758358001709,0.0012266635894775
20250623_165534_755,-6,34,34,2.9,35.818977001439976,0.169140338897705,0.0011155605316162
20250623_165535_239,-5,33,33,1.5,37.59425230797274,0.1984832286834716,0.001049518585205
20250623_165535_440,-5,33,33,1.5,37.59425230797274,0.1837506294250488,0.0014355182647705
20250623_165535_805,-4,32,32,0.0,37.78331557857144,0.1701836585998535,0.0009665489196777
20250623_165535_977,-4,32,32,0.0,37.78331557857144,0.1791744232177734,0.0010366439819335
20250623_165536_338,-3,32,32,0.0,36.465062641877175,0.1699147224426269,0.000969648361206
20250623_165536_159,-3,32,32,0.0,36.465062641877175,0.1767573356628418,0.0010795593261718
20250623_165536_686,-2,32,32,0.0,34.582436945173626,0.1725494861602783,0.0010960102081298
20250623_165536_861,-2,31,31,-1.5,37.31639438397794,0.17999267578125,0.0011487007141113
20250623_165537_043,-1,31,31,-1.5,35.42670311735975,0.1748213768005371,0.0010478496551513
20250623_165537_221,-1,31,31,-1.5,35.42670311735975,0.1786999702453613,0.001331090927124
20250623_165537_927,0,30,30,-2.9,37.20134048352229,0.1752395629882812,0.0010452270507812
20250623_165537_759,0,30,30,-2.9,37.20134048352229,0.1660726070404052,0.0012722015380859
20250623_165538_105,1,29,29,-4.4,37.25000841227917,0.1771306991577148,0.0010812282562255
20250623_165538_463,1,29,29,-4.4,37.25000841227917,0.1797764301300048,0.0010643005371093
20250623_165538_645,2,29,29,-4.4,34.58083568474623,0.1796550750732422,0.0013480186462402
20250623_165538_827,2,28,28,-5.8,37.0485502452578,0.1817507743835449,0.0009822845458984
