Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250623_171122_444,-32,NO_RADIO,32,0.0,,0.1485512256622314,0.0009655952453613
20250623_171122_594,-32,NO_RADIO,32,0.0,,0.147860050201416,0.0009737014770507
20250623_171122_745,-32,NO_RADIO,32,0.0,,0.1472671031951904,0.0012667179107666
20250623_171122_895,-32,NO_RADIO,32,0.0,,0.1496634483337402,0.0008289813995361
20250623_171123_046,-32,51,51,27.6,38.62878330137982,0.1836259365081787,0.0009257793426513
20250623_171123_232,-32,51,51,27.6,38.62878330137982,0.1852784156799316,0.0008933544158935
20250623_171123_419,-32,51,51,27.6,38.62878330137982,0.1762545108795166,0.0010683536529541
20250623_171123_598,-32,51,51,27.6,38.62878330137982,0.185302734375,0.0009920597076416
20250623_171123_786,-32,51,51,27.6,38.62878330137982,0.1769349575042724,0.0009131431579589
20250623_171123_965,-32,51,51,27.6,38.62878330137982,0.1713471412658691,0.0010132789611816
20250623_171124_138,-32,51,51,27.6,38.62878330137982,0.1814537048339843,0.0009012222290039
20250623_171124_322,-32,51,51,27.6,38.62878330137982,0.1803476810455322,0.00108003616333
20250623_171124_504,-32,51,51,27.6,38.62878330137982,0.1750519275665283,0.001033067703247
20250623_171124_682,-32,51,51,27.6,38.62878330137982,0.1704082489013672,0.0010721683502197
20250623_171124_854,-32,51,51,27.6,38.62878330137982,0.1750624179840088,0.0009417533874511
20250623_171125_032,-32,51,51,27.6,38.62878330137982,0.1777667999267578,0.000859260559082
20250623_171125_211,-32,51,51,27.6,38.62878330137982,0.1725544929504394,0.0009076595306396
20250623_171125_386,-32,51,51,27.6,38.62878330137982,0.1761465072631836,0.000972032546997
20250623_171125_564,-32,51,51,27.6,38.62878330137982,0.1941182613372802,0.0010492801666259
20250623_171125_761,-32,51,51,27.6,38.62878330137982,0.1734309196472168,0.0008773803710937
20250623_171125_936,-32,51,51,27.6,38.62878330137982,0.1775970458984375,0.0008380413055419
20250623_171126_116,-32,51,51,27.6,38.62878330137982,0.174894094467163,0.0008728504180908
20250623_171126_293,-31,51,51,27.6,38.39558445427543,0.181302785873413,0.0010182857513427
20250623_171126_476,-31,51,51,27.6,38.39558445427543,0.176363468170166,0.001065969467163
20250623_171126_655,-31,51,51,27.6,38.39558445427543,0.1788027286529541,0.0010299682617187
20250623_171126_836,-31,51,51,27.6,38.39558445427543,0.1718218326568603,0.0009071826934814
20250623_171127_010,-31,51,51,27.6,38.39558445427543,0.1807494163513183,0.0008866786956787
20250623_171127_192,-31,51,51,27.6,38.39558445427543,0.1876726150512695,0.0010309219360351
20250623_171127_382,-31,51,51,27.6,38.39558445427543,0.1790881156921386,0.0009477138519287
20250623_171127_564,-31,51,51,27.6,38.39558445427543,0.1787104606628418,0.0010216236114501
20250623_171127_744,-31,51,51,27.6,38.39558445427543,0.1786689758300781,0.0009405612945556
20250623_171127_925,-31,51,51,27.6,38.39558445427543,0.1764073371887207,0.0008363723754882
20250623_171128_104,-31,51,51,27.6,38.39558445427543,0.1831526756286621,0.0009245872497558
20250623_171128_289,-31,51,51,27.6,38.39558445427543,0.1767239570617675,0.0008890628814697
20250623_171128_467,-31,51,51,27.6,38.39558445427543,0.1771438121795654,0.0009996891021728
20250623_171128_647,-31,51,51,27.6,38.39558445427543,0.1792554855346679,0.0010268688201904
20250623_171128_828,-31,51,51,27.6,38.39558445427543,0.1739132404327392,0.0010778903961181
20250623_171129_005,-31,51,51,27.6,38.39558445427543,0.1782798767089843,0.001321792602539
20250623_171129_186,-31,51,51,27.6,38.39558445427543,0.1761620044708252,0.0009262561798095
20250623_171129_364,-31,51,51,27.6,38.39558445427543,0.1788675785064697,0.0010333061218261
20250623_171129_545,-31,51,51,27.6,38.39558445427543,0.1811611652374267,0.001023530960083
20250623_171129_728,-31,51,51,27.6,38.39558445427543,0.1811516284942627,0.0009145736694335
20250623_171129_912,-31,51,51,27.6,38.39558445427543,0.173781156539917,0.0008959770202636
20250623_171130_087,-31,51,51,27.6,38.39558445427543,0.1760838031768798,0.0008578300476074
20250623_171130_265,-30,51,51,27.6,36.98859311606721,0.1808719635009765,0.0009989738464355
20250623_171130_449,-30,51,51,27.6,36.98859311606721,0.1800277233123779,0.0010039806365966
20250623_171130_631,-30,50,50,26.1,38.45246190239435,0.1720788478851318,0.001232624053955
20250623_171130_805,-30,50,50,26.1,38.45246190239435,0.1794705390930175,0.0011627674102783
20250623_171130_987,-30,50,50,26.1,38.45246190239435,0.1761941909790039,0.0009255409240722
20250623_171131_165,-30,50,50,26.1,38.45246190239435,0.1722545623779297,0.000899314880371
20250623_171131_340,-30,50,50,26.1,38.45246190239435,0.1740736961364746,0.0008563995361328
20250623_171131_516,-30,50,50,26.1,38.45246190239435,0.1704444885253906,0.0011250972747802
20250623_171131_689,-30,50,50,26.1,38.45246190239435,0.1909282207489013,0.0011065006256103
20250623_171131_882,-30,50,50,26.1,38.45246190239435,0.1828804016113281,0.0009055137634277
20250623_171132_067,-30,50,50,26.1,38.45246190239435,0.1804256439208984,0.0009138584136962
20250623_171132_249,-30,50,50,26.1,38.45246190239435,0.1789116859436035,0.0013840198516845
20250623_171132_431,-30,50,50,26.1,38.45246190239435,0.1719269752502441,0.0010237693786621
20250623_171132_605,-30,50,50,26.1,38.45246190239435,0.1863343715667724,0.0012910366058349
20250623_171132_795,-30,50,50,26.1,38.45246190239435,0.18514084815979,0.0014224052429199
20250623_171132_982,-30,50,50,26.1,38.45246190239435,0.1798133850097656,0.0008950233459472
20250623_171133_164,-30,50,50,26.1,38.45246190239435,0.1874988079071045,0.0008704662322998
20250623_171133_354,-30,50,50,26.1,38.45246190239435,0.1830050945281982,0.0009264945983886
20250623_171133_539,-30,50,50,26.1,38.45246190239435,0.1774585247039795,0.0010693073272705
20250623_171133_719,-30,50,50,26.1,38.45246190239435,0.1833741664886474,0.000925064086914
20250623_171133_904,-30,50,50,26.1,38.45246190239435,0.1815662384033203,0.0008647441864013
20250623_171134_088,-30,50,50,26.1,38.45246190239435,0.1813669204711914,0.0010535717010498
20250623_171134_271,-29,50,50,26.1,37.28952889803539,0.3069238662719726,0.0014359951019287
20250623_171134_581,-29,50,50,26.1,37.28952889803539,0.1817684173583984,0.0015337467193603
20250623_171134_766,-29,49,49,24.7,38.63502399404195,0.1810226440429687,0.0013153553009033
20250623_171134_950,-29,49,49,24.7,38.63502399404195,0.1861414909362793,0.0009398460388183
20250623_171135_138,-29,49,49,24.7,38.63502399404195,0.1935188770294189,0.0008862018585205
20250623_171135_334,-29,49,49,24.7,38.63502399404195,0.1793205738067627,0.000849962234497
20250623_171135_515,-29,49,49,24.7,38.63502399404195,0.1996371746063232,0.001296043395996
20250623_171135_718,-29,49,49,24.7,38.63502399404195,0.1950809955596923,0.0010802745819091
20250623_171135_915,-29,49,49,24.7,38.63502399404195,0.1816298961639404,0.000868797302246
20250623_171136_098,-29,49,49,24.7,38.63502399404195,0.1807630062103271,0.0010137557983398
20250623_171136_282,-29,49,49,24.7,38.63502399404195,0.1779437065124511,0.000910997390747
20250623_171136_462,-29,49,49,24.7,38.63502399404195,0.1750319004058838,0.0010414123535156
20250623_171136_639,-29,49,49,24.7,38.63502399404195,0.1745867729187011,0.0010206699371337
20250623_171136_816,-29,49,49,24.7,38.63502399404195,0.1814494132995605,0.0010254383087158
20250623_171136_999,-29,49,49,24.7,38.63502399404195,0.1854305267333984,0.0010993480682373
20250623_171137_187,-29,49,49,24.7,38.63502399404195,0.1818351745605468,0.0009205341339111
20250623_171137_371,-29,49,49,24.7,38.63502399404195,0.180422306060791,0.0010254383087158
20250623_171137_554,-29,50,50,26.1,37.28952889803539,0.1818354129791259,0.000946044921875
20250623_171137_738,-29,50,50,26.1,37.28952889803539,0.1784770488739013,0.0010275840759277
20250623_171137_918,-29,50,50,26.1,37.28952889803539,0.1823210716247558,0.0010116100311279
20250623_171138_103,-29,49,49,24.7,38.63502399404195,0.1800727844238281,0.0009512901306152
20250623_171138_285,-28,49,49,24.7,38.02927001881152,0.1778628826141357,0.0009355545043945
20250623_171138_465,-28,49,49,24.7,38.02927001881152,0.1823511123657226,0.0010018348693847
20250623_171138_649,-28,49,49,24.7,38.02927001881152,0.1829667091369629,0.0011229515075683
20250623_171138_835,-28,49,49,24.7,38.02927001881152,0.1685242652893066,0.0009520053863525
20250623_171139_005,-28,49,49,24.7,38.02927001881152,0.1788253784179687,0.0009489059448242
20250623_171139_186,-28,49,49,24.7,38.02927001881152,0.1752047538757324,0.0009295940399169
20250623_171139_364,-28,49,49,24.7,38.02927001881152,0.1719429492950439,0.0008974075317382
20250623_171139_538,-28,48,48,23.2,39.24610076761027,0.1731932163238525,0.0010170936584472
20250623_171139_713,-28,49,49,24.7,38.02927001881152,0.1765148639678955,0.0009834766387939
20250623_171139_892,-28,49,49,24.7,38.02927001881152,0.1800453662872314,0.0008554458618164
20250623_171140_074,-28,49,49,24.7,38.02927001881152,0.176621675491333,0.0008938312530517
20250623_171140_252,-28,49,49,24.7,38.02927001881152,0.1760244369506836,0.0008957386016845
20250623_171140_430,-28,49,49,24.7,38.02927001881152,0.3096883296966553,0.0013215541839599
20250623_171140_743,-28,49,49,24.7,38.02927001881152,0.1779634952545166,0.0010859966278076
20250623_171140_923,-28,49,49,24.7,38.02927001881152,0.1796681880950927,0.0012590885162353
20250623_171141_105,-28,49,49,24.7,38.02927001881152,0.1772940158843994,0.0009346008300781
20250623_171141_285,-28,49,49,24.7,38.02927001881152,0.1738772392272949,0.0010151863098144
20250623_171141_461,-28,49,49,24.7,38.02927001881152,0.1740670204162597,0.001094102859497
20250623_171141_637,-28,49,49,24.7,38.02927001881152,0.1797373294830322,0.0010304450988769
20250623_171141_819,-28,49,49,24.7,38.02927001881152,0.1841704845428466,0.0009281635284423
20250623_171142_006,-28,49,49,24.7,38.02927001881152,0.1797585487365722,0.0008604526519775
20250623_171142_187,-28,49,49,24.7,38.02927001881152,0.1788411140441894,0.0009791851043701
20250623_171142_368,-27,49,49,24.7,37.13923419132509,0.1769342422485351,0.0009326934814453
20250623_171142_547,-27,49,49,24.7,37.13923419132509,0.1703279018402099,0.0010581016540527
20250623_171142_720,-27,48,48,23.2,38.82167586233856,0.1763575077056884,0.0010535717010498
20250623_171142_899,-27,48,48,23.2,38.82167586233856,0.1701295375823974,0.0009808540344238
20250623_171143_071,-27,48,48,23.2,38.82167586233856,0.1790504455566406,0.0009639263153076
20250623_171143_252,-27,48,48,23.2,38.82167586233856,0.1766190528869629,0.0008776187896728
20250623_171143_431,-27,48,48,23.2,38.82167586233856,0.1751208305358886,0.0010247230529785
20250623_171143_608,-27,48,48,23.2,38.82167586233856,0.1753966808319091,0.000967264175415
20250623_171143_786,-27,48,48,23.2,38.82167586233856,0.1771168708801269,0.0009818077087402
20250623_171143_965,-27,48,48,23.2,38.82167586233856,0.1718666553497314,0.0009322166442871
20250623_171144_139,-27,48,48,23.2,38.82167586233856,0.1782248020172119,0.0009450912475585
20250623_171144_319,-27,48,48,23.2,38.82167586233856,0.1660442352294922,0.0009608268737792
20250623_171144_488,-27,48,48,23.2,38.82167586233856,0.1736407279968261,0.0010287761688232
20250623_171144_663,-27,48,48,23.2,38.82167586233856,0.1719152927398681,0.0010581016540527
20250623_171144_838,-27,48,48,23.2,38.82167586233856,0.1839241981506347,0.0009434223175048
20250623_171145_024,-27,48,48,23.2,38.82167586233856,0.1774506568908691,0.0011637210845947
20250623_171145_204,-27,48,48,23.2,38.82167586233856,0.1751699447631836,0.0013160705566406
20250623_171145_382,-27,48,48,23.2,38.82167586233856,0.1692802906036377,0.00128173828125
20250623_171145_554,-27,48,48,23.2,38.82167586233856,0.1770505905151367,0.0012845993041992
20250623_171145_734,-27,48,48,23.2,38.82167586233856,0.1684813499450683,0.0011286735534667
20250623_171145_905,-27,48,48,23.2,38.82167586233856,0.1758780479431152,0.0009355545043945
20250623_171146_083,-27,48,48,23.2,38.82167586233856,0.1707911491394043,0.0013070106506347
20250623_171146_256,-26,48,48,23.2,37.345967950827685,0.2024896144866943,0.0010066032409667
20250623_171146_461,-26,48,48,23.2,37.345967950827685,0.1740741729736328,0.0009238719940185
20250623_171146_637,-26,47,47,21.8,37.98517410836405,0.1742799282073974,0.0010511875152587
20250623_171146_814,-26,47,47,21.8,37.98517410836405,0.1732254028320312,0.0010480880737304
20250623_171146_989,-26,47,47,21.8,37.98517410836405,0.174401044845581,0.0008962154388427
20250623_171147_166,-26,47,47,21.8,37.98517410836405,0.1733152866363525,0.0009269714355468
20250623_171147_341,-26,47,47,21.8,37.98517410836405,0.1817786693572998,0.0011413097381591
20250623_171147_525,-26,47,47,21.8,37.98517410836405,0.1808488368988037,0.0010402202606201
20250623_171147_708,-26,47,47,21.8,37.98517410836405,0.1719133853912353,0.0010199546813964
20250623_171147_883,-26,47,47,21.8,37.98517410836405,0.1715316772460937,0.0010204315185546
20250623_171148_056,-26,47,47,21.8,37.98517410836405,0.1840808391571045,0.001004934310913
20250623_171148_242,-26,47,47,21.8,37.98517410836405,0.176196813583374,0.0012381076812744
20250623_171148_421,-26,47,47,21.8,37.98517410836405,0.1859893798828125,0.0010938644409179
20250623_171148_610,-26,47,47,21.8,37.98517410836405,0.1747183799743652,0.0010368824005126
20250623_171148_787,-26,47,47,21.8,37.98517410836405,0.1791670322418213,0.001054048538208
20250623_171148_968,-26,47,47,21.8,37.98517410836405,0.1680736541748047,0.0009458065032958
20250623_171149_138,-26,47,47,21.8,37.98517410836405,0.1767404079437255,0.0008866786956787
20250623_171149_317,-26,47,47,21.8,37.98517410836405,0.178680419921875,0.0009016990661621
20250623_171149_498,-26,47,47,21.8,37.98517410836405,0.1777265071868896,0.0010073184967041
20250623_171149_678,-26,47,47,21.8,37.98517410836405,0.1835660934448242,0.0009799003601074
20250623_171149_863,-26,47,47,21.8,37.98517410836405,0.171788215637207,0.0010931491851806
20250623_171150_038,-26,47,47,21.8,37.98517410836405,0.1750531196594238,0.0008690357208251
20250623_171150_215,-26,47,47,21.8,37.98517410836405,0.1856982707977295,0.0009722709655761
20250623_171150_402,-25,47,47,21.8,36.93740774794229,0.1733794212341308,0.0010657310485839
20250623_171150_578,-25,47,47,21.8,36.93740774794229,0.1749086380004882,0.0010533332824707
20250623_171150_755,-25,47,47,21.8,36.93740774794229,0.1754145622253418,0.0010678768157958
20250623_171150_933,-25,47,47,21.8,36.93740774794229,0.1695678234100341,0.0010080337524414
20250623_171151_105,-25,47,47,21.8,36.93740774794229,0.1744260787963867,0.0010521411895751
20250623_171151_281,-25,47,47,21.8,36.93740774794229,0.2010436058044433,0.0012378692626953
20250623_171151_485,-25,47,47,21.8,36.93740774794229,0.178701639175415,0.0012779235839843
20250623_171151_667,-25,47,47,21.8,36.93740774794229,0.1687822341918945,0.0012290477752685
20250623_171151_838,-25,47,47,21.8,36.93740774794229,0.1811692714691162,0.0011200904846191
20250623_171152_022,-25,47,47,21.8,36.93740774794229,0.1748077869415283,0.0010647773742675
20250623_171152_199,-25,47,47,21.8,36.93740774794229,0.1696362495422363,0.0009307861328125
20250623_171152_370,-25,47,47,21.8,36.93740774794229,0.1747293472290039,0.0011928081512451
20250623_171152_548,-25,47,47,21.8,36.93740774794229,0.17380952835083,0.0012216567993164
20250623_171152_724,-25,47,47,21.8,36.93740774794229,0.1725845336914062,0.0010180473327636
20250623_171152_899,-25,47,47,21.8,36.93740774794229,0.1701612472534179,0.0009913444519042
20250623_171153_071,-25,47,47,21.8,36.93740774794229,0.1739575862884521,0.0009016990661621
20250623_171153_247,-25,47,47,21.8,36.93740774794229,0.1777698993682861,0.0010130405426025
20250623_171153_427,-25,47,47,21.8,36.93740774794229,0.1747939586639404,0.0010421276092529
20250623_171153_604,-25,47,47,21.8,36.93740774794229,0.1755683422088623,0.0011367797851562
20250623_171153_782,-25,47,47,21.8,36.93740774794229,0.1714890003204345,0.0009238719940185
20250623_171153_956,-25,47,47,21.8,36.93740774794229,0.1733829975128173,0.0009617805480957
20250623_171154_131,-25,47,47,21.8,36.93740774794229,0.1696045398712158,0.0008814334869384
20250623_171154_303,-24,47,47,21.8,35.53567195911971,0.174741506576538,0.0012283325195312
20250623_171154_480,-24,47,47,21.8,35.53567195911971,0.1822845935821533,0.0012314319610595
20250623_171154_665,-24,46,46,20.3,37.53046799893436,0.1801810264587402,0.0013108253479003
20250623_171154_849,-24,46,46,20.3,37.53046799893436,0.1701409816741943,0.0008823871612548
20250623_171155_021,-24,46,46,20.3,37.53046799893436,0.3122422695159912,0.0008957386016845
20250623_171155_335,-24,46,46,20.3,37.53046799893436,0.1684038639068603,0.0009844303131103
20250623_171155_506,-24,46,46,20.3,37.53046799893436,0.1920397281646728,0.0010764598846435
20250623_171155_700,-24,46,46,20.3,37.53046799893436,0.1774978637695312,0.000910997390747
20250623_171155_879,-24,46,46,20.3,37.53046799893436,0.1743390560150146,0.0010266304016113
20250623_171156_056,-24,46,46,20.3,37.53046799893436,0.1746628284454345,0.0010125637054443
20250623_171156_233,-24,46,46,20.3,37.53046799893436,0.1703512668609619,0.0009305477142333
20250623_171156_405,-24,46,46,20.3,37.53046799893436,0.1785457134246826,0.0013773441314697
20250623_171156_586,-24,46,46,20.3,37.53046799893436,0.1769125461578369,0.0009710788726806
20250623_171156_765,-24,46,46,20.3,37.53046799893436,0.1720731258392334,0.0013144016265869
20250623_171156_940,-24,46,46,20.3,37.53046799893436,0.1765899658203125,0.0012695789337158
20250623_171157_120,-24,46,46,20.3,37.53046799893436,0.1761384010314941,0.0013086795806884
20250623_171157_299,-24,46,46,20.3,37.53046799893436,0.1753509044647216,0.0009069442749023
20250623_171157_476,-24,46,46,20.3,37.53046799893436,0.1756148338317871,0.001082420349121
20250623_171157_654,-24,46,46,20.3,37.53046799893436,0.180328369140625,0.0008869171142578
20250623_171157_836,-24,46,46,20.3,37.53046799893436,0.1733746528625488,0.0008864402770996
20250623_171158_012,-24,46,46,20.3,37.53046799893436,0.1741433143615722,0.0013267993927001
20250623_171158_188,-24,46,46,20.3,37.53046799893436,0.1735997200012207,0.0010702610015869
20250623_171158_364,-23,46,46,20.3,35.64232810817132,0.1720719337463379,0.0009119510650634
20250623_171158_539,-23,46,46,20.3,35.64232810817132,0.1753525733947754,0.0010528564453125
20250623_171158_716,-23,45,45,18.9,38.3711114179356,0.1803851127624511,0.0010480880737304
20250623_171158_899,-23,45,45,18.9,38.3711114179356,0.1715679168701172,0.0009984970092773
20250623_171159_073,-23,45,45,18.9,38.3711114179356,0.173887014389038,0.0008575916290283
20250623_171159_248,-23,45,45,18.9,38.3711114179356,0.1701133251190185,0.000859260559082
20250623_171159_421,-23,45,45,18.9,38.3711114179356,0.1775100231170654,0.0009665489196777
20250623_171159_600,-23,45,45,18.9,38.3711114179356,0.169119119644165,0.0010268688201904
20250623_171159_772,-23,45,45,18.9,38.3711114179356,0.1790182590484619,0.0009429454803466
20250623_171159_953,-23,45,45,18.9,38.3711114179356,0.1831855773925781,0.0009741783142089
20250623_171200_138,-23,45,45,18.9,38.3711114179356,0.1819291114807129,0.0009489059448242
20250623_171200_322,-23,45,45,18.9,38.3711114179356,0.1802608966827392,0.0009040832519531
20250623_171200_504,-23,45,45,18.9,38.3711114179356,0.1790986061096191,0.0010211467742919
20250623_171200_686,-23,45,45,18.9,38.3711114179356,0.175586462020874,0.001004934310913
20250623_171200_864,-23,45,45,18.9,38.3711114179356,0.1735169887542724,0.0009717941284179
20250623_171201_039,-23,45,45,18.9,38.3711114179356,0.1791436672210693,0.0008089542388916
20250623_171201_220,-23,45,45,18.9,38.3711114179356,0.1763958930969238,0.0008573532104492
20250623_171201_399,-23,45,45,18.9,38.3711114179356,0.1765661239624023,0.0009779930114746
20250623_171201_577,-23,45,45,18.9,38.3711114179356,0.1766901016235351,0.0010294914245605
20250623_171201_756,-23,45,45,18.9,38.3711114179356,0.1795389652252197,0.0008537769317626
20250623_171201_938,-23,45,45,18.9,38.3711114179356,0.1750721931457519,0.0008802413940429
20250623_171202_115,-23,45,45,18.9,38.3711114179356,0.1712729930877685,0.0008792877197265
20250623_171202_288,-22,45,45,18.9,36.36364282004923,0.1772146224975586,0.000878095626831
20250623_171202_467,-22,45,45,18.9,36.36364282004923,0.1688239574432373,0.0011243820190429
20250623_171202_639,-22,44,44,17.4,38.67986638568102,0.1844711303710937,0.0010249614715576
20250623_171202_825,-22,44,44,17.4,38.67986638568102,0.1807470321655273,0.0009312629699707
20250623_171203_008,-22,44,44,17.4,38.67986638568102,0.1821293830871582,0.0008540153503417
20250623_171203_192,-22,45,45,18.9,36.36364282004923,0.1762094497680664,0.0008726119995117
20250623_171203_370,-22,45,45,18.9,36.36364282004923,0.175166368484497,0.0010344982147216
20250623_171203_548,-22,45,45,18.9,36.36364282004923,0.1734795570373535,0.0010323524475097
20250623_171203_723,-22,44,44,17.4,38.67986638568102,0.1736001968383789,0.0009262561798095
20250623_171203_899,-22,45,45,18.9,36.36364282004923,0.1698837280273437,0.0008599758148193
20250623_171204_071,-22,45,45,18.9,36.36364282004923,0.1741547584533691,0.0008485317230224
20250623_171204_247,-22,45,45,18.9,36.36364282004923,0.1725163459777832,0.0008988380432128
20250623_171204_422,-22,45,45,18.9,36.36364282004923,0.1761200428009033,0.0010278224945068
20250623_171204_600,-22,45,45,18.9,36.36364282004923,0.1697325706481933,0.001310110092163
20250623_171204_772,-22,45,45,18.9,36.36364282004923,0.1779029369354248,0.0010457038879394
20250623_171204_952,-22,45,45,18.9,36.36364282004923,0.1685669422149658,0.0008168220520019
20250623_171205_123,-22,45,45,18.9,36.36364282004923,0.1771566867828369,0.0008966922760009
20250623_171205_302,-22,45,45,18.9,36.36364282004923,0.1685750484466552,0.0008509159088134
20250623_171205_472,-22,45,45,18.9,36.36364282004923,0.1747162342071533,0.0009903907775878
20250623_171205_649,-22,45,45,18.9,36.36364282004923,0.1706180572509765,0.0011131763458251
20250623_171205_822,-22,45,45,18.9,36.36364282004923,0.1797549724578857,0.0008554458618164
20250623_171206_004,-22,45,45,18.9,36.36364282004923,0.1855969429016113,0.000917911529541
20250623_171206_192,-22,45,45,18.9,36.36364282004923,0.1746332645416259,0.0010170936584472
20250623_171206_368,-21,45,45,18.9,34.64434977080153,0.1772568225860595,0.0009489059448242
20250623_171206_548,-21,44,44,17.4,37.85373971322024,0.1746995449066162,0.0012168884277343
20250623_171206_725,-21,44,44,17.4,37.85373971322024,0.1852071285247802,0.0012977123260498
20250623_171206_913,-21,44,44,17.4,37.85373971322024,0.1808593273162841,0.0011103153228759
20250623_171207_097,-21,44,44,17.4,37.85373971322024,0.1730961799621582,0.0011336803436279
20250623_171207_272,-21,44,44,17.4,37.85373971322024,0.1793305873870849,0.000838279724121
20250623_171207_453,-21,44,44,17.4,37.85373971322024,0.1754751205444336,0.0009469985961914
20250623_171207_631,-21,44,44,17.4,37.85373971322024,0.192018985748291,0.0011956691741943
20250623_171207_825,-21,44,44,17.4,37.85373971322024,0.1767878532409668,0.00091552734375
20250623_171208_004,-21,44,44,17.4,37.85373971322024,0.1848340034484863,0.0008454322814941
20250623_171208_191,-21,44,44,17.4,37.85373971322024,0.1777417659759521,0.0008480548858642
20250623_171208_371,-21,44,44,17.4,37.85373971322024,0.1801321506500244,0.0009896755218505
20250623_171208_553,-21,44,44,17.4,37.85373971322024,0.1764066219329834,0.0010063648223876
20250623_171208_732,-21,44,44,17.4,37.85373971322024,0.1793088912963867,0.0009858608245849
20250623_171208_913,-21,44,44,17.4,37.85373971322024,0.1779303550720214,0.0008635520935058
20250623_171209_093,-21,44,44,17.4,37.85373971322024,0.1806905269622802,0.0008778572082519
20250623_171209_276,-21,44,44,17.4,37.85373971322024,0.1771061420440673,0.0010039806365966
20250623_171209_455,-21,44,44,17.4,37.85373971322024,0.1769018173217773,0.0010559558868408
20250623_171209_634,-21,44,44,17.4,37.85373971322024,0.1799836158752441,0.0009706020355224
20250623_171209_816,-21,44,44,17.4,37.85373971322024,0.1711096763610839,0.0009980201721191
