Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250623_172905_260,-45,NO_RADIO,32,0,,0.17874813079833984,0.002010345458984375
20250623_172905_444,-45,NO_RADIO,32,0,,0.1495370864868164,0.001432180404663086
20250623_172905_596,-45,NO_RADIO,32,0,,0.14853143692016602,0.0010149478912353516
20250623_172905_747,-45,NO_RADIO,32,0,,0.14781475067138672,0.001027822494506836
20250623_172905_897,-45,NO_RADIO,32,0,,0.14835214614868164,0.0010228157043457031
20250623_172906_048,-45,NO_RADIO,32,0,,0.15504884719848633,0.0008246898651123047
20250623_172906_205,-45,NO_RADIO,32,0,,0.1476609706878662,0.0010771751403808594
20250623_172906_355,-45,NO_RADIO,32,0,,0.1478259563446045,0.0009663105010986328
20250623_172906_505,-45,NO_RADIO,32,0,,0.1478419303894043,0.0012776851654052734
20250623_172906_656,-45,NO_RADIO,32,0,,0.14665436744689941,0.0012927055358886719
20250623_172906_805,-45,NO_RADIO,32,0,,0.1496596336364746,0.0009474754333496094
20250623_172906_957,-45,NO_RADIO,32,0,,0.14884138107299805,0.0009031295776367188
20250623_172907_108,-44,NO_RADIO,32,0,,0.14707374572753906,0.0009186267852783203
20250623_172907_257,-44,NO_RADIO,32,0,,0.1463003158569336,0.0008649826049804688
20250623_172907_405,-44,NO_RADIO,32,0,,0.1475543975830078,0.0010502338409423828
20250623_172907_555,-44,NO_RADIO,32,0,,0.1496715545654297,0.001096487045288086
20250623_172907_707,-44,NO_RADIO,32,0,,0.14952921867370605,0.0011682510375976562
20250623_172907_859,-44,NO_RADIO,32,0,,0.15122747421264648,0.0011258125305175781
20250623_172908_013,-44,NO_RADIO,32,0,,0.14870357513427734,0.0011057853698730469
20250623_172908_164,-44,NO_RADIO,32,0,,0.14540553092956543,0.001119852066040039
20250623_172908_312,-44,NO_RADIO,32,0,,0.14725756645202637,0.0011756420135498047
20250623_172908_462,-44,NO_RADIO,32,0,,0.14789819717407227,0.001093149185180664
20250623_172908_613,-44,NO_RADIO,32,0,,0.14726471900939941,0.0012981891632080078
20250623_172908_763,-44,NO_RADIO,32,0,,0.14596056938171387,0.0011217594146728516
20250623_172908_911,-44,NO_RADIO,32,0,,0.1467587947845459,0.0011568069458007812
20250623_172909_061,-44,NO_RADIO,32,0,,0.1442873477935791,0.0010981559753417969
20250623_172909_208,-43,NO_RADIO,32,0,,0.14812159538269043,0.0011107921600341797
20250623_172909_359,-43,NO_RADIO,32,0,,0.14996623992919922,0.0014226436614990234
20250623_172909_512,-43,NO_RADIO,32,0,,0.14921355247497559,0.0010304450988769531
20250623_172909_663,-43,NO_RADIO,32,0,,0.14556503295898438,0.0009951591491699219
20250623_172909_811,-43,NO_RADIO,32,0,,0.16136908531188965,0.0011568069458007812
20250623_172909_975,-43,NO_RADIO,32,0,,0.16202402114868164,0.0008852481842041016
20250623_172910_139,-43,NO_RADIO,32,0,,0.1629025936126709,0.0009028911590576172
20250623_172910_304,-43,NO_RADIO,32,0,,0.18428969383239746,0.0009391307830810547
20250623_172910_490,-43,NO_RADIO,32,0,,0.15583586692810059,0.0010318756103515625
20250623_172910_648,-43,NO_RADIO,32,0,,0.14565467834472656,0.001008749008178711
20250623_172910_796,-43,NO_RADIO,32,0,,0.14682459831237793,0.0011832714080810547
20250623_172910_946,-43,NO_RADIO,32,0,,0.1465599536895752,0.0009095668792724609
20250623_172911_094,-42,NO_RADIO,32,0,,0.14468741416931152,0.0009207725524902344
20250623_172911_241,-42,NO_RADIO,32,0,,0.13693690299987793,0.0008456707000732422
20250623_172911_380,-42,NO_RADIO,32,0,,0.155670166015625,0.0010154247283935547
20250623_172911_538,-42,NO_RADIO,32,0,,0.1585829257965088,0.0010542869567871094
20250623_172911_699,-42,NO_RADIO,32,0,,0.16289043426513672,0.0009615421295166016
20250623_172911_864,-42,NO_RADIO,32,0,,0.14896392822265625,0.0008950233459472656
20250623_172912_015,-42,NO_RADIO,32,0,,0.1459636688232422,0.0008759498596191406
20250623_172912_163,-42,NO_RADIO,32,0,,0.14734458923339844,0.001012563705444336
20250623_172912_313,-42,NO_RADIO,32,0,,0.15346860885620117,0.000949859619140625
20250623_172912_468,-42,NO_RADIO,32,0,,0.1450788974761963,0.0009238719940185547
20250623_172912_615,-42,NO_RADIO,32,0,,0.14627957344055176,0.0009925365447998047
20250623_172912_764,-42,NO_RADIO,32,0,,0.14601516723632812,0.0009119510650634766
20250623_172912_912,-42,NO_RADIO,32,0,,0.14920377731323242,0.0008749961853027344
20250623_172913_063,-42,NO_RADIO,32,0,,0.148040771484375,0.0011625289916992188
20250623_172913_214,-41,NO_RADIO,32,0,,0.14695477485656738,0.0011315345764160156
20250623_172913_363,-41,NO_RADIO,32,0,,0.14892864227294922,0.00147247314453125
20250623_172913_515,-41,NO_RADIO,32,0,,0.14568352699279785,0.0014159679412841797
20250623_172913_664,-41,NO_RADIO,32,0,,0.14975476264953613,0.0009865760803222656
20250623_172913_816,-41,NO_RADIO,32,0,,0.14794206619262695,0.0008983612060546875
20250623_172913_966,-41,NO_RADIO,32,0,,0.1458909511566162,0.0008931159973144531
20250623_172914_114,-41,NO_RADIO,32,0,,0.14847898483276367,0.0009007453918457031
20250623_172914_264,-41,NO_RADIO,32,0,,0.14866352081298828,0.0008955001831054688
20250623_172914_415,-41,NO_RADIO,32,0,,0.1474752426147461,0.0010137557983398438
20250623_172914_565,-41,NO_RADIO,32,0,,0.1491079330444336,0.00101470947265625
20250623_172914_716,-41,NO_RADIO,32,0,,0.14598464965820312,0.0009083747863769531
20250623_172914_864,-41,NO_RADIO,32,0,,0.14928627014160156,0.0008862018585205078
20250623_172915_016,-41,NO_RADIO,32,0,,0.14611363410949707,0.0008652210235595703
20250623_172915_164,-40,NO_RADIO,32,0,,0.14766240119934082,0.0008845329284667969
20250623_172915_313,-40,NO_RADIO,32,0,,0.16772031784057617,0.0009980201721191406
20250623_172915_483,-40,NO_RADIO,32,0,,0.14421820640563965,0.0010328292846679688
20250623_172915_630,-40,NO_RADIO,32,0,,0.16351819038391113,0.0010073184967041016
20250623_172915_796,-40,NO_RADIO,32,0,,0.14880967140197754,0.0009613037109375
20250623_172915_947,-40,NO_RADIO,32,0,,0.1472642421722412,0.0008897781372070312
20250623_172916_096,-40,NO_RADIO,32,0,,0.14904212951660156,0.0008428096771240234
20250623_172916_247,-40,NO_RADIO,32,0,,0.15003561973571777,0.0009050369262695312
20250623_172916_399,-40,NO_RADIO,32,0,,0.17462563514709473,0.0009813308715820312
20250623_172916_576,-40,NO_RADIO,32,0,,0.1700294017791748,0.0009386539459228516
20250623_172916_748,-40,NO_RADIO,32,0,,0.14776277542114258,0.000919342041015625
20250623_172916_898,-40,NO_RADIO,32,0,,0.14757108688354492,0.0009186267852783203
20250623_172917_048,-40,NO_RADIO,32,0,,0.14916372299194336,0.0008723735809326172
20250623_172917_199,-39,NO_RADIO,32,0,,0.15239930152893066,0.0009353160858154297
20250623_172917_354,-39,NO_RADIO,32,0,,0.15331077575683594,0.0010344982147216797
20250623_172917_509,-39,NO_RADIO,32,0,,0.14690136909484863,0.001081705093383789
20250623_172917_659,-39,NO_RADIO,32,0,,0.14977788925170898,0.0010263919830322266
20250623_172917_811,-39,NO_RADIO,32,0,,0.1469712257385254,0.0011646747589111328
20250623_172917_960,-39,NO_RADIO,32,0,,0.15340328216552734,0.0012431144714355469
20250623_172918_116,-39,NO_RADIO,32,0,,0.14870524406433105,0.0010824203491210938
20250623_172918_268,-39,NO_RADIO,32,0,,0.14622926712036133,0.0011277198791503906
20250623_172918_417,-39,NO_RADIO,32,0,,0.14710521697998047,0.0009872913360595703
20250623_172918_566,-39,NO_RADIO,32,0,,0.14530467987060547,0.0009911060333251953
20250623_172918_714,-39,NO_RADIO,32,0,,0.14757657051086426,0.0011355876922607422
20250623_172918_864,-39,NO_RADIO,32,0,,0.14851999282836914,0.0008966922760009766
20250623_172919_014,-39,NO_RADIO,32,0,,0.15619111061096191,0.0009844303131103516
20250623_172919_173,-38,NO_RADIO,32,0,,0.14851856231689453,0.0009150505065917969
20250623_172919_323,-38,NO_RADIO,32,0,,0.14914727210998535,0.0009572505950927734
20250623_172919_475,-38,NO_RADIO,32,0,,0.15429973602294922,0.00103759765625
20250623_172919_631,-38,NO_RADIO,32,0,,0.14995384216308594,0.0009722709655761719
20250623_172919_783,-38,NO_RADIO,32,0,,0.1475677490234375,0.0008733272552490234
20250623_172919_933,-38,NO_RADIO,32,0,,0.14542651176452637,0.0009646415710449219
20250623_172920_081,-38,NO_RADIO,32,0,,0.14882612228393555,0.0008442401885986328
20250623_172920_231,-38,NO_RADIO,32,0,,0.14705896377563477,0.001207590103149414
20250623_172920_381,-38,NO_RADIO,32,0,,0.14696764945983887,0.001214742660522461
20250623_172920_530,-38,NO_RADIO,32,0,,0.15023016929626465,0.001016855239868164
20250623_172920_683,-38,NO_RADIO,32,0,,0.14567923545837402,0.001013040542602539
20250623_172920_831,-38,NO_RADIO,32,0,,0.14951062202453613,0.0012738704681396484
20250623_172920_983,-38,NO_RADIO,32,0,,0.14525556564331055,0.0010266304016113281
20250623_172921_131,-37,NO_RADIO,32,0,,0.15144062042236328,0.0009834766387939453
20250623_172921_284,-37,NO_RADIO,32,0,,0.1483011245727539,0.0010445117950439453
20250623_172921_435,-37,NO_RADIO,32,0,,0.1459963321685791,0.000965118408203125
20250623_172921_583,-37,NO_RADIO,32,0,,0.14728951454162598,0.0009305477142333984
20250623_172921_733,-37,NO_RADIO,32,0,,0.14542007446289062,0.0008738040924072266
20250623_172921_880,-37,NO_RADIO,32,0,,0.14770913124084473,0.0009326934814453125
20250623_172922_030,-37,NO_RADIO,32,0,,0.14796710014343262,0.0008680820465087891
20250623_172922_180,-37,NO_RADIO,32,0,,0.1478118896484375,0.00090789794921875
20250623_172922_330,-37,NO_RADIO,32,0,,0.15026450157165527,0.0008985996246337891
20250623_172922_482,-37,NO_RADIO,32,0,,0.14574432373046875,0.0010242462158203125
20250623_172922_630,-37,NO_RADIO,32,0,,0.15865015983581543,0.0009748935699462891
20250623_172922_791,-37,NO_RADIO,32,0,,0.15079617500305176,0.0009295940399169922
20250623_172922_944,-37,NO_RADIO,32,0,,0.15005040168762207,0.0008890628814697266
20250623_172923_096,-36,NO_RADIO,32,0,,0.1514434814453125,0.0008552074432373047
20250623_172923_249,-36,NO_RADIO,32,0,,0.14884710311889648,0.0007846355438232422
20250623_172923_400,-36,NO_RADIO,32,0,,0.1463768482208252,0.0010280609130859375
20250623_172923_549,-36,NO_RADIO,32,0,,0.14760947227478027,0.0012421607971191406
