Boresight,Tx Beam Index,Tx Beam Angle,Rx Beam Index,Rx Beam Angle,SNR (dB)
-1,30.0,2.9,28.0,-5.8,40.49554125668757
-10,30.0,2.9,34.0,2.9,39.96171939645608
-11,30.0,2.9,34.0,2.9,39.55572184937364
-12,30.0,2.9,36.0,5.8,39.969037833742696
-13,30.0,2.9,36.0,5.8,40.29614323034925
-14,30.0,2.9,37.0,7.3,39.91916242865508
-15,30.0,2.9,38.0,8.7,40.55489356105122
-16,30.0,2.9,38.0,8.7,40.4564095816401
-17,30.0,2.9,38.0,8.7,40.33214117807756
-18,30.0,2.9,40.0,11.6,40.22971652803697
-19,30.0,2.9,40.0,11.6,40.01903433045751
-2,30.0,2.9,28.0,-5.8,40.43252582130169
-20,30.0,2.9,41.0,13.1,39.91866801607982
-21,30.0,2.9,41.0,13.1,40.3839314111246
-22,30.0,2.9,41.0,13.1,39.89605877261744
-23,30.0,2.9,43.0,16.0,39.97311473541527
-24,30.0,2.9,44.0,17.4,40.249912934054
-25,30.0,2.9,44.0,17.4,40.26119427102428
-26,30.0,2.9,45.0,18.9,40.03069388489322
-27,30.0,2.9,45.0,18.9,39.65763266614892
-28,30.0,2.9,46.0,20.3,39.61846433498319
-29,30.0,2.9,48.0,23.2,39.74172036973206
-3,30.0,2.9,29.0,-4.4,40.60527560833695
-30,30.0,2.9,48.0,23.2,39.91731996695897
-31,30.0,2.9,49.0,24.7,39.717893117557786
-32,30.0,2.9,49.0,24.7,39.47023273203593
-33,30.0,2.9,50.0,26.1,39.69954009557894
-34,30.0,2.9,51.0,27.6,39.46306194474781
-35,30.0,2.9,51.0,27.6,39.31074812024752
-36,30.0,2.9,51.0,27.6,38.92750527525634
-37,30.0,2.9,51.0,27.6,38.700678477980006
-38,30.0,2.9,53.0,30.5,38.83030239812542
-39,30.0,2.9,54.0,31.9,38.60627067870357
-4,30.0,2.9,29.0,-4.4,40.64435804152346
-40,30.0,2.9,55.0,33.4,38.69266797346248
-41,30.0,2.9,55.0,33.4,38.63550679841346
-42,30.0,2.9,56.0,34.8,38.25822179399166
-43,28.0,5.8,58.0,37.7,38.610143291664286
-44,30.0,2.9,58.0,37.7,39.08645877024632
-45,30.0,2.9,58.0,37.7,39.76829742947732
-46,29.0,4.4,58.0,37.7,39.80924581624205
-47,30.0,2.9,58.0,37.7,39.64485251691614
-48,30.0,2.9,60.0,40.6,39.25254818002096
-49,30.0,2.9,60.0,40.6,38.010557455129984
-5,30.0,2.9,30.0,-2.9,40.6729516032547
-50,27.0,7.3,58.0,37.7,40.342971413736215
-6,30.0,2.9,31.0,-1.5,40.13439179035503
-7,30.0,2.9,31.0,-1.5,40.31377318020831
-8,30.0,2.9,31.0,-1.5,39.65731193173976
-9,30.0,2.9,33.0,1.5,40.01062640281185
0,30.0,2.9,27.0,-7.3,40.12413492903036
1,30.0,2.9,27.0,-7.3,39.923516347319904
10,30.0,2.9,19.0,-18.9,39.98114164937344
11,30.0,2.9,19.0,-18.9,39.81806391577972
12,30.0,2.9,19.0,-18.9,39.73217544107301
13,30.0,2.9,17.0,-21.8,39.89475231230453
14,30.0,2.9,16.0,-23.2,40.08725405153673
15,30.0,2.9,16.0,-23.2,40.01116088195497
16,30.0,2.9,16.0,-23.2,40.219618805910045
17,30.0,2.9,14.0,-26.1,40.08128568898521
18,30.0,2.9,14.0,-26.1,40.23573496159408
19,30.0,2.9,14.0,-26.1,39.798788981088855
2,30.0,2.9,24.0,-11.6,40.131429064706026
20,30.0,2.9,14.0,-26.1,39.81280772255908
21,30.0,2.9,12.0,-29.0,39.18988292821436
22,30.0,2.9,12.0,-29.0,39.34690628162444
23,30.0,2.9,10.0,-31.9,39.760984277362375
24,30.0,2.9,10.0,-31.9,39.860691853533055
25,30.0,2.9,10.0,-31.9,39.51743095295831
26,30.0,2.9,10.0,-31.9,39.2304416298431
27,30.0,2.9,8.0,-34.8,39.09604326311707
28,30.0,2.9,7.0,-36.3,39.35069097420405
29,30.0,2.9,7.0,-36.3,39.25417832696034
3,30.0,2.9,24.0,-11.6,40.30014739526858
30,30.0,2.9,7.0,-36.3,39.426769148776025
31,30.0,2.9,7.0,-36.3,38.9958911018524
32,30.0,2.9,4.0,-40.6,38.97359283774761
33,30.0,2.9,3.0,-42.1,38.93641580098453
34,30.0,2.9,3.0,-42.1,38.84820917479331
35,30.0,2.9,3.0,-42.1,38.32282585482252
36,30.0,2.9,2.0,-43.5,38.5253203695889
37,30.0,2.9,2.0,-43.5,38.43591866324344
38,30.0,2.9,2.0,-43.5,37.99550134738764
39,30.0,2.9,2.0,-43.5,37.70711703506702
4,30.0,2.9,24.0,-11.6,40.26630477079436
40,30.0,2.9,2.0,-43.5,36.08748008850647
41,30.0,2.9,2.0,-43.5,35.05899180261511
42,30.0,2.9,2.0,-43.5,35.620551265422634
43,30.0,2.9,2.0,-43.5,32.42803433166604
44,30.0,2.9,2.0,-43.5,31.11973322630261
45,30.0,2.9,2.0,-43.5,32.0564428643457
46,30.0,2.9,2.0,-43.5,30.58495005647731
47,30.0,2.9,2.0,-43.5,28.44975729456829
48,30.0,2.9,2.0,-43.5,26.6210453386075
49,30.0,2.9,2.0,-43.5,24.673673985257626
5,30.0,2.9,23.0,-13.1,40.0509624095066
50,30.0,2.9,3.0,-42.1,22.624455590035865
6,30.0,2.9,23.0,-13.1,40.28468940444932
7,30.0,2.9,22.0,-14.5,40.01230550264722
8,30.0,2.9,21.0,-16.0,40.12820632325379
9,30.0,2.9,20.0,-17.4,40.00375004973687
