Experiment,SNR Threshold (dB),SNR Threshold Factor,Reference Max SNR (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul22_gain8db_3m_Off_OAKD_AB1,22.29,,,4.0deg/sec,Adaptive Beamforming,55,0.636363636363636,0.044318355213512,0.151223802566528,0.19554215778004
sc_jul22_gain8db_3m_Off_OAKD_AB2,22.29,,,0.25deg/sec,Adaptive Beamforming,1045,0.63444976076555,0.044744211406799,0.159070807324642,0.203815018731441
sc_jul22_gain8db_3m_Off_OAKD_AB3,22.29,,,0.5deg/sec,Adaptive Beamforming,510,0.647058823529412,0.042668422998167,0.155958589385537,0.198627012383704
sc_jul22_gain8db_3m_Off_OAKD_AB4,22.29,,,1deg/sec,Adaptive Beamforming,255,0.662745098039216,0.043069020439597,0.157435380711275,0.200504401150872
sc_jul22_gain8db_3m_Off_OAKD_AB5,22.29,,,2deg/sec,Adaptive Beamforming,110,0.627272727272727,0.043792585893111,0.159233901717446,0.203026487610557
sc_jul22_gain8db_3m_Off_OAKD_AB6,22.29,,,4.0deg/sec,Adaptive Beamforming,55,0.636363636363636,0.042893583124334,0.155070473931052,0.197964057055386
sc_jul22_gain8db_3m_Off_OAKD_AB7,22.29,,,0.25deg/sec,Adaptive Beamforming,880,0.613636363636364,0.041055105762048,0.156690764969045,0.197745870731094
sc_jul22_gain8db_3m_Off_OAKD_AB8,22.29,,,0.5deg/sec,Adaptive Beamforming,490,0.673469387755102,0.042967422641053,0.155697684871907,0.19866510751296
sc_jul22_gain8db_3m_Off_OAKD_AB9,22.29,,,1deg/sec,Adaptive Beamforming,260,0.634615384615385,0.040358028045067,0.157350760239821,0.197708788284889
sc_jul22_gain8db_3m_Off_OAKD_AB10,22.29,,,2deg/sec,Adaptive Beamforming,110,0.636363636363636,0.04090588092804,0.156974976713007,0.197880857641047
sc_jul22_gain8db_3m_Off_OAKD_AB11,22.29,,,4.0deg/sec,Adaptive Beamforming,55,0.654545454545455,0.038915690508756,0.155100297927856,0.194015988436612
sc_jul22_gain8db_3m_Off_OAKD_AB12,22.29,,,0.25deg/sec,Adaptive Beamforming,1045,0.637320574162679,0.044560325659063,0.158033557827963,0.202593883487026
sc_jul22_gain8db_3m_Off_OAKD_AB13,22.29,,,0.5deg/sec,Adaptive Beamforming,430,0.604651162790698,0.044822454452515,0.156654049074927,0.201476503527442
sc_jul22_gain8db_3m_Off_OAKD_AB14,22.29,,,1deg/sec,Adaptive Beamforming,255,0.662745098039216,0.044950264575435,0.155910770565856,0.20086103514129
sc_jul22_gain8db_3m_Off_OAKD_AB15,22.29,,,2deg/sec,Adaptive Beamforming,110,0.636363636363636,0.045185841213573,0.15955704125491,0.204742882468484
sc_jul22_gain8db_3m_Off_redo_AB1,22.29,,,0.25deg/sec,Adaptive Beamforming,3300,0.837575757575758,0.022238622361963,0.105882545601238,0.128121167963201
sc_jul22_gain8db_3m_Off_redo_AB2,22.29,,,0.5deg/sec,Adaptive Beamforming,884,1,0.003935206799486,0.109724207970891,0.113659414770376
sc_jul22_gain8db_3m_Off_redo_AB3,22.29,,,1deg/sec,Adaptive Beamforming,440,1,0.0039446153424,0.110124505108053,0.114069120450453
sc_jul22_gain8db_3m_Off_redo_AB4,22.29,,,2deg/sec,Adaptive Beamforming,220,1,0.00396845665845,0.109414112567902,0.113382569226351
sc_jul22_gain8db_3m_Off_redo_AB5,22.29,,,4deg/sec,Adaptive Beamforming,108,1,0.003872820624599,0.109783494914019,0.113656315538618
sc_jul22_gain8db_3m_Off_redo_AB6,22.29,,,0.25deg/sec,Adaptive Beamforming,1760,1,0.003929218108004,0.109918061169711,0.113847279277715
sc_jul22_gain8db_3m_Off_redo_AB7,22.29,,,0.5deg/sec,Adaptive Beamforming,880,1,0.003978164087642,0.107591425559737,0.11156958964738
sc_jul22_gain8db_3m_Off_redo_AB8,22.29,,,1deg/sec,Adaptive Beamforming,440,1,0.003999138962139,0.108750039339066,0.112749178301204
sc_jul22_gain8db_3m_Off_redo_AB9,22.29,,,2deg/sec,Adaptive Beamforming,220,1,0.003988459977237,0.110125317356803,0.11411377733404
sc_jul22_gain8db_3m_Off_redo_AB10,22.29,,,4deg/sec,Adaptive Beamforming,110,1,0.004154066606001,0.108787410909479,0.112941477515481
sc_jul22_gain8db_3m_Off_redo_AB11,22.29,,,0.25deg/sec,Adaptive Beamforming,1870,1,0.003959695413151,0.107628073284333,0.111587768697483
sc_jul22_gain8db_3m_Off_redo_AB12,22.29,,,0.5deg/sec,Adaptive Beamforming,935,1,0.003887673495288,0.10785641746725,0.111744090962537
sc_jul22_gain8db_3m_Off_redo_AB13,22.29,,,1deg/sec,Adaptive Beamforming,378,1,0.003939904233135,0.107161081026471,0.111100985259606
sc_jul22_gain8db_3m_Off_redo_AB14,22.29,,,2deg/sec,Adaptive Beamforming,220,1,0.003821829232303,0.10795979608189,0.111781625314192
sc_jul22_gain8db_3m_Off_redo_AB15,22.29,,,4deg/sec,Adaptive Beamforming,110,1,0.003856778144836,0.107751016183333,0.111607794328169
