Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_123243_049,-32,NO_RADIO,32,0.0,7.790931072012057,0.1394586563110351,0.0364627838134765
20250722_123242_880,-32,NO_RADIO,32,0.0,7.790931072012057,0.1246299743652343,0.042712926864624
20250722_123241_314,-32,NO_RADIO,32,0.0,7.791502718128385,0.124680757522583,0.0456459522247314
20250722_123242_711,-32,NO_RADIO,32,0.0,7.790931072012057,0.1292598247528076,0.0386841297149658
20250722_123242_174,-32,NO_RADIO,32,0.0,7.790931072012057,0.1245880126953125,0.0459766387939453
20250722_123241_656,-32,NO_RADIO,32,0.0,7.790931072012057,0.1263267993927002,0.0462672710418701
20250722_123241_486,-32,NO_RADIO,32,0.0,7.790931072012057,0.1315057277679443,0.0368294715881347
20250722_123243_226,-32,NO_RADIO,32,0.0,7.790931072012057,0.1313850879669189,0.0396833419799804
20250722_123242_001,-32,NO_RADIO,32,0.0,7.790931072012057,0.1346635818481445,0.0371031761169433
20250722_123242_531,-32,NO_RADIO,32,0.0,7.790931072012057,0.1386115550994873,0.0402426719665527
20250722_123243_398,-31,NO_RADIO,32,0.0,7.87817690350245,0.1316418647766113,0.0422677993774414
20250722_123244_801,-31,NO_RADIO,32,0.0,7.87817690350245,0.1362857818603515,0.03814697265625
20250722_123244_439,-31,NO_RADIO,32,0.0,7.87817690350245,0.1300814151763916,0.0443294048309326
20250722_123244_977,-31,NO_RADIO,32,0.0,7.87817690350245,0.1391668319702148,0.0554373264312744
20250722_123243_921,-31,NO_RADIO,32,0.0,7.87817690350245,0.1236577033996582,0.0457425117492675
20250722_123243_573,-31,NO_RADIO,32,0.0,7.87817690350245,0.1279633045196533,0.0445642471313476
20250722_123244_092,-31,NO_RADIO,32,0.0,7.87817690350245,0.129296064376831,0.0425989627838134
20250722_123244_265,-31,NO_RADIO,32,0.0,7.87817690350245,0.1273880004882812,0.045353889465332
20250722_123243_747,-31,NO_RADIO,32,0.0,7.87817690350245,0.1292901039123535,0.0441663265228271
20250722_123245_172,-31,NO_RADIO,32,0.0,7.87817690350245,0.1386315822601318,0.0440125465393066
20250722_123246_515,-30,31,31,-1.5,7.371754472365893,0.1539528369903564,0.0457086563110351
20250722_123245_712,-30,31,31,-1.5,7.371754472365893,0.1599736213684082,0.0433290004730224
20250722_123246_913,-30,31,31,-1.5,7.371754472365893,0.1533598899841308,0.0459568500518798
20250722_123246_716,-30,31,31,-1.5,7.371754472365893,0.152238130569458,0.0436034202575683
20250722_123247_113,-30,31,31,-1.5,7.371754472365893,0.1626155376434326,0.0443596839904785
