Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_220804_052,-32,NO_RADIO,32,0.0,7.790931072012057,0.1092982292175293,0.0044982433319091
20250722_220804_169,-32,NO_RADIO,32,0.0,7.790931072012057,0.1081807613372802,0.0046308040618896
20250722_220804_515,-31,NO_RADIO,32,0.0,7.87817690350245,0.1101000308990478,0.0043287277221679
20250722_220804_399,-31,NO_RADIO,32,0.0,7.87817690350245,0.1084523200988769,0.0046443939208984
20250722_220804_751,-30,NO_RADIO,32,0.0,7.37175304663414,0.10728120803833,0.0045151710510253
20250722_220804_632,-30,NO_RADIO,32,0.0,7.37175304663414,0.1112754344940185,0.0041728019714355
20250722_220804_977,-29,51,51,27.6,18.956136952667435,0.1105411052703857,0.0044596195220947
20250722_220804_865,-29,51,51,27.6,18.956136952667435,0.1047050952911377,0.0042390823364257
20250722_220805_095,-28,51,51,27.6,19.701811141590525,0.1171698570251464,0.0040500164031982
20250722_220805_219,-28,50,50,26.1,19.579450919391192,0.1132643222808837,0.0040860176086425
20250722_220805_455,-27,50,50,26.1,18.84561229096579,0.1053104400634765,0.0051069259643554
20250722_220805_339,-27,50,50,26.1,18.84561229096579,0.1090736389160156,0.0044083595275878
20250722_220805_683,-26,49,49,24.7,18.75428503364457,0.115835428237915,0.0042784214019775
20250722_220805_569,-26,49,49,24.7,18.75428503364457,0.1079709529876709,0.0040574073791503
20250722_220805_806,-25,48,48,23.2,19.579417836185343,0.1099932193756103,0.0053589344024658
20250722_220805_925,-25,48,48,23.2,19.579417836185343,0.1052823066711425,0.0040440559387207
20250722_220806_244,-24,48,48,23.2,19.10065982777984,0.1176455020904541,0.0042555332183837
20250722_220806_134,-24,48,48,23.2,19.10065982777984,0.1036179065704345,0.0039992332458496
20250722_220806_481,-23,47,47,21.8,19.21457609187693,0.1039371490478515,0.0041813850402832
20250722_220806_368,-23,47,47,21.8,19.21457609187693,0.1063685417175293,0.0037832260131835
20250722_220806_709,-22,47,47,21.8,17.98357226268726,0.1113834381103515,0.0040678977966308
20250722_220806_592,-22,47,47,21.8,17.98357226268726,0.11025071144104,0.0041906833648681
20250722_220806_946,-21,46,46,20.3,18.80012472163115,0.1090641021728515,0.0036799907684326
20250722_220806_827,-21,46,46,20.3,18.80012472163115,0.1116919517517089,0.0041749477386474
20250722_220807_295,-20,44,44,17.4,19.929988490551903,0.1066064834594726,0.0039057731628417
20250722_220807_180,-20,45,45,18.9,17.9838315715202,0.1080386638641357,0.004185676574707
20250722_220807_409,-19,44,44,17.4,19.725712090300703,0.1074111461639404,0.0047121047973632
20250722_220807_524,-19,44,44,17.4,19.725712090300703,0.1055953502655029,0.0029997825622558
20250722_220807_634,-18,44,44,17.4,18.566332413126588,0.105175495147705,0.0043368339538574
20250722_220807_746,-18,43,43,16.0,20.02549559143135,0.1057894229888916,0.0038177967071533
20250722_220807_970,-17,43,43,16.0,19.280545132616552,0.1067016124725341,0.0044388771057128
