Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_214107_753,-32,NO_RADIO,32,0.0,7.790931072012057,0.1079621315002441,0.0046336650848388
20250722_214107_868,-32,NO_RADIO,32,0.0,7.790931072012057,0.1066441535949707,0.0042934417724609
20250722_214107_982,-32,NO_RADIO,32,0.0,7.790931072012057,0.1076195240020752,0.0043315887451171
20250722_214108_097,-32,NO_RADIO,32,0.0,7.790931072012057,0.1081962585449218,0.0044910907745361
20250722_214108_212,-32,NO_RADIO,32,0.0,7.790931072012057,0.099757432937622,0.002962589263916
20250722_214108_316,-31,NO_RADIO,32,0.0,7.87817690350245,0.1076419353485107,0.0041851997375488
20250722_214108_431,-31,NO_RADIO,32,0.0,7.87817690350245,0.1105797290802002,0.0040891170501708
20250722_214108_548,-31,NO_RADIO,32,0.0,7.87817690350245,0.1101059913635253,0.0044319629669189
20250722_214108_665,-31,NO_RADIO,32,0.0,7.87817690350245,0.1115994453430175,0.0041074752807617
20250722_214108_784,-30,NO_RADIO,32,0.0,7.37175304663414,0.1149969100952148,0.0040087699890136
20250722_214108_905,-30,NO_RADIO,32,0.0,7.37175304663414,0.1034293174743652,0.0040805339813232
20250722_214109_015,-30,51,51,27.6,19.539869176009503,0.107630968093872,0.0041050910949707
20250722_214109_130,-30,51,51,27.6,19.539869176009503,0.1069884300231933,0.0044851303100585
20250722_214109_244,-29,51,51,27.6,18.956136952667435,0.1093032360076904,0.0024840831756591
20250722_214109_357,-29,51,51,27.6,18.956136952667435,0.1103289127349853,0.002063512802124
20250722_214109_471,-29,51,51,27.6,18.956136952667435,0.1068668365478515,0.0040740966796875
20250722_214109_585,-29,50,50,26.1,19.98581286382988,0.1132457256317138,0.0043668746948242
20250722_214109_705,-29,50,50,26.1,19.98581286382988,0.1104514598846435,0.0045506954193115
20250722_214109_823,-28,50,50,26.1,19.579450919391192,0.1129395961761474,0.0041289329528808
20250722_214109_943,-28,50,50,26.1,19.579450919391192,0.1125617027282714,0.0042338371276855
20250722_214110_062,-28,50,50,26.1,19.579450919391192,0.1092538833618164,0.0044801235198974
20250722_214110_180,-28,50,50,26.1,19.579450919391192,0.1101443767547607,0.0021438598632812
20250722_214110_293,-27,50,50,26.1,18.84561229096579,0.1098449230194091,0.0021877288818359
20250722_214110_406,-27,50,50,26.1,18.84561229096579,0.1099212169647216,0.0026884078979492
20250722_214110_520,-27,49,49,24.7,19.926110779462466,0.1038103103637695,0.0021133422851562
20250722_214110_627,-27,49,49,24.7,19.926110779462466,0.1121485233306884,0.0021641254425048
20250722_214110_742,-26,49,49,24.7,18.75428503364457,0.1041061878204345,0.0021538734436035
20250722_214110_850,-26,49,49,24.7,18.75428503364457,0.1092951297760009,0.0021448135375976
