Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul21_gain8db_3m_QT_MAVG_ABS1,16.88,4deg/sec,Adaptive Beamforming + Mavg,53,0.0566037735849056,0.1283896329267969,0.092191273311399,0.2205809062381959
sc_jul21_gain8db_3m_QT_MAVG_ABS2,15.42,2deg/sec,Adaptive Beamforming + Mavg,110,0.0454545454545454,0.1309818441217595,0.0924692934209649,0.2234511375427245
sc_jul21_gain8db_3m_QT_MAVG_ABS3,14.89,1deg/sec,Adaptive Beamforming + Mavg,220,0.0272727272727272,0.1304579290476712,0.0927090276371348,0.223166956684806
sc_jul21_gain8db_3m_QT_MAVG_ABS4,14.51,0.5deg/sec,Adaptive Beamforming + Mavg,441,0.0294784580498866,0.1297823761055528,0.0918680848448184,0.2216504609503713
sc_jul21_gain8db_3m_QT_MAVG_ABS5,14.23,0.25deg/sec,Adaptive Beamforming + Mavg,900,0.0244444444444444,0.1299720350901285,0.091635480986701,0.2216075160768296
sc_jul21_gain8db_3m_QT_MAVG_ABS6,17.38,4deg/sec,Adaptive Beamforming + Mavg,44,0.0681818181818181,0.1962223865769125,0.0916536342013965,0.2878760207783091
sc_jul21_gain8db_3m_QT_MAVG_ABS7,17.43,2deg/sec,Adaptive Beamforming + Mavg,96,0.0520833333333333,0.146116442978382,0.0922228718797365,0.2383393148581186
sc_jul21_gain8db_3m_QT_MAVG_ABS8,17.37,1deg/sec,Adaptive Beamforming + Mavg,165,0.0303030303030303,0.1392122803312359,0.0918923493587609,0.2311046296899968
sc_jul21_gain8db_3m_QT_MAVG_ABS9,17.22,0.5deg/sec,Adaptive Beamforming + Mavg,387,0.0258397932816537,0.1298958885577297,0.0926731261172035,0.2225690146749333
sc_jul21_gain8db_3m_QT_MAVG_ABS10,17.3,0.25deg/sec,Adaptive Beamforming + Mavg,864,0.0185185185185185,0.1405704796866134,0.0929449327566005,0.2335154124432139
sc_jul21_gain8db_3m_QT_MAVG_ABS11,18.62,4deg/sec,Adaptive Beamforming + Mavg,26,0.1153846153846153,0.3897577799283541,0.0925715153033916,0.4823292952317458
sc_jul21_gain8db_3m_QT_MAVG_ABS12,18.93,2deg/sec,Adaptive Beamforming + Mavg,50,0.08,0.2813775396347046,0.0899840593338012,0.3713615989685058
sc_jul21_gain8db_3m_QT_MAVG_ABS13,18.51,1deg/sec,Adaptive Beamforming + Mavg,165,0.0303030303030303,0.165949434222597,0.0923345002261074,0.2582839344487045
sc_jul21_gain8db_3m_QT_MAVG_ABS14,18.83,0.5deg/sec,Adaptive Beamforming + Mavg,220,0.0409090909090909,0.1706919063221324,0.0916370142589915,0.262328920581124
sc_jul21_gain8db_3m_QT_MAVG_ABS15,18.96,0.25deg/sec,Adaptive Beamforming + Mavg,550,0.023636363636363636,0.17708129319277674,0.09173776106400919,0.2688190542567859
