Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_062321_894,-32,NO_RADIO,51,27.6,20.40473161607176,-82.14002494812011,-82.14002494812011,0.0944163799285888,0.1016783714294433,51,,CenterFallback,1,32,0,,
20250721_062320_569,-32,NO_RADIO,51,27.6,20.420965194157063,-82.25591773986817,-82.25591773986817,0.0928936004638671,0.1017887592315673,51,,CenterFallback,1,32,0,,
20250721_062321_455,-32,NO_RADIO,51,27.6,20.448447435869014,-82.21603393554688,-82.21603393554688,0.0864183902740478,0.1017971038818359,51,,CenterFallback,1,32,0,,
20250721_062320_320,-32,NO_RADIO,51,27.6,20.57031174794757,-82.15873718261719,-82.15873718261719,0.0899398326873779,0.158207893371582,51,,CenterFallback,1,32,0,,
20250721_062322_331,-31,NO_RADIO,51,27.6,20.59476011184228,-82.14511260986328,-82.14511260986328,0.0904922485351562,0.1017725467681884,51,,CenterFallback,1,32,0,,
20250721_062322_525,-31,NO_RADIO,51,27.6,20.20700997694988,-82.48683815002441,-82.48683815002441,0.0917179584503173,0.1581494808197021,51,,CenterFallback,1,32,0,,
20250721_062323_410,-31,NO_RADIO,51,27.6,20.321936549937547,-82.27513847351074,-82.27513847351074,0.0955724716186523,0.15830659866333,51,,CenterFallback,1,32,0,,
20250721_062322_962,-31,NO_RADIO,51,27.6,20.43712275716109,-82.28262138366699,-82.28262138366699,0.0919928550720214,0.1580696105957031,51,,CenterFallback,1,32,0,,
20250721_062326_087,-30,51,51,27.6,19.55519504548189,-82.9975486755371,-82.9975486755371,0.0898194313049316,0.1585414409637451,51,51.0,YOLO,1,32,0,19.55519504548189,0.0
20250721_062324_759,-30,51,51,27.6,19.39305791556316,-83.1731746673584,-83.1731746673584,0.0884115695953369,0.1584875583648681,51,51.0,YOLO,1,32,0,19.39305791556316,0.0
20250721_062324_309,-30,NO_RADIO,51,27.6,19.72772052933512,-82.8545150756836,-82.8545150756836,0.0932810306549072,0.1581206321716308,51,,CenterFallback,1,32,0,,
20250721_062325_643,-30,51,51,27.6,19.9349806151742,-82.61324424743653,-82.61324424743653,0.0893769264221191,0.1584548950195312,51,51.0,YOLO,1,32,0,19.9349806151742,0.0
20250721_062326_540,-29,50,50,26.1,19.883248379968464,-82.56509208679199,-82.56509208679199,0.0941612720489502,0.1581604480743408,50,50.0,YOLO,1,32,0,19.883248379968464,0.0
20250721_062327_875,-29,50,50,26.1,20.181311570722684,-82.39200630187989,-82.39200630187989,0.0917656421661377,0.1584224700927734,50,50.0,YOLO,1,32,0,20.181311570722684,0.0
20250721_062327_686,-29,50,50,26.1,20.07733454248828,-82.322509765625,-82.322509765625,0.0860280990600586,0.1019866466522216,50,50.0,YOLO,1,32,0,20.07733454248828,0.0
20250721_062326_794,-29,50,50,26.1,20.00289564359645,-82.53631591796875,-82.53631591796875,0.0921351909637451,0.1017944812774658,50,50.0,YOLO,1,32,0,20.00289564359645,0.0
20250721_062328_577,-28,50,50,26.1,18.96634876985748,-83.56946907043456,-83.56946907043456,0.0925140380859375,0.1016969680786132,50,50.0,YOLO,1,32,0,18.96634876985748,0.0
20250721_062329_456,-28,50,50,26.1,19.310702536236704,-83.23204040527344,-83.23204040527344,0.0906248092651367,0.1017887592315673,50,50.0,YOLO,1,32,0,19.310702536236704,0.0
20250721_062329_214,-28,50,50,26.1,19.440019024903748,-83.14524917602539,-83.14524917602539,0.0823333263397216,0.1580812931060791,50,50.0,YOLO,1,32,0,19.440019024903748,0.0
20250721_062330_108,-28,50,50,26.1,18.8832862677193,-83.62672424316406,-83.62672424316406,0.0998115539550781,0.1581764221191406,50,50.0,YOLO,1,32,0,18.8832862677193,0.0
20250721_062331_910,-27,49,49,24.7,19.12436454013735,-83.37056121826171,-83.37056121826171,0.0901885032653808,0.1581208705902099,49,49.0,YOLO,1,32,0,19.12436454013735,0.0
20250721_062330_823,-27,49,49,24.7,19.288937663588456,-83.1915054321289,-83.1915054321289,0.093529462814331,0.1017520427703857,49,49.0,YOLO,1,32,0,19.288937663588456,0.0
20250721_062331_467,-27,49,49,24.7,19.32714383834775,-83.23408432006836,-83.23408432006836,0.0901830196380615,0.1580827236175537,49,49.0,YOLO,1,32,0,19.32714383834775,0.0
20250721_062332_160,-27,49,49,24.7,19.33295928167628,-83.19957962036133,-83.19957962036133,0.092261791229248,0.1016724109649658,49,49.0,YOLO,1,32,0,19.33295928167628,0.0
20250721_062333_330,-26,48,48,23.2,19.68187391610188,-82.88577384948731,-82.88577384948731,0.0901196002960205,0.101764440536499,48,48.0,YOLO,1,32,0,19.68187391610188,0.0
20250721_062333_077,-26,48,48,23.2,19.56267147273914,-83.04317893981934,-83.04317893981934,0.0932655334472656,0.1580464839935302,48,48.0,YOLO,1,32,0,19.56267147273914,0.0
20250721_062333_523,-26,48,48,23.2,19.71182756219332,-82.85422058105469,-82.85422058105469,0.1000068187713623,0.1582479476928711,48,48.0,YOLO,1,32,0,19.71182756219332,0.0
20250721_062333_783,-26,48,48,23.2,19.711199109818324,-82.88449249267579,-82.88449249267579,0.0929081439971923,0.1016473770141601,48,48.0,YOLO,1,32,0,19.711199109818324,0.0
20250721_062336_015,-25,47,47,21.8,19.54019573345839,-82.88963432312012,-82.88963432312012,0.0928120613098144,0.1017239093780517,47,47.0,YOLO,1,32,0,19.54019573345839,0.0
20250721_062335_321,-25,47,47,21.8,19.55532718632384,-82.81734199523926,-82.81734199523926,0.0893726348876953,0.1580610275268554,47,47.0,YOLO,1,32,0,19.55532718632384,0.0
