Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_042240_245,-32,NO_RADIO,32,0.0,7.72864212040507,-94.56656646728516,-94.56656646728516,0.0900144577026367,0.158231496810913,32,,CenterFallback,1,32,0,,
20250721_042240_495,-32,NO_RADIO,32,0.0,7.725380053126543,-94.71480560302734,-94.71480560302734,0.0847692489624023,0.1017844676971435,32,,CenterFallback,1,32,0,,
20250721_042240_683,-32,NO_RADIO,32,0.0,7.882345206536925,-94.68475341796876,-94.68475341796876,0.0911793708801269,0.1581518650054931,32,,CenterFallback,1,32,0,,
20250721_042240_934,-32,NO_RADIO,32,0.0,7.881678537786286,-94.9614601135254,-94.9614601135254,0.094773530960083,0.1017634868621826,32,,CenterFallback,1,32,0,,
20250721_042241_132,-32,NO_RADIO,32,0.0,7.991161042494184,-94.6549072265625,-94.6549072265625,0.0908782482147216,0.158177375793457,32,,CenterFallback,1,32,0,,
20250721_042241_382,-32,NO_RADIO,32,0.0,7.722974818430899,-94.59581756591795,-94.59581756591795,0.0894410610198974,0.1018643379211425,32,,CenterFallback,1,32,0,,
20250721_042241_575,-32,NO_RADIO,32,0.0,8.026604210904125,-94.59435501098632,-94.59435501098632,0.0917103290557861,0.1583096981048584,32,,CenterFallback,1,32,0,,
20250721_042241_826,-32,NO_RADIO,32,0.0,7.984728385619093,-94.59581756591795,-94.59581756591795,0.0903308391571044,0.1017453670501709,32,,CenterFallback,1,32,0,,
20250721_042242_020,-32,NO_RADIO,32,0.0,7.709289069946806,-94.68475341796876,-94.68475341796876,0.0921773910522461,0.1581945419311523,32,,CenterFallback,1,32,0,,
20250721_042242_272,-31,NO_RADIO,32,0.0,7.861395996030026,-94.68475341796876,-94.68475341796876,0.090733528137207,0.1017513275146484,32,,CenterFallback,1,32,0,,
20250721_042242_466,-31,NO_RADIO,32,0.0,7.583929122841269,-94.93123626708984,-94.93123626708984,0.0970799922943115,0.1582515239715576,32,,CenterFallback,1,32,0,,
20250721_042242_722,-31,NO_RADIO,32,0.0,7.326727348041601,-95.15899658203124,-95.15899658203124,0.0859780311584472,0.1016769409179687,32,,CenterFallback,1,32,0,,
20250721_042242_911,-31,51,51,27.6,19.802205498659347,-83.00965194702148,-83.00965194702148,0.0953598022460937,0.1581606864929199,51,51.0,YOLO,1,32,0,19.802205498659347,0.0
20250721_042243_166,-31,51,51,27.6,19.76612696670358,-83.02484893798828,-83.02484893798828,0.0925571918487548,0.1017365455627441,51,51.0,YOLO,1,32,0,19.76612696670358,0.0
20250721_042243_362,-31,51,51,27.6,19.767186097939685,-83.01005783081055,-83.01005783081055,0.0872304439544677,0.1580626964569091,51,51.0,YOLO,1,32,0,19.767186097939685,0.0
20250721_042243_609,-31,51,51,27.6,19.82645678320796,-82.98143272399902,-82.98143272399902,0.0918130874633789,0.1016769409179687,51,51.0,YOLO,1,32,0,19.82645678320796,0.0
20250721_042243_804,-31,51,51,27.6,19.736946778154376,-83.00965194702148,-83.00965194702148,0.0969984531402587,0.1581110954284668,51,51.0,YOLO,1,32,0,19.736946778154376,0.0
20250721_042244_060,-31,51,51,27.6,19.85915986404686,-83.04903526306153,-83.04903526306153,0.0916163921356201,0.1016807556152343,51,51.0,YOLO,1,32,0,19.85915986404686,0.0
20250721_042244_255,-30,51,51,27.6,19.25539810584925,-83.40746192932129,-83.40746192932129,0.0993344783782959,0.1581270694732666,51,51.0,YOLO,1,32,0,19.25539810584925,0.0
20250721_042244_514,-30,51,51,27.6,19.11806899713551,-83.49697990417481,-83.49697990417481,0.0938398838043212,0.1017763614654541,51,51.0,YOLO,1,32,0,19.11806899713551,0.0
20250721_042244_711,-30,50,50,26.1,19.624031490668077,-83.08162422180176,-83.08162422180176,0.0888683795928955,0.1581761837005615,50,50.0,YOLO,1,32,0,19.624031490668077,0.0
20250721_042244_959,-30,50,50,26.1,19.624414690663517,-83.11572265625,-83.11572265625,0.0884766578674316,0.1017024517059326,50,50.0,YOLO,1,32,0,19.624414690663517,0.0
20250721_042245_151,-30,51,51,27.6,18.961066738281104,-83.79424285888672,-83.79424285888672,0.0968220233917236,0.1582181453704834,51,51.0,YOLO,1,32,0,18.961066738281104,0.0
20250721_042245_408,-30,50,50,26.1,18.848746891422053,-83.78997993469238,-83.78997993469238,0.0912258625030517,0.1017601490020752,50,50.0,YOLO,1,32,0,18.848746891422053,0.0
20250721_042245_602,-30,51,51,27.6,18.688276624960334,-84.07974166870117,-84.07974166870117,0.0934185981750488,0.1581335067749023,51,51.0,YOLO,1,32,0,18.688276624960334,0.0
20250721_042245_855,-30,50,50,26.1,18.77226124610506,-83.99280319213867,-83.99280319213867,0.0859124660491943,0.1017253398895263,50,50.0,YOLO,1,32,0,18.77226124610506,0.0
20250721_042246_044,-30,50,50,26.1,19.75245270005584,-82.99176483154297,-82.99176483154297,0.0921342372894287,0.1581807136535644,50,50.0,YOLO,1,32,0,19.75245270005584,0.0
20250721_042246_296,-29,50,50,26.1,19.628079224308152,-83.21471405029297,-83.21471405029297,0.0916066169738769,0.1018037796020507,50,50.0,YOLO,1,32,0,19.628079224308152,0.0
20250721_042246_491,-29,50,50,26.1,19.553082062370407,-83.27589416503906,-83.27589416503906,0.0985956192016601,0.1580719947814941,50,50.0,YOLO,1,32,0,19.553082062370407,0.0
20250721_042246_749,-29,50,50,26.1,19.426387103787743,-83.27729797363281,-83.27729797363281,0.0906949043273925,0.1017329692840576,50,50.0,YOLO,1,32,0,19.426387103787743,0.0
20250721_042246_943,-29,50,50,26.1,19.333635413370345,-83.4087947845459,-83.4087947845459,0.1000802516937255,0.158118724822998,50,50.0,YOLO,1,32,0,19.333635413370345,0.0
20250721_042247_202,-29,50,50,26.1,19.3875797757682,-83.37576637268066,-83.37576637268066,0.0916361808776855,0.1017060279846191,50,50.0,YOLO,1,32,0,19.3875797757682,0.0
20250721_042247_397,-29,50,50,26.1,19.060227983404676,-83.74559173583984,-83.74559173583984,0.0941329002380371,0.158097505569458,50,50.0,YOLO,1,32,0,19.060227983404676,0.0
20250721_042247_651,-29,50,50,26.1,19.228640310332334,-83.62672424316406,-83.62672424316406,0.0931432247161865,0.1016888618469238,50,50.0,YOLO,1,32,0,19.228640310332334,0.0
20250721_042247_847,-29,50,50,26.1,19.271784542332483,-83.55223846435547,-83.55223846435547,0.0969064235687255,0.1581871509552002,50,50.0,YOLO,1,32,0,19.271784542332483,0.0
20250721_042248_103,-29,50,50,26.1,19.310659153982115,-83.3926399230957,-83.3926399230957,0.0934798717498779,0.1016550064086914,50,50.0,YOLO,1,32,0,19.310659153982115,0.0
20250721_042248_300,-28,50,50,26.1,18.74055551177048,-83.91045379638672,-83.91045379638672,0.092658519744873,0.1581335067749023,50,50.0,YOLO,1,32,0,18.74055551177048,0.0
20250721_042248_552,-28,50,50,26.1,18.75932440862678,-84.0036693572998,-84.0036693572998,0.0929377079010009,0.101776123046875,50,50.0,YOLO,1,32,0,18.75932440862678,0.0
20250721_042248_748,-28,49,49,24.7,19.535229846170424,-83.24492645263672,-83.24492645263672,0.0954689979553222,0.1580619812011718,49,49.0,YOLO,1,32,0,19.535229846170424,0.0
20250721_042249_003,-28,49,49,24.7,19.53465426525051,-83.24396095275878,-83.24396095275878,0.0907111167907714,0.1016881465911865,49,49.0,YOLO,1,32,0,19.53465426525051,0.0
20250721_042249_197,-28,49,49,24.7,19.36020665471881,-83.3735466003418,-83.3735466003418,0.0867784023284912,0.1581301689147949,49,49.0,YOLO,1,32,0,19.36020665471881,0.0
20250721_042249_444,-28,49,49,24.7,19.57055793848167,-83.18016052246094,-83.18016052246094,0.089017629623413,0.1018042564392089,49,49.0,YOLO,1,32,0,19.57055793848167,0.0
20250721_042249_636,-28,49,49,24.7,19.503996841724828,-83.29432907104493,-83.29432907104493,0.0938377380371093,0.158074140548706,49,49.0,YOLO,1,32,0,19.503996841724828,0.0
20250721_042249_889,-28,49,49,24.7,19.45196665582347,-83.23408432006836,-83.23408432006836,0.0920629501342773,0.1017718315124511,49,49.0,YOLO,1,32,0,19.45196665582347,0.0
20250721_042250_084,-28,49,49,24.7,19.129460845572552,-83.49720764160156,-83.49720764160156,0.0911173820495605,0.1581523418426513,49,49.0,YOLO,1,32,0,19.129460845572552,0.0
20250721_042250_335,-27,49,49,24.7,19.378937920538604,-83.2946548461914,-83.2946548461914,0.0907621383666992,0.101797342300415,49,49.0,YOLO,1,32,0,19.378937920538604,0.0
20250721_042250_529,-27,49,49,24.7,18.848650837328734,-83.91295623779297,-83.91295623779297,0.0921082496643066,0.1581315994262695,49,49.0,YOLO,1,32,0,18.848650837328734,0.0
20250721_042250_781,-27,49,49,24.7,18.846609403240137,-83.97826385498047,-83.97826385498047,0.0886833667755127,0.101757526397705,49,49.0,YOLO,1,32,0,18.846609403240137,0.0
20250721_042250_973,-27,49,49,24.7,18.7318130272882,-83.9473415374756,-83.9473415374756,0.0915460586547851,0.1582520008087158,49,49.0,YOLO,1,32,0,18.7318130272882,0.0
20250721_042251_224,-27,49,49,24.7,18.899682551075102,-83.83062477111817,-83.83062477111817,0.0905296802520752,0.1017193794250488,49,49.0,YOLO,1,32,0,18.899682551075102,0.0
20250721_042251_418,-27,49,49,24.7,18.848868669002684,-83.83062477111817,-83.83062477111817,0.0815978050231933,0.1583178043365478,49,49.0,YOLO,1,32,0,18.848868669002684,0.0
20250721_042251_659,-27,49,49,24.7,19.004671795901544,-83.63788604736328,-83.63788604736328,0.0920231342315673,0.1019198894500732,49,49.0,YOLO,1,32,0,19.004671795901544,0.0
20250721_042251_854,-27,49,49,24.7,18.765152311078168,-84.01956939697266,-84.01956939697266,0.0905580520629882,0.1581263542175293,49,49.0,YOLO,1,32,0,18.765152311078168,0.0
20250721_042252_105,-27,49,49,24.7,18.715508769573404,-83.94909172058105,-83.94909172058105,0.0984020233154296,0.1017839908599853,49,49.0,YOLO,1,32,0,18.715508769573404,0.0
20250721_042252_306,-26,49,49,24.7,17.668057903419765,-85.13900756835938,-85.13900756835938,0.0896546840667724,0.1584217548370361,49,49.0,YOLO,1,32,0,17.668057903419765,0.0
20250721_042252_556,-26,48,48,23.2,17.493779569520655,-85.11579132080078,-85.11579132080078,0.0893754959106445,0.1017651557922363,48,48.0,YOLO,1,32,0,17.493779569520655,0.0
20250721_042252_748,-26,48,48,23.2,19.12207789689404,-83.62672424316406,-83.62672424316406,0.088285207748413,0.1580932140350341,48,48.0,YOLO,1,32,0,19.12207789689404,0.0
20250721_042252_996,-26,48,48,23.2,19.01159891042836,-83.71386413574218,-83.71386413574218,0.085932970046997,0.1018998622894287,48,48.0,YOLO,1,32,0,19.01159891042836,0.0
20250721_042253_186,-26,48,48,23.2,19.206844153115554,-83.42680358886719,-83.42680358886719,0.091294527053833,0.1585607528686523,48,48.0,YOLO,1,32,0,19.206844153115554,0.0
20250721_042253_437,-26,48,48,23.2,19.304445392462757,-83.37267036437989,-83.37267036437989,0.0912282466888427,0.102196455001831,48,48.0,YOLO,1,32,0,19.304445392462757,0.0
20250721_042253_632,-26,48,48,23.2,18.91400081027136,-83.82361602783203,-83.82361602783203,0.0924737453460693,0.158628225326538,48,48.0,YOLO,1,32,0,18.91400081027136,0.0
20250721_042253_885,-26,48,48,23.2,18.937790864374875,-83.73330497741699,-83.73330497741699,0.0927762985229492,0.101968765258789,48,48.0,YOLO,1,32,0,18.937790864374875,0.0
20250721_042254_081,-26,48,48,23.2,19.111576067856674,-83.61266326904297,-83.61266326904297,0.0889232158660888,0.1585297584533691,48,48.0,YOLO,1,32,0,19.111576067856674,0.0
20250721_042254_330,-25,48,48,23.2,19.313419817315065,-83.31995811462403,-83.31995811462403,0.0956180095672607,0.1021876335144043,48,48.0,YOLO,1,32,0,19.313419817315065,0.0
20250721_042254_531,-25,48,48,23.2,18.38585819629253,-84.20865631103516,-84.20865631103516,0.0945260524749755,0.1584081649780273,48,48.0,YOLO,1,32,0,18.38585819629253,0.0
20250721_042254_785,-25,47,47,21.8,18.29887358917304,-84.21348342895507,-84.21348342895507,0.0825591087341308,0.1017656326293945,47,47.0,YOLO,1,32,0,18.29887358917304,0.0
