Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_050208_852,-45,NO_RADIO,32,0,6.776867904663106,-95.76196441650391,-95.76196441650391,0.10542941093444824,0.10211992263793945,32,,CenterFallback,1,32,0,,
20250721_050209_063,-45,NO_RADIO,32,0,6.849093403659921,-95.43484497070312,-95.43484497070312,0.08272027969360352,0.15606975555419922,32,,CenterFallback,1,32,0,,
20250721_050209_303,-44,NO_RADIO,32,0,6.96691593900232,-95.43484497070312,-95.43484497070312,0.08970046043395996,0.10173416137695312,32,,CenterFallback,1,32,0,,
20250721_050209_496,-44,NO_RADIO,32,0,6.661833681368819,-96.04537200927734,-96.04537200927734,0.08846211433410645,0.1581730842590332,32,,CenterFallback,1,32,0,,
20250721_050209_744,-43,NO_RADIO,32,0,6.862992289435468,-95.76765441894531,-95.76765441894531,0.08531069755554199,0.10180521011352539,32,,CenterFallback,1,32,0,,
20250721_050209_933,-43,NO_RADIO,32,0,7.119748506777512,-95.43484497070312,-95.43484497070312,0.08187556266784668,0.1580958366394043,32,,CenterFallback,1,32,0,,
20250721_050210_174,-42,NO_RADIO,32,0,6.85493674639217,-95.76765441894531,-95.76765441894531,0.0896291732788086,0.10181522369384766,32,,CenterFallback,1,32,0,,
20250721_050210_367,-42,NO_RADIO,32,0,6.89367055449685,-95.9241714477539,-95.9241714477539,0.09160566329956055,0.1582808494567871,32,,CenterFallback,1,32,0,,
20250721_050210_619,-42,NO_RADIO,32,0,7.445703596412315,-95.32933807373047,-95.32933807373047,0.09347295761108398,0.10173439979553223,32,,CenterFallback,1,32,0,,
20250721_050210_815,-41,NO_RADIO,32,0,6.864334219432223,-95.9241714477539,-95.9241714477539,0.08983469009399414,0.15822410583496094,32,,CenterFallback,1,32,0,,
20250721_050211_065,-41,NO_RADIO,32,0,6.8685132199006205,-95.76765441894531,-95.76765441894531,0.08711862564086914,0.10172343254089355,32,,CenterFallback,1,32,0,,
20250721_050211_255,-40,NO_RADIO,32,0,7.418686930980414,-95.4705810546875,-95.4705810546875,0.09479856491088867,0.15815424919128418,32,,CenterFallback,1,32,0,,
20250721_050211_509,-40,NO_RADIO,32,0,7.035425504675175,-95.65385437011719,-95.65385437011719,0.09348464012145996,0.10175824165344238,32,,CenterFallback,1,32,0,,
20250721_050211_706,-39,NO_RADIO,32,0,7.067045535237085,-95.32933807373047,-95.32933807373047,0.0942084789276123,0.15830731391906738,32,,CenterFallback,1,32,0,,
20250721_050211_960,-39,NO_RADIO,32,0,6.827349851245486,-95.65385437011719,-95.65385437011719,0.08904290199279785,0.10186028480529785,32,,CenterFallback,1,32,0,,
20250721_050212_152,-38,NO_RADIO,32,0,7.07426773543736,-95.32933807373047,-95.32933807373047,0.09188389778137207,0.15829205513000488,32,,CenterFallback,1,32,0,,
20250721_050212_404,-38,NO_RADIO,32,0,7.517824904753766,-95.32933807373047,-95.32933807373047,0.08956527709960938,0.10176301002502441,32,,CenterFallback,1,32,0,,
20250721_050212_597,-37,NO_RADIO,32,0,7.549586645255005,-95.15899658203125,-95.15899658203125,0.0948789119720459,0.15808725357055664,32,,CenterFallback,1,32,0,,
20250721_050212_851,-37,NO_RADIO,32,0,7.486080065844618,-95.15899658203125,-95.15899658203125,0.08948612213134766,0.10169386863708496,32,,CenterFallback,1,32,0,,
20250721_050213_043,-37,NO_RADIO,32,0,7.515252230542416,-94.92041473388673,-94.92041473388673,0.08544588088989258,0.15813517570495605,32,,CenterFallback,1,32,0,,
20250721_050213_288,-36,NO_RADIO,32,0,7.455657217708989,-95.32933807373047,-95.32933807373047,0.09150576591491699,0.10180187225341797,32,,CenterFallback,1,32,0,,
