Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul21_gain8db_3m_QT_MAVG1,14.35,0.25deg/sec,Adaptive Beamforming + Mavg,901,0.0033296337402885,0.1299438807331893,0.0935159311707355,0.2234598119039249
sc_jul21_gain8db_3m_QT_MAVG2,14.34,0.5deg/sec,Adaptive Beamforming + Mavg,423,0.0354609929078014,0.1299462476238854,0.0934226315635879,0.2233688791874734
sc_jul21_gain8db_3m_QT_MAVG3,14.37,1deg/sec,Adaptive Beamforming + Mavg,220,0.0272727272727272,0.1297511024908585,0.0930058923634615,0.2227569948543201
sc_jul21_gain8db_3m_QT_MAVG4,14.48,2deg/sec,Adaptive Beamforming + Mavg,110,0.0454545454545454,0.1300231023268266,0.0945736061442981,0.2245967084711247
sc_jul21_gain8db_3m_QT_MAVG5,14.29,4deg/sec,Adaptive Beamforming + Mavg,55,0.0545454545454545,0.1284709670326926,0.0934627012772993,0.2219336683099919
sc_jul21_gain8db_3m_QT_MAVG6,17.35,0.25deg/sec,Adaptive Beamforming + Mavg,825,0.0351515151515151,0.1344736584750088,0.0940552936900745,0.2285289521650833
sc_jul21_gain8db_3m_QT_MAVG7,17.15,0.5deg/sec,Adaptive Beamforming + Mavg,387,0.0310077519379844,0.1302199764153137,0.0938667862914329,0.2240867627067466
sc_jul21_gain8db_3m_QT_MAVG8,17.34,1deg/sec,Adaptive Beamforming + Mavg,110,0.0454545454545454,0.1431814020330255,0.0943938515403053,0.2375752535733309
sc_jul21_gain8db_3m_QT_MAVG9,17.22,2deg/sec,Adaptive Beamforming + Mavg,106,0.0471698113207547,0.1374920674090115,0.0921103167084027,0.2296023841174143
sc_jul21_gain8db_3m_QT_MAVG10,17.62,4deg/sec,Adaptive Beamforming + Mavg,50,0.06,0.1691471529006957,0.0927809047698974,0.2619280576705932
sc_jul21_gain8db_3m_QT_MAVG11,18.91,0.25deg/sec,Adaptive Beamforming + Mavg,486,0.0185185185185185,0.1661167360627602,0.0927578539514737,0.2588745900142339
sc_jul21_gain8db_3m_QT_MAVG12,18.77,0.5deg/sec,Adaptive Beamforming + Mavg,165,0.0424242424242424,0.2232965570507627,0.0910308476650353,0.314327404715798
sc_jul21_gain8db_3m_QT_MAVG13,18.66,1deg/sec,Adaptive Beamforming + Mavg,55,0.0363636363636363,0.2595556562597101,0.0941720875826748,0.353727743842385
sc_jul21_gain8db_3m_QT_MAVG14,18.85,2deg/sec,Adaptive Beamforming + Mavg,46,0.0434782608695652,0.3943315018778262,0.0923822755398957,0.4867137774177219
sc_jul21_gain8db_3m_QT_MAVG15,18.95,4deg/sec,Adaptive Beamforming + Mavg,27,0.1111111111111111,0.4137970606486003,0.0920796747560854,0.5058767354046857
