Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250721_023817_666,-32,NO_RADIO,32,0.0,8.220285356372031,-93.79424285888672,-93.79424285888672,0.0921728610992431,0.1017301082611084,32,,CenterFallback,1,32,0.0,,,[]
20250721_023817_862,-32,NO_RADIO,32,0.0,7.827001566732278,-94.56656646728516,-94.56656646728516,0.0999608039855957,0.1582615375518798,32,,CenterFallback,1,32,0.0,,,[]
20250721_023818_122,-32,NO_RADIO,32,0.0,8.111925040748474,-93.99395751953124,-93.99395751953124,0.0904994010925293,0.1016817092895507,32,,CenterFallback,1,32,0.0,,,[]
20250721_023818_315,-32,NO_RADIO,32,0.0,7.821616871195829,-94.56656646728516,-94.56656646728516,0.0887517929077148,0.1582155227661132,32,,CenterFallback,1,32,0.0,,,[]
20250721_023818_564,-32,NO_RADIO,32,0.0,8.278381216477925,-93.91798400878906,-93.91798400878906,0.0905113220214843,0.1017589569091796,32,,CenterFallback,1,32,0.0,,,[]
20250721_023818_758,-32,NO_RADIO,32,0.0,7.998495376494645,-94.45152282714844,-94.45152282714844,0.0936002731323242,0.1581699848175048,32,,CenterFallback,1,32,0.0,,,[]
20250721_023819_011,-32,NO_RADIO,32,0.0,7.998111355927762,-94.20329284667967,-94.20329284667967,0.0895121097564697,0.1017212867736816,32,,CenterFallback,1,32,0.0,,,[]
20250721_023819_203,-32,NO_RADIO,32,0.0,7.815476792641334,-94.1500015258789,-94.1500015258789,0.0939173698425293,0.1581563949584961,32,,CenterFallback,1,32,0.0,,,[]
20250721_023819_457,-32,NO_RADIO,32,0.0,8.10344328685676,-94.25724792480467,-94.25724792480467,0.0906393527984619,0.1017630100250244,32,,CenterFallback,1,32,0.0,,,[]
20250721_023819_651,-32,NO_RADIO,32,0.0,8.101159400230827,-94.25724792480467,-94.25724792480467,0.0913214683532714,0.1581649780273437,32,,CenterFallback,1,32,0.0,,,[]
20250721_023819_902,-32,NO_RADIO,32,0.0,7.9947472518772145,-94.33944702148438,-94.33944702148438,0.0887820720672607,0.1017847061157226,32,,CenterFallback,1,32,0.0,,,[]
20250721_023820_093,-32,NO_RADIO,32,0.0,7.994297282077355,-94.33944702148438,-94.33944702148438,0.0940518379211425,0.1581702232360839,32,,CenterFallback,1,32,0.0,,,[]
20250721_023820_347,-32,NO_RADIO,32,0.0,8.4613059648523,-93.79424285888672,-93.79424285888672,0.0828006267547607,0.1018850803375244,32,,CenterFallback,1,32,0.0,,,[]
