Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250721_032649_665,-32,NO_RADIO,32,0.0,8.10060647018237,-94.96305084228516,-94.96305084228516,0.0982196331024169,0.1581599712371826,32,,CenterFallback,1,32,0.0,,,[]
20250721_032649_923,-31,NO_RADIO,32,0.0,7.899535103452038,-95.15899658203124,-95.15899658203124,0.088670015335083,0.1016712188720703,32,,CenterFallback,1,32,0.0,,,[]
20250721_032650_115,-30,NO_RADIO,32,0.0,7.362552198291652,-95.6538543701172,-95.6538543701172,0.0927295684814453,0.1581122875213623,32,,CenterFallback,1,32,0.0,,,[]
20250721_032650_367,-28,51,51,27.6,7.180737149706303,-84.20865631103516,-84.20865631103516,0.0968973636627197,0.2682321071624756,51,51.0,OffsetCorrected,2,51,27.6,19.27470956232781,0.0,[0]
20250721_032650_733,-25,50,50,26.1,18.59947844732757,-83.42893447875977,-83.42893447875977,0.0947082042694091,0.7905540466308594,50,48.0,NeighborSearch,4,50,26.1,19.79709175119204,-2.0,"[0, -2]"
20250721_032651_620,-24,47,47,21.8,19.71754789268124,-83.61242942810058,-83.61242942810058,0.0916962623596191,0.101694107055664,47,47.0,YOLO,1,50,26.1,19.71754789268124,0.0,"[0, -2, 0]"
20250721_032651_815,-17,47,47,21.8,17.95482498443407,-83.14629364013672,-83.14629364013672,0.0891456604003906,1.568675518035889,47,42.0,NeighborSearch,10,47,21.8,19.92306441083873,-5.0,"[0, -2, 0, -5]"
20250721_032653_474,-16,42,42,14.5,19.19689229988606,-83.8206687927246,-83.8206687927246,0.096520185470581,0.1581461429595947,42,42.0,YOLO,1,47,21.8,19.19689229988606,0.0,"[0, -2, 0, -5, 0]"
20250721_032653_730,-15,41,41,13.1,18.77565033564305,-82.1487045288086,-82.1487045288086,0.0862429141998291,0.2672059535980224,41,40.0,OffsetCorrected,2,40,11.6,20.916374788153647,-1.0,"[0, -2, 0, -5, 0, -1]"
20250721_032654_085,-14,41,41,13.1,20.84745404949705,-82.2620849609375,-82.2620849609375,0.088325023651123,0.1018013954162597,41,41.0,YOLO,1,40,11.6,20.84745404949705,0.0,"[0, -2, 0, -5, 0, -1, 0]"
20250721_032654_277,-13,40,40,11.6,19.078664577639017,-83.95631065368653,-83.95631065368653,0.0938899517059326,0.1582784652709961,40,40.0,YOLO,1,40,11.6,19.078664577639017,0.0,"[0, -2, 0, -5, 0, -1, 0, 0]"
20250721_032654_531,-12,39,39,10.2,18.87959241384371,-82.48728942871094,-82.48728942871094,0.0944581031799316,0.2686748504638672,39,38.0,OffsetCorrected,2,38,8.7,20.652600711275355,-1.0,"[0, -2, 0, -5, 0, -1, 0, 0, -1]"
20250721_032654_895,-11,38,38,8.7,20.65771147773964,-82.4513168334961,-82.4513168334961,0.0902929306030273,0.1016342639923095,38,38.0,YOLO,1,38,8.7,20.65771147773964,0.0,"[0, -2, 0, -5, 0, -1, 0, 0, -1, 0]"
20250721_032655_089,-8,38,38,8.7,18.230263250071488,-83.37056121826171,-83.37056121826171,0.0889670848846435,0.7833461761474609,38,36.0,NeighborSearch,4,38,8.7,19.71362390766076,-2.0,"[-2, 0, -5, 0, -1, 0, 0, -1, 0, -2]"
20250721_032655_963,-7,35,35,4.4,19.12836777279633,-84.01148681640625,-84.01148681640625,0.0859310626983642,0.1581568717956543,35,35.0,YOLO,1,38,8.7,19.12836777279633,0.0,"[0, -5, 0, -1, 0, 0, -1, 0, -2, 0]"
20250721_032656_208,-1,35,35,4.4,18.4234599426202,-83.32039413452148,-83.32039413452148,0.0927495956420898,1.3148295879364014,35,31.0,NeighborSearch,8,35,4.4,19.80866186010951,-4.0,"[-5, 0, -1, 0, 0, -1, 0, -2, 0, -4]"
20250721_032657_617,0,31,31,-1.5,19.47541522654328,-83.53611755371094,-83.53611755371094,0.0903835296630859,0.1017708778381347,31,31.0,YOLO,1,35,4.4,19.47541522654328,0.0,"[0, -1, 0, 0, -1, 0, -2, 0, -4, 0]"
20250721_032657_811,1,30,30,-2.9,19.256240834343345,-83.79082794189453,-83.79082794189453,0.0866477489471435,0.1584551334381103,30,30.0,YOLO,1,35,4.4,19.256240834343345,0.0,"[-1, 0, 0, -1, 0, -2, 0, -4, 0, 0]"
20250721_032658_058,2,30,30,-2.9,19.086901118519734,-83.94909172058105,-83.94909172058105,0.0879595279693603,0.1017658710479736,30,30.0,YOLO,1,35,4.4,19.086901118519734,0.0,"[0, 0, -1, 0, -2, 0, -4, 0, 0, 0]"
20250721_032658_249,3,29,29,-4.4,19.106869166011663,-83.99280319213867,-83.99280319213867,0.0929772853851318,0.1582396030426025,29,29.0,YOLO,1,35,4.4,19.106869166011663,0.0,"[0, -1, 0, -2, 0, -4, 0, 0, 0, 0]"
20250721_032658_502,6,28,28,-5.8,17.694624946976433,-83.82349319458008,-83.82349319458008,0.0890474319458007,0.7919485569000244,28,26.0,NeighborSearch,4,28,-5.8,19.05953754943809,-2.0,"[-1, 0, -2, 0, -4, 0, 0, 0, 0, -2]"
20250721_032659_384,7,26,26,-8.7,19.140766063443664,-83.80120086669922,-83.80120086669922,0.0939710140228271,0.1017820835113525,26,26.0,YOLO,1,28,-5.8,19.140766063443664,0.0,"[0, -2, 0, -4, 0, 0, 0, 0, -2, 0]"
20250721_032659_581,11,25,25,-10.2,18.64289005831094,-83.46316528320312,-83.46316528320312,0.1114957332611084,0.7830147743225098,25,23.0,NeighborSearch,4,25,-10.2,19.50202382714788,-2.0,"[-2, 0, -4, 0, 0, 0, 0, -2, 0, -2]"
20250721_032700_477,13,23,23,-13.1,17.99829187372606,-83.00995635986328,-83.00995635986328,0.0932819843292236,0.5212385654449463,23,21.0,NeighborSearch,2,22,-14.5,19.89952952326972,-1.0,"[0, -4, 0, 0, 0, 0, -2, 0, -2, -1]"
20250721_032701_093,16,21,21,-16.0,18.82423569375443,-83.72128982543946,-83.72128982543946,0.0895144939422607,0.7834429740905762,21,19.0,NeighborSearch,4,21,-16.0,19.34695890632578,-2.0,"[-4, 0, 0, 0, 0, -2, 0, -2, -1, -2]"
20250721_032701_968,19,19,19,-18.9,18.60942079830329,-84.00252265930176,-84.00252265930176,0.0911023616790771,0.4197232723236084,19,18.0,NeighborSearch,1,18,-20.3,19.005305634298125,0.0,"[0, 0, 0, 0, -2, 0, -2, -1, -2, 0]"
20250721_032702_480,22,17,17,-21.8,17.896183939032696,-84.01148681640625,-84.01148681640625,0.0903265476226806,0.7919659614562988,17,15.0,NeighborSearch,4,17,-21.8,19.001999548585715,-2.0,"[0, 0, 0, -2, 0, -2, -1, -2, 0, -2]"
