Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250721_011732_485,-45,NO_RADIO,32,0,6.876296920776355,-95.76196441650391,-95.76196441650391,0.26369214057922363,0.10217785835266113,32,,CenterFallback,1,32,0,,,[]
20250721_011732_855,-44,NO_RADIO,32,0,6.7157892695391865,-95.9241714477539,-95.9241714477539,0.22878360748291016,0.15629291534423828,32,,CenterFallback,1,32,0,,,[]
20250721_011733_242,-44,NO_RADIO,32,0,6.965941618271046,-95.76765441894531,-95.76765441894531,0.09417986869812012,0.10178661346435547,32,,CenterFallback,1,32,0,,,[]
20250721_011733_439,-43,NO_RADIO,32,0,6.9713459494006,-95.76765441894531,-95.76765441894531,0.11248564720153809,0.15819907188415527,32,,CenterFallback,1,32,0,,,[]
20250721_011733_711,-43,NO_RADIO,32,0,6.969875111188969,-95.76765441894531,-95.76765441894531,0.09288954734802246,0.10172581672668457,32,,CenterFallback,1,32,0,,,[]
20250721_011733_907,-42,NO_RADIO,32,0,7.009105561427589,-95.9241714477539,-95.9241714477539,0.09265470504760742,0.15829920768737793,32,,CenterFallback,1,32,0,,,[]
20250721_011734_160,-42,NO_RADIO,32,0,6.863054761226266,-95.9241714477539,-95.9241714477539,0.08743071556091309,0.10186028480529785,32,,CenterFallback,1,32,0,,,[]
20250721_011734_351,-41,NO_RADIO,32,0,6.8948391066867885,-96.12810516357422,-96.12810516357422,0.0947871208190918,0.15822958946228027,32,,CenterFallback,1,32,0,,,[]
20250721_011734_605,-41,NO_RADIO,32,0,6.991451388227915,-95.76196441650391,-95.76196441650391,0.08713173866271973,0.1017305850982666,32,,CenterFallback,1,32,0,,,[]
20250721_011734_795,-40,NO_RADIO,32,0,6.968491684426525,-95.76765441894531,-95.76765441894531,0.08850431442260742,0.15810513496398926,32,,CenterFallback,1,32,0,,,[]
20250721_011735_043,-40,NO_RADIO,32,0,6.979815827418889,-96.12810516357422,-96.12810516357422,0.08808779716491699,0.1017765998840332,32,,CenterFallback,1,32,0,,,[]
20250721_011735_235,-39,NO_RADIO,32,0,7.1683759332714345,-95.43484497070312,-95.43484497070312,0.09903669357299805,0.15831303596496582,32,,CenterFallback,1,32,0,,,[]
20250721_011735_493,-39,NO_RADIO,32,0,6.966483074165893,-95.91634559631349,-95.91634559631349,0.08679533004760742,0.10179519653320312,32,,CenterFallback,1,32,0,,,[]
20250721_011735_684,-39,NO_RADIO,32,0,7.52163569615584,-95.2263412475586,-95.2263412475586,0.09998869895935059,0.15813136100769043,32,,CenterFallback,1,32,0,,,[]
20250721_011735_943,-38,NO_RADIO,32,0,6.9342523119630926,-95.76765441894531,-95.76765441894531,0.09451532363891602,0.10176563262939453,32,,CenterFallback,1,32,0,,,[]
20250721_011736_141,-38,NO_RADIO,32,0,7.496187102352849,-95.6165771484375,-95.6165771484375,0.09931731224060059,0.15814495086669922,32,,CenterFallback,1,32,0,,,[]
20250721_011736_400,-37,NO_RADIO,32,0,7.455753670031768,-95.46879425048829,-95.46879425048829,0.0878148078918457,0.10179018974304199,32,,CenterFallback,1,32,0,,,[]
20250721_011736_591,-37,NO_RADIO,32,0,7.611290065865774,-95.15899658203125,-95.15899658203125,0.09354496002197266,0.15814805030822754,32,,CenterFallback,1,32,0,,,[]
20250721_011736_844,-36,NO_RADIO,32,0,7.5622701475679435,-95.15899658203125,-95.15899658203125,0.08858060836791992,0.1017463207244873,32,,CenterFallback,1,32,0,,,[]
20250721_011737_036,-36,NO_RADIO,32,0,7.733678697136924,-95.14919929504396,-95.14919929504396,0.10014200210571289,0.15819764137268066,32,,CenterFallback,1,32,0,,,[]
20250721_011737_295,-35,NO_RADIO,32,0,7.558986317389696,-94.96146011352539,-94.96146011352539,0.08731865882873535,0.10179424285888672,32,,CenterFallback,1,32,0,,,[]
20250721_011737_486,-35,NO_RADIO,32,0,8.140894633268232,-94.65195274353027,-94.65195274353027,0.09703946113586426,0.15821170806884766,32,,CenterFallback,1,32,0,,,[]
20250721_011737_743,-35,NO_RADIO,32,0,7.741070704204233,-94.71480560302734,-94.71480560302734,0.09360957145690918,0.10191702842712402,32,,CenterFallback,1,32,0,,,[]
20250721_011737_940,-34,NO_RADIO,32,0,7.740077590527122,-94.68475341796875,-94.68475341796875,0.09666585922241211,0.15813112258911133,32,,CenterFallback,1,32,0,,,[]
20250721_011738_196,-34,NO_RADIO,32,0,8.155311560357376,-94.56656646728516,-94.56656646728516,0.08783459663391113,0.10177469253540039,32,,CenterFallback,1,32,0,,,[]
20250721_011738_387,-33,NO_RADIO,32,0,8.320166931276233,-94.25724792480469,-94.25724792480469,0.09656476974487305,0.15826630592346191,32,,CenterFallback,1,32,0,,,[]
20250721_011738_643,-33,NO_RADIO,32,0,8.0853006842773,-94.65195274353027,-94.65195274353027,0.09181094169616699,0.10168004035949707,32,,CenterFallback,1,32,0,,,[]
20250721_011738_838,-32,NO_RADIO,32,0,7.937518934079321,-94.6549072265625,-94.6549072265625,0.0906524658203125,0.15817713737487793,32,,CenterFallback,1,32,0,,,[]
