Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul23_gain8db_3m_QT_OAKD_MAVG1,9.93,0.25deg/sec,Adaptive Beamforming + Mavg,1428,0.0623249299719887,0.1302586531772666,0.1023361178673281,0.2325947710445948
sc_jul23_gain8db_3m_QT_OAKD_MAVG2,9.62,0.5deg/sec,Adaptive Beamforming + Mavg,688,0.0581395348837209,0.1301775054876194,0.1022982306258622,0.2324757361134816
sc_jul23_gain8db_3m_QT_OAKD_MAVG3,9.83,1deg/sec,Adaptive Beamforming + Mavg,58,0.1379310344827586,0.6813744676524195,0.1043547844064646,0.7857292520588841
sc_jul23_gain8db_3m_QT_OAKD_MAVG4,9.64,2deg/sec,Adaptive Beamforming + Mavg,13,0.2307692307692307,2.1310969316042385,0.1146665169642521,2.2457634485684905
sc_jul23_gain8db_3m_QT_OAKD_MAVG5,9.6,4deg/sec,Adaptive Beamforming + Mavg,11,0.2727272727272727,1.7725040912628174,0.1082939234646883,1.8807980147275056
sc_jul23_gain8db_3m_QT_OAKD_MAVG6,14.82,0.25deg/sec,Adaptive Beamforming + Mavg,1326,0.028657616892911,0.1357427700612339,0.1020586064498348,0.2378013765110688
sc_jul23_gain8db_3m_QT_OAKD_MAVG7,14.72,0.5deg/sec,Adaptive Beamforming + Mavg,516,0.0445736434108527,0.1320140583570613,0.1020411719647488,0.2340552303218102
sc_jul23_gain8db_3m_QT_OAKD_MAVG8,14.58,1deg/sec,Adaptive Beamforming + Mavg,51,0.1176470588235294,1.1772819406845991,0.1041913593516629,1.281473300036262
sc_jul23_gain8db_3m_QT_OAKD_MAVG9,14.83,2deg/sec,Adaptive Beamforming + Mavg,11,0.2727272727272727,2.4098883975635874,0.1098652319474653,2.5197536295110528
sc_jul23_gain8db_3m_QT_OAKD_MAVG10,14.58,4deg/sec,Adaptive Beamforming + Mavg,12,0.25,1.4279045462608335,0.1077096660931904,1.5356142123540242
sc_jul23_gain8db_3m_QT_OAKD_MAVG11,18.92,0.25deg/sec,Adaptive Beamforming + Mavg,430,0.0441860465116279,0.3032714383546696,0.1022694992464641,0.4055409376011338
sc_jul23_gain8db_3m_QT_OAKD_MAVG12,18.93,0.5deg/sec,Adaptive Beamforming + Mavg,83,0.0240963855421686,0.9676892958491682,0.1033499470676283,1.0710392429167963
sc_jul23_gain8db_3m_QT_OAKD_MAVG13,18.9,1deg/sec,Adaptive Beamforming + Mavg,27,0.0,2.615413365540681,0.112592061360677,2.7280054269013583
sc_jul23_gain8db_3m_QT_OAKD_MAVG14,18.86,2deg/sec,Adaptive Beamforming + Mavg,10,0.3,3.0099724769592284,0.1132365226745605,3.123208999633789
sc_jul23_gain8db_3m_QT_OAKD_MAVG15,18.93,4deg/sec,Adaptive Beamforming + Mavg,14,0.2857142857142857,0.9991358178002494,0.10770862443106513,1.1068444422313146
