Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250723_222048_168,-57,2,2,-43.5,6.766731338500961,-87.72451057434083,-87.72451057434083,0.12495589256286621,8.492393970489502,2,63,NeighborSearch,63,2,-43.5,14.865711931157747,61,[]
20250723_222056_789,-49,2,2,-43.5,7.55887106614847,-83.40924072265625,-83.40924072265625,0.12729573249816895,8.121517658233643,2,60,NeighborSearch,60,2,-43.5,19.362658362959223,58,[58]
20250723_222105_040,-48,2,2,-43.5,7.253812408915621,-82.96599426269532,-82.96599426269532,0.1232764720916748,0.2603878974914551,2,60,OffsetCorrected,2,60,40.6,19.671099699815997,58,"[58, 58]"
20250723_222105_425,-48,1,1,-45.0,7.247942972746898,-83.53611755371094,-83.53611755371094,0.1027073860168457,0.2602851390838623,1,59,OffsetCorrected,2,59,39.2,19.092976405134124,58,"[58, 58, 58]"
20250723_222105_790,-47,1,1,-45.0,7.288166194072275,-83.70249938964844,-83.70249938964844,0.10155797004699707,0.26033973693847656,1,59,OffsetCorrected,2,59,39.2,18.915452666432046,58,"[58, 58, 58, 58]"
20250723_222106_153,-47,1,1,-45.0,7.115897063487125,-83.50725440979004,-83.50725440979004,0.1030123233795166,0.26029157638549805,1,59,OffsetCorrected,2,59,39.2,19.26831061877735,58,"[58, 58, 58, 58, 58]"
20250723_222106_518,-47,NO_RADIO,1,-45.0,6.540005783164119,-95.60927734375001,-95.60927734375001,0.10085892677307129,0.15840864181518555,1,,CenterFallback,1,32,0,,,"[58, 58, 58, 58, 58]"
20250723_222106_779,-47,NO_RADIO,1,-45.0,6.787340250369056,-95.43484497070312,-95.43484497070312,0.1007225513458252,0.10196900367736816,1,,CenterFallback,1,32,0,,,"[58, 58, 58, 58, 58]"
20250723_222106_983,-46,1,1,-45.0,6.561858146511852,-82.62673950195312,-82.62673950195312,0.1023244857788086,0.2602410316467285,1,59,OffsetCorrected,2,59,39.2,20.082934464986778,58,"[58, 58, 58, 58, 58, 58]"
20250723_222107_347,-46,NO_RADIO,1,-45.0,7.2478893308973085,-95.15899658203125,-95.15899658203125,0.10188078880310059,0.1584765911102295,1,,CenterFallback,1,32,0,,,"[58, 58, 58, 58, 58, 58]"
20250723_222107_609,-46,NO_RADIO,1,-45.0,6.7418110058282394,-95.60927734375001,-95.60927734375001,0.1013329029083252,0.10198831558227539,1,,CenterFallback,1,32,0,,,"[58, 58, 58, 58, 58, 58]"
20250723_222107_814,-46,NO_RADIO,1,-45.0,7.159151750011205,-95.32933807373047,-95.32933807373047,0.10107660293579102,0.15843939781188965,1,,CenterFallback,1,32,0,,,"[58, 58, 58, 58, 58, 58]"
20250723_222108_075,-45,63,63,45.0,6.792973673448927,-83.71386413574218,-83.71386413574218,0.10290384292602539,0.6322565078735352,63,61,NeighborSearch,3,63,45.0,19.02925404763107,-2,"[58, 58, 58, 58, 58, 58, -2]"
20250723_222108_811,-44,63,63,45.0,18.024252251433808,-82.6994255065918,-82.6994255065918,0.10388994216918945,0.7843265533447266,63,60,NeighborSearch,4,63,45.0,20.06980094988384,-3,"[58, 58, 58, 58, 58, 58, -2, -3]"
20250723_222109_701,-43,63,63,45.0,16.77701421441438,-83.46000518798829,-83.46000518798829,0.10255241394042969,0.7843480110168457,63,60,NeighborSearch,4,63,45.0,19.453473012145665,-3,"[58, 58, 58, 58, 58, 58, -2, -3, -3]"
20250723_222110_590,-42,63,63,45.0,16.278801952057222,-83.02413482666016,-83.02413482666016,0.10142111778259277,0.9444403648376465,63,59,NeighborSearch,5,63,45.0,19.66124460980045,-4,"[58, 58, 58, 58, 58, 58, -2, -3, -3, -4]"
20250723_222111_637,-42,63,63,45.0,19.723052376852337,-82.9427547454834,-82.9427547454834,0.10194873809814453,0.1019587516784668,63,63,YOLO,1,63,45.0,19.723052376852337,0,"[58, 58, 58, 58, 58, -2, -3, -3, -4, 0]"
20250723_222111_843,-41,63,63,45.0,14.62980431840704,-83.59386253356934,-83.59386253356934,0.10150861740112305,0.9450767040252686,63,59,NeighborSearch,5,63,45.0,19.06352991616849,-4,"[58, 58, 58, 58, -2, -3, -3, -4, 0, -4]"
20250723_222112_891,-41,63,63,45.0,19.161538933849897,-83.3735466003418,-83.3735466003418,0.09925436973571777,0.10212969779968262,63,63,YOLO,1,63,45.0,19.161538933849897,0,"[58, 58, 58, -2, -3, -3, -4, 0, -4, 0]"
20250723_222113_094,-39,63,63,45.0,12.103799449843578,-83.37366485595703,-83.37366485595703,0.10137701034545898,1.047386646270752,63,58,NeighborSearch,6,63,45.0,19.085667693157106,-5,"[58, 58, -2, -3, -3, -4, 0, -4, 0, -5]"
20250723_222114_244,-38,63,63,45.0,10.661176413611756,-82.52173614501953,-82.52173614501953,0.10359621047973633,1.3100976943969727,63,56,NeighborSearch,8,63,45.0,19.982023080353088,-7,"[58, -2, -3, -3, -4, 0, -4, 0, -5, -7]"
20250723_222115_659,-37,62,62,43.5,8.270843365350217,-83.1303482055664,-83.1303482055664,0.10912775993347168,1.30830717086792,62,56,NeighborSearch,8,63,45.0,19.309136533613355,-7,"[-2, -3, -3, -4, 0, -4, 0, -5, -7, -7]"
20250723_222117_078,-35,62,62,43.5,7.920634262057376,-83.575146484375,-83.575146484375,0.09796404838562012,1.3084404468536377,62,55,NeighborSearch,8,59,39.2,18.988910845875495,-4,"[-3, -3, -4, 0, -4, 0, -5, -7, -7, -4]"
20250723_222118_486,-33,62,62,43.5,7.76499539516027,-83.19958686828613,-83.19958686828613,0.1034693717956543,1.7303838729858398,62,53,NeighborSearch,11,59,39.2,19.29649889460481,-6,"[-3, -4, 0, -4, 0, -5, -7, -7, -4, -6]"
20250723_222120_322,-33,62,62,43.5,19.37356281279392,-83.19034042358399,-83.19034042358399,0.10326838493347168,0.10197830200195312,62,62,YOLO,1,59,39.2,19.37356281279392,0,"[-4, 0, -4, 0, -5, -7, -7, -4, -6, 0]"
20250723_222120_528,-31,61,61,42.1,8.68025539992766,-82.6717300415039,-82.6717300415039,0.10152101516723633,1.8336362838745117,61,52,NeighborSearch,12,58,37.7,19.73238864072323,-6,"[0, -4, 0, -5, -7, -7, -4, -6, 0, -6]"
20250723_222122_465,-25,1,1,-45.0,6.96689542644225,-81.4909652709961,-81.4909652709961,0.10631823539733887,6.024049997329712,1,44,NeighborSearch,44,1,-45.0,21.01131286591162,43,"[-4, 0, -5, -7, -7, -4, -6, 0, -6, 43]"
20250723_222128_597,-22,60,60,40.6,8.210493104368979,-82.27582550048828,-82.27582550048828,0.1310865879058838,2.779235363006592,60,45,NeighborSearch,19,60,40.6,20.390648434589295,-15,"[0, -5, -7, -7, -4, -6, 0, -6, 43, -15]"
20250723_222131_509,-22,59,59,39.2,20.345739343609736,-82.15973930358886,-82.15973930358886,0.10179901123046875,0.10211777687072754,59,59,YOLO,1,60,40.6,20.345739343609736,0,"[-5, -7, -7, -4, -6, 0, -6, 43, -15, 0]"
20250723_222131_714,-19,59,59,39.2,7.070248360351002,-82.37445755004883,-82.37445755004883,0.10152506828308105,3.0431013107299805,59,43,NeighborSearch,21,59,39.2,20.168283892185144,-16,"[-7, -7, -4, -6, 0, -6, 43, -15, 0, -16]"
20250723_222134_861,-19,58,58,37.7,19.99388973286976,-82.45122756958008,-82.45122756958008,0.10490965843200684,0.10205817222595215,58,58,YOLO,1,59,39.2,19.99388973286976,0,"[-7, -4, -6, 0, -6, 43, -15, 0, -16, 0]"
20250723_222135_069,-15,59,59,39.2,7.320135322092412,-81.37866020202637,-81.37866020202637,0.10127568244934082,3.4056389331817627,59,40,NeighborSearch,24,58,37.7,21.212946274421398,-18,"[-4, -6, 0, -6, 43, -15, 0, -16, 0, -18]"
20250723_222138_578,-11,57,57,36.3,7.317417809412532,-82.76312255859375,-82.76312255859375,0.13666176795959473,3.666987419128418,57,38,NeighborSearch,26,55,33.4,19.91118446340876,-17,"[-6, 0, -6, 43, -15, 0, -16, 0, -18, -17]"
20250723_222142_384,-7,56,56,34.8,7.933205030979508,-83.60763587951661,-83.60763587951661,0.12619757652282715,3.9283182621002197,56,36,NeighborSearch,28,53,30.5,18.952367240949485,-17,"[0, -6, 43, -15, 0, -16, 0, -18, -17, -17]"
20250723_222146_440,-3,56,56,34.8,8.67987449676383,-82.1403579711914,-82.1403579711914,0.12515735626220703,4.453300952911377,56,32,NeighborSearch,32,52,29.0,20.48153579409224,-20,"[-6, 43, -15, 0, -16, 0, -18, -17, -17, -20]"
20250723_222151_020,2,54,54,31.9,7.0653360495463176,-82.78037528991699,-82.78037528991699,0.12553691864013672,4.8764801025390625,54,29,NeighborSearch,35,48,23.2,19.849085140616978,-19,"[43, -15, 0, -16, 0, -18, -17, -17, -20, -19]"
20250723_222156_023,3,53,53,30.5,19.81721678394939,-82.7785415649414,-82.7785415649414,0.12181806564331055,0.10210394859313965,53,53,YOLO,1,48,23.2,19.81721678394939,0,"[-15, 0, -16, 0, -18, -17, -17, -20, -19, 0]"
20250723_222156_249,7,53,53,30.5,6.559384003677607,-83.04913787841797,-83.04913787841797,0.10135936737060547,4.452983856201172,53,25,NeighborSearch,32,41,13.1,19.224448851664093,-16,"[0, -16, 0, -18, -17, -17, -20, -19, 0, -16]"
20250723_222200_805,12,51,51,27.6,6.363917749236748,-83.06591796875,-83.06591796875,0.1308577060699463,4.7164905071258545,51,22,NeighborSearch,34,39,10.2,19.491627863690937,-17,"[-16, 0, -18, -17, -17, -20, -19, 0, -16, -17]"
20250723_222205_654,16,47,47,21.8,7.7205671798135285,-82.2129035949707,-82.2129035949707,0.12609171867370605,3.928070306777954,47,19,NeighborSearch,28,33,1.5,20.374395991877606,-14,"[0, -18, -17, -17, -20, -19, 0, -16, -17, -14]"
20250723_222209_710,21,45,45,18.9,6.369213908547081,-83.37267036437989,-83.37267036437989,0.12100768089294434,4.45346474647522,45,16,NeighborSearch,32,32,0,19.18394509855753,-16,"[-18, -17, -17, -20, -19, 0, -16, -17, -14, -16]"
20250723_222214_285,26,45,45,18.9,6.569968794121436,-83.56321907043457,-83.56321907043457,0.12689423561096191,4.7155256271362305,45,13,NeighborSearch,34,30,-2.9,18.97314637150538,-17,"[-17, -17, -20, -19, 0, -16, -17, -14, -16, -17]"
20250723_222219_130,31,43,43,16.0,7.61113887581655,-82.84833106994628,-82.84833106994628,0.12220430374145508,5.24001669883728,43,9,NeighborSearch,38,28,-5.8,19.67429899571208,-19,"[-17, -20, -19, 0, -16, -17, -14, -16, -17, -19]"
20250723_222224_493,37,43,43,16.0,7.329368200653448,-83.34794578552246,-83.34794578552246,0.13223838806152344,6.290740489959717,43,5,NeighborSearch,46,28,-5.8,19.12986520347755,-23,"[-20, -19, 0, -16, -17, -14, -16, -17, -19, -23]"
20250723_222230_918,46,40,40,11.6,6.620657412394067,-85.50282554626465,-85.50282554626465,0.12583470344543457,8.546658992767334,40,1,NeighborSearch,63,24,-11.6,17.015867246700324,-23,"[-20, -19, 0, -16, -17, -14, -16, -17, -19, -23]"
