Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250723_193434_681,-44,1,1,-45.0,9.813720911572332,-90.27783966064452,-90.27783966064452,0.1279566287994384,6.920655488967896,1,53.0,NeighborSearch,51,28,-5.8,12.34993667801004,25.0,"[59, 0, 22, 25]"
20250723_193441_731,-37,1,1,-45.0,7.262904499902561,-89.44954109191895,-89.44954109191895,0.1338074207305908,6.18389105796814,1,49.0,NeighborSearch,45,27,-7.3,13.247864239676275,22.0,"[59, 0, 22, 25, 22]"
20250723_193448_051,-37,1,1,-45.0,13.444403445303749,-89.18629188537598,-89.18629188537598,0.1371822357177734,0.1019556522369384,1,1.0,YOLO,1,27,-7.3,13.444403445303749,0.0,"[59, 0, 22, 25, 22, 0]"
20250723_193448_291,-31,1,1,-45.0,7.383697558336436,-90.90768432617188,-90.90768432617188,0.100104808807373,6.024547576904297,1,44.0,NeighborSearch,44,22,-14.5,11.71334413358818,22.0,"[59, 0, 22, 25, 22, 0, 22]"
20250723_193454_418,-31,NO_RADIO,1,-45.0,7.365811799636049,-95.2263412475586,-95.2263412475586,0.1252267360687255,0.158808946609497,1,,CenterFallback,1,32,0.0,,,"[59, 0, 22, 25, 22, 0, 22]"
20250723_193454_703,-26,1,1,-45.0,7.233765643931875,-92.62488555908205,-92.62488555908205,0.1020114421844482,4.563999891281128,1,38.0,NeighborSearch,33,22,-14.5,9.939382584798238,16.0,"[59, 0, 22, 25, 22, 0, 22, 16]"
20250723_193459_371,-26,NO_RADIO,1,-45.0,7.230138957527458,-95.32933807373048,-95.32933807373048,0.1242516040802002,0.1582558155059814,1,,CenterFallback,1,32,0.0,,,"[59, 0, 22, 25, 22, 0, 22, 16]"
20250723_193459_655,-25,NO_RADIO,1,-45.0,6.905514892296566,-95.32933807373048,-95.32933807373048,0.1000087261199951,0.1020045280456543,1,,CenterFallback,1,32,0.0,,,"[59, 0, 22, 25, 22, 0, 22, 16]"
20250723_193459_859,-25,NO_RADIO,1,-45.0,6.905577870905631,-95.43484497070312,-95.43484497070312,0.1006155014038086,0.1584465503692627,1,,CenterFallback,1,32,0.0,,,"[59, 0, 22, 25, 22, 0, 22, 16]"
20250723_193500_119,-25,NO_RADIO,1,-45.0,6.905759195839494,-95.43484497070312,-95.43484497070312,0.1009502410888671,0.1020147800445556,1,,CenterFallback,1,32,0.0,,,"[59, 0, 22, 25, 22, 0, 22, 16]"
