Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250723_194636_991,-37,1,1,-45.0,12.82497939011651,-89.61458587646484,-89.61458587646484,0.133357286453247,0.1019725799560546,1,1.0,YOLO,1,26,-8.7,12.82497939011651,0.0,"[51, 0, 23, 0]"
20250723_194637_228,-26,1,1,-45.0,7.733718967192402,-92.75449867248535,-92.75449867248535,0.1016018390655517,5.135870456695557,1,37.0,NeighborSearch,37,19,-18.9,9.745569734308944,18.0,"[51, 0, 23, 0, 18]"
20250723_194642_698,-25,NO_RADIO,1,-45.0,7.718024225196274,-94.93123626708984,-94.93123626708984,0.1012148857116699,0.1584296226501464,1,,CenterFallback,1,32,0.0,,,"[51, 0, 23, 0, 18, 0]"
20250723_194647_526,-16,1,1,-45.0,10.047300027968518,-92.14871215820312,-92.14871215820312,0.1235334873199462,0.1021735668182373,1,1.0,YOLO,1,16,-23.2,10.047300027968518,0.0,"[51, 0, 23, 0, 18, 0, 16, 0]"
20250723_194648_016,-15,NO_RADIO,1,-45.0,6.71098697373904,-95.43484497070312,-95.43484497070312,0.1028351783752441,0.1021616458892822,1,,CenterFallback,1,32,0.0,,,"[51, 0, 23, 0, 18, 0, 16, 0]"
20250723_194648_481,-14,NO_RADIO,1,-45.0,7.170813613221469,-95.15899658203124,-95.15899658203124,0.1027796268463134,0.1019697189331054,1,,CenterFallback,1,32,0.0,,,"[51, 0, 23, 0, 18, 0, 16, 0]"
20250723_194648_687,-7,63,63,45.0,7.170022642336562,-91.67446899414062,-91.67446899414062,0.1042342185974121,3.564690351486206,63,39.0,NeighborSearch,25,63,45.0,10.682652932474667,-24.0,"[51, 0, 23, 0, 18, 0, 16, 0, -24]"
20250723_194652_358,-6,63,63,45.0,10.835402319157382,-91.34230194091796,-91.34230194091796,0.1262993812561035,0.1019792556762695,63,63.0,YOLO,1,63,45.0,10.835402319157382,0.0,"[51, 0, 23, 0, 18, 0, 16, 0, -24, 0]"
20250723_194652_587,3,56,56,34.8,8.862210789278805,-91.44122314453124,-91.44122314453124,0.1013057231903076,4.454201936721802,56,32.0,NeighborSearch,32,63,45.0,10.653069467412408,-31.0,"[0, 23, 0, 18, 0, 16, 0, -24, 0, -31]"
20250723_194657_144,14,56,56,34.8,7.175268623789194,-90.98365020751952,-90.98365020751952,0.1276721954345703,5.23842716217041,56,26.0,NeighborSearch,38,56,34.8,11.290803682484936,-30.0,"[23, 0, 18, 0, 16, 0, -24, 0, -31, -30]"
20250723_194702_512,17,48,48,23.2,6.668101640959861,-92.19911193847656,-92.19911193847656,0.1368205547332763,1.5703911781311035,48,41.0,NeighborSearch,10,46,20.3,10.049107541045458,-5.0,"[0, 18, 0, 16, 0, -24, 0, -31, -30, -5]"
20250723_194704_221,31,48,48,23.2,7.12692574439464,-92.59987716674806,-92.59987716674806,0.1055605411529541,6.969985723495483,48,13.0,NeighborSearch,51,43,16.0,9.70187217327026,-30.0,"[18, 0, 16, 0, -24, 0, -31, -30, -5, -30]"
20250723_194711_298,32,48,48,23.2,9.788503817266404,-92.70008850097656,-92.70008850097656,0.1234498023986816,0.1020069122314453,48,48.0,YOLO,1,43,16.0,9.788503817266404,0.0,"[0, 16, 0, -24, 0, -31, -30, -5, -30, 0]"
