Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul20_gain8db_3m_QT_MLP1,21.46,0.25deg/sec,Adaptive Beamforming,550,0.0381818181818181,0.1806365780396894,0.098182067004117,0.2788186450438065
sc_jul20_gain8db_3m_QT_MLP2,19.19,0.5deg/sec,Adaptive Beamforming,440,0.0431818181818181,0.1300185452808033,0.0969491850246082,0.2269677303054115
sc_jul20_gain8db_3m_QT_MLP3,19.07,1deg/sec,Adaptive Beamforming,220,0.0409090909090909,0.1306820349259809,0.0970347209410233,0.2277167558670043
sc_jul20_gain8db_3m_QT_MLP4,19.11,2deg/sec,Adaptive Beamforming,110,0.0454545454545454,0.1299055424603548,0.0987964109940962,0.228701953454451
sc_jul20_gain8db_3m_QT_MLP5,19.16,4deg/sec,Adaptive Beamforming,55,0.0545454545454545,0.1283728902990167,0.0980201070958917,0.2263929973949084
sc_jul20_gain8db_3m_QT_MLP6,22.37,0.25deg/sec,Adaptive Beamforming,935,0.0406417112299465,0.1309215762398459,0.0971122851346265,0.2280338613744724
sc_jul20_gain8db_3m_QT_MLP7,22.3,0.5deg/sec,Adaptive Beamforming,440,0.025,0.1318658021363344,0.0973483958027579,0.2292141979390924
sc_jul20_gain8db_3m_QT_MLP8,22.41,1deg/sec,Adaptive Beamforming,165,0.0363636363636363,0.133271701408155,0.0984217658187403,0.2316934672268953
sc_jul20_gain8db_3m_QT_MLP9,22.24,2deg/sec,Adaptive Beamforming,55,0.0545454545454545,0.2620065645738081,0.096782129461115,0.3587886940349232
sc_jul20_gain8db_3m_QT_MLP10,22.39,4deg/sec,Adaptive Beamforming,51,0.0784313725490196,0.1527359999862371,0.0983814959432564,0.2511174959294935
sc_jul20_gain8db_3m_QT_MLP11,24.07,0.25deg/sec,Adaptive Beamforming,605,0.0413223140495867,0.1643520753245708,0.0978020088731749,0.2621540841977458
sc_jul20_gain8db_3m_QT_MLP13,23.8,1deg/sec,Adaptive Beamforming,176,0.034090909090909,0.149471102790399,0.095394192771478,0.2448652955618771
sc_jul20_gain8db_3m_QT_MLP15,23.89,4deg/sec,Adaptive Beamforming,40,0.1,0.2351365983486175,0.0953061282634734,0.330442726612091
sc_jul20_gain8db_3m_QT_MLP14,25.33,2deg/sec,Adaptive Beamforming,110,0.0454545454545454,0.2176554853265935,0.0986689329147338,0.3163244182413274
sc_jul20_gain8db_3m_QT_MLP12,24.94,0.5deg/sec,Adaptive Beamforming,550,0.038181818181818185,0.2133072553981434,0.09724606253884052,0.31055331793698393
