Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_115818_608,-45,NO_RADIO,32,0,7.090107498168933,-95.43484497070312,-95.43484497070312,0.1264197826385498,0.10222864151000977,32,,CenterFallback,1,32,0,,,[]
20250720_115818_840,-44,NO_RADIO,32,0,6.7667442804990685,-95.65385437011719,-95.65385437011719,0.09501481056213379,0.15606379508972168,32,,CenterFallback,1,32,0,,,[]
20250720_115819_093,-44,NO_RADIO,32,0,7.016960846907693,-95.6165771484375,-95.6165771484375,0.10256338119506836,0.10172843933105469,32,,CenterFallback,1,32,0,,,[]
20250720_115819_299,-44,NO_RADIO,32,0,7.039661913854005,-95.32933807373047,-95.32933807373047,0.09643054008483887,0.15829706192016602,32,,CenterFallback,1,32,0,,,[]
20250720_115819_555,-43,NO_RADIO,32,0,7.025825200324263,-95.76765441894531,-95.76765441894531,0.09585285186767578,0.1017756462097168,32,,CenterFallback,1,32,0,,,[]
20250720_115819_754,-43,NO_RADIO,32,0,6.845793104528951,-95.9241714477539,-95.9241714477539,0.09532690048217773,0.15811944007873535,32,,CenterFallback,1,32,0,,,[]
20250720_115820_009,-42,NO_RADIO,32,0,7.44247084114383,-95.32933807373047,-95.32933807373047,0.09993577003479004,0.10184001922607422,32,,CenterFallback,1,32,0,,,[]
20250720_115820_212,-42,NO_RADIO,32,0,6.868810683324824,-95.65199050903321,-95.65199050903321,0.10195636749267578,0.15816998481750488,32,,CenterFallback,1,32,0,,,[]
20250720_115820_474,-41,NO_RADIO,32,0,7.052504725021407,-95.6165771484375,-95.6165771484375,0.10747766494750977,0.10172915458679199,32,,CenterFallback,1,32,0,,,[]
20250720_115820_684,-41,NO_RADIO,32,0,6.647298201187098,-96.12810516357422,-96.12810516357422,0.09925484657287598,0.15809965133666992,32,,CenterFallback,1,32,0,,,[]
20250720_115820_943,-40,NO_RADIO,32,0,6.873732657912427,-95.76765441894531,-95.76765441894531,0.09991717338562012,0.10182452201843262,32,,CenterFallback,1,32,0,,,[]
20250720_115821_146,-40,NO_RADIO,32,0,7.145916179316131,-95.6165771484375,-95.6165771484375,0.10122227668762207,0.15815353393554688,32,,CenterFallback,1,32,0,,,[]
20250720_115821_407,-39,NO_RADIO,32,0,7.446512981905784,-95.43484497070312,-95.43484497070312,0.09526610374450684,0.10177350044250488,32,,CenterFallback,1,32,0,,,[]
20250720_115821_605,-39,NO_RADIO,32,0,7.583951779589924,-95.22297401428223,-95.22297401428223,0.09356546401977539,0.1581118106842041,32,,CenterFallback,1,32,0,,,[]
20250720_115821_858,-39,NO_RADIO,32,0,7.565360580544166,-95.15899658203125,-95.15899658203125,0.10438704490661621,0.10171627998352051,32,,CenterFallback,1,32,0,,,[]
20250720_115822_066,-38,NO_RADIO,32,0,8.413790237474274,-94.56081428527833,-94.56081428527833,0.09774065017700195,0.15826010704040527,32,,CenterFallback,1,32,0,,,[]
20250720_115822_323,-38,NO_RADIO,32,0,8.02852460818309,-94.56656646728516,-94.56656646728516,0.10085153579711914,0.10168862342834473,32,,CenterFallback,1,32,0,,,[]
20250720_115822_527,-37,NO_RADIO,32,0,9.097399127411677,-93.42042541503906,-93.42042541503906,0.09734940528869629,0.15823674201965332,32,,CenterFallback,1,32,0,,,[]
20250720_115822_784,-37,NO_RADIO,32,0,8.819694402750798,-93.62672424316406,-93.62672424316406,0.10017085075378418,0.10175228118896484,32,,CenterFallback,1,32,0,,,[]
20250720_115822_988,-36,NO_RADIO,32,0,9.292838127310432,-93.3537826538086,-93.3537826538086,0.09433102607727051,0.158050537109375,32,,CenterFallback,1,32,0,,,[]
20250720_115823_242,-36,NO_RADIO,32,0,9.407123157515699,-93.24172554016114,-93.24172554016114,0.09971451759338379,0.10178446769714355,32,,CenterFallback,1,32,0,,,[]
20250720_115823_445,-35,NO_RADIO,32,0,9.808781913698454,-92.9109115600586,-92.9109115600586,0.09756660461425781,0.15818548202514648,32,,CenterFallback,1,32,0,,,[]
20250720_115823_702,-35,NO_RADIO,32,0,9.697484016913762,-92.69726219177247,-92.69726219177247,0.09697651863098145,0.10180997848510742,32,,CenterFallback,1,32,0,,,[]
20250720_115823_902,-34,NO_RADIO,32,0,10.243590137242947,-92.21520233154297,-92.21520233154297,0.09693503379821777,0.1582939624786377,32,,CenterFallback,1,32,0,,,[]
20250720_115824_159,-34,NO_RADIO,32,0,10.379211463528549,-92.19911193847656,-92.19911193847656,0.098358154296875,0.10170435905456543,32,,CenterFallback,1,32,0,,,[]
20250720_115824_360,-33,NO_RADIO,32,0,10.839040454181543,-91.92092895507812,-91.92092895507812,0.1016232967376709,0.15811538696289062,32,,CenterFallback,1,32,0,,,[]
20250720_115824_621,-33,NO_RADIO,32,0,10.646354475307646,-91.92092895507812,-91.92092895507812,0.09646391868591309,0.10167813301086426,32,,CenterFallback,1,32,0,,,[]
20250720_115824_821,-33,NO_RADIO,32,0,10.432181710972742,-92.06598663330078,-92.06598663330078,0.09200906753540039,0.15815019607543945,32,,CenterFallback,1,32,0,,,[]
20250720_115825_072,-32,NO_RADIO,32,0,10.483025055734217,-92.06598663330078,-92.06598663330078,0.09847784042358398,0.10177850723266602,32,,CenterFallback,1,32,0,,,[]
20250720_115825_274,-32,NO_RADIO,32,0,10.225732419357286,-92.42454528808594,-92.42454528808594,0.08448648452758789,0.1581587791442871,32,,CenterFallback,1,32,0,,,[]
20250720_115825_518,-31,NO_RADIO,32,0,10.300817869549391,-92.31904602050781,-92.31904602050781,0.09785318374633789,0.10170984268188477,32,,CenterFallback,1,32,0,,,[]
20250720_115825_719,-31,NO_RADIO,32,0,9.657257738195398,-92.8506275177002,-92.8506275177002,0.09514331817626953,0.1580953598022461,32,,CenterFallback,1,32,0,,,[]
20250720_115825_974,-30,NO_RADIO,32,0,9.631136781366195,-92.91387939453125,-92.91387939453125,0.09567975997924805,0.10171294212341309,32,,CenterFallback,1,32,0,,,[]
20250720_115826_172,-30,51,51,27.6,24.99112800798156,-77.89424133300781,-77.89424133300781,0.09775853157043457,0.15806174278259277,51,51,YOLO,1,32,0,24.99112800798156,0,[]
20250720_115826_430,-29,51,51,27.6,24.840416746544065,-78.13291358947754,-78.13291358947754,0.09804248809814453,0.10170555114746094,51,51,YOLO,1,32,0,24.840416746544065,0,[]
20250720_115826_631,-29,50,50,26.1,25.581512939792262,-77.30551834106446,-77.30551834106446,0.09700441360473633,0.15813946723937988,50,50,YOLO,1,32,0,25.581512939792262,0,[]
20250720_115826_888,-28,50,50,26.1,25.403221282114757,-77.54704627990722,-77.54704627990722,0.09774279594421387,0.10180521011352539,50,50,YOLO,1,32,0,25.403221282114757,0,[]
20250720_115827_088,-28,50,50,26.1,24.959527741486667,-77.78234100341797,-77.78234100341797,0.09754252433776855,0.1580190658569336,50,50,YOLO,1,32,0,24.959527741486667,0,[]
20250720_115827_346,-28,50,50,26.1,25.010935075917132,-77.80660972595214,-77.80660972595214,0.09792566299438477,0.10168099403381348,50,50,YOLO,1,32,0,25.010935075917132,0,[]
20250720_115827_547,-27,50,50,26.1,24.0869940665019,-78.72702293395996,-78.72702293395996,0.10013318061828613,0.15819907188415527,50,50,YOLO,1,32,0,24.0869940665019,0,[]
20250720_115827_806,-27,49,49,24.7,23.90686323967043,-78.89627418518066,-78.89627418518066,0.09702634811401367,0.10169076919555664,49,49,YOLO,1,32,0,23.90686323967043,0,[]
20250720_115828_007,-26,49,49,24.7,23.51022267158376,-79.20149993896484,-79.20149993896484,0.09799957275390625,0.15813064575195312,49,49,YOLO,1,32,0,23.51022267158376,0,[]
20250720_115828_264,-26,48,48,23.2,23.546106341912306,-79.24626541137695,-79.24626541137695,0.10233879089355469,0.10169696807861328,48,48,YOLO,1,32,0,23.546106341912306,0,[]
20250720_115828_470,-25,48,48,23.2,24.688188968080198,-78.2306411743164,-78.2306411743164,0.09083795547485352,0.15815114974975586,48,48,YOLO,1,32,0,24.688188968080198,0,[]
20250720_115828_720,-25,47,47,21.8,24.56383333142584,-78.22823829650879,-78.22823829650879,0.09983062744140625,0.1017463207244873,47,47,YOLO,1,32,0,24.56383333142584,0,[]
20250720_115828_923,-24,47,47,21.8,24.10426625415097,-78.65682754516601,-78.65682754516601,0.11025285720825195,0.1581134796142578,47,47,YOLO,1,32,0,24.10426625415097,0,[]
20250720_115829_193,-24,47,47,21.8,23.917537954342293,-78.8306999206543,-78.8306999206543,0.0971994400024414,0.10168099403381348,47,47,YOLO,1,32,0,23.917537954342293,0,[]
20250720_115829_393,-23,47,47,21.8,23.531219917137904,-79.2184829711914,-79.2184829711914,0.09653544425964355,0.157989501953125,47,47,YOLO,1,32,0,23.531219917137904,0,[]
20250720_115829_649,-23,47,47,21.8,23.353310679557225,-79.3087387084961,-79.3087387084961,0.09548091888427734,0.10172533988952637,47,47,YOLO,1,32,0,23.353310679557225,0,[]
