Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul23_gain8db_3m_QT_OAKD_MLP1,14.06,0.25deg/sec,Adaptive Beamforming,1377,0.0363108206245461,0.1302360617430554,0.1028444522865976,0.233080514029653
sc_jul24_gain8db_3m_QT_OAKD_MLP2,13.3,0.5deg/sec,Adaptive Beamforming,648,0.0385802469135802,0.1298088118617917,0.1022473772366841,0.2320561890984758
sc_jul24_gain8db_3m_QT_OAKD_MLP3,13.36,1deg/sec,Adaptive Beamforming,324,0.0277777777777777,0.1307526466287212,0.1016882348943639,0.2324408815230851
sc_jul24_gain8db_3m_QT_OAKD_MLP4,13.44,2deg/sec,Adaptive Beamforming,81,0.2592592592592592,0.2111883869877568,0.1023255130391061,0.3135139000268629
sc_jul24_gain8db_3m_QT_OAKD_MLP5,13.32,4deg/sec,Adaptive Beamforming,58,0.7068965517241379,0.2453667747563329,0.101453189192147,0.3468199639484799
sc_jul24_gain8db_3m_QT_OAKD_MLP6,19.92,0.25deg/sec,Adaptive Beamforming,1275,0.0501960784313725,0.1301957736295811,0.1027123385784672,0.2329081122080484
sc_jul24_gain8db_3m_QT_OAKD_MLP7,19.24,0.5deg/sec,Adaptive Beamforming,648,0.0401234567901234,0.1310801215377854,0.1019526204945128,0.2330327420322982
sc_jul24_gain8db_3m_QT_OAKD_MLP8,19.18,1deg/sec,Adaptive Beamforming,162,0.2037037037037037,0.1861119917881341,0.1024414698282877,0.2885534616164219
sc_jul24_gain8db_3m_QT_OAKD_MLP9,19.29,2deg/sec,Adaptive Beamforming,81,0.8888888888888888,0.2581900784998764,0.1020832709324212,0.3602733494322976
sc_jul24_gain8db_3m_QT_OAKD_MLP10,19.38,4deg/sec,Adaptive Beamforming,57,0.8421052631578947,0.2514091960170813,0.1025885866399396,0.353997782657021
sc_jul24_gain8db_3m_QT_OAKD_MLP11,23.94,0.25deg/sec,Adaptive Beamforming,891,0.4747474747474747,0.1949125904293039,0.1021691840371967,0.2970817744665006
sc_jul24_gain8db_3m_QT_OAKD_MLP12,23.56,0.5deg/sec,Adaptive Beamforming,405,0.8395061728395061,0.2392303243095492,0.1018556830323772,0.3410860073419264
sc_jul24_gain8db_3m_QT_OAKD_MLP13,23.66,1deg/sec,Adaptive Beamforming,162,0.9382716049382716,0.2565490757977521,0.1025264866558121,0.3590755624535642
sc_jul24_gain8db_3m_QT_OAKD_MLP14,23.57,2deg/sec,Adaptive Beamforming,81,0.9876543209876544,0.2551424885973518,0.1016617557148874,0.3568042443122392
sc_jul24_gain8db_3m_QT_OAKD_MLP15,23.87,4deg/sec,Adaptive Beamforming,56,1.0,0.2561341779572623,0.10228297114372249,0.35841714910098477
