Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250723_235049_931,-65,48,48,23.2,6.946646270751955,-95.15899658203125,-95.15899658203125,0.11932897567749023,0.2676970958709717,48,48,OffsetFailed,2,55,33.4,7.803109184886239,7,[],0.11887741088867188,0.050482749938964844,0.05043506622314453,0.0004489421844482422,0.0011131763458251953
20250723_235050_323,-65,35,35,4.4,7.73154657320346,-95.15899658203125,-95.15899658203125,0.10147881507873535,0.27304911613464355,35,35,OffsetFailed,2,54,31.9,7.475154478523848,19,[],0.10112881660461426,0.05050539970397949,0.0504915714263916,0.0004115104675292969,0.0006620883941650391
20250723_235050_699,-65,35,35,4.4,7.756397711361743,-95.15899658203125,-95.15899658203125,0.10347604751586914,0.2695765495300293,35,35,OffsetFailed,2,54,31.9,7.224245757470015,19,[],0.10312986373901367,0.05046248435974121,0.0504453182220459,0.00039649009704589844,0.0006322860717773438
20250723_235051_074,-65,34,34,2.9,7.230513571598266,-94.96305084228516,-94.96305084228516,0.1028890609741211,0.26943349838256836,34,34,OffsetFailed,2,54,31.9,7.185633571439666,20,[],0.10252928733825684,0.050415754318237305,0.05045127868652344,0.00039887428283691406,0.0006558895111083984
20250723_235051_448,-65,33,33,1.5,7.033482503548086,-94.68475341796875,-94.68475341796875,0.10295486450195312,0.2693781852722168,33,33,OffsetFailed,2,54,31.9,7.402817684819738,21,[],0.10259389877319336,0.05047869682312012,0.05043530464172363,0.0004000663757324219,0.0006582736968994141
20250723_235051_822,-65,NO_RADIO,33,1.5,7.392836022967515,-94.93123626708984,-94.93123626708984,0.10122275352478027,0.10223698616027832,33,,CenterFallback,1,32,0,,,[],0.10090351104736328,0.050484418869018555,0.05068469047546387,0.0003762245178222656,0.0006542205810546875
20250723_235052_027,-65,13,13,-27.6,6.467259610458086,-93.02901992797852,-93.02901992797852,0.10094833374023438,0.2610323429107666,13,13,OffsetFailed,2,61,42.1,9.466308483357253,48,[],0.10062575340270996,0.05045819282531738,0.05048680305480957,0.0568082332611084,0.0006978511810302734
20250723_235052_391,-65,13,13,-27.6,6.51692349607886,-93.62672424316406,-93.62672424316406,0.10176515579223633,0.2609865665435791,13,13,OffsetFailed,2,61,42.1,8.861416223865902,48,[],0.10146307945251465,0.05046558380126953,0.05051827430725098,0.056751251220703125,0.0006928443908691406
20250723_235052_755,-65,NO_RADIO,13,-27.6,6.575835252062234,-95.9241714477539,-95.9241714477539,0.10161018371582031,0.15856599807739258,13,,CenterFallback,1,32,0,,,[],0.1012876033782959,0.050452232360839844,0.0504610538482666,0.05678963661193848,0.0008082389831542969
20250723_235053_017,-65,NO_RADIO,13,-27.6,6.603103407480845,-95.43484497070312,-95.43484497070312,0.10145735740661621,0.10203146934509277,13,,CenterFallback,1,32,0,,,[],0.10114240646362305,0.050461769104003906,0.05046200752258301,0.0003981590270996094,0.0006740093231201172
20250723_235053_222,-65,NO_RADIO,13,-27.6,6.623746997663432,-95.6165771484375,-95.6165771484375,0.10058856010437012,0.15844440460205078,13,,CenterFallback,1,32,0,,,[],0.10028767585754395,0.05045747756958008,0.05048203468322754,0.05675339698791504,0.0007007122039794922
20250723_235053_483,-65,NO_RADIO,13,-27.6,6.876298737599484,-95.60927734375001,-95.60927734375001,0.10188746452331543,0.10197782516479492,13,,CenterFallback,1,32,0,,,[],0.10157012939453125,0.05049324035644531,0.05046248435974121,0.0003781318664550781,0.0006120204925537109
20250723_235053_688,-64,NO_RADIO,13,-27.6,6.6488634707771155,-95.65385437011719,-95.65385437011719,0.1017446517944336,0.15847158432006836,13,,CenterFallback,1,32,0,,,[],0.1013803482055664,0.05048942565917969,0.050444602966308594,0.0567936897277832,0.0006940364837646484
20250723_235053_950,-64,NO_RADIO,13,-27.6,6.4603888167144135,-96.29843139648438,-96.29843139648438,0.10004091262817383,0.10210680961608887,13,,CenterFallback,1,32,0,,,[],0.0996856689453125,0.05042862892150879,0.050478219985961914,0.0004093647003173828,0.0007441043853759766
20250723_235054_154,-64,NO_RADIO,13,-27.6,6.68420421277402,-95.76765441894531,-95.76765441894531,0.09717178344726562,0.15840363502502441,13,,CenterFallback,1,32,0,,,[],0.09682130813598633,0.05045175552368164,0.05047464370727539,0.05675530433654785,0.0006647109985351562
20250723_235054_411,-64,63,63,45.0,6.692361662030152,-94.56656646728516,-94.56656646728516,0.10184168815612793,0.27214527130126953,63,63,OffsetFailed,2,62,43.5,8.217225909795062,-1,[],0.10152816772460938,0.050559282302856445,0.05046343803405762,0.0004112720489501953,0.0006537437438964844
20250723_235054_787,-64,NO_RADIO,63,45.0,8.042761477795281,-94.56656646728516,-94.56656646728516,0.10072994232177734,0.10206317901611328,63,,CenterFallback,1,32,0,,,[],0.10035157203674316,0.05048179626464844,0.05049419403076172,0.00040841102600097656,0.0006413459777832031
20250723_235054_991,-64,NO_RADIO,63,45.0,8.72752606617432,-93.72166442871094,-93.72166442871094,0.1012122631072998,0.15861725807189941,63,,CenterFallback,1,32,0,,,[],0.10086297988891602,0.05055117607116699,0.05052971839904785,0.05676841735839844,0.0007145404815673828
20250723_235055_253,-64,NO_RADIO,63,45.0,8.477374376451237,-93.99395751953125,-93.99395751953125,0.1025850772857666,0.10202836990356445,63,,CenterFallback,1,32,0,,,[],0.10221290588378906,0.050467729568481445,0.050472259521484375,0.0003972053527832031,0.0006597042083740234
20250723_235055_460,-64,NO_RADIO,63,45.0,8.697856741064896,-93.62672424316406,-93.62672424316406,0.09675407409667969,0.15836524963378906,63,,CenterFallback,1,32,0,,,[],0.09645438194274902,0.050429582595825195,0.05048012733459473,0.05675077438354492,0.0006527900695800781
20250723_235055_716,-64,NO_RADIO,63,45.0,8.668454225274644,-93.99395751953125,-93.99395751953125,0.09645986557006836,0.10203409194946289,63,,CenterFallback,1,32,0,,,[],0.09613585472106934,0.05044198036193848,0.05051445960998535,0.00039124488830566406,0.0006413459777832031
20250723_235055_916,-64,NO_RADIO,63,45.0,9.038504292960681,-93.44287109375,-93.44287109375,0.10263180732727051,0.15842366218566895,63,,CenterFallback,1,32,0,,,[],0.10229372978210449,0.05043292045593262,0.05047154426574707,0.056752920150756836,0.0007121562957763672
20250723_235056_179,-64,NO_RADIO,63,45.0,8.691631206065125,-93.79424285888672,-93.79424285888672,0.10099172592163086,0.1019887924194336,63,,CenterFallback,1,32,0,,,[],0.10069012641906738,0.05045771598815918,0.05045771598815918,0.0003943443298339844,0.0006432533264160156
20250723_235056_383,-64,63,63,45.0,8.713403188365461,-93.91798400878906,-93.91798400878906,0.10169410705566406,0.2609236240386963,63,63,OffsetFailed,2,63,45.0,8.673180157674437,0,[],0.10133171081542969,0.05046725273132324,0.05047011375427246,0.05675864219665527,0.0006985664367675781
20250723_235056_748,-64,63,63,45.0,8.463669322189105,-94.01957702636719,-94.01957702636719,0.10261940956115723,0.2609877586364746,63,63,OffsetFailed,2,63,45.0,8.475433733736097,0,[],0.10228967666625977,0.0504603385925293,0.05058765411376953,0.05675935745239258,0.0007898807525634766
20250723_235057_113,-64,63,63,45.0,8.645074906133502,-93.91798400878906,-93.91798400878906,0.10194993019104004,0.2608959674835205,63,63,OffsetFailed,2,63,45.0,8.623112804066665,0,[],0.10161542892456055,0.050455570220947266,0.050504207611083984,0.056741952896118164,0.0007090568542480469
20250723_235057_477,-64,NO_RADIO,63,45.0,8.919124449159213,-93.3537826538086,-93.3537826538086,0.10156011581420898,0.158461332321167,63,,CenterFallback,1,32,0,,,[],0.10125088691711426,0.05050253868103027,0.05045342445373535,0.056778907775878906,0.0006756782531738281
20250723_235057_739,-63,63,63,45.0,8.956991854012315,-93.11367645263672,-93.11367645263672,0.10325884819030762,0.2676088809967041,63,63,OffsetFailed,2,63,45.0,9.52870636226595,0,[],0.10292267799377441,0.05045580863952637,0.05051422119140625,0.0003879070281982422,0.0006315708160400391
20250723_235058_112,-63,NO_RADIO,63,45.0,9.617432500778023,-92.64356231689453,-92.64356231689453,0.10146117210388184,0.10205960273742676,63,,CenterFallback,1,32,0,,,[],0.1010890007019043,0.05045723915100098,0.050478219985961914,0.00040030479431152344,0.0006816387176513672
