Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_024558_786,-40,61,61,42.1,20.104369494786923,-83.34585113525391,-83.34585113525391,0.102097749710083,0.2608873844146728,61,61.0,OffsetFailed,2,61,42.1,19.092204451991407,0.0,[],0.1017951965332031,0.050494909286499,0.0504031181335449,0.056718111038208,0.0006406307220458
20250724_024559_150,-40,60,60,40.6,20.42782444080236,-82.00229034423828,-82.00229034423828,0.1033194065093994,0.2613518238067627,60,60.0,OffsetFailed,2,60,40.6,20.4468042110926,0.0,[],0.1029996871948242,0.050478458404541,0.0504453182220459,0.0567429065704345,0.0006539821624755
20250724_024600_250,-39,60,60,40.6,18.509578813461303,-82.31825103759766,-82.31825103759766,0.1017470359802246,0.2608897686004638,60,60.0,OffsetFailed,2,59,39.2,19.60730978533701,-1.0,[],0.101414680480957,0.0504684448242187,0.0504300594329834,0.0567524433135986,0.0006654262542724
20250724_024600_614,-39,60,60,40.6,18.59228458542761,-82.37956809997559,-82.37956809997559,0.1027626991271972,0.2614338397979736,60,60.0,OffsetFailed,2,59,39.2,19.66854136903021,-1.0,[],0.1024575233459472,0.0504496097564697,0.0504722595214843,0.0568537712097168,0.0007085800170898
20250724_024601_349,-38,59,59,39.2,19.209841757955505,-80.93879203796386,-80.93879203796386,0.1024096012115478,0.26080322265625,59,59.0,OffsetFailed,2,58,37.7,21.64345203717077,-1.0,[],0.1020793914794921,0.0504474639892578,0.0504560470581054,0.0567319393157959,0.0006656646728515
20250724_024600_980,-38,60,60,40.6,16.124533205001356,-78.2720558166504,-78.2720558166504,0.1058301925659179,0.2610418796539306,60,56.0,OffsetCorrected,2,56,34.8,23.69710172788805,-4.0,[],0.1054692268371582,0.0504908561706543,0.0504693984985351,0.0567998886108398,0.0006763935089111
20250724_024602_078,-37,59,59,39.2,17.46968296554357,-81.6368797302246,-81.6368797302246,0.1022260189056396,0.2609918117523193,59,59.0,OffsetFailed,2,57,36.3,20.726753040543,-2.0,[],0.1018741130828857,0.0504689216613769,0.050450325012207,0.0567500591278076,0.000657320022583
20250724_024602_443,-37,59,59,39.2,17.299922197570112,-79.02542610168457,-79.02542610168457,0.1034138202667236,0.2610163688659668,59,59.0,OffsetFailed,2,56,34.8,23.107344135743247,-3.0,[],0.1031017303466796,0.0505216121673584,0.0504395961761474,0.0567183494567871,0.0007059574127197
20250724_024602_809,-36,58,58,37.7,19.741858024415706,-83.81049270629883,-83.81049270629883,0.1014630794525146,0.2611117362976074,58,58.0,OffsetFailed,2,58,37.7,18.582796591336745,0.0,[],0.101147174835205,0.0504512786865234,0.0504872798919677,0.0568881034851074,0.0006837844848632
20250724_024603_173,-36,58,58,37.7,17.738072998983043,-79.65375900268555,-79.65375900268555,0.103196382522583,0.2610907554626465,58,58.0,OffsetFailed,2,56,34.8,22.63716257247559,-2.0,[],0.1028203964233398,0.0504851341247558,0.0504727363586425,0.0567963123321533,0.0006699562072753
20250724_024604_274,-35,58,58,37.7,15.23141209644551,-87.17037582397461,-87.17037582397461,0.1026115417480468,0.2623834609985351,58,58.0,OffsetFailed,2,55,33.4,15.064988072385448,-3.0,[],0.1022851467132568,0.0504775047302246,0.0504581928253173,0.0567171573638916,0.0008537769317626
20250724_024603_907,-35,58,58,37.7,15.565661221092055,-78.88483390808105,-78.88483390808105,0.1036069393157959,0.2617332935333252,58,58.0,OffsetFailed,2,55,33.4,23.569357171705548,-3.0,[],0.1032567024230957,0.050534963607788,0.0505015850067138,0.0567212104797363,0.0006616115570068
