Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History,Received Jetson inference Time,Set TX Beam Time (s),Set RX Beam Time (s),Stabilize Beam Time (s),Measure SNR Time (s)
20250724_014815_268,-40,63,63,45.0,17.514005245532857,-81.68721084594726,-81.68721084594726,0.1019930839538574,0.2684071063995361,63,60.0,OffsetCorrected,2,60,40.6,20.74794420258955,-3.0,[],0.1016881465911865,0.0504786968231201,0.0504770278930664,0.0003988742828369,0.0006763935089111
20250724_014815_641,-40,62,62,43.5,20.695877235748668,-81.67378082275391,-81.67378082275391,0.0883600711822509,0.102027416229248,62,62.0,YOLO,1,60,40.6,20.695877235748668,0.0,[],0.0880112648010253,0.0504684448242187,0.0504465103149414,0.0004148483276367,0.0006918907165527
20250724_014815_833,-39,62,62,43.5,13.840712355917615,-78.50914840698242,-78.50914840698242,0.1002991199493408,0.2609367370605469,62,58.0,OffsetCorrected,2,58,37.7,23.72533049482992,-4.0,[],0.0999331474304199,0.0504732131958007,0.050480842590332,0.0567753314971923,0.0006635189056396
20250724_014816_195,-38,61,61,42.1,16.10216762995678,-79.86929206848144,-79.86929206848144,0.1032760143280029,0.2609055042266845,61,58.0,OffsetCorrected,2,58,37.7,22.35087157282516,-3.0,[],0.1029222011566162,0.0505299568176269,0.0504376888275146,0.0567302703857421,0.0006768703460693
20250724_014816_561,-37,61,61,42.1,15.16712809299247,-80.92654418945312,-80.92654418945312,0.1021435260772705,0.2614941596984863,61,58.0,OffsetCorrected,2,58,37.7,20.4504578083874,-3.0,[],0.1017937660217285,0.0504400730133056,0.0504441261291503,0.0567483901977539,0.0006487369537353
20250724_014816_926,-37,60,60,40.6,14.735557637864858,-81.36678962707519,-81.36678962707519,0.103022813796997,0.2608535289764404,60,57.0,OffsetCorrected,2,57,36.3,20.316839215267866,-3.0,[],0.1027209758758544,0.0504150390625,0.0504624843597412,0.0567567348480224,0.000664472579956
20250724_014817_292,-36,60,60,40.6,13.477626339722775,-78.76414489746094,-78.76414489746094,0.1023197174072265,0.2610812187194824,60,56.0,OffsetCorrected,2,56,34.8,23.520535529214555,-4.0,[],0.1020019054412841,0.0505015850067138,0.0504589080810546,0.0568063259124755,0.0007112026214599
20250724_014817_657,-35,60,60,40.6,13.592656300490134,-79.7700756072998,-79.7700756072998,0.1009352207183837,0.2609171867370605,60,56.0,OffsetCorrected,2,56,34.8,22.36013464730037,-4.0,[],0.100665807723999,0.050466775894165,0.0504508018493652,0.0568094253540039,0.0006749629974365
20250724_014818_020,-35,60,60,40.6,13.138049511489967,-80.60463981628418,-80.60463981628418,0.0989644527435302,0.2610220909118652,60,56.0,OffsetCorrected,2,56,34.8,20.92744653961219,-4.0,[],0.0986647605895996,0.0504801273345947,0.0504798889160156,0.0567522048950195,0.0006992816925048
20250724_014818_382,-34,59,59,39.2,13.444646449143292,-80.01087036132813,-80.01087036132813,0.0993344783782959,0.2609763145446777,59,55.0,OffsetCorrected,2,55,33.4,21.700493768228924,-4.0,[],0.0990145206451416,0.050464391708374,0.0504887104034423,0.0567312240600585,0.0006515979766845
20250724_014818_744,-33,59,59,39.2,12.819360348515971,-81.22070693969727,-81.22070693969727,0.1050543785095214,0.260892391204834,59,54.0,OffsetCorrected,2,54,31.9,19.741597677693377,-5.0,[],0.1047680377960205,0.0504584312438964,0.0504798889160156,0.0567493438720703,0.000648021697998
20250724_014819_112,-32,59,59,39.2,12.982147307669692,-80.36003875732422,-80.36003875732422,0.1026239395141601,0.261042833328247,59,54.0,OffsetCorrected,2,54,31.9,21.96704505066475,-5.0,[],0.1022670269012451,0.0504329204559326,0.0504736900329589,0.0567297935485839,0.0007307529449462
20250724_014819_477,-32,58,58,37.7,9.791919267693572,-85.38248710632324,-85.38248710632324,0.1018984317779541,0.2608463764190674,58,58.0,OffsetFailed,2,54,31.9,11.799911773408084,-4.0,[],0.1016111373901367,0.05047607421875,0.0504732131958007,0.0567412376403808,0.0006585121154785
20250724_014819_841,-31,58,58,37.7,9.793357871514884,-92.21520233154295,-92.21520233154295,0.100710391998291,0.2617697715759277,58,58.0,OffsetFailed,2,54,31.9,9.794284819621495,-4.0,[],0.1003828048706054,0.0504884719848632,0.050462007522583,0.0567858219146728,0.0006906986236572
20250724_014820_206,-30,58,58,37.7,9.17297030921381,-86.68850555419922,-86.68850555419922,0.1033995151519775,0.2608869075775146,58,58.0,OffsetFailed,2,53,30.5,11.456736030754795,-5.0,[],0.1030702590942382,0.0504579544067382,0.0504629611968994,0.0567467212677001,0.0006723403930664
20250724_014820_571,-29,57,57,36.3,9.97065527069907,-82.51591758728027,-82.51591758728027,0.1026854515075683,0.2610857486724853,57,53.0,OffsetCorrected,2,53,30.5,19.740946564553155,-4.0,[],0.1023783683776855,0.0504822731018066,0.0504887104034423,0.0567448139190673,0.0006544589996337
20250724_014820_937,-29,56,56,34.8,7.326924474049122,-85.6645450592041,-85.6645450592041,0.1029345989227294,0.2609899044036865,56,56.0,OffsetFailed,2,53,30.5,16.519514503527574,-3.0,[],0.1026196479797363,0.0504722595214843,0.0504984855651855,0.0567424297332763,0.0006427764892578
20250724_014821_302,-28,56,56,34.8,6.84216996049625,-94.33944702148438,-94.33944702148438,0.1022655963897705,0.260958194732666,56,56.0,OffsetFailed,2,52,29.0,7.171906606074046,-4.0,[],0.1019127368927002,0.0505092144012451,0.0504875183105468,0.0568039417266845,0.0006518363952636
20250724_014821_667,-27,55,55,33.4,7.476522120280961,-84.90500144958496,-84.90500144958496,0.1018891334533691,0.2608926296234131,55,55.0,OffsetFailed,2,52,29.0,15.570950967307482,-3.0,[],0.1015582084655761,0.0504398345947265,0.0504481792449951,0.056779146194458,0.0006496906280517
20250724_014822_032,-26,55,55,33.4,7.759441637105624,-83.20001182556152,-83.20001182556152,0.0984184741973877,0.2608444690704345,55,55.0,OffsetFailed,2,52,29.0,19.05329596853436,-3.0,[],0.0980646610260009,0.0504810810089111,0.0504655838012695,0.0567336082458496,0.0006802082061767
20250724_014822_393,-26,54,54,31.9,7.758524837148997,-82.78598022460938,-82.78598022460938,0.101717472076416,0.2610669136047363,54,51.0,OffsetCorrected,2,51,27.6,19.460115224246067,-3.0,[],0.1013579368591308,0.0504746437072753,0.0504536628723144,0.0567631721496582,0.0006771087646484
20250724_014822_757,-25,54,54,31.9,7.930376883664266,-87.28277206420898,-87.28277206420898,0.1013624668121337,0.2621450424194336,54,54.0,OffsetFailed,2,51,27.6,12.756914882369005,-3.0,[],0.1009764671325683,0.0505115985870361,0.0506503582000732,0.0567662715911865,0.0010528564453125
20250724_014823_123,-24,53,53,30.5,7.328241132558162,-84.93012962341308,-84.93012962341308,0.1024904251098632,0.2620778083801269,53,53.0,OffsetFailed,2,50,26.1,17.10448578564629,-3.0,[],0.1021442413330078,0.0504987239837646,0.050532579421997,0.0568025112152099,0.0007665157318115
20250724_014823_489,-24,53,53,30.5,7.053915412859439,-86.11975860595703,-86.11975860595703,0.1031141281127929,0.2625679969787597,53,53.0,OffsetFailed,2,50,26.1,15.878633134490856,-3.0,[],0.1027190685272216,0.0506584644317626,0.0514280796051025,0.0570733547210693,0.0006859302520751
20250724_014823_857,-23,52,52,29.0,13.079492332806495,-88.43056907653809,-88.43056907653809,0.101731538772583,0.26131272315979,52,52.0,OffsetFailed,2,49,24.7,13.618655045103893,-3.0,[],0.1013622283935546,0.0504891872406005,0.0506069660186767,0.0568060874938964,0.0007693767547607
20250724_014824_221,-22,52,52,29.0,12.12258579927311,-88.33963775634766,-88.33963775634766,0.1028201580047607,0.2617554664611816,52,52.0,OffsetFailed,2,48,23.2,13.047392893275555,-4.0,[],0.1024777889251709,0.0507740974426269,0.0505213737487793,0.0567715167999267,0.0008449554443359
20250724_014824_588,-21,51,51,27.6,12.42181529206448,-82.92144584655762,-82.92144584655762,0.1047120094299316,0.2609486579895019,51,48.0,OffsetCorrected,2,48,23.2,19.411525131253853,-3.0,[],0.1043722629547119,0.0504786968231201,0.0504374504089355,0.0567467212677001,0.0006880760192871
20250724_014824_955,-21,51,51,27.6,11.669171348935478,-85.91144561767578,-85.91144561767578,0.1006972789764404,0.2608861923217773,51,51.0,OffsetFailed,2,48,23.2,16.055157965529062,-3.0,[],0.1003308296203613,0.050494909286499,0.0504572391510009,0.0567519664764404,0.0006909370422363
20250724_014825_318,-20,50,50,26.1,10.969028060575624,-87.97335052490234,-87.97335052490234,0.1030454635620117,0.2612552642822265,50,50.0,OffsetFailed,2,47,21.8,13.70586157873504,-3.0,[],0.1026732921600341,0.0505163669586181,0.0504829883575439,0.0567283630371093,0.0007097721099853
