Experiment,SNR Threshold (dB),SNR Threshold Factor,Reference Max SNR (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul19_gain8db_3m_QT_AB1,14.81,,,0.25deg/sec,Adaptive Beamforming,935,0.041711229946524,0.12960537257679,0.0997566967724478,0.2293620693492378
sc_jul19_gain8db_3m_QT_AB2,14.43,,,0.5deg/sec,Adaptive Beamforming,440,0.0409090909090909,0.130002716996453,0.0992801048538901,0.2292828218503431
sc_jul19_gain8db_3m_QT_AB3,14.4,,,1.0deg/sec,Adaptive Beamforming,220,0.05,0.1296015110882845,0.0991941679607737,0.2287956790490583
sc_jul19_gain8db_3m_QT_AB4,14.41,,,2.0deg/sec,Adaptive Beamforming,110,0.0545454545454545,0.1285713369196111,0.0994306434284556,0.2280019803480668
sc_jul19_gain8db_3m_QT_AB5,14.55,,,4.0deg/sec,Adaptive Beamforming,53,0.0566037735849056,0.1279989503464608,0.0992881127123562,0.2272870630588171
sc_jul19_gain8db_3m_QT_AB6,17.52,,,0.25deg/sec,Adaptive Beamforming,935,0.0491978609625668,0.1294771829390908,0.0992414492336823,0.2287186321727731
sc_jul19_gain8db_3m_QT_AB7,17.42,,,0.5deg/sec,Adaptive Beamforming,440,0.05,0.129613324728879,0.0994173754345286,0.2290307001634077
sc_jul19_gain8db_3m_QT_AB8,17.47,,,1.0deg/sec,Adaptive Beamforming,220,0.059090909090909,0.1303889328783208,0.0986300500956448,0.2290189829739656
sc_jul19_gain8db_3m_QT_AB9,16.99,,,2.0deg/sec,Adaptive Beamforming,110,0.0909090909090909,0.1296306393363258,0.0990248008207841,0.2286554401571099
sc_jul19_gain8db_3m_QT_AB10,17.27,,,4.0deg/sec,Adaptive Beamforming,53,0.2452830188679245,0.1280012040768029,0.0990943593798942,0.2270955634566972
sc_jul19_gain8db_3m_QT_AB11,19.02,,,0.25deg/sec,Adaptive Beamforming,935,0.2224598930481283,0.1294911565627643,0.0986225253120462,0.2281136818748106
sc_jul19_gain8db_3m_QT_AB12,18.79,,,0.5deg/sec,Adaptive Beamforming,440,0.2863636363636364,0.1292270134795795,0.0984762294725938,0.2277032429521733
sc_jul19_gain8db_3m_QT_AB13,18.91,,,1.0deg/sec,Adaptive Beamforming,220,0.3318181818181818,0.1293648047880692,0.0987089969895102,0.2280738017775795
sc_jul19_gain8db_3m_QT_AB14,19.0,,,2.0deg/sec,Adaptive Beamforming,110,0.5181818181818182,0.1296084187247536,0.0987326968799937,0.2283411156047473
sc_jul19_gain8db_3m_QT_AB15,18.84,,,4.0deg/sec,Adaptive Beamforming,53,0.6415094339622641,0.1279964447021484,0.09797777319854158,0.22597421790069
