Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250719_031520_029,-32,NO_RADIO,51,27.6,20.709636989669946,-82.48683815002441,0.0996870994567871,0.1015305519104003
20250719_031520_231,-32,NO_RADIO,51,27.6,20.289496091522597,-83.04122924804688,0.0991947650909423,0.157820463180542
20250719_031520_489,-32,NO_RADIO,51,27.6,20.168549439679357,-82.98023262023926,0.093966007232666,0.1013672351837158
20250719_031520_685,-32,NO_RADIO,51,27.6,20.35654745477953,-82.84862518310547,0.0982627868652343,0.1578402519226074
20250719_031520_942,-32,NO_RADIO,51,27.6,20.28048247527745,-83.08162422180176,0.0968768596649169,0.1014277935028076
20250719_031521_141,-32,NO_RADIO,51,27.6,20.354491740843187,-82.90193176269531,0.0989160537719726,0.1577308177947998
20250719_031521_399,-32,NO_RADIO,51,27.6,20.25234089822534,-82.92084884643555,0.1013391017913818,0.1014711856842041
20250719_031521_603,-32,NO_RADIO,51,27.6,20.720645988257445,-82.52173614501953,0.0957610607147216,0.1577651500701904
20250719_031521_857,-32,NO_RADIO,51,27.6,20.634842646210785,-82.67323799133301,0.0979549884796142,0.1014389991760253
20250719_031522_057,-32,NO_RADIO,51,27.6,20.71521501672919,-82.49243545532227,0.1005849838256836,0.1578955650329589
20250719_031522_317,-32,NO_RADIO,51,27.6,20.754924363099818,-82.53805541992188,0.0976018905639648,0.102081298828125
20250719_031522_517,-32,NO_RADIO,51,27.6,20.491057219664214,-82.68616790771485,0.0948545932769775,0.1578156948089599
20250719_031522_771,-32,NO_RADIO,51,27.6,20.38042429878479,-82.90133666992188,0.0984275341033935,0.1014044284820556
20250719_031522_971,-32,NO_RADIO,51,27.6,20.68930971941019,-82.66391792297364,0.0953221321105957,0.1578373908996582
20250719_031523_225,-32,NO_RADIO,51,27.6,20.599507964957997,-82.85422058105469,0.1003568172454834,0.1014678478240966
20250719_031523_428,-32,NO_RADIO,51,27.6,20.62039899119779,-82.6560287475586,0.0932941436767578,0.1578290462493896
20250719_031523_680,-32,NO_RADIO,51,27.6,20.525537859315847,-82.64356231689453,0.0992529392242431,0.1014046669006347
20250719_031523_882,-32,NO_RADIO,51,27.6,20.2623869423298,-83.02484893798828,0.0938680171966552,0.1577935218811035
20250719_031524_134,-31,NO_RADIO,51,27.6,20.33027276211304,-83.02484893798828,0.1011388301849365,0.1014707088470459
20250719_031524_338,-31,NO_RADIO,51,27.6,20.37944687339815,-82.78578720092773,0.1004514694213867,0.1578154563903808
20250719_031524_597,-31,51,51,27.6,20.251143396831395,-83.03507995605469,0.1033458709716796,0.101417064666748
20250719_031524_802,-31,51,51,27.6,20.560792121653776,-82.76312255859375,0.0982615947723388,0.1578526496887207
