Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250719_014538_862,-32,NO_RADIO,32,0.0,7.870002947128867,-95.15899658203124,0.0976982116699218,0.101409912109375
20250719_014539_515,-32,NO_RADIO,32,0.0,7.914976450344199,-95.15899658203124,0.0976598262786865,0.157841682434082
20250719_014539_062,-32,NO_RADIO,32,0.0,8.042854234591374,-94.92041473388672,0.0965960025787353,0.157747745513916
20250719_014538_607,-32,NO_RADIO,32,0.0,8.243707881360578,-94.71480560302734,0.0967855453491211,0.1577832698822021
20250719_014539_973,-31,NO_RADIO,32,0.0,7.86990911903537,-95.15899658203124,0.0971426963806152,0.1577227115631103
20250719_014540_229,-31,NO_RADIO,32,0.0,7.916345791652802,-94.96305084228516,0.0955903530120849,0.1013815402984619
20250719_014539_772,-31,NO_RADIO,32,0.0,8.121967620536921,-94.68326110839844,0.098733901977539,0.1013996601104736
20250719_014540_426,-31,NO_RADIO,32,0.0,7.407039574276041,-95.4705810546875,0.0990350246429443,0.1578297615051269
20250719_014541_352,-30,51,51,27.6,20.37841109931483,-82.99947700500488,0.1005542278289794,0.1578412055969238
20250719_014540_684,-30,NO_RADIO,32,0.0,7.405917867806309,-95.6165771484375,0.1024305820465087,0.101405382156372
20250719_014540_889,-30,NO_RADIO,32,0.0,7.403157714856562,-95.43484497070312,0.0981950759887695,0.1577751636505127
20250719_014541_146,-30,51,51,27.6,7.367620865954422,-95.6519905090332,0.1040995121002197,0.1013853549957275
20250719_014542_269,-29,50,50,26.1,20.45760869661352,-82.83255653381347,0.0952053070068359,0.1577839851379394
20250719_014541_814,-29,51,51,27.6,19.39014925208602,-84.01097526550294,0.099921703338623,0.157750129699707
20250719_014541_611,-29,51,51,27.6,20.29786781310229,-83.04287147521973,0.1005878448486328,0.1014091968536377
20250719_014542_523,-29,50,50,26.1,20.27080380286681,-83.20000457763672,0.0980682373046875,0.1014425754547119
20250719_014542_724,-28,50,50,26.1,19.95514118048102,-83.41986618041992,0.0988483428955078,0.1576950550079345
20250719_014542_981,-28,50,50,26.1,19.72061076150049,-83.5916519165039,0.1025927066802978,0.1014509201049804
20250719_014543_186,-28,49,49,24.7,20.598131935063293,-82.77767448425293,0.0961174964904785,0.1578023433685302
20250719_014543_441,-28,50,50,26.1,20.54327812276516,-82.78598022460938,0.0997741222381591,0.1013991832733154
20250719_014544_362,-27,49,49,24.7,19.769241108559243,-83.68544998168946,0.0992214679718017,0.1013796329498291
20250719_014544_104,-27,49,49,24.7,19.689322336356483,-83.63753395080566,0.098442792892456,0.1578061580657959
20250719_014543_899,-27,49,49,24.7,18.951003338596408,-84.55567512512208,0.1028506755828857,0.1013731956481933
20250719_014543_643,-27,50,50,26.1,18.7191916608798,-84.5144271850586,0.0979149341583252,0.157759428024292
20250719_014544_563,-26,49,49,24.7,19.88499186293476,-83.42042541503906,0.0970008373260498,0.1577155590057373
