Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250719_024506_381,-45,NO_RADIO,32,0,6.821093826293932,-95.2263412475586,0.13187551498413086,0.1018824577331543
20250719_024506_617,-45,NO_RADIO,32,0,6.577289536466083,-95.9241714477539,0.09967637062072754,0.15585064888000488
20250719_024506_874,-45,NO_RADIO,32,0,6.916017558184535,-95.6165771484375,0.09826040267944336,0.10138225555419922
20250719_024507_074,-44,NO_RADIO,32,0,6.879144473628202,-95.4705810546875,0.09816288948059082,0.15774250030517578
20250719_024507_331,-44,NO_RADIO,32,0,6.673315942292788,-95.76765441894531,0.09570193290710449,0.1014859676361084
20250719_024507_529,-44,NO_RADIO,32,0,6.897470944373225,-95.6165771484375,0.09519243240356445,0.15775680541992188
20250719_024507_783,-44,NO_RADIO,32,0,6.69326161828576,-95.91634559631349,0.09487104415893555,0.10136985778808594
20250719_024507_980,-43,NO_RADIO,32,0,7.24848776150688,-95.43484497070312,0.09510326385498047,0.15781927108764648
20250719_024508_234,-43,NO_RADIO,32,0,7.265243181686088,-95.32933807373047,0.09534263610839844,0.10141468048095703
20250719_024508_432,-43,NO_RADIO,32,0,6.728940965278667,-96.04537200927734,0.09418058395385742,0.15782594680786133
20250719_024508_684,-43,NO_RADIO,32,0,6.75701968203623,-95.9241714477539,0.09354448318481445,0.10136532783508301
20250719_024508_880,-42,NO_RADIO,32,0,6.988527400160038,-95.43484497070312,0.09415864944458008,0.15777039527893066
20250719_024509_133,-42,NO_RADIO,32,0,6.597814770469114,-96.04537200927734,0.09628772735595703,0.10138249397277832
20250719_024509_331,-42,NO_RADIO,32,0,6.95897585328575,-95.6165771484375,0.0962982177734375,0.15784525871276855
20250719_024509_587,-42,NO_RADIO,32,0,6.979826066617548,-95.43484497070312,0.09839487075805664,0.10140275955200195
20250719_024509_787,-42,NO_RADIO,32,0,6.800727599559082,-95.65199050903321,0.09570789337158203,0.15781641006469727
20250719_024510_042,-41,NO_RADIO,32,0,7.408894291581973,-95.4705810546875,0.09529638290405273,0.10144352912902832
20250719_024510_239,-41,NO_RADIO,32,0,7.37170692001294,-95.43484497070312,0.09993815422058105,0.1578202247619629
20250719_024510_498,-41,NO_RADIO,32,0,7.0383621808953905,-95.6165771484375,0.09755539894104004,0.10140323638916016
20250719_024510_698,-41,NO_RADIO,32,0,6.997220935352303,-95.65385437011719,0.09759140014648438,0.15772247314453125
20250719_024510_954,-40,NO_RADIO,32,0,7.009123141024688,-95.6165771484375,0.09766960144042969,0.10141253471374512
20250719_024511_154,-40,NO_RADIO,32,0,7.012965872559349,-95.4705810546875,0.0972599983215332,0.15775418281555176
20250719_024511_410,-40,NO_RADIO,32,0,6.842612359602413,-96.12396850585938,0.09967732429504395,0.1013946533203125
20250719_024511_612,-40,NO_RADIO,32,0,6.8559302724845,-95.76765441894531,0.09538769721984863,0.15776610374450684
20250719_024511_866,-40,NO_RADIO,32,0,6.866277400686371,-95.76765441894531,0.10075592994689941,0.10141658782958984
20250719_024512_069,-39,NO_RADIO,32,0,7.493726254601,-95.32418823242188,0.09858441352844238,0.15784764289855957
20250719_024512_326,-39,NO_RADIO,32,0,7.079990756884186,-95.65385437011719,0.09438610076904297,0.10135316848754883
20250719_024512_523,-39,NO_RADIO,32,0,6.882954428535072,-95.76765441894531,0.09789228439331055,0.15787315368652344
20250719_024512_779,-39,NO_RADIO,32,0,7.119008833303241,-95.43484497070312,0.09722328186035156,0.10138201713562012
20250719_024512_979,-38,NO_RADIO,32,0,7.069202381246214,-95.6165771484375,0.0935678482055664,0.1577463150024414
20250719_024513_231,-38,NO_RADIO,32,0,7.115933448870408,-95.46879425048829,0.10022950172424316,0.10137224197387695
20250719_024513_433,-38,NO_RADIO,32,0,7.43509665289416,-95.43484497070312,0.1008763313293457,0.15775632858276367
20250719_024513_693,-38,NO_RADIO,32,0,7.483884399928769,-95.15899658203125,0.09651613235473633,0.10143566131591797
