Experiment,SNR Threshold (dB),SNR Threshold Factor,Reference Max SNR (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s),Average YOLO Time (s),Total Time (s)
sc_jul23_gain8db_3m_QT_OAKD_AB1,11.97,,,0.25deg/sec,Adaptive Beamforming,825,0.029090909090909,0.1301813015793308,0.2322412583322236,0.3624225599115545
sc_jul23_gain8db_3m_QT_OAKD_AB2,10.32,,,0.5deg/sec,Adaptive Beamforming,405,0.0320987654320987,0.1304216532059657,0.231900695518211,0.3623223487241768
sc_jul23_gain8db_3m_QT_OAKD_AB3,10.05,,,1deg/sec,Adaptive Beamforming,192,0.3020833333333333,0.1305171400308608,0.2228053001066049,0.3533224401374658
sc_jul23_gain8db_3m_QT_OAKD_AB4,9.97,,,2deg/sec,Adaptive Beamforming,81,0.8641975308641975,0.1319697138703899,0.2303655441896415,0.3623352580600314
sc_jul23_gain8db_3m_QT_OAKD_AB5,10.15,,,4deg/sec,Adaptive Beamforming,56,0.9821428571428572,0.1301998964377811,0.230325847864151,0.3605257443019322
sc_jul23_gain8db_3m_QT_OAKD_AB6,15.09,,,0.25deg/sec,Adaptive Beamforming,847,0.0566706021251475,0.1301905985002393,0.2310113980046692,0.3612019965049086
sc_jul23_gain8db_3m_QT_OAKD_AB7,15.23,,,0.5deg/sec,Adaptive Beamforming,405,0.1901234567901234,0.1298142921777418,0.2309195324226662,0.360733824600408
sc_jul23_gain8db_3m_QT_OAKD_AB8,15.31,,,1deg/sec,Adaptive Beamforming,162,0.9753086419753086,0.128068138051916,0.2334457680031105,0.3615139060550265
sc_jul23_gain8db_3m_QT_OAKD_AB9,15.44,,,2deg/sec,Adaptive Beamforming,81,1.0,0.1312142860742262,0.2271544109156102,0.3583686969898365
sc_jul23_gain8db_3m_QT_OAKD_AB10,15.34,,,4deg/sec,Adaptive Beamforming,56,1.0,0.1301604849951607,0.2292484811374119,0.3594089661325726
sc_jul23_gain8db_3m_QT_OAKD_AB11,19.13,,,0.25deg/sec,Adaptive Beamforming,858,0.6317016317016317,0.1303150556582115,0.2291992041336628,0.3595142597918743
sc_jul23_gain8db_3m_QT_OAKD_AB12,19.17,,,0.5deg/sec,Adaptive Beamforming,405,0.9160493827160494,0.1302475134531656,0.2280389026359275,0.3582864160890932
sc_jul23_gain8db_3m_QT_OAKD_AB13,19.02,,,1deg/sec,Adaptive Beamforming,183,1.0,0.1303176736571097,0.2316435946792852,0.3619612683363951
sc_jul23_gain8db_3m_QT_OAKD_AB14,19.42,,,2deg/sec,Adaptive Beamforming,81,1.0,0.1298583024813804,0.2290880562346658,0.3589463587160463
sc_jul23_gain8db_3m_QT_OAKD_AB15,19.26,,,4deg/sec,Adaptive Beamforming,57,1.0,0.1307518273069147,0.22468600356787966,0.35543783087479436
