Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250723_165407_128,-65,NO_RADIO,32,0,6.722387466430661,-96.25521850585938,0.2186436653137207,0.10232162475585938
20250723_165407_453,-65,NO_RADIO,32,0,6.944306361460548,-96.29843139648438,0.16145944595336914,0.15625667572021484
20250723_165407_772,-65,NO_RADIO,32,0,6.912734671938395,-96.29843139648438,0.16466355323791504,0.10202670097351074
20250723_165408_040,-64,NO_RADIO,32,0,6.93129897200582,-96.43071746826172,0.17037272453308105,0.15911555290222168
20250723_165408_371,-64,NO_RADIO,32,0,7.2659938823847625,-96.29843139648438,0.16589832305908203,0.1019892692565918
20250723_165408_640,-64,NO_RADIO,32,0,6.857680790948464,-96.43071746826172,0.16699814796447754,0.15833044052124023
20250723_165408_967,-63,NO_RADIO,32,0,6.583268896886054,-96.43071746826172,0.16688013076782227,0.10201859474182129
20250723_165409_237,-63,63,63,45.0,8.151726633176082,-95.32933807373047,0.24503374099731445,0.15819811820983887
20250723_165409_642,-63,NO_RADIO,63,45.0,8.151908807626711,-95.2263412475586,0.15899181365966797,0.10192012786865234
20250723_165409_904,-62,63,63,45.0,8.75475724220314,-94.25724792480469,0.23883891105651855,0.1582343578338623
20250723_165410_302,-62,NO_RADIO,63,45.0,8.742657763072657,-94.25455017089844,0.16060209274291992,0.1019887924194336
20250723_165410_566,-62,NO_RADIO,63,45.0,8.692254971929174,-94.56656646728516,0.16559696197509766,0.15838408470153809
20250723_165410_891,-61,NO_RADIO,63,45.0,8.217219841681128,-94.92041473388673,0.16484689712524414,0.10194134712219238
20250723_165411_159,-61,63,63,45.0,9.597707918901833,-93.72166442871094,0.24117469787597656,0.15834355354309082
20250723_165411_560,-61,63,63,45.0,9.349230577125013,-93.37588500976562,0.23018908500671387,0.10229301452636719
20250723_165411_895,-60,63,63,45.0,10.21311250051437,-92.77661895751953,0.2333056926727295,0.15834522247314453
20250723_165412_287,-60,63,63,45.0,10.201314968958542,-92.8506275177002,0.26223015785217285,0.10191750526428223
20250723_165412_653,-60,63,63,45.0,10.192404131094492,-92.69726219177247,0.23418331146240234,0.15828847885131836
20250723_165413_047,-59,63,63,45.0,10.362636831429398,-92.62488555908203,0.23099637031555176,0.10188508033752441
20250723_165413_381,-59,NO_RADIO,63,45.0,11.79509815322146,-91.07141189575195,0.15696263313293457,0.15830421447753906
20250723_165413_697,-59,63,63,45.0,11.472593770390489,-91.58406295776368,0.23614978790283203,0.10194635391235352
20250723_165414_037,-58,63,63,45.0,13.077730002365428,-90.0145492553711,0.23258543014526367,0.15836620330810547
20250723_165414_429,-58,63,63,45.0,13.181690920978511,-89.84422302246094,0.22850346565246582,0.10188674926757812
20250723_165414_761,-57,63,63,45.0,13.84665819126323,-89.20238227844239,0.2334117889404297,0.15835022926330566
20250723_165415_154,-57,NO_RADIO,63,45.0,14.167714691352344,-88.80107879638672,0.1573047637939453,0.10194015502929688
20250723_165415_414,-57,NO_RADIO,63,45.0,14.367077856088699,-88.54598236083984,0.16353082656860352,0.15824508666992188
20250723_165415_737,-56,63,63,45.0,14.306496324851167,-88.66229782104493,0.24017024040222168,0.10187792778015137
20250723_165416_081,-56,63,63,45.0,15.333974677466017,-87.69506072998047,0.23153328895568848,0.158372163772583
20250723_165416_472,-56,63,63,45.0,15.659863428575463,-87.35500144958496,0.23303699493408203,0.10194659233093262
20250723_165416_808,-55,63,63,45.0,16.302731095110857,-86.9217643737793,0.23178601264953613,0.15823674201965332
20250723_165417_200,-55,NO_RADIO,63,45.0,16.36673708262512,-86.65113067626953,0.15810132026672363,0.10200166702270508
20250723_165417_461,-55,63,63,45.0,16.19381748420895,-86.92828369140625,0.23737192153930664,0.15832114219665527
20250723_165417_858,-54,63,63,45.0,16.105192156476292,-86.88730506896972,0.23166441917419434,0.10201764106750488
20250723_165418_193,-54,63,63,45.0,17.542006876344715,-85.57539215087891,0.23198556900024414,0.15827631950378418
20250723_165418_585,-54,63,63,45.0,17.60228214046829,-85.54607582092285,0.23326611518859863,0.10211467742919922
20250723_165418_921,-53,63,63,45.0,17.778547653329895,-85.32239532470703,0.23038816452026367,0.15837693214416504
20250723_165419_311,-53,63,63,45.0,17.757816592726527,-85.38740463256836,0.2331390380859375,0.10187816619873047
20250723_165419_648,-53,63,63,45.0,18.114210223659498,-84.9873893737793,0.23035645484924316,0.15824580192565918
20250723_165420_038,-52,63,63,45.0,18.17775631807065,-84.79870719909668,0.23372769355773926,0.10193014144897461
20250723_165420_374,-52,NO_RADIO,63,45.0,18.810652142723654,-84.3532943725586,0.1577754020690918,0.1583704948425293
20250723_165420_692,-52,63,63,45.0,18.773535075112534,-84.32150230407714,0.2363874912261963,0.10200738906860352
20250723_165421_032,-51,63,63,45.0,19.140336523968244,-83.99280319213867,0.23053550720214844,0.15822863578796387
20250723_165421_422,-51,63,63,45.0,19.069120487280344,-84.0036693572998,0.23298907279968262,0.1019437313079834
20250723_165421_758,-50,NO_RADIO,63,45.0,19.271281505960644,-83.8757713317871,0.15991449356079102,0.15834951400756836
20250723_165422_078,-50,NO_RADIO,63,45.0,19.500131332072925,-83.78997993469238,0.16284894943237305,0.10202383995056152
20250723_165422_344,-50,63,63,45.0,19.613053186796392,-83.57259597778321,0.2725551128387451,0.15831828117370605
20250723_165422_776,-50,NO_RADIO,63,45.0,19.702910335485186,-83.44208450317383,0.15924787521362305,0.10243415832519531
20250723_165423_040,-49,NO_RADIO,63,45.0,19.683190326165658,-83.38741989135742,0.1651325225830078,0.15829014778137207
20250723_165423_364,-49,63,63,45.0,19.727283373654487,-83.42927017211915,0.24171042442321777,0.1020653247833252
20250723_165423_709,-48,63,63,45.0,19.682195951453096,-83.40924072265625,0.2317342758178711,0.1583576202392578
20250723_165424_101,-48,NO_RADIO,63,45.0,19.583276835413912,-83.54532623291016,0.15715599060058594,0.10192441940307617
20250723_165424_361,-48,NO_RADIO,63,45.0,19.460070277852992,-83.74052925109864,0.16262078285217285,0.15834331512451172
20250723_165424_683,-48,NO_RADIO,63,45.0,19.46314725813508,-83.66918182373047,0.16352152824401855,0.10194826126098633
20250723_165424_950,-47,NO_RADIO,63,45.0,19.464953078215572,-83.71446228027344,0.165985107421875,0.15839862823486328
20250723_165425_276,-47,63,63,45.0,19.470135357108248,-83.73306465148926,0.24315857887268066,0.10198640823364258
20250723_165425_622,-47,63,63,45.0,19.142553219077186,-84.03179702758788,0.2300710678100586,0.1582794189453125
20250723_165426_012,-46,63,63,45.0,19.261774257629867,-83.86049461364746,0.22954082489013672,0.10197067260742188
20250723_165426_345,-46,63,63,45.0,18.6391862756264,-84.50004577636719,0.23042511940002441,0.15828919410705566
20250723_165426_735,-45,63,63,45.0,18.692933922475007,-84.4771499633789,0.2284088134765625,0.10200262069702148
20250723_165427_067,-45,63,63,45.0,17.90201966570943,-85.17222595214844,0.23235774040222168,0.15832924842834473
20250723_165427_459,-45,63,63,45.0,17.88367033414515,-85.3016357421875,0.23225951194763184,0.10198640823364258
20250723_165427_794,-44,63,63,45.0,17.551056823748482,-85.48587760925294,0.23151659965515137,0.15842509269714355
20250723_165428_186,-44,NO_RADIO,63,45.0,17.385541828601433,-85.43413391113282,0.1564180850982666,0.10198545455932617
20250723_165428_445,-44,63,63,45.0,17.01655680244282,-86.02025604248047,0.23816251754760742,0.1585226058959961
20250723_165428_843,-43,63,63,45.0,17.329121151692434,-85.8642333984375,0.23048949241638184,0.10247468948364258
20250723_165429_178,-43,63,63,45.0,16.335631477853042,-86.6870876312256,0.2328503131866455,0.1584794521331787
20250723_165429_571,-43,63,63,45.0,16.33787792236062,-86.72932586669923,0.23102831840515137,0.10200119018554688
20250723_165429_905,-42,63,63,45.0,14.869757644266528,-88.0118408203125,0.2327408790588379,0.15838932991027832
20250723_165430_297,-42,63,63,45.0,14.863409662727875,-88.16830406188964,0.23247861862182617,0.10187292098999023
20250723_165430_633,-42,62,62,43.5,14.15702025765546,-88.6641616821289,0.23261070251464844,0.15829086303710938
20250723_165431_025,-41,62,62,43.5,14.704674386147516,-88.16730880737305,0.22930121421813965,0.10209059715270996
20250723_165431_358,-41,62,62,43.5,14.02816859169181,-88.8621696472168,0.2320563793182373,0.15847277641296387
20250723_165431_750,-40,61,61,42.1,14.088296045372147,-88.94245147705078,0.23267483711242676,0.10202336311340332
20250723_165432_086,-40,61,61,42.1,14.736848869914354,-88.16830406188964,0.23304152488708496,0.1583118438720703
20250723_165432_479,-40,61,61,42.1,14.928605025936307,-87.99897003173828,0.26214051246643066,0.10185837745666504
20250723_165432_844,-39,61,61,42.1,13.206333192663465,-89.47698974609375,0.23187708854675293,0.15835094451904297
20250723_165433_235,-39,60,60,40.6,12.835202299065159,-90.0145492553711,0.2298591136932373,0.10197329521179199
20250723_165433_568,-39,60,60,40.6,14.683834281307881,-88.09479141235352,0.23006105422973633,0.158280611038208
20250723_165433_958,-38,60,60,40.6,14.769606527606356,-88.12940216064453,0.23390650749206543,0.10195279121398926
20250723_165434_295,-38,60,60,40.6,12.3280824445537,-90.31053924560547,0.22977519035339355,0.15834593772888184
20250723_165434_685,-38,59,59,39.2,12.570436693851946,-90.27783966064453,0.23016047477722168,0.10191822052001953
20250723_165435_018,-37,59,59,39.2,14.135479411726635,-88.83988952636719,0.23278427124023438,0.15829896926879883
20250723_165435_410,-37,59,59,39.2,14.214604717231282,-88.6641616821289,0.22906017303466797,0.10197758674621582
20250723_165435_743,-36,58,58,37.7,15.00191573437445,-87.91625213623047,0.23060917854309082,0.15828156471252441
20250723_165436_133,-36,58,58,37.7,14.474621901581017,-88.48088836669922,0.23252034187316895,0.10202193260192871
20250723_165436_469,-36,58,58,37.7,14.287424440781521,-88.50646934509278,0.2305305004119873,0.15889668464660645
20250723_165436_860,-35,58,58,37.7,14.105603802925629,-88.69384460449218,0.23015522956848145,0.10197186470031738
20250723_165437_193,-35,58,58,37.7,12.222802433587447,-90.90333480834961,0.2291862964630127,0.15831351280212402
20250723_165437_582,-35,57,57,36.3,12.097670560169988,-90.78394317626953,0.2614104747772217,0.10188746452331543
20250723_165437_946,-34,57,57,36.3,11.26510936946299,-91.64461517333984,0.23325037956237793,0.15829801559448242
20250723_165438_339,-34,57,57,36.3,11.043711659395626,-91.6275562286377,0.23203492164611816,0.10198402404785156
20250723_165438_675,-33,56,56,34.8,15.774362539881835,-87.0896541595459,0.23172640800476074,0.15837597846984863
20250723_165439_066,-33,56,56,34.8,14.983404230908945,-87.9925537109375,0.22997760772705078,0.10199785232543945
20250723_165439_399,-33,56,56,34.8,14.196787886568728,-88.69422149658203,0.23026609420776367,0.15834546089172363
20250723_165439_789,-32,56,56,34.8,14.117831974136266,-88.7779541015625,0.2342238426208496,0.10196900367736816
20250723_165440_127,-32,56,56,34.8,12.308830321071312,-90.39894104003906,0.23450040817260742,0.1583406925201416
20250723_165440_521,-32,55,55,33.4,12.2145609420417,-90.67255249023438,0.22933125495910645,0.10191583633422852
20250723_165440_853,-31,55,55,33.4,13.155855983733133,-89.74706268310547,0.2340409755706787,0.1583240032196045
20250723_165441_247,-31,55,55,33.4,12.873912731538155,-89.76631164550781,0.23462986946105957,0.10201287269592285
20250723_165441_585,-31,54,54,31.9,14.51091037413994,-88.4196258544922,0.23307466506958008,0.15832972526550293
20250723_165441_978,-30,54,54,31.9,14.412055004881466,-88.6641616821289,0.2341625690460205,0.1018364429473877
20250723_165442_315,-30,54,54,31.9,12.08257839458092,-90.73542022705078,0.233994722366333,0.1583089828491211
20250723_165442_709,-29,54,54,31.9,11.895573398337717,-90.67550659179688,0.26241517066955566,0.10194706916809082
20250723_165443_074,-29,54,54,31.9,8.966994819752898,-93.62672424316406,0.23528027534484863,0.15826916694641113
20250723_165443_469,-29,54,54,31.9,7.764290771307685,-94.96146011352539,0.23349475860595703,0.10192108154296875
20250723_165443_806,-28,53,53,30.5,11.041525464074951,-91.80602798461915,0.23485684394836426,0.1583728790283203
20250723_165444_200,-28,53,53,30.5,11.113305503519044,-91.70376129150391,0.23351812362670898,0.10194706916809082
20250723_165444_537,-28,52,52,29.0,16.048986186422397,-86.86843872070312,0.23299670219421387,0.158491849899292
20250723_165444_930,-27,52,52,29.0,15.796392506598181,-87.1550064086914,0.23154020309448242,0.10192656517028809
