Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250723_170648_988,-40,NO_RADIO,63,45.0,12.266356241874805,-90.673140335083,0.1565604209899902,0.1583595275878906
20250723_170649_642,-39,63,63,45.0,10.628427587996256,-91.99850769042968,0.2304668426513672,0.1584079265594482
20250723_170650_032,-38,63,63,45.0,10.567062346224418,-92.40239715576172,0.2316570281982422,0.1019048690795898
20250723_170650_367,-37,NO_RADIO,63,45.0,8.595267425535667,-93.99395751953124,0.1561570167541504,0.1583638191223144
20250723_170651_022,-36,61,61,42.1,9.707746007738294,-93.180908203125,0.2299950122833252,0.1583545207977295
20250723_170651_412,-35,60,60,40.6,9.743939757587754,-93.24172554016114,0.2292060852050781,0.1019787788391113
20250723_170652_167,-34,60,60,40.6,9.22035329769065,-93.37588500976562,0.2297642230987548,0.1019625663757324
20250723_170652_500,-33,59,59,39.2,9.30579718022355,-93.44174880981446,0.2298588752746582,0.1583521366119384
20250723_170653_223,-32,58,58,37.7,7.57977569135582,-95.15899658203124,0.2304117679595947,0.1583013534545898
20250723_170653_613,-31,58,58,37.7,7.583045681655278,-95.32933807373048,0.2293157577514648,0.1019568443298339
20250723_170653_946,-30,58,58,37.7,7.450858671169954,-95.4295696258545,0.2300722599029541,0.1585009098052978
20250723_170654_671,-29,56,56,34.8,7.074633069220951,-95.76765441894533,0.2311270236968994,0.1589951515197754
20250723_170655_064,-28,56,56,34.8,6.723216255770225,-95.9241714477539,0.232637882232666,0.102018117904663
20250723_170655_399,-27,56,56,34.8,6.731003876662953,-96.25521850585938,0.2318613529205322,0.158405065536499
20250723_170656_123,-26,54,54,31.9,6.6350541961138845,-96.25521850585938,0.23191499710083,0.1583559513092041
20250723_170656_515,-25,54,54,31.9,6.640933627370359,-96.29843139648438,0.2315874099731445,0.1020567417144775
20250723_170657_239,-24,53,53,30.5,6.315524354946945,-96.25521850585938,0.2325682640075683,0.102015733718872
20250723_170657_575,-23,52,52,29.0,9.666712602152884,-93.11367645263672,0.2297554016113281,0.1583092212677002
20250723_170657_965,-22,52,52,29.0,9.476644415599509,-93.24492645263672,0.2313911914825439,0.1019887924194336
20250723_170658_691,-21,51,51,27.6,9.230730328146834,-93.74451713562011,0.2305750846862793,0.101975679397583
20250723_170659_025,-20,50,50,26.1,8.25715852349984,-94.59581756591795,0.2301483154296875,0.1582419872283935
20250723_170659_415,-19,50,50,26.1,8.298097571237733,-94.59435501098632,0.2310938835144043,0.1019032001495361
20250723_170700_139,-18,49,49,24.7,8.146108702707451,-94.59581756591795,0.2295386791229248,0.1020147800445556
20250723_170700_472,-17,49,49,24.7,7.115457472603936,-95.6165771484375,0.2286338806152343,0.158440351486206
20250723_170700_861,-16,48,48,23.2,7.170109877672331,-95.43484497070312,0.2306892871856689,0.1019766330718994
20250723_170701_588,-15,47,47,21.8,7.625931275733038,-95.15899658203124,0.2327001094818115,0.1020026206970214
20250723_170701_923,-14,47,47,21.8,7.120202847775715,-95.76765441894533,0.2611639499664306,0.1584103107452392
20250723_170702_679,-13,45,45,18.9,9.477943228265971,-93.11781311035156,0.2294535636901855,0.1584312915802002
20250723_170703_068,-12,45,45,18.9,9.676399500350756,-92.91387939453124,0.2305216789245605,0.1020035743713378
20250723_170703_792,-11,44,44,17.4,7.63012791330901,-95.32933807373048,0.2298219203948974,0.1019346714019775
20250723_170704_125,-10,43,43,16.0,8.498738044253031,-94.3353370666504,0.229804515838623,0.1583316326141357
20250723_170704_514,-9,43,43,16.0,8.606061112931613,-94.0195770263672,0.2311065196990966,0.1020455360412597
20250723_170705_239,-8,42,42,14.5,9.252493223940547,-93.62672424316406,0.2313349246978759,0.1019484996795654
20250723_170705_574,-7,41,41,13.1,7.554294643475046,-95.15899658203124,0.2303276062011718,0.1582920551300048
20250723_170705_964,-6,41,41,13.1,8.01810048260215,-94.68475341796876,0.2313952445983886,0.1020050048828125
20250723_170706_691,-5,39,39,10.2,8.501122747620002,-94.33944702148438,0.2308881282806396,0.102046251296997
20250723_170707_026,-4,39,39,10.2,10.18948896937222,-92.77661895751952,0.2595233917236328,0.1584064960479736
20250723_170707_445,-3,39,39,10.2,10.136951679450933,-92.7756561279297,0.2313361167907714,0.1019518375396728
20250723_170707_779,-2,38,38,8.7,8.774641717677156,-93.91798400878906,0.2306869029998779,0.1584091186523437
20250723_170708_504,-1,37,37,7.3,10.13091278157873,-92.75736236572266,0.2288727760314941,0.1584141254425048
20250723_170709_229,0,36,36,5.8,7.797747436682329,-94.96305084228516,0.2310242652893066,0.1583125591278076
20250723_170709_619,1,35,35,4.4,7.798788340675216,-94.71480560302734,0.2299113273620605,0.1020731925964355
20250723_170709_953,2,35,35,4.4,7.492987781970697,-95.6165771484375,0.2307255268096923,0.1583971977233886
20250723_170710_343,3,35,35,4.4,7.624224715142844,-95.15899658203124,0.2286815643310547,0.1019825935363769
20250723_170711_066,4,33,33,1.5,8.760029299998209,-93.99395751953124,0.2321686744689941,0.1020019054412841
20250723_170711_401,5,33,33,1.5,6.713465125776096,-96.12810516357422,0.2317583560943603,0.1583902835845947
20250723_170712_127,6,32,32,0.0,9.336250838003023,-93.28813934326172,0.2610750198364258,0.1583576202392578
20250723_170712_548,7,31,31,-1.5,9.334999856817149,-93.37588500976562,0.2320344448089599,0.10191011428833
20250723_170712_883,8,31,31,-1.5,6.768149214301701,-96.04537200927734,0.2318232059478759,0.1583168506622314
20250723_170713_612,9,30,30,-2.9,8.454846300482899,-94.56081428527833,0.2313580513000488,0.158337116241455
20250723_170714_003,10,30,30,-2.9,7.882769989942929,-94.68475341796876,0.228661298751831,0.1020591259002685
20250723_170714_727,11,28,28,-5.8,8.996329699226223,-93.62672424316406,0.2365663051605224,0.1020038127899169
20250723_170715_066,12,28,28,-5.8,8.698667637183078,-93.99395751953124,0.2307853698730468,0.1583499908447265
20250723_170715_457,13,28,28,-5.8,8.595154135052923,-94.1500015258789,0.2304692268371582,0.1019489765167236
20250723_170715_790,14,27,27,-7.3,8.956816868384891,-93.62672424316406,0.2301044464111328,0.1583733558654785
20250723_170716_517,15,27,27,-7.3,7.87454832655331,-94.68475341796876,0.2320971488952636,0.1583225727081298
20250723_170716_908,16,25,25,-10.2,8.148258213327168,-94.68475341796876,0.2332663536071777,0.1020882129669189
20250723_170717_641,17,24,24,-11.6,7.162634826292916,-95.43484497070312,0.2335994243621826,0.1019110679626464
20250723_170717_977,18,24,24,-11.6,9.926230266014612,-92.85452270507812,0.2327728271484375,0.1586833000183105
20250723_170718_370,19,24,24,-11.6,9.46441094053921,-93.11781311035156,0.234959602355957,0.1020464897155761
20250723_170719_102,20,22,22,-14.5,8.776852942361629,-93.74571990966795,0.2324678897857666,0.1020634174346923
20250723_170719_438,21,22,22,-14.5,8.58927151422185,-94.1500015258789,0.2331721782684326,0.158414602279663
20250723_170719_831,22,22,22,-14.5,8.478901106797025,-94.45152282714844,0.2298901081085205,0.1019904613494873
20250723_170720_560,23,20,20,-17.4,8.762168059619867,-93.99395751953124,0.2350773811340332,0.1019282341003418
20250723_170720_898,24,20,20,-17.4,6.919897411069513,-95.6538543701172,0.2360546588897705,0.1583154201507568
20250723_170721_293,25,19,19,-18.9,7.122028570967672,-95.6538543701172,0.234114408493042,0.101886510848999
20250723_170722_024,26,19,19,-18.9,10.63621870853521,-92.06598663330078,0.2331981658935547,0.1020143032073974
20250723_170722_361,27,18,18,-20.3,8.305069955286541,-94.25455017089844,0.2370462417602539,0.1584753990173339
20250723_170723_097,28,17,17,-21.8,8.153627970402724,-94.56081428527833,0.2368035316467285,0.1584584712982177
20250723_170723_494,29,16,16,-23.2,7.666906252636224,-94.68475341796876,0.2357475757598877,0.1021106243133544
20250723_170723_833,30,16,16,-23.2,9.23700378028994,-93.62672424316406,0.2371101379394531,0.1587235927581787
20250723_170724_494,31,15,15,-24.7,9.354453722520503,-93.37477989196778,0.2402465343475341,0.1583833694458007
20250723_170724_894,32,15,15,-24.7,9.326629288932352,-93.3537826538086,0.2349302768707275,0.1020178794860839
20250723_170725_232,33,14,14,-26.1,8.763478277228543,-93.99395751953124,0.2363297939300537,0.1591629981994629
20250723_170725_967,34,NO_RADIO,13,-27.6,8.268462769014576,-94.59581756591795,0.1589968204498291,0.1582815647125244
