Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250723_155458_842,-40,63,63,45.0,13.415157661867852,-88.96486930847168,0.2269277572631836,0.1019322872161865
20250723_155459_172,-40,NO_RADIO,63,45.0,11.93712807320854,-90.30890426635744,0.1567254066467285,0.1586635112762451
20250723_155459_489,-39,63,63,45.0,12.058054220810902,-90.34347534179688,0.2367353439331054,0.1020500659942627
20250723_155459_829,-38,NO_RADIO,63,45.0,9.821063224959858,-92.14871215820312,0.1569015979766845,0.1583402156829834
20250723_155500_146,-38,62,62,43.5,9.997761792330351,-92.14871215820312,0.2372622489929199,0.1018881797790527
20250723_155500_486,-37,63,63,45.0,8.660946194650194,-93.17775344848631,0.2322211265563964,0.1582801342010498
20250723_155500_878,-36,61,61,42.1,8.956361461398672,-93.03507995605467,0.2318212985992431,0.1020021438598632
20250723_155501_213,-35,61,61,42.1,9.850979138208714,-92.14871215820312,0.2315399646759033,0.1583988666534423
20250723_155501_604,-35,NO_RADIO,61,42.1,9.576222197420703,-92.42454528808594,0.1567130088806152,0.1019008159637451
20250723_155501_864,-34,60,60,40.6,9.413502086851338,-92.75736236572266,0.2690470218658447,0.1582491397857666
20250723_155502_293,-34,NO_RADIO,60,40.6,9.771486257848949,-92.21604919433594,0.154287576675415,0.1019487380981445
20250723_155502_551,-33,59,59,39.2,9.465944657091685,-92.62395515441897,0.2347133159637451,0.1584377288818359
20250723_155502_945,-32,58,58,37.7,9.478376028162812,-92.64356231689452,0.2297546863555908,0.1019787788391113
20250723_155503_278,-31,58,58,37.7,7.732396262366436,-94.33944702148438,0.2313990592956543,0.1583960056304931
20250723_155503_669,-31,NO_RADIO,58,37.7,7.720525346606905,-94.44591903686523,0.1561944484710693,0.101933479309082
20250723_155503_929,-30,57,57,36.3,7.72308868371293,-94.45152282714844,0.2305920124053955,0.158226728439331
20250723_155504_319,-29,56,56,34.8,7.722195917474579,-94.59581756591795,0.2288119792938232,0.1019783020019531
20250723_155504_651,-29,56,56,34.8,6.810004829940752,-95.32933807373048,0.2328367233276367,0.1582822799682617
20250723_155505_043,-28,56,56,34.8,6.772390342912686,-95.15899658203124,0.2327232360839843,0.1019890308380127
20250723_155505_379,-27,55,55,33.4,6.912041581080786,-95.32933807373048,0.2307784557342529,0.1582727432250976
20250723_155505_770,-26,55,55,33.4,6.96329973297793,-95.15899658203124,0.230015754699707,0.101968765258789
20250723_155506_103,-26,54,54,31.9,7.093035751691019,-94.96305084228516,0.2317047119140625,0.1583514213562011
20250723_155506_494,-25,53,53,30.5,6.8350974436564655,-95.43484497070312,0.2299494743347168,0.1019878387451171
20250723_155506_827,-24,53,53,30.5,6.794188951935581,-95.32933807373048,0.2368378639221191,0.1583621501922607
20250723_155507_224,-24,53,53,30.5,6.431423682008457,-95.6165771484375,0.2325489521026611,0.1019618511199951
20250723_155507_560,-23,52,52,29.0,9.612034767881012,-92.42454528808594,0.2394523620605468,0.1583039760589599
20250723_155507_959,-22,52,52,29.0,9.33731501439307,-92.60627746582033,0.2325520515441894,0.1019444465637207
20250723_155508_294,-21,52,52,29.0,8.791588437297662,-93.28813934326172,0.2327160835266113,0.158189058303833
20250723_155508_687,-21,51,51,27.6,8.906152171996155,-93.11781311035156,0.2307615280151367,0.1019988059997558
20250723_155509_021,-20,50,50,26.1,8.084656670421126,-93.91798400878906,0.2295389175415039,0.1583189964294433
20250723_155509_410,-19,50,50,26.1,8.090435931549976,-94.14348030090332,0.2303569316864013,0.1019473075866699
20250723_155509_743,-18,49,49,24.7,8.28117999568525,-93.99395751953124,0.23052978515625,0.1582999229431152
20250723_155510_134,-18,49,49,24.7,7.629713064562054,-94.45152282714844,0.2338700294494629,0.1020748615264892
20250723_155510_471,-17,48,48,23.2,8.01563936628952,-94.14348030090332,0.2308664321899414,0.1587023735046386
20250723_155510_862,-16,48,48,23.2,8.083415831665818,-93.99395751953124,0.2330234050750732,0.1020634174346923
20250723_155511_199,-15,47,47,21.8,8.009016691590887,-94.14348030090332,0.2303900718688964,0.1585066318511963
20250723_155511_589,-15,46,46,20.3,7.7988025267884495,-94.25724792480467,0.2330977916717529,0.1021709442138671
20250723_155511_926,-14,47,47,21.8,7.186094816981409,-94.68475341796876,0.2600941658020019,0.1582753658294677
20250723_155512_345,-13,46,46,20.3,7.108303701504084,-94.68475341796876,0.2305452823638916,0.1019272804260253
20250723_155512_679,-13,45,45,18.9,10.05164281469206,-91.9527587890625,0.2320146560668945,0.1585023403167724
20250723_155513_071,-12,44,44,17.4,9.623453593622529,-92.1965919494629,0.2316527366638183,0.1020963191986084
20250723_155513_406,-11,44,44,17.4,8.00396434669753,-94.0195770263672,0.2300093173980713,0.1583704948425293
20250723_155513_796,-10,44,44,17.4,8.066866141521814,-93.99395751953124,0.230809211730957,0.1020491123199462
20250723_155514_130,-10,43,43,16.0,8.5353879756386,-93.42042541503906,0.2303454875946045,0.1583271026611328
20250723_155514_520,-9,43,43,16.0,8.53152149083678,-93.42042541503906,0.2305471897125244,0.1019136905670166
20250723_155514_854,-8,42,42,14.5,9.201596682203444,-92.85452270507812,0.229823350906372,0.1584174633026123
20250723_155515_243,-7,42,42,14.5,9.228648172904885,-92.8506275177002,0.2329938411712646,0.1019287109375
20250723_155515_579,-7,41,41,13.1,7.8951452365140256,-94.0195770263672,0.2304310798645019,0.1583075523376464
20250723_155515_969,-6,41,41,13.1,7.750193497500476,-94.59581756591795,0.2299749851226806,0.1020176410675048
20250723_155516_303,-5,40,40,11.6,8.537005973234415,-93.37588500976562,0.2293357849121093,0.1583607196807861
20250723_155516_692,-5,39,39,10.2,8.533616821152947,-93.72166442871094,0.2321810722351074,0.1019887924194336
20250723_155517_027,-4,39,39,10.2,10.300339615693105,-91.62976837158205,0.2611360549926758,0.1582984924316406
20250723_155517_448,-3,39,39,10.2,10.101024852984466,-91.81137084960938,0.2324411869049072,0.1019654273986816
20250723_155517_783,-2,38,38,8.7,8.567116472066232,-93.42042541503906,0.2307078838348388,0.1583249568939209
20250723_155518_174,-2,38,38,8.7,8.57207620428818,-93.28597869873047,0.2301142215728759,0.1019482612609863
20250723_155518_507,-1,37,37,7.3,9.985185212129622,-91.9527587890625,0.2316138744354248,0.1583073139190673
20250723_155518_898,0,37,37,7.3,9.92827301864014,-92.1965919494629,0.2307937145233154,0.1019661426544189
20250723_155519_232,1,36,36,5.8,7.780220787677464,-94.45152282714844,0.2317733764648437,0.1584193706512451
20250723_155519_624,1,35,35,4.4,7.447392396256959,-94.56656646728516,0.2301273345947265,0.1019177436828613
20250723_155519_957,2,35,35,4.4,7.558128061062263,-94.56081428527833,0.2317502498626709,0.1583075523376464
20250723_155520_348,3,35,35,4.4,7.28366225134323,-94.68475341796876,0.2301743030548095,0.1018946170806884
20250723_155520_682,3,34,34,2.9,8.526452959645383,-93.62672424316406,0.2324371337890625,0.1583726406097412
