Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250713_195120_271,-90,NO_RADIO,32,0,7.183239135742156,-95.76765441894531,-95.76765441894531,0.1148228645324707,0.1649467945098877,32,,,,CenterFallback,1,,,[]
20250713_195120_554,-90,NO_RADIO,32,0,6.926787724488051,-96.29843139648438,-96.29843139648438,0.10012149810791016,0.16224050521850586,32,,,,CenterFallback,1,,,[]
20250713_195120_818,-90,NO_RADIO,32,0,7.3335525197767595,-96.25521850585938,-96.25521850585938,0.09194326400756836,0.10663962364196777,32,,,,CenterFallback,1,,,[]
20250713_195121_018,-90,NO_RADIO,32,0,6.924203518976071,-96.29627075195313,-96.29627075195313,0.08406448364257812,0.16745805740356445,32,,,,CenterFallback,1,,,[]
20250713_195121_270,-90,NO_RADIO,32,0,6.916678768152181,-96.75601196289062,-96.75601196289062,0.07048511505126953,0.11809754371643066,32,,,,CenterFallback,1,,,[]
20250713_195121_460,-90,NO_RADIO,32,0,6.955871831513406,-96.29843139648438,-96.29843139648438,0.07275986671447754,0.16581296920776367,32,,,,CenterFallback,1,,,[]
20250713_195121_700,-90,NO_RADIO,32,0,7.037992010339067,-96.25521850585938,-96.25521850585938,0.07744812965393066,0.11152529716491699,32,,,,CenterFallback,1,,,[]
20250713_195121_890,-90,NO_RADIO,32,0,7.439628257881552,-96.04537200927734,-96.04537200927734,0.07558417320251465,0.16159939765930176,32,,,,CenterFallback,1,,,[]
20250713_195122_128,-90,NO_RADIO,32,0,6.98656078076003,-96.43071746826172,-96.43071746826172,0.07743024826049805,0.13316082954406738,32,,,,CenterFallback,1,,,[]
20250713_195122_340,-90,NO_RADIO,32,0,6.981518627781298,-96.12810516357422,-96.12810516357422,0.07785463333129883,0.16501855850219727,32,,,,CenterFallback,1,,,[]
20250713_195122_584,-90,NO_RADIO,32,0,7.581003659586656,-96.12810516357422,-96.12810516357422,0.07649064064025879,0.1078803539276123,32,,,,CenterFallback,1,,,[]
20250713_195122_769,-90,NO_RADIO,32,0,7.3502684595468395,-96.25521850585938,-96.25521850585938,0.07666206359863281,0.16666626930236816,32,,,,CenterFallback,1,,,[]
20250713_195123_014,-90,NO_RADIO,32,0,7.306800432147966,-96.29843139648438,-96.29843139648438,0.07769918441772461,0.10923433303833008,32,,,,CenterFallback,1,,,[]
20250713_195123_202,-90,NO_RADIO,32,0,6.621972841900373,-96.80453491210938,-96.80453491210938,0.07802176475524902,0.165024995803833,32,,,,CenterFallback,1,,,[]
20250713_195123_446,-90,NO_RADIO,32,0,7.3013810160524315,-96.29627075195313,-96.29627075195313,0.07799363136291504,0.10825920104980469,32,,,,CenterFallback,1,,,[]
20250713_195123_633,-90,NO_RADIO,32,0,6.939441938218081,-96.25521850585938,-96.25521850585938,0.07725763320922852,0.16603493690490723,32,,,,CenterFallback,1,,,[]
20250713_195123_878,-90,NO_RADIO,32,0,6.872352569607344,-96.29843139648438,-96.29843139648438,0.0676727294921875,0.2693321704864502,32,,,,CenterFallback,1,,,[]
20250713_195124_216,-90,NO_RADIO,32,0,6.947338416127138,-96.43071746826172,-96.43071746826172,0.0734248161315918,0.32004451751708984,32,,,,CenterFallback,1,,,[]
20250713_195124_610,-90,NO_RADIO,32,0,6.944499542125186,-96.12810516357422,-96.12810516357422,0.07739472389221191,0.12230682373046875,32,,,,CenterFallback,1,,,[]
20250713_195124_811,-90,NO_RADIO,32,0,6.970076346612672,-96.12810516357422,-96.12810516357422,0.07655692100524902,0.18719744682312012,32,,,,CenterFallback,1,,,[]
20250713_195125_076,-90,NO_RADIO,32,0,6.9877223640758075,-96.29843139648438,-96.29843139648438,0.07692718505859375,0.10735607147216797,32,,,,CenterFallback,1,,,[]
20250713_195125_262,-90,NO_RADIO,32,0,7.275364176591324,-96.12810516357422,-96.12810516357422,0.08067917823791504,0.17226839065551758,32,,,,CenterFallback,1,,,[]
20250713_195125_516,-90,NO_RADIO,32,0,6.959840250879054,-96.25521850585938,-96.25521850585938,0.07892179489135742,0.12395834922790527,32,,,,CenterFallback,1,,,[]
20250713_195125_720,-90,NO_RADIO,32,0,7.391553001446354,-95.9241714477539,-95.9241714477539,0.0769186019897461,0.16413593292236328,32,,,,CenterFallback,1,,,[]
20250713_195125_962,-90,NO_RADIO,32,0,7.287083776718575,-96.25521850585938,-96.25521850585938,0.07810854911804199,0.12830114364624023,32,,,,CenterFallback,1,,,[]
20250713_195126_169,-90,NO_RADIO,32,0,6.94478220901091,-96.29843139648438,-96.29843139648438,0.07722306251525879,0.16419529914855957,32,,,,CenterFallback,1,,,[]
20250713_195126_412,-90,NO_RADIO,32,0,6.948105830651002,-96.29843139648438,-96.29843139648438,0.07808923721313477,0.11010384559631348,32,,,,CenterFallback,1,,,[]
20250713_195126_601,-90,NO_RADIO,32,0,6.947610584943391,-96.25521850585938,-96.25521850585938,0.07619547843933105,0.20912671089172363,32,,,,CenterFallback,1,,,[]
20250713_195126_888,-90,NO_RADIO,32,0,7.333717757336402,-96.12810516357422,-96.12810516357422,0.0750126838684082,0.10544729232788086,32,,,,CenterFallback,1,,,[]
20250713_195127_069,-90,NO_RADIO,32,0,7.274703932595443,-96.24886283874513,-96.24886283874513,0.07716560363769531,0.16601800918579102,32,,,,CenterFallback,1,,,[]
20250713_195127_313,-90,NO_RADIO,32,0,6.9281051737984995,-96.25521850585938,-96.25521850585938,0.07325339317321777,0.10736417770385742,32,,,,CenterFallback,1,,,[]
20250713_195127_495,-90,NO_RADIO,32,0,7.378450012668651,-96.12810516357422,-96.12810516357422,0.07454895973205566,0.18265986442565918,32,,,,CenterFallback,1,,,[]
20250713_195127_754,-90,NO_RADIO,32,0,6.926379015757178,-96.38617706298828,-96.38617706298828,0.07518148422241211,0.11975812911987305,32,,,,CenterFallback,1,,,[]
20250713_195127_950,-90,NO_RADIO,32,0,7.2732433946018915,-96.25521850585938,-96.25521850585938,0.07532763481140137,0.2193903923034668,32,,,,CenterFallback,1,,,[]
20250713_195128_245,-90,NO_RADIO,32,0,7.322466185182009,-96.12810516357422,-96.12810516357422,0.0778346061706543,0.1466524600982666,32,,,,CenterFallback,1,,,[]
20250713_195128_471,-90,NO_RADIO,32,0,7.523174833517118,-95.9241714477539,-95.9241714477539,0.07975602149963379,0.17390966415405273,32,,,,CenterFallback,1,,,[]
