Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250713_202419_757,-90,NO_RADIO,32,0,6.7712412261963095,-96.24886283874513,-96.24886283874513,0.10937047004699707,0.12323760986328125,32,,,,CenterFallback,1,,,[]
20250713_202419_993,-90,NO_RADIO,32,0,6.669507678636677,-97.00424194335938,-97.00424194335938,0.09640002250671387,0.20733976364135742,32,,,,CenterFallback,1,,,[]
20250713_202420_298,-90,NO_RADIO,32,0,7.160638465339048,-96.29843139648438,-96.29843139648438,0.08426856994628906,0.10749673843383789,32,,,,CenterFallback,1,,,[]
20250713_202420_491,-90,NO_RADIO,32,0,6.75916149515605,-96.43071746826172,-96.43071746826172,0.07906985282897949,0.1949763298034668,32,,,,CenterFallback,1,,,[]
20250713_202420_766,-90,NO_RADIO,32,0,6.839905905511301,-96.29843139648438,-96.29843139648438,0.06706118583679199,0.10508847236633301,32,,,,CenterFallback,1,,,[]
20250713_202420_940,-90,NO_RADIO,32,0,7.149966813646088,-96.43071746826172,-96.43071746826172,0.0694582462310791,0.32174181938171387,32,,,,CenterFallback,1,,,[]
20250713_202421_332,-90,NO_RADIO,32,0,6.490390182420356,-96.75601196289062,-96.75601196289062,0.0742654800415039,0.11841678619384766,32,,,,CenterFallback,1,,,[]
20250713_202421_526,-90,NO_RADIO,32,0,6.822492831486571,-96.3817897796631,-96.3817897796631,0.07484126091003418,0.16309881210327148,32,,,,CenterFallback,1,,,[]
20250713_202421_765,-90,NO_RADIO,32,0,6.5424882016310875,-97.00424194335938,-97.00424194335938,0.07776212692260742,0.10831546783447266,32,,,,CenterFallback,1,,,[]
20250713_202421_952,-90,NO_RADIO,32,0,6.841922792407146,-96.75601196289062,-96.75601196289062,0.07540655136108398,0.16282033920288086,32,,,,CenterFallback,1,,,[]
20250713_202422_192,-90,NO_RADIO,32,0,6.788970521860733,-96.43071746826172,-96.43071746826172,0.07618260383605957,0.12576556205749512,32,,,,CenterFallback,1,,,[]
20250713_202422_395,-90,NO_RADIO,32,0,6.900117444109611,-96.43071746826172,-96.43071746826172,0.07662749290466309,0.16376376152038574,32,,,,CenterFallback,1,,,[]
20250713_202422_636,-90,NO_RADIO,32,0,6.904680310174271,-96.29627075195313,-96.29627075195313,0.07677936553955078,0.10765528678894043,32,,,,CenterFallback,1,,,[]
20250713_202422_822,-90,NO_RADIO,32,0,7.245054145233979,-96.25521850585938,-96.25521850585938,0.0800621509552002,0.1648731231689453,32,,,,CenterFallback,1,,,[]
20250713_202423_068,-90,NO_RADIO,32,0,7.284817280463201,-96.25521850585938,-96.25521850585938,0.09136199951171875,0.1072835922241211,32,,,,CenterFallback,1,,,[]
20250713_202423_268,-90,NO_RADIO,32,0,6.841565696603354,-96.3817897796631,-96.3817897796631,0.0797269344329834,0.1640005111694336,32,,,,CenterFallback,1,,,[]
20250713_202423_513,-90,NO_RADIO,32,0,7.242784994583047,-96.29627075195313,-96.29627075195313,0.07607173919677734,0.1223154067993164,32,,,,CenterFallback,1,,,[]
20250713_202423_712,-90,13,13,-27.6,16.78165399054396,-85.61621360778808,-85.61621360778808,0.11200284957885742,0.4712681770324707,13,13,13,27.6,NeighborSearch,1,17.91074487131843,0,[0]
20250713_202424_297,-90,NO_RADIO,13,-27.6,18.132592822828116,-85.32135734558105,-85.32135734558105,0.06898331642150879,0.10552191734313965,13,,,,CenterFallback,1,,,[0]
20250713_202424_473,-90,NO_RADIO,13,-27.6,19.10421619317988,-84.39750595092774,-84.39750595092774,0.07467031478881836,0.16297101974487305,13,,,,CenterFallback,1,,,[0]
20250713_202424_711,-90,NO_RADIO,13,-27.6,18.43872784942758,-85.07627868652344,-85.07627868652344,0.10165238380432129,0.10580682754516602,13,,,,CenterFallback,1,,,[0]
20250713_202424_920,-90,NO_RADIO,13,-27.6,20.854689239312037,-82.7091049194336,-82.7091049194336,0.08198761940002441,0.16369867324829102,13,,,,CenterFallback,1,,,[0]
