Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250714_073114_538,-90,NO_RADIO,32,0,7.190087432861333,-96.29843139648438,-96.29843139648438,0.10463142395019531,0.20634055137634277,32,,,,CenterFallback,1,,,[]
20250714_073114_852,-90,NO_RADIO,32,0,7.389884802462859,-96.12810516357422,-96.12810516357422,0.10022330284118652,0.17238163948059082,32,,,,CenterFallback,1,,,[]
20250714_073115_126,-90,NO_RADIO,32,0,7.010089241876216,-96.29843139648438,-96.29843139648438,0.08335518836975098,0.20919108390808105,32,,,,CenterFallback,1,,,[]
20250714_073115_420,-90,NO_RADIO,32,0,6.973507211860877,-96.29843139648438,-96.29843139648438,0.07190990447998047,0.16933250427246094,32,,,,CenterFallback,1,,,[]
20250714_073115_662,-90,NO_RADIO,32,0,7.360312763179991,-96.04537200927734,-96.04537200927734,0.0769655704498291,0.10744261741638184,32,,,,CenterFallback,1,,,[]
20250714_073115_848,-90,NO_RADIO,32,0,6.929861461731292,-96.25521850585938,-96.25521850585938,0.07945942878723145,0.2718009948730469,32,,,,CenterFallback,1,,,[]
20250714_073116_200,-90,NO_RADIO,32,0,6.8183485322345945,-96.43071746826172,-96.43071746826172,0.07923316955566406,0.1513369083404541,32,,,,CenterFallback,1,,,[]
20250714_073116_432,-90,NO_RADIO,32,0,7.355234802352413,-95.9241714477539,-95.9241714477539,0.075653076171875,0.43143248558044434,32,,,,CenterFallback,1,,,[]
20250714_073116_940,-90,NO_RADIO,32,0,7.299172836032952,-96.29843139648438,-96.29843139648438,0.07490730285644531,0.1394646167755127,32,,,,CenterFallback,1,,,[]
20250714_073117_156,-90,NO_RADIO,32,0,6.6247765340784355,-96.75601196289062,-96.75601196289062,0.07241296768188477,0.16504859924316406,32,,,,CenterFallback,1,,,[]
20250714_073117_394,-90,NO_RADIO,32,0,7.417567850108014,-95.9241714477539,-95.9241714477539,0.07347750663757324,0.11131048202514648,32,,,,CenterFallback,1,,,[]
20250714_073117_580,-90,NO_RADIO,32,0,6.89981621504603,-96.43071746826172,-96.43071746826172,0.07511353492736816,0.2538924217224121,32,,,,CenterFallback,1,,,[]
20250714_073117_910,-90,NO_RADIO,32,0,7.356018985642436,-96.25521850585938,-96.25521850585938,0.07672977447509766,0.14375662803649902,32,,,,CenterFallback,1,,,[]
20250714_073118_132,-90,NO_RADIO,32,0,7.294073776351468,-96.12810516357422,-96.12810516357422,0.07512450218200684,0.17211341857910156,32,,,,CenterFallback,1,,,[]
