Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250714_074342_315,-90,NO_RADIO,32,0,7.026173477172847,-96.29843139648438,-96.29843139648438,0.10527324676513672,0.46152424812316895,32,,,,CenterFallback,1,,,[]
20250714_074342_885,-90,NO_RADIO,32,0,7.224315847405066,-96.04537200927734,-96.04537200927734,0.09435439109802246,0.24409079551696777,32,,,,CenterFallback,1,,,[]
20250714_074343_225,-90,NO_RADIO,32,0,7.166229613366511,-96.29843139648438,-96.29843139648438,0.08767437934875488,0.2750363349914551,32,,,,CenterFallback,1,,,[]
20250714_074343_588,-90,NO_RADIO,32,0,6.778588216362948,-96.29843139648438,-96.29843139648438,0.08466482162475586,0.31638097763061523,32,,,,CenterFallback,1,,,[]
20250714_074343_991,-90,NO_RADIO,32,0,6.824036559491418,-96.29843139648438,-96.29843139648438,0.08946657180786133,0.12102842330932617,32,,,,CenterFallback,1,,,[]
20250714_074344_202,-90,NO_RADIO,32,0,7.252242459221634,-96.04537200927734,-96.04537200927734,0.07220578193664551,0.22918391227722168,32,,,,CenterFallback,1,,,[]
20250714_074344_505,-90,NO_RADIO,32,0,6.7678537583610705,-96.43071746826172,-96.43071746826172,0.07481575012207031,0.11160445213317871,32,,,,CenterFallback,1,,,[]
20250714_074344_692,-90,NO_RADIO,32,0,7.289893860562799,-96.04537200927734,-96.04537200927734,0.07618498802185059,0.18336224555969238,32,,,,CenterFallback,1,,,[]
20250714_074344_953,-90,NO_RADIO,32,0,6.795978362389647,-96.80210876464844,-96.80210876464844,0.07515573501586914,0.14937973022460938,32,,,,CenterFallback,1,,,[]
20250714_074345_178,-90,NO_RADIO,32,0,6.800917013399783,-96.29843139648438,-96.29843139648438,0.07815933227539062,0.202911376953125,32,,,,CenterFallback,1,,,[]
20250714_074345_461,-90,NO_RADIO,32,0,6.846920846264453,-96.38617706298828,-96.38617706298828,0.07950234413146973,0.13528728485107422,32,,,,CenterFallback,1,,,[]
20250714_074345_677,-90,NO_RADIO,32,0,7.2000923934340335,-96.25521850585938,-96.25521850585938,0.08456730842590332,0.2387220859527588,32,,,,CenterFallback,1,,,[]
20250714_074346_001,-90,NO_RADIO,32,0,7.4573338578098145,-95.76765441894531,-95.76765441894531,0.07405257225036621,0.11803245544433594,32,,,,CenterFallback,1,,,[]
20250714_074346_194,-90,NO_RADIO,32,0,7.205729440542271,-96.25521850585938,-96.25521850585938,0.07329869270324707,0.1962599754333496,32,,,,CenterFallback,1,,,[]
20250714_074346_465,-90,50,50,26.1,7.296065677691928,-93.180908203125,-93.180908203125,0.1076042652130127,10.364498853683472,50,4,4,40.6,NeighborSearch,63,9.788860995841048,-46,[]
20250714_074356_938,-90,NO_RADIO,50,26.1,39.61201989613977,-63.121293449401854,-63.121293449401854,0.08857583999633789,0.460813045501709,50,,,,CenterFallback,1,,,[]
20250714_074357_489,-90,NO_RADIO,50,26.1,37.942483234781434,-64.42277297973632,-64.42277297973632,0.08867931365966797,0.11003327369689941,50,,,,CenterFallback,1,,,[]
20250714_074357_689,-90,49,49,24.7,18.182215579713585,-82.40322875976562,-82.40322875976562,0.11231040954589844,11.195971488952637,49,48,48,-23.2,NeighborSearch,63,19.914444402259747,-1,[]
