Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Tx Beam Index,Tx Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250724_191953_326,-90,14,14,-26.1,7.080891189575212,-96.25521850585938,-96.25521850585938,0.1596536636352539,0.35637569427490234,14,14,50,-26.1,OffsetFailed,2,7.357806364850461,4,[]
20250724_191953_845,-90,14,14,-26.1,6.955184518570562,-96.75601196289062,-96.75601196289062,0.12226629257202148,0.2748892307281494,14,14,50,-26.1,OffsetFailed,2,6.961549844858752,4,[]
20250724_191954_243,-90,14,14,-26.1,7.05970044607308,-96.43071746826172,-96.43071746826172,0.10659074783325195,0.3005359172821045,14,14,50,-26.1,OffsetFailed,2,7.0297713142699365,4,[]
20250724_191954_652,-90,14,14,-26.1,7.065764713326786,-96.75601196289062,-96.75601196289062,0.10256385803222656,0.4981508255004883,14,14,50,-26.1,OffsetFailed,2,7.0070779925314355,4,[]
20250724_191955_253,-90,14,14,-26.1,6.996579061788111,-96.29843139648438,-96.29843139648438,0.10316777229309082,0.2865579128265381,14,14,50,-26.1,OffsetFailed,2,7.100175894340893,4,[]
20250724_191955_644,-90,NO_RADIO,14,-26.1,7.013612657135198,-96.75601196289062,-96.75601196289062,0.0671992301940918,0.12897801399230957,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191955_842,-90,NO_RADIO,14,-26.1,6.9847059825076485,-96.43071746826172,-96.43071746826172,0.07015037536621094,0.19051814079284668,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191956_104,-90,NO_RADIO,14,-26.1,7.114737995800226,-96.29843139648438,-96.29843139648438,0.07394289970397949,0.10693144798278809,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191956_286,-90,NO_RADIO,14,-26.1,7.069536363142873,-96.75601196289062,-96.75601196289062,0.0760643482208252,0.16152548789978027,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191956_524,-90,NO_RADIO,14,-26.1,6.753757983499085,-96.75601196289062,-96.75601196289062,0.07629776000976562,0.2111964225769043,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191956_813,-90,NO_RADIO,14,-26.1,7.099481395546178,-96.29843139648438,-96.29843139648438,0.06793808937072754,0.24483871459960938,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191957_127,-90,NO_RADIO,14,-26.1,7.035332431916942,-96.80453491210938,-96.80453491210938,0.07346630096435547,1.1723875999450684,14,,50,-26.1,CenterFallback,1,,,[]
20250724_191958_374,-90,49,49,24.7,6.977273481057509,-96.24886283874513,-96.24886283874513,0.14499568939208984,0.30964040756225586,49,49,15,24.7,OffsetFailed,2,7.40492823099062,1,[]
20250724_191958_829,-90,NO_RADIO,49,24.7,7.390645475606533,-96.12810516357422,-96.12810516357422,0.0684044361114502,0.1713402271270752,49,,15,24.7,CenterFallback,1,,,[]
20250724_191959_070,-90,NO_RADIO,49,24.7,7.049723019155863,-96.29843139648438,-96.29843139648438,0.07197976112365723,0.1102750301361084,49,,15,24.7,CenterFallback,1,,,[]
20250724_191959_254,-90,NO_RADIO,49,24.7,7.375211771969589,-96.12810516357422,-96.12810516357422,0.07586455345153809,0.16533637046813965,49,,15,24.7,CenterFallback,1,,,[]
20250724_191959_496,-90,NO_RADIO,49,24.7,7.415418757121259,-96.12810516357422,-96.12810516357422,0.07422399520874023,0.10677504539489746,49,,15,24.7,CenterFallback,1,,,[]
20250724_191959_678,-90,40,40,11.6,7.611412620885787,-96.29627075195313,-96.29627075195313,0.10854029655456543,0.29297685623168945,40,40,24,11.6,OffsetFailed,2,7.009229319206412,5,[]
20250724_192000_081,-90,37,37,7.3,7.353551191131871,-96.25521850585938,-96.25521850585938,0.10309958457946777,0.27306675910949707,37,37,27,7.3,OffsetFailed,2,7.00718508519202,6,[]
20250724_192000_458,-90,33,33,1.5,7.408006681938161,-96.43071746826172,-96.43071746826172,0.10352516174316406,0.2744283676147461,33,33,31,1.5,OffsetFailed,2,6.956954784580319,7,[]
20250724_192000_837,-90,30,30,-2.9,7.030545601642984,-96.80453491210938,-96.80453491210938,0.10376954078674316,0.26950931549072266,30,30,34,-2.9,OffsetFailed,2,6.664817948720042,9,[]
20250724_192001_212,-90,27,27,-7.3,6.971367901543232,-96.29627075195313,-96.29627075195313,0.10348224639892578,0.27501416206359863,27,27,37,-7.3,OffsetFailed,2,7.370679992229526,9,[]
20250724_192001_591,-90,24,24,-11.6,7.611323728727342,-96.75601196289062,-96.75601196289062,0.10559964179992676,0.2691652774810791,24,24,40,-11.6,OffsetFailed,2,6.951568904538121,9,[]
20250724_192001_967,-90,21,21,-16.0,6.958489544160656,-96.43071746826172,-96.43071746826172,0.10274052619934082,0.26679158210754395,21,21,43,-16.0,OffsetFailed,2,6.951669610807471,9,[]
20250724_192002_338,-90,18,18,-20.3,7.59730450666973,-96.12396850585938,-96.12396850585938,0.10259413719177246,0.2702751159667969,18,18,46,-20.3,OffsetFailed,2,7.436005233619312,6,[]
20250724_192002_712,-90,16,16,-23.2,8.457737821578391,-91.81137084960938,-91.81137084960938,0.10234975814819336,0.2832465171813965,16,16,48,-23.2,OffsetFailed,2,11.659844223800846,2,[]
20250724_192003_099,-90,13,13,-27.6,8.117112293387478,-95.32933807373047,-95.32933807373047,0.10258746147155762,0.2690434455871582,13,13,51,-27.6,OffsetFailed,2,7.779996945456247,0,[]
20250724_192003_472,-90,NO_RADIO,13,-27.6,8.209861520468209,-95.15899658203125,-95.15899658203125,0.09725522994995117,0.16196489334106445,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192003_732,-90,NO_RADIO,13,-27.6,8.19283918281937,-95.32933807373047,-95.32933807373047,0.0721426010131836,0.12261199951171875,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192003_928,-90,NO_RADIO,13,-27.6,7.720865207630112,-95.32933807373047,-95.32933807373047,0.07354950904846191,0.16205263137817383,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192004_165,-90,NO_RADIO,13,-27.6,7.464864874158209,-95.76196441650391,-95.76196441650391,0.0749969482421875,0.10534524917602539,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192004_346,-90,NO_RADIO,13,-27.6,8.033168365402503,-95.32933807373047,-95.32933807373047,0.06923747062683105,0.20175695419311523,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192004_618,-90,NO_RADIO,13,-27.6,8.029037940988303,-95.6165771484375,-95.6165771484375,0.07194828987121582,0.10588788986206055,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192004_797,-90,NO_RADIO,13,-27.6,6.854530922067752,-96.38617706298828,-96.38617706298828,0.07293295860290527,0.16267633438110352,13,,51,-27.6,CenterFallback,1,,,[]
20250724_192005_034,-90,51,51,27.6,6.850710020423165,-65.52255020141601,-65.52255020141601,0.10929584503173828,0.2781250476837158,51,50,13,27.6,OffsetCorrected,2,37.497778700029244,-1,[]
20250724_192005_423,-90,48,48,23.2,37.035024140655125,-65.24766006469727,-65.24766006469727,0.09932374954223633,0.1067662239074707,48,48,16,23.2,YOLO,1,37.035024140655125,0,[]
20250724_192005_630,-90,47,47,21.8,36.53307824571081,-65.45929107666015,-65.45929107666015,0.10077047348022461,0.16367816925048828,47,47,17,21.8,YOLO,1,36.53307824571081,0,[]
20250724_192005_895,-90,45,45,18.9,35.19082782944433,-66.3402702331543,-66.3402702331543,0.10252928733825684,0.10645127296447754,45,45,19,18.9,YOLO,1,35.19082782944433,0,[]
20250724_192006_105,-90,43,43,16.0,34.89190260039537,-66.52488441467285,-66.52488441467285,0.09845280647277832,0.16120219230651855,43,43,21,16.0,YOLO,1,34.89190260039537,0,[]
20250724_192006_366,-90,40,40,11.6,33.64645280225382,-67.6512523651123,-67.6512523651123,0.10140681266784668,0.10515570640563965,40,40,24,11.6,YOLO,1,33.64645280225382,0,[]
20250724_192006_574,-90,39,39,10.2,36.00322611706875,-64.89253616333008,-64.89253616333008,0.10089707374572754,0.16133332252502441,39,39,25,10.2,YOLO,1,36.00322611706875,0,[]
20250724_192006_837,-90,36,36,5.8,34.25065190041258,-66.54280014038086,-66.54280014038086,0.0996391773223877,0.10536384582519531,36,36,28,5.8,YOLO,1,34.25065190041258,0,[]
20250724_192007_043,-90,34,34,2.9,35.38940680264625,-65.10525512695312,-65.10525512695312,0.09740948677062988,0.16165447235107422,34,34,30,2.9,YOLO,1,35.38940680264625,0,[]
20250724_192007_304,-90,32,32,0,34.69377756307753,-65.59642791748047,-65.59642791748047,0.09836339950561523,0.10591268539428711,32,32,32,0,YOLO,1,34.69377756307753,0,[]
20250724_192007_509,-90,30,30,-2.9,35.07153775952784,-65.1087833404541,-65.1087833404541,0.09847760200500488,0.1632096767425537,30,30,34,-2.9,YOLO,1,35.07153775952784,0,[]
20250724_192007_772,-90,28,28,-5.8,33.23911423024826,-66.74844741821289,-66.74844741821289,0.09960317611694336,0.10725116729736328,28,28,36,-5.8,YOLO,1,33.23911423024826,0,[]
20250724_192007_980,-90,26,26,-8.7,35.003610574634166,-64.60555381774903,-64.60555381774903,0.09854698181152344,0.1634531021118164,26,26,38,-8.7,YOLO,1,35.003610574634166,0,[]
20250724_192008_243,-90,24,24,-11.6,33.45243775538326,-66.07078437805175,-66.07078437805175,0.09948039054870605,0.10695981979370117,24,24,40,-11.6,YOLO,1,33.45243775538326,0,[]
20250724_192008_450,-90,22,22,-14.5,33.26400678496921,-66.03470764160156,-66.03470764160156,0.09948468208312988,0.16351914405822754,22,22,42,-14.5,YOLO,1,33.26400678496921,0,[]
20250724_192008_714,-90,20,20,-17.4,31.675515638064198,-67.77052803039551,-67.77052803039551,0.09885931015014648,0.10717105865478516,20,20,44,-17.4,YOLO,1,31.675515638064198,0,[]
