Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Tx Beam Index,Tx Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250724_181827_078,-90,NO_RADIO,32,0,7.328529586792001,-96.29843139648438,-96.29843139648438,0.11475372314453125,0.10890603065490723,32,,32,0,CenterFallback,1,,,[]
20250724_181827_306,-90,NO_RADIO,32,0,7.236691396964503,-96.25521850585938,-96.25521850585938,0.08858561515808105,0.21681952476501465,32,,32,0,CenterFallback,1,,,[]
20250724_181827_613,-90,NO_RADIO,32,0,7.2134904025268725,-96.25521850585938,-96.25521850585938,0.08640789985656738,0.10555863380432129,32,,32,0,CenterFallback,1,,,[]
20250724_181827_806,-90,NO_RADIO,32,0,7.207090301796811,-96.25521850585938,-96.25521850585938,0.07999682426452637,0.16394805908203125,32,,32,0,CenterFallback,1,,,[]
20250724_181828_051,-90,NO_RADIO,32,0,7.188933954599591,-96.29843139648438,-96.29843139648438,0.06989502906799316,0.11654305458068848,32,,32,0,CenterFallback,1,,,[]
20250724_181828_239,-90,NO_RADIO,32,0,6.74101527841529,-96.75601196289062,-96.75601196289062,0.07256507873535156,0.16323208808898926,32,,32,0,CenterFallback,1,,,[]
20250724_181828_477,-90,NO_RADIO,32,0,6.90554358796139,-96.25521850585938,-96.25521850585938,0.07394242286682129,0.10745000839233398,32,,32,0,CenterFallback,1,,,[]
20250724_181828_660,-90,NO_RADIO,32,0,7.23064052999888,-96.29627075195313,-96.29627075195313,0.0773770809173584,0.16955804824829102,32,,32,0,CenterFallback,1,,,[]
20250724_181828_908,-90,NO_RADIO,32,0,6.819428358687858,-96.29843139648438,-96.29843139648438,0.06755924224853516,0.14441990852355957,32,,32,0,CenterFallback,1,,,[]
20250724_181829_122,-90,NO_RADIO,32,0,6.530848974619644,-96.75601196289062,-96.75601196289062,0.07257890701293945,0.1625370979309082,32,,32,0,CenterFallback,1,,,[]
20250724_181829_358,-90,NO_RADIO,32,0,6.914055780655147,-96.29843139648438,-96.29843139648438,0.07318997383117676,0.10772490501403809,32,,32,0,CenterFallback,1,,,[]
20250724_181829_541,-90,NO_RADIO,32,0,6.928398935850609,-96.25521850585938,-96.25521850585938,0.07574129104614258,0.16924810409545898,32,,32,0,CenterFallback,1,,,[]
20250724_181829_787,-90,NO_RADIO,32,0,7.257592291808081,-96.29843139648438,-96.29843139648438,0.07588791847229004,0.10690951347351074,32,,32,0,CenterFallback,1,,,[]
20250724_181829_971,-90,NO_RADIO,32,0,7.259339954034957,-96.12810516357422,-96.12810516357422,0.07684779167175293,0.17540240287780762,32,,32,0,CenterFallback,1,,,[]
20250724_181830_225,-90,NO_RADIO,32,0,7.257511079861274,-96.29843139648438,-96.29843139648438,0.07613611221313477,0.10669970512390137,32,,32,0,CenterFallback,1,,,[]
20250724_181830_410,-90,NO_RADIO,32,0,6.862062881859401,-96.75601196289062,-96.75601196289062,0.07537102699279785,0.16350317001342773,32,,32,0,CenterFallback,1,,,[]
20250724_181830_650,-90,NO_RADIO,32,0,7.269033584667781,-96.38617706298828,-96.38617706298828,0.0755159854888916,0.18286347389221191,32,,32,0,CenterFallback,1,,,[]
20250724_181830_910,-90,NO_RADIO,32,0,6.901319436281327,-96.25521850585938,-96.25521850585938,0.06703519821166992,0.16146016120910645,32,,32,0,CenterFallback,1,,,[]
20250724_181831_140,-90,NO_RADIO,32,0,6.911632744099194,-96.43071746826172,-96.43071746826172,0.07221174240112305,0.10633301734924316,32,,32,0,CenterFallback,1,,,[]
20250724_181831_320,-90,NO_RADIO,32,0,7.332216107212204,-96.25521850585938,-96.25521850585938,0.07649660110473633,0.18965458869934082,32,,32,0,CenterFallback,1,,,[]
20250724_181831_588,-90,NO_RADIO,32,0,6.868563908923534,-95.9241714477539,-95.9241714477539,0.07651972770690918,0.13051390647888184,32,,32,0,CenterFallback,1,,,[]
20250724_181831_796,-90,NO_RADIO,32,0,7.207821506229379,-96.25521850585938,-96.25521850585938,0.07659244537353516,0.19606256484985352,32,,32,0,CenterFallback,1,,,[]
20250724_181832_070,-90,NO_RADIO,32,0,7.254754474380064,-96.24886283874513,-96.24886283874513,0.11303234100341797,0.10723018646240234,32,,32,0,CenterFallback,1,,,[]
20250724_181832_292,-90,NO_RADIO,32,0,7.292293488243203,-96.04537200927734,-96.04537200927734,0.08005714416503906,0.16373562812805176,32,,32,0,CenterFallback,1,,,[]
20250724_181832_537,-90,NO_RADIO,32,0,7.289492320631496,-96.25521850585938,-96.25521850585938,0.07796049118041992,0.1089930534362793,32,,32,0,CenterFallback,1,,,[]
20250724_181832_726,-90,NO_RADIO,32,0,7.283710953815046,-96.24886283874513,-96.24886283874513,0.077972412109375,0.2146437168121338,32,,32,0,CenterFallback,1,,,[]
20250724_181833_020,-90,NO_RADIO,32,0,6.8297657361100335,-96.29843139648438,-96.29843139648438,0.07493019104003906,0.1073157787322998,32,,32,0,CenterFallback,1,,,[]
20250724_181833_204,-90,NO_RADIO,32,0,7.225859812680824,-96.25521850585938,-96.25521850585938,0.07370972633361816,0.1639108657836914,32,,32,0,CenterFallback,1,,,[]
20250724_181833_443,-90,NO_RADIO,32,0,7.419897233812449,-95.91634559631349,-95.91634559631349,0.07406425476074219,0.10747241973876953,32,,32,0,CenterFallback,1,,,[]
20250724_181833_626,-90,NO_RADIO,32,0,7.405680244297187,-96.03931198120118,-96.03931198120118,0.07609248161315918,0.16234517097473145,32,,32,0,CenterFallback,1,,,[]
20250724_181833_866,-90,NO_RADIO,32,0,7.196508856984153,-96.25521850585938,-96.25521850585938,0.06679534912109375,0.10705375671386719,32,,32,0,CenterFallback,1,,,[]
20250724_181834_041,-90,NO_RADIO,32,0,7.137176398671201,-96.12810516357422,-96.12810516357422,0.07267403602600098,0.18409419059753418,32,,32,0,CenterFallback,1,,,[]
20250724_181834_300,-90,NO_RADIO,32,0,7.120698419596437,-96.25521850585938,-96.25521850585938,0.0714712142944336,0.10773968696594238,32,,32,0,CenterFallback,1,,,[]
20250724_181834_481,-90,NO_RADIO,32,0,7.224173040208569,-96.04537200927734,-96.04537200927734,0.07484650611877441,0.16274499893188477,32,,32,0,CenterFallback,1,,,[]
