Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250714_075544_784,-90,NO_RADIO,32,0,32,0,6.915480346679658,0.10033392906188965,0.10751509666442871
20250714_075544_995,-90,NO_RADIO,32,0,32,0,6.901861916266242,0.09216761589050293,0.16095423698425293
20250714_075545_249,-90,NO_RADIO,32,0,32,0,6.980777968687676,0.08215188980102539,0.10656285285949707
20250714_075545_438,-90,NO_RADIO,32,0,32,0,7.083655801085044,0.08041787147521973,0.16281414031982422
20250714_075545_683,-90,NO_RADIO,32,0,32,0,6.904590087215212,0.07907295227050781,0.10645580291748047
20250714_075545_869,-90,NO_RADIO,32,0,32,0,6.5815617736508045,0.07790732383728027,0.16266727447509766
20250714_075546_111,-90,NO_RADIO,32,0,32,0,7.137391475688233,0.07267427444458008,0.10674834251403809
20250714_075546_291,-90,NO_RADIO,32,0,32,0,6.9913750655276345,0.07005906105041504,0.16286635398864746
20250714_075546_525,-90,NO_RADIO,32,0,32,0,6.975692320119435,0.07307958602905273,0.1064603328704834
20250714_075546_705,-90,NO_RADIO,32,0,32,0,6.564731272918905,0.07497930526733398,0.16283655166625977
20250714_075546_944,-90,NO_RADIO,32,0,32,0,7.026185326754586,0.07249569892883301,0.11186552047729492
20250714_075547_130,-90,NO_RADIO,32,0,32,0,6.577008860744755,0.07340788841247559,0.16369152069091797
20250714_075547_368,-90,NO_RADIO,32,0,32,0,6.976171333564565,0.07177329063415527,0.10651707649230957
20250714_075547_547,-90,NO_RADIO,32,0,32,0,6.993007787867882,0.07245731353759766,0.16263866424560547
20250714_075547_783,-90,50,50,26.1,14,26.1,6.970935536904065,0.10501384735107422,0.10897231101989746
20250714_075547_998,-90,NO_RADIO,50,26.1,14,26.1,7.238965448516467,0.06560683250427246,0.16267132759094238
20250714_075548_227,-90,49,49,24.7,15,24.7,7.223399588167297,0.10271620750427246,0.10694289207458496
20250714_075548_438,-90,NO_RADIO,49,24.7,15,24.7,7.226815116159756,0.06355595588684082,0.18058204650878906
20250714_075548_683,-90,NO_RADIO,49,24.7,15,24.7,7.02985497493637,0.06913447380065918,0.1062631607055664
