Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-34,7.02,51,19.682116568068324,0.0
-34,7.02,51,19.682116568068324,0.0
-33,7.02,13,6.910190460777571,1.0
-33,7.02,13,6.910190460777571,1.0
-33,7.02,13,6.910190460777571,1.0
-31,7.02,51,20.53557951269317,0.0
-31,7.02,51,20.53557951269317,0.0
-31,7.02,51,20.53557951269317,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,51,19.539869176009503,0.0
-30,7.02,50,20.16422311447306,0.0
-30,7.02,50,20.16422311447306,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,51,18.956136952667435,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-29,7.02,50,19.98581286382988,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,49,20.29729016007778,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-28,7.02,50,19.579450919391192,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-27,7.02,49,19.926110779462466,0.0
-26,7.02,49,18.75428503364457,0.0
-26,7.02,49,18.75428503364457,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
-26,7.02,48,19.95282059303496,0.0
