Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251224_123843_475,-45,60,40.6,30,2.9,20.052786291596163,7.854954481124878
20251224_123851_334,-44,59,39.2,30,2.9,19.516945510048217,7.899302005767822
20251224_123859_234,-44,1,-45.0,31,1.5,7.598709006440174,7.916346788406372
20251224_123907_152,-43,62,43.5,30,2.9,17.647412253952993,7.9046618938446045
20251224_123915_058,-42,59,39.2,30,2.9,20.010381431548666,7.902760028839111
20251224_123922_962,-42,60,40.6,30,2.9,19.033525006933004,7.9047017097473145
20251224_123930_868,-41,60,40.6,30,2.9,18.392122309160612,7.910660982131958
20251224_123938_780,-40,59,39.2,30,2.9,19.75507433907036,7.9049670696258545
20251224_123946_686,-40,55,33.4,30,2.9,18.688036568634857,7.904314756393433
20251224_123954_592,-39,1,-45.0,30,2.9,7.700571817706447,7.904783725738525
20251224_124002_498,-39,57,36.3,30,2.9,19.880513952547304,7.902495861053467
20251224_124010_402,-38,55,33.4,30,2.9,19.794446114052164,7.904510498046875
20251224_124018_307,-37,1,-45.0,29,4.4,7.7118909379880165,7.90264892578125
20251224_124026_211,-37,56,34.8,30,2.9,19.75607844121187,7.904623985290527
20251224_124034_117,-36,1,-45.0,44,-17.4,7.629690235571161,7.904643535614014
20251224_124042_023,-35,55,33.4,30,2.9,20.3817092301351,7.902935028076172
20251224_124049_927,-35,53,30.5,30,2.9,19.98311794254711,7.906280517578125
20251224_124057_835,-34,52,29.0,30,2.9,19.85197423281494,7.908512830734253
20251224_124105_745,-33,53,30.5,30,2.9,19.885163317741487,7.902776002883911
20251224_124113_649,-33,53,30.5,30,2.9,19.803832478266017,7.902507305145264
20251224_124121_552,-32,2,-43.5,30,2.9,7.201469798033742,7.902931213378906
20251224_124129_457,-32,54,31.9,30,2.9,17.937819465532698,7.90272331237793
20251224_124137_361,-31,54,31.9,30,2.9,16.92079715111285,7.904596567153931
20251224_124145_266,-30,51,27.6,30,2.9,20.389048507211783,7.904784202575684
20251224_124153_172,-30,2,-43.5,30,2.9,7.580441793611527,7.90468168258667
20251224_124201_078,-29,51,27.6,30,2.9,20.267150850116494,7.90858793258667
20251224_124208_988,-28,49,24.7,30,2.9,20.17917323138124,7.904332399368286
20251224_124216_894,-28,1,-45.0,31,1.5,7.582305949330049,7.904814958572388
20251224_124224_800,-27,51,27.6,30,2.9,18.516839205075854,7.904950857162476
20251224_124232_706,-27,47,21.8,30,2.9,20.09548907544439,7.9065070152282715
20251224_124240_614,-26,47,21.8,30,2.9,20.584839599700345,7.9045257568359375
20251224_124248_520,-25,50,26.1,30,2.9,17.27741949694098,7.906431436538696
20251224_124256_428,-25,48,23.2,30,2.9,20.63394194910535,7.906678676605225
20251224_124304_336,-24,47,21.8,30,2.9,19.758444884725606,7.904352426528931
20251224_124312_241,-23,46,20.3,30,2.9,20.40479250991322,7.906696557998657
20251224_124320_149,-23,45,18.9,30,2.9,20.8869300653771,7.904630422592163
20251224_124328_055,-22,46,20.3,30,2.9,19.314421838198342,7.904343843460083
20251224_124335_961,-21,45,18.9,30,2.9,20.57131163036466,7.91059684753418
20251224_124343_873,-21,1,-45.0,51,-27.6,7.017264571126816,7.90669846534729
20251224_124351_781,-20,45,18.9,30,2.9,19.44938494823218,7.904938459396362
20251224_124359_687,-20,45,18.9,30,2.9,19.326811068607725,7.906341791152954
20251224_124407_595,-19,45,18.9,30,2.9,18.231070684655393,7.902541637420654
20251224_124415_499,-18,2,-43.5,30,2.9,7.703685807284387,7.908480405807495
20251224_124423_408,-18,42,14.5,30,2.9,20.655106442738614,7.912632942199707
20251224_124431_322,-17,1,-45.0,38,-8.7,7.201467585645474,7.904736042022705
20251224_124439_228,-16,42,14.5,30,2.9,20.43395337778783,7.906691551208496
20251224_124447_136,-16,1,-45.0,28,5.8,7.204904569668798,7.902272462844849
20251224_124455_040,-15,41,13.1,30,2.9,19.979323256041383,7.906617164611816
20251224_124502_948,-14,42,14.5,30,2.9,18.635887853579618,7.904870510101318
20251224_124510_854,-14,39,10.2,30,2.9,21.20210877225314,7.908370018005371
20251224_124518_764,-13,1,-45.0,21,16.0,7.287295784017388,7.914628982543945
20251224_124526_679,-13,59,39.2,31,1.5,7.7728053086893,7.912721157073975
20251224_124534_593,-12,39,10.2,30,2.9,20.696482248895506,7.910495758056641
20251224_124542_505,-11,40,11.6,30,2.9,16.918934075338754,7.91267728805542
20251224_124550_419,-11,37,7.3,30,2.9,21.100394086892408,7.908267021179199
20251224_124558_329,-10,37,7.3,30,2.9,20.760978331295888,7.910674333572388
20251224_124606_241,-9,1,-45.0,32,0,7.209975403396399,7.908499240875244
20251224_124614_151,-9,35,4.4,30,2.9,21.0244124679773,7.908631324768066
20251224_124622_061,-8,38,8.7,30,2.9,16.594882083018135,7.9108076095581055
20251224_124629_973,-8,36,5.8,30,2.9,20.287648800164774,7.912565469741821
20251224_124637_886,-7,35,4.4,30,2.9,20.154354183700974,7.912578105926514
20251224_124645_800,-6,35,4.4,30,2.9,19.308548443300097,7.912781000137329
20251224_124653_714,-6,1,-45.0,30,2.9,8.68231046539644,7.906471490859985
20251224_124701_622,-5,32,0,30,2.9,20.575937201025596,7.906620979309082
20251224_124709_530,-4,32,0,30,2.9,20.296277441609163,7.926868438720703
20251224_124717_458,-4,1,-45.0,31,1.5,8.540858152975105,7.918600559234619
20251224_124725_378,-3,33,1.5,31,1.5,19.231345409527066,7.910531044006348
20251224_124733_290,-2,1,-45.0,31,1.5,8.358756215299863,7.921845197677612
20251224_124741_213,-2,32,0,30,2.9,19.72333207820172,7.930806875228882
20251224_124749_145,-1,32,0,30,2.9,18.466115944755074,7.91099214553833
20251224_124757_057,-1,29,-4.4,31,1.5,20.717269164413167,7.912700891494751
20251224_124804_971,0,30,-2.9,31,1.5,20.553588068853216,7.916313171386719
20251224_124812_889,1,30,-2.9,30,2.9,20.058115101781638,7.922765731811523
20251224_124820_813,1,28,-5.8,30,2.9,21.183856662695987,7.92074990272522
20251224_124828_735,2,2,-43.5,29,4.4,7.208030924893606,7.918523073196411
20251224_124836_655,3,27,-7.3,30,2.9,20.418155478944513,7.9226672649383545
20251224_124844_579,3,28,-5.8,31,1.5,20.56021486144826,7.932416677474976
20251224_124852_512,4,28,-5.8,30,2.9,19.986246923013596,7.92265510559082
20251224_124900_436,5,1,-45.0,28,5.8,7.575778215513566,7.91033935546875
20251224_124908_348,5,25,-10.2,30,2.9,20.40724450494487,7.914663076400757
20251224_124916_264,6,25,-10.2,30,2.9,20.325034624906635,7.926682710647583
20251224_124924_192,6,1,-45.0,32,0,7.708635363962983,7.922546625137329
20251224_124932_116,7,25,-10.2,30,2.9,20.274198393977713,7.926786422729492
20251224_124940_044,8,26,-8.7,30,2.9,18.141432110468884,7.926685094833374
20251224_124947_972,8,26,-8.7,30,2.9,18.393119955810107,7.9344377517700195
20251224_124955_907,9,25,-10.2,31,1.5,18.63166776149326,7.924746751785278
20251224_125003_833,10,23,-13.1,31,1.5,20.82333506763348,7.920653343200684
20251224_125011_755,10,23,-13.1,30,2.9,20.430160432155233,7.928589820861816
20251224_125019_685,11,2,-43.5,30,2.9,7.247978733120178,7.9305431842803955
20251224_125027_617,12,21,-16.0,30,2.9,20.782165135149057,7.928812265396118
20251224_125035_547,12,1,-45.0,63,-45.0,7.002416837006507,7.926752805709839
20251224_125043_475,13,20,-17.4,30,2.9,20.599578550978578,7.9325268268585205
20251224_125051_409,13,2,-43.5,43,-16.0,7.2034495444105175,7.932500600814819
20251224_125059_342,14,19,-18.9,30,2.9,20.68853137968084,7.932673931121826
20251224_125107_276,15,19,-18.9,30,2.9,20.688228859610575,7.930495262145996
20251224_125115_208,15,1,-45.0,30,2.9,7.2514417659717765,7.920903205871582
20251224_125123_130,16,22,-14.5,31,1.5,13.827481261244515,7.9283528327941895
20251224_125131_060,17,20,-17.4,31,1.5,18.68614678166604,7.930830717086792
20251224_125138_992,17,48,23.2,25,10.2,7.286316306032816,7.930647611618042
20251224_125146_924,18,20,-17.4,31,1.5,16.037410871460025,7.934581756591797
20251224_125154_860,18,18,-20.3,30,2.9,19.374343618648737,7.934652328491211
20251224_125202_796,19,17,-21.8,31,1.5,19.20184088993942,7.934436321258545
20251224_125210_731,20,16,-23.2,30,2.9,19.71179349715858,7.932602167129517
20251224_125218_665,20,1,-45.0,32,0,7.8820087126336205,7.932971239089966
20251224_125226_599,21,15,-24.7,30,2.9,20.325396988259058,7.942934513092041
20251224_125234_544,22,1,-45.0,31,1.5,7.58003689006415,7.9333837032318115
20251224_125242_479,22,16,-23.2,30,2.9,18.274066872554627,7.932502508163452
20251224_125250_412,23,2,-43.5,61,-42.1,7.008187767038947,7.932751655578613
20251224_125258_346,24,11,-30.5,31,1.5,19.026277450728188,7.934723377227783
20251224_125306_282,24,13,-27.6,31,1.5,19.534905360271352,7.932607412338257
20251224_125314_216,25,11,-30.5,30,2.9,19.861399816278436,7.932537317276001
20251224_125322_150,25,11,-30.5,30,2.9,19.745921606294957,7.932765007019043
20251224_125330_084,26,12,-29.0,31,1.5,19.535239754564856,7.932595729827881
20251224_125338_018,27,14,-26.1,30,2.9,16.219542732754178,7.9327075481414795
