Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251226_163808_551,-32,51,27.6,30,2.9,21.18665044975478,7.902108430862427
20251226_163819_458,-31,52,29.0,30,2.9,20.65225291125097,7.907669544219971
20251226_163830_369,-30,51,27.6,30,2.9,21.219262888826734,7.903275728225708
20251226_163841_276,-29,51,27.6,30,2.9,20.74547257444232,7.904233932495117
20251226_163852_184,-28,47,21.8,30,2.9,20.42307598895411,7.911961793899536
20251226_163903_100,-27,50,26.1,30,2.9,20.29462438527716,7.905577659606934
20251226_163914_010,-26,2,-43.5,30,2.9,7.135613571599194,7.90526556968689
20251226_163924_918,-25,47,21.8,30,2.9,21.01760598590641,7.913122653961182
20251226_163935_834,-24,1,-45.0,28,5.8,7.101352520203193,7.904648303985596
20251226_163946_742,-23,49,24.7,30,2.9,17.306578382962442,7.904465675354004
20251226_163957_650,-22,45,18.9,30,2.9,21.34609395737965,7.90611720085144
20251226_164008_561,-21,1,-45.0,63,-45.0,6.913954403427994,7.907196521759033
20251226_164019_472,-20,44,17.4,30,2.9,20.92037319178944,7.905508756637573
20251226_164030_382,-19,43,16.0,30,2.9,20.993440186358452,7.905481815338135
20251226_164041_292,-18,14,-26.1,32,0.0,7.487985486389235,7.915671110153198
20251226_164052_210,-17,39,10.2,30,2.9,19.632822846772427,7.906798124313354
20251226_164103_120,-16,42,14.5,30,2.9,20.649529924032564,7.904424667358398
20251226_164114_028,-15,40,11.6,30,2.9,21.70144396627481,7.914271354675293
20251226_164124_946,-14,40,11.6,30,2.9,21.753016739175223,7.916085720062256
20251226_164135_866,-13,41,13.1,30,2.9,17.956972475941,7.90969181060791
20251226_164146_780,-12,38,8.7,30,2.9,21.711846337964857,7.910099983215332
20251226_164157_694,-11,37,7.3,30,2.9,21.911969427222857,7.905058860778809
20251226_164208_602,-10,38,8.7,30,2.9,20.36484372714132,7.908802032470703
20251226_164219_514,-9,35,4.4,30,2.9,20.88054193102081,7.918538570404053
20251226_164230_436,-8,35,4.4,30,2.9,21.23467802005497,7.904316902160644
20251226_164241_344,-7,37,7.3,30,2.9,18.57598585114431,7.906947374343872
20251226_164252_255,-6,34,2.9,30,2.9,20.67827706963048,7.929686307907104
20251226_164303_189,-5,31,-1.5,30,2.9,19.990820287380515,7.913316249847412
20251226_164314_106,-4,32,0.0,30,2.9,21.52395647097504,7.912259101867676
20251226_164325_022,-3,33,1.5,30,2.9,20.557218843985297,7.905770778656006
20251226_164335_930,-2,31,-1.5,30,2.9,21.311223361943263,7.923719882965088
20251226_164346_858,-1,1,-45.0,29,4.4,7.609606089661099,7.919334411621094
20251226_164357_782,0,29,-4.4,30,2.9,21.497597376369757,7.911342144012451
20251226_164408_697,1,30,-2.9,30,2.9,20.712908482954816,7.921695232391357
20251226_164419_622,2,27,-7.3,30,2.9,20.91973269545753,7.912699699401855
20251226_164430_538,3,30,-2.9,30,2.9,18.008961584369985,7.90419864654541
20251226_164441_446,4,28,-5.8,30,2.9,20.59987336237405,7.920085430145264
20251226_164452_370,5,26,-8.7,30,2.9,21.303240371053505,7.913832426071167
20251226_164503_288,6,23,-13.1,30,2.9,19.94791879038601,7.925394773483276
20251226_164514_218,7,23,-13.1,30,2.9,20.906714294674856,7.907531976699829
20251226_164525_130,8,2,-43.5,30,2.9,8.13077083814801,7.915689706802368
20251226_164536_049,9,22,-14.5,30,2.9,20.919123707798505,7.913635015487671
20251226_164546_966,10,23,-13.1,30,2.9,20.964274371362748,7.910278081893921
20251226_164557_880,11,22,-14.5,30,2.9,20.97117392924829,7.912131547927856
20251226_164608_796,12,21,-16.0,30,2.9,21.11165507543437,7.927954912185669
20251226_164619_728,13,21,-16.0,30,2.9,20.83088756673503,7.917646408081055
20251226_164630_650,14,2,-43.5,30,2.9,7.473238547933477,7.917412757873535
20251226_164641_570,15,19,-18.9,30,2.9,20.95853938724656,7.927122592926025
20251226_164652_502,16,22,-14.5,30,2.9,14.268727345429385,7.913504600524902
20251226_164703_418,17,20,-17.4,30,2.9,17.89400530367334,7.922517776489258
20251226_164714_344,18,17,-21.8,30,2.9,20.40949430556384,7.930251359939575
20251226_164725_278,19,17,-21.8,30,2.9,20.180992529610396,7.916289567947388
20251226_164736_198,20,17,-21.8,30,2.9,19.602956824567716,7.928014755249023
20251226_164747_130,21,16,-23.2,30,2.9,19.98311872280283,7.927532911300659
20251226_164758_062,22,15,-24.7,30,2.9,20.15348764375176,7.919322729110718
