Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251226_163546_745,-45,62,43.5,30,2.9,19.24734482529297,7.902069330215454
20251226_163557_652,-44,59,39.2,30,2.9,20.475375033556645,7.902676343917847
20251226_163608_558,-43,61,42.1,30,2.9,18.640922112387756,7.9023613929748535
20251226_163619_464,-42,59,39.2,30,2.9,20.439916797820615,7.90194034576416
20251226_163630_370,-41,2,-43.5,43,-16.0,7.155878156949399,7.90589714050293
20251226_163641_280,-40,58,37.7,30,2.9,20.357265598719408,7.903587579727173
20251226_163652_187,-39,58,37.7,30,2.9,19.87900246659261,7.912058591842651
20251226_163703_102,-38,55,33.4,30,2.9,20.870772573576133,7.9050703048706055
20251226_163714_010,-37,56,34.8,30,2.9,20.367171636254,7.902627944946289
20251226_163724_916,-36,56,34.8,30,2.9,19.74963362750249,7.902148723602295
20251226_163735_822,-35,52,29.0,30,2.9,20.082322167438676,7.903908014297485
20251226_163746_730,-34,53,30.5,30,2.9,20.657480114363935,7.911777496337891
20251226_163757_646,-33,51,27.6,30,2.9,20.914042833799044,7.901241302490234
20251226_163808_551,-32,51,27.6,30,2.9,21.18665044975478,7.902108430862427
20251226_163819_458,-31,52,29.0,30,2.9,20.65225291125097,7.907669544219971
20251226_163830_369,-30,51,27.6,30,2.9,21.219262888826734,7.903275728225708
20251226_163841_276,-29,51,27.6,30,2.9,20.745472574442317,7.904233932495117
20251226_163852_184,-28,47,21.8,30,2.9,20.42307598895411,7.911961793899536
20251226_163903_100,-27,50,26.1,30,2.9,20.29462438527716,7.905577659606934
20251226_163914_010,-26,2,-43.5,30,2.9,7.135613571599194,7.90526556968689
20251226_163924_918,-25,47,21.8,30,2.9,21.017605985906414,7.913122653961182
20251226_163935_834,-24,1,-45.0,28,5.8,7.101352520203193,7.904648303985596
20251226_163946_742,-23,49,24.7,30,2.9,17.306578382962442,7.904465675354004
20251226_163957_650,-22,45,18.9,30,2.9,21.34609395737965,7.90611720085144
20251226_164008_561,-21,1,-45.0,63,-45.0,6.913954403427994,7.907196521759033
20251226_164019_472,-20,44,17.4,30,2.9,20.920373191789437,7.905508756637573
20251226_164030_382,-19,43,16.0,30,2.9,20.993440186358455,7.905481815338135
20251226_164041_292,-18,14,-26.1,32,0,7.487985486389235,7.915671110153198
20251226_164052_210,-17,39,10.2,30,2.9,19.632822846772427,7.9067981243133545
20251226_164103_120,-16,42,14.5,30,2.9,20.649529924032564,7.904424667358398
20251226_164114_028,-15,40,11.6,30,2.9,21.70144396627481,7.914271354675293
20251226_164124_946,-14,40,11.6,30,2.9,21.753016739175223,7.916085720062256
20251226_164135_866,-13,41,13.1,30,2.9,17.956972475941,7.90969181060791
20251226_164146_780,-12,38,8.7,30,2.9,21.711846337964857,7.910099983215332
20251226_164157_694,-11,37,7.3,30,2.9,21.911969427222857,7.905058860778809
20251226_164208_602,-10,38,8.7,30,2.9,20.36484372714132,7.908802032470703
20251226_164219_514,-9,35,4.4,30,2.9,20.880541931020815,7.918538570404053
20251226_164230_436,-8,35,4.4,30,2.9,21.23467802005497,7.9043169021606445
20251226_164241_344,-7,37,7.3,30,2.9,18.57598585114431,7.906947374343872
20251226_164252_255,-6,34,2.9,30,2.9,20.678277069630482,7.9296863079071045
20251226_164303_189,-5,31,-1.5,30,2.9,19.990820287380515,7.913316249847412
