Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-33,17.78,51,22.040902973733974,0.0
-33,17.78,13,21.57559930931984,0.0
-30,17.78,51,6.875111608344156,0.0
-30,17.78,51,21.416050820935567,0.0
-30,17.78,51,21.447355845052144,0.0
-30,17.78,51,21.43406944609028,0.0
-30,17.78,51,21.674898145551424,0.0
-30,17.78,51,21.609466151782144,0.0
-30,17.78,51,21.640760723102176,0.0
-30,17.78,51,21.46315027750927,0.0
-30,17.78,51,20.91658491460697,0.0
-30,17.78,51,21.354415772462342,0.0
-30,17.78,51,21.66084983668243,0.0
-30,17.78,50,21.740539853429368,0.0
-30,17.78,51,21.30955467235933,0.0
-30,17.78,51,21.2663755012218,0.0
-30,17.78,51,21.840837422764466,0.0
-29,17.78,51,21.57978754630011,0.0
-29,17.78,50,21.889971453014866,0.0
-29,17.78,50,21.904593189843357,0.0
-29,17.78,50,21.885467247744856,0.0
-29,17.78,50,21.89330294799521,0.0
-29,17.78,50,21.770855453265696,0.0
-29,17.78,50,21.71779109042401,0.0
-29,17.78,50,21.87767833989145,0.0
-29,17.78,50,21.980427223296477,0.0
-29,17.78,50,21.75945656351479,0.0
-29,17.78,50,21.778837985987124,0.0
-29,17.78,50,21.88859803777757,0.0
-29,17.78,50,21.881660523886254,0.0
-29,17.78,50,21.48074319014222,0.0
-29,17.78,50,21.513664555555664,0.0
-29,17.78,50,21.81859694310478,0.0
-29,17.78,50,21.86826227536217,0.0
-28,17.78,50,21.50934999132403,0.0
-28,17.78,50,20.93844357508155,0.0
-28,17.78,50,20.780468404920725,0.0
-28,17.78,50,20.867240812712826,0.0
-28,17.78,50,21.08756735378634,0.0
-28,17.78,50,21.087360497241303,0.0
-28,17.78,49,21.819843771985678,0.0
-28,17.78,50,21.75714933887815,0.0
-28,17.78,50,21.208963785917437,0.0
-28,17.78,50,21.120193112744587,0.0
-28,17.78,50,21.247473811507103,0.0
-28,17.78,50,21.28423805507343,0.0
-28,17.78,50,21.118632972370776,0.0
-28,17.78,50,21.124447479006637,0.0
-28,17.78,50,20.99469457422936,0.0
-28,17.78,50,20.86811442758632,0.0
-28,17.78,50,21.044564401189334,0.0
-28,17.78,50,20.8686702174664,0.0
-27,17.78,50,19.90795438030655,0.0
-27,17.78,49,19.60796456305843,0.0
-27,17.78,49,21.442624200211498,0.0
-27,17.78,49,21.580567031685973,0.0
-27,17.78,49,21.437730642994893,0.0
-27,17.78,49,21.41407444107844,0.0
-27,17.78,49,21.029026133033184,0.0
-27,17.78,49,20.93402192418425,0.0
-27,17.78,49,21.063844151341318,0.0
-27,17.78,49,21.036709509574703,0.0
-27,17.78,49,21.07984069990202,0.0
-27,17.78,49,20.94224168709508,0.0
-27,17.78,49,21.06701387886858,0.0
-27,17.78,49,21.383009725490357,0.0
-27,17.78,49,21.406850284632498,0.0
-27,17.78,49,21.377541931951143,0.0
-27,17.78,49,21.161847891669893,0.0
-26,17.78,49,20.97452009709892,0.0
-26,17.78,49,20.15533287148483,0.0
-26,17.78,48,20.10998421407122,0.0
-26,17.78,48,21.33050509113956,0.0
-26,17.78,48,21.191014218869554,0.0
-26,17.78,48,21.75025085772748,0.0
-26,17.78,48,21.611572483236827,0.0
-26,17.78,48,21.41689778936471,0.0
-26,17.78,48,21.64208327086149,0.0
-26,17.78,48,21.424011812876884,0.0
-26,17.78,48,21.382097276297017,0.0
-26,17.78,48,21.500466028495453,0.0
-26,17.78,48,21.352698008273705,0.0
-26,17.78,48,21.5214402501054,0.0
-26,17.78,48,21.482125843232808,0.0
-26,17.78,48,21.45314179281202,0.0
-26,17.78,48,21.362963083373003,0.0
-26,17.78,48,21.59734716684477,0.0
-25,17.78,48,21.331694342132053,0.0
-25,17.78,47,20.92454807433586,0.0
-25,17.78,47,20.963971697331843,0.0
-25,17.78,47,21.3104340875566,0.0
-25,17.78,47,21.21902597491703,0.0
-25,17.78,47,21.187912736153933,0.0
-25,17.78,47,21.1743745429889,0.0
-25,17.78,47,21.131667871400893,0.0
-25,17.78,47,20.917665093821824,0.0
-25,17.78,47,21.27137576381095,0.0
-25,17.78,47,21.20443838656331,0.0
-25,17.78,47,21.38777917276096,0.0
-25,17.78,47,21.42605278769712,0.0
-25,17.78,48,20.80984345869437,0.0
-25,17.78,48,20.85046535132571,0.0
-25,17.78,48,20.97040574969988,0.0
-25,17.78,48,20.9916428317609,0.0
-24,17.78,48,19.934329932174137,0.0
-24,17.78,47,20.06979953453916,0.0
-24,17.78,47,20.18979754396064,0.0
-24,17.78,47,20.394103929340616,0.0
-24,17.78,47,20.427315857657675,0.0
-24,17.78,47,20.434037286038304,0.0
-24,17.78,47,20.06670832462771,0.0
-24,17.78,47,20.030670363635338,0.0
-24,17.78,47,20.18416468379137,0.0
-24,17.78,47,20.272606816546173,0.0
-24,17.78,47,20.27925783314913,0.0
-24,17.78,47,20.271514527169373,0.0
-24,17.78,47,20.19522137180036,0.0
-24,17.78,47,20.060783391877507,0.0
-24,17.78,47,20.00414766397841,0.0
-24,17.78,47,20.145850184092083,0.0
-24,17.78,47,20.29944649326396,0.0
-23,17.78,47,20.34819849750156,0.0
-23,17.78,47,19.27737335504121,0.0
-23,17.78,46,19.277005073774102,0.0
-23,17.78,46,20.772205753703204,0.0
-23,17.78,46,20.682031904172177,0.0
-23,17.78,46,20.84087488785839,0.0
-23,17.78,46,20.658636000664785,0.0
-23,17.78,46,20.684021278012157,0.0
-23,17.78,46,20.631343213870963,0.0
-23,17.78,46,20.62337441370221,0.0
-23,17.78,46,20.731886690559197,0.0
-23,17.78,46,20.17595505564131,0.0
-23,17.78,46,20.427977758699868,0.0
-23,17.78,46,20.630635714377902,0.0
-23,17.78,46,20.68231791430601,0.0
-23,17.78,46,20.066453338690025,0.0
-23,17.78,46,20.170782419270807,0.0
