Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-33,34.22,51,24.404551413607308,0.0
-33,34.22,51,43.07682007956645,0.0
-33,34.22,51,42.86537740249319,0.0
-33,34.22,51,42.7999774717202,0.0
-33,34.22,51,42.37460475673369,0.0
-33,34.22,51,42.34155100187792,0.0
-33,34.22,51,42.59430961479227,0.0
-33,34.22,51,42.56870272117151,0.0
-33,34.22,51,42.289945939220566,0.0
-33,34.22,51,42.00598114814624,0.0
-33,34.22,51,41.97360341023988,0.0
-32,34.22,51,41.897289238744825,0.0
-32,34.22,51,41.635946984938535,0.0
-32,34.22,51,41.56529001572733,0.0
-32,34.22,51,41.37735582664822,0.0
-32,34.22,51,41.20316178883618,0.0
-32,34.22,51,41.12122366389451,0.0
-32,34.22,51,41.104946350272975,0.0
-32,34.22,51,40.997128706610376,0.0
-32,34.22,51,41.00585999676897,0.0
-32,34.22,51,41.01028275253903,0.0
-32,34.22,51,40.74664166574894,0.0
-32,34.22,51,41.17504753767862,0.0
-32,34.22,51,41.117235730772826,0.0
-32,34.22,51,41.02031109597468,0.0
-31,34.22,51,40.90456069284679,0.0
-31,34.22,50,41.04319987782121,0.0
-31,34.22,50,40.85862518237438,0.0
-31,34.22,50,40.82098279097445,0.0
-31,34.22,50,40.62778217560815,0.0
-31,34.22,50,40.86887196758542,0.0
-31,34.22,50,40.8098835143869,0.0
-31,34.22,50,40.77017393731658,0.0
-31,34.22,50,40.84041330763541,0.0
-31,34.22,50,40.85444212875708,0.0
-31,34.22,50,40.789583959515774,0.0
-31,34.22,50,40.79332545937034,0.0
-31,34.22,50,40.73231557024493,0.0
-30,34.22,50,39.36605442872237,0.0
-30,34.22,50,39.22590211649533,0.0
-30,34.22,49,39.98740523864745,0.0
-30,34.22,49,40.094580086815206,0.0
-30,34.22,49,40.491169585530905,0.0
-30,34.22,49,40.44006256711839,0.0
-30,34.22,49,40.13152672767209,0.0
-30,34.22,49,40.15992325077463,0.0
-30,34.22,49,40.34761171009803,0.0
-30,34.22,49,40.465854453404376,0.0
-30,34.22,49,40.408789979464494,0.0
-30,34.22,49,40.41966085863671,0.0
-30,34.22,49,39.87738314624257,0.0
-30,34.22,49,39.93025325757964,0.0
-29,34.22,49,39.46682500803471,0.0
-29,34.22,49,39.39697693520189,0.0
-29,34.22,49,39.41277367592049,0.0
-29,34.22,49,39.2824853893835,0.0
-29,34.22,49,39.38128389873632,0.0
-29,34.22,49,39.39430705286004,0.0
-29,34.22,49,39.108158905488416,0.0
-29,34.22,49,38.98687986293432,0.0
-29,34.22,49,39.23520842581008,0.0
-29,34.22,49,39.17607538434657,0.0
-29,34.22,49,39.15413214306387,0.0
