Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-34,24.94,51,19.682116568068324,0.0
-34,24.94,51,19.682116568068324,0.0
-33,24.94,51,20.344345152002944,0.0
-33,24.94,13,6.910190460777571,38.0
-31,24.94,51,20.53557951269317,-10.0
-31,24.94,51,20.53557951269317,-6.0
-31,24.94,51,20.53557951269317,-4.0
-31,24.94,51,20.53557951269317,-3.0
-31,24.94,51,20.53557951269317,-2.0
-31,24.94,51,20.53557951269317,-2.0
-31,24.94,51,20.53557951269317,-2.0
-31,24.94,51,20.53557951269317,-1.0
-31,24.94,51,20.53557951269317,-1.0
-31,24.94,51,20.53557951269317,-1.0
-31,24.94,51,20.53557951269317,2.0
-31,24.94,51,20.53557951269317,1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-2.0
-30,24.94,51,19.539869176009503,-2.0
-30,24.94,51,19.539869176009503,-2.0
-30,24.94,50,20.16422311447306,-1.0
-30,24.94,51,19.539869176009503,-2.0
-30,24.94,51,19.539869176009503,-2.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,51,19.539869176009503,-1.0
-30,24.94,50,20.16422311447306,0.0
-30,24.94,51,19.539869176009503,-2.0
-29,24.94,51,19.539869176009503,-1.0
-29,24.94,51,18.956136952667435,-1.0
-29,24.94,50,19.98581286382988,0.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,0.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,-1.0
-29,24.94,50,19.98581286382988,0.0
-28,24.94,50,19.98581286382988,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,0.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-28,24.94,50,19.579450919391192,-1.0
-27,24.94,50,19.579450919391192,0.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,0.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-27,24.94,49,19.926110779462466,-1.0
-26,24.94,49,19.926110779462466,-1.0
-26,24.94,49,18.75428503364457,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-26,24.94,48,19.95282059303496,0.0
-25,24.94,48,19.579417836185343,-2.0
