Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-63,9.93,44,7.031137237548876,-2.0
-61,9.93,44,6.761055038813368,19.0
-60,9.93,44,7.215022379650364,19.0
-60,9.93,44,6.751814457283302,19.0
-60,9.93,44,6.809289324196612,0.0
-59,9.93,44,10.612812474992111,0.0
-59,9.93,44,6.801990318606968,9.0
-59,9.93,44,11.477018702132185,0.0
-58,9.93,44,7.124869305659757,10.0
-57,9.93,44,7.216056892358978,8.0
-57,9.93,44,10.46364048001493,0.0
-57,9.93,63,14.749599658074033,0.0
-57,9.93,63,14.679401361304556,0.0
-57,9.93,63,14.742760434502785,0.0
-57,9.93,63,14.433640250590855,0.0
-57,9.93,63,14.549404246792092,0.0
-57,9.93,63,14.921433638954412,0.0
-57,9.93,63,14.911083747468822,0.0
-57,9.93,63,14.943970295826148,0.0
-57,9.93,63,14.76913734191767,0.0
-56,9.93,63,14.87587156881152,0.0
-56,9.93,63,15.776165250043334,0.0
-56,9.93,63,15.72238309041947,0.0
-56,9.93,63,15.652198528617632,0.0
-56,9.93,63,15.508655757571503,0.0
-56,9.93,63,15.9022806983656,0.0
-56,9.93,63,15.946311961441095,0.0
-56,9.93,63,15.661277681969976,0.0
-56,9.93,63,15.715784925530883,0.0
-56,9.93,63,15.704216323188518,0.0
-56,9.93,63,15.649556494684248,0.0
-56,9.93,63,15.557574272327656,0.0
-56,9.93,63,15.472120663142263,0.0
-55,9.93,63,16.449414583303394,0.0
-54,9.93,63,17.647916389520887,0.0
-54,9.93,63,17.646898614500685,0.0
-53,9.93,63,18.030815000575217,0.0
-53,9.93,63,17.856821733759972,0.0
-53,9.93,63,18.023263307655824,0.0
-53,9.93,63,18.37859729600996,0.0
-53,9.93,63,18.34633944929853,0.0
-53,9.93,63,18.25345688098531,0.0
-53,9.93,63,18.22550565324468,0.0
-52,9.93,63,18.228595403788106,0.0
-52,9.93,63,18.59420185119201,0.0
-52,9.93,63,18.47021756552354,0.0
-52,9.93,63,18.5922362335086,0.0
-51,9.93,63,19.048535882140456,0.0
-51,9.93,63,18.945077802003368,0.0
-51,9.93,63,19.116617260980675,0.0
-51,9.93,63,19.07555964211123,0.0
-51,9.93,63,19.220094419214465,0.0
-50,9.93,63,19.62792896853068,0.0
-50,9.93,63,19.744098537144723,0.0
-50,9.93,63,19.245420891367417,0.0
-50,9.93,63,19.322605631104068,0.0
