Boresight Angle,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-33,26.620599913279626,13,11.607032070544932,3.0
-31,26.620599913279626,51,11.134938536477549,-2.0
-31,26.620599913279626,51,27.598982856801868,0.0
-31,26.620599913279626,51,29.52192131434311,0.0
-31,26.620599913279626,51,29.42299972336798,0.0
-30,26.620599913279626,51,28.128255740947253,0.0
-30,26.620599913279626,50,28.343821271627935,0.0
-30,26.620599913279626,50,29.43670179609889,0.0
-29,26.620599913279626,50,29.627965311804992,0.0
-29,26.620599913279626,50,28.653356812694888,0.0
-29,26.620599913279626,50,28.67814215633208,0.0
-29,26.620599913279626,50,28.726287152556523,0.0
-28,26.620599913279626,50,27.841249164675467,0.0
-28,26.620599913279626,49,29.159842619236606,0.0
-28,26.620599913279626,49,28.98005981486792,0.0
-27,26.620599913279626,49,27.98006484685964,0.0
-27,26.620599913279626,48,27.972332681342017,0.0
-27,26.620599913279626,48,29.745588856503492,0.0
-27,26.620599913279626,48,29.78483316353087,0.0
-26,26.620599913279626,48,28.55879856143768,0.0
-26,26.620599913279626,47,28.41681562652562,0.0
-26,26.620599913279626,47,28.987901324806536,0.0
-25,26.620599913279626,47,29.046179968007262,0.0
-25,26.620599913279626,47,28.127200934109798,0.0
-25,26.620599913279626,47,27.664179496009385,0.0
-24,26.620599913279626,47,26.948580788891206,0.0
-24,26.620599913279626,47,26.95202735327384,0.0
-24,26.620599913279626,46,27.89828606344428,0.0
-24,26.620599913279626,46,28.16754638948113,0.0
-23,26.620599913279626,46,27.11441580704306,0.0
-23,26.620599913279626,45,26.87028669034,0.0
-23,26.620599913279626,46,27.624135917501164,0.0
-22,26.620599913279626,46,27.402883265466308,0.0
-22,26.620599913279626,46,24.579740763822763,-1.0
-21,26.620599913279626,45,27.8083320682191,0.0
-21,26.620599913279626,45,26.306352132333306,-1.0
-21,26.620599913279626,44,29.139943345258324,0.0
-20,26.620599913279626,44,27.60848133137275,0.0
-20,26.620599913279626,43,27.752485817088772,0.0
-20,26.620599913279626,43,29.088156019088416,0.0
-19,26.620599913279626,43,29.2346832387152,0.0
-19,26.620599913279626,43,28.370601629501685,0.0
-19,26.620599913279626,43,28.26977738750248,0.0
-18,26.620599913279626,43,28.12107643512026,0.0
-18,26.620599913279626,43,27.096257621815877,0.0
-18,26.620599913279626,42,29.22124829760925,0.0
-18,26.620599913279626,42,29.175365723099304,0.0
-17,26.620599913279626,42,27.802262149152824,0.0
-17,26.620599913279626,41,27.937503581876346,0.0
-17,26.620599913279626,41,28.771805760670084,0.0
-17,26.620599913279626,41,28.994574397054848,0.0
-16,26.620599913279626,41,27.780505021119858,0.0
-16,26.620599913279626,41,27.63880601444447,0.0
-16,26.620599913279626,40,30.07692015016375,0.0
-15,26.620599913279626,40,30.35985145903362,0.0
-15,26.620599913279626,40,29.71427201220147,0.0
-15,26.620599913279626,40,29.4637962684387,0.0
-14,26.620599913279626,40,29.259031928926923,0.0
-14,26.620599913279626,40,27.890012356715623,0.0
-14,26.620599913279626,39,29.382037445835607,0.0
-14,26.620599913279626,39,29.50896916174789,0.0
-13,26.620599913279626,39,28.49836683914948,0.0
-13,26.620599913279626,38,28.418478920950378,0.0
-13,26.620599913279626,38,30.069507049343198,0.0
-13,26.620599913279626,38,30.04357094853529,0.0
-12,26.620599913279626,38,29.01515348748025,0.0
-12,26.620599913279626,38,28.904055917357333,0.0
-12,26.620599913279626,38,29.073231483879013,0.0
-11,26.620599913279626,38,28.99668523491262,0.0
-11,26.620599913279626,37,29.344129917085876,0.0
-11,26.620599913279626,37,29.30198200507583,0.0
-10,26.620599913279626,37,28.919466272548675,0.0
-10,26.620599913279626,37,27.66621063301812,0.0
-10,26.620599913279626,36,29.587062453004883,0.0
-10,26.620599913279626,36,29.83000315353189,0.0
-9,26.620599913279626,36,28.68303467429078,0.0
-9,26.620599913279626,36,28.68773460969444,0.0
-9,26.620599913279626,36,28.552190747465943,0.0
-8,26.620599913279626,36,28.412743768289936,0.0
-8,26.620599913279626,36,27.01439414886027,0.0
-8,26.620599913279626,35,27.02198696822846,0.0
-8,26.620599913279626,35,28.242551506260583,0.0
-7,26.620599913279626,35,28.35536331039169,0.0
-7,26.620599913279626,34,29.216548719137837,0.0
-7,26.620599913279626,34,29.16481055141255,0.0
-6,26.620599913279626,34,28.829939884448656,0.0
-6,26.620599913279626,34,27.56641122402784,0.0
-6,26.620599913279626,33,29.31298241435688,0.0
-6,26.620599913279626,33,29.409027593833315,0.0
-5,26.620599913279626,33,28.095828563463986,0.0
-5,26.620599913279626,33,28.121186748276124,0.0
-5,26.620599913279626,33,28.53191621742532,0.0
-4,26.620599913279626,33,28.410380831319827,0.0
-4,26.620599913279626,33,27.021364903086077,0.0
-4,26.620599913279626,32,26.87124844727545,0.0
-4,26.620599913279626,32,29.752956552846022,0.0
-3,26.620599913279626,32,29.54925728015249,0.0
-3,26.620599913279626,32,27.778596560784152,0.0
-3,26.620599913279626,31,27.788628675605977,0.0
-2,26.620599913279626,32,28.212832459933573,0.0
-2,26.620599913279626,32,25.63725193957072,-1.0
-1,26.620599913279626,31,28.35727145679074,0.0
-1,26.620599913279626,31,27.029703437589703,0.0
-1,26.620599913279626,30,26.96358289248726,0.0
-1,26.620599913279626,30,29.29451241734752,0.0
0,26.620599913279626,30,29.06918506252874,0.0
0,26.620599913279626,29,29.88119435805976,0.0
0,26.620599913279626,29,29.601200920290687,0.0
1,26.620599913279626,29,29.25658476028976,0.0
1,26.620599913279626,29,29.01785935537839,0.0
1,26.620599913279626,29,28.739296749812944,0.0
1,26.620599913279626,29,28.595783940161347,0.0
2,26.620599913279626,29,26.919563096558733,0.0
2,26.620599913279626,28,27.023628157847945,0.0
2,26.620599913279626,28,29.152553013538544,0.0
3,26.620599913279626,28,29.2156638169858,0.0
3,26.620599913279626,28,27.539212349471757,0.0
3,26.620599913279626,27,27.57172611968378,0.0
3,26.620599913279626,27,29.525828322046245,0.0
4,26.620599913279626,27,29.294667341941512,0.0
4,26.620599913279626,27,28.671511751146475,0.0
4,26.620599913279626,27,28.491791827714373,0.0
5,26.620599913279626,27,27.460776083498487,0.0
5,26.620599913279626,27,26.84491795346166,0.0
5,26.620599913279626,26,29.219509036820646,0.0
5,26.620599913279626,26,29.439972550883297,0.0
6,26.620599913279626,26,26.960853818387196,0.0
6,26.620599913279626,25,27.172394345512053,0.0
6,26.620599913279626,25,28.75606395623957,0.0
7,26.620599913279626,25,28.69242361999117,0.0
7,26.620599913279626,25,27.74971160763368,0.0
7,26.620599913279626,25,27.90712215721266,0.0
7,26.620599913279626,25,27.66790862120287,0.0
8,26.620599913279626,25,27.8620038410063,0.0
8,26.620599913279626,24,28.4519136268836,0.0
8,26.620599913279626,24,28.33569138279728,0.0
9,26.620599913279626,24,27.054721207699657,0.0
9,26.620599913279626,23,26.92257722425942,0.0
9,26.620599913279626,23,29.04020314672953,0.0
9,26.620599913279626,23,29.020226800789104,0.0
10,26.620599913279626,23,27.126709870722244,0.0
10,26.620599913279626,22,27.22234243366093,0.0
10,26.620599913279626,22,28.781097054239343,0.0
11,26.620599913279626,22,29.02161315893658,0.0
11,26.620599913279626,22,27.710267273088625,0.0
11,26.620599913279626,22,27.562110737485284,0.0
12,26.620599913279626,22,27.807553209192108,0.0
12,26.620599913279626,22,27.03303475042429,0.0
12,26.620599913279626,21,28.86150613934462,0.0
12,26.620599913279626,21,29.13025378894774,0.0
13,26.620599913279626,21,27.68228163802766,0.0
13,26.620599913279626,20,27.46656654998669,0.0
13,26.620599913279626,20,28.986122644996577,0.0
13,26.620599913279626,20,28.589910714666598,0.0
14,26.620599913279626,20,27.19665634200589,0.0
14,26.620599913279626,19,27.08879470590636,0.0
14,26.620599913279626,19,29.268821599772835,0.0
15,26.620599913279626,19,29.16759654763998,0.0
15,26.620599913279626,19,28.23108405129212,0.0
15,26.620599913279626,19,28.245278618865704,0.0
15,26.620599913279626,19,28.620249525398734,0.0
16,26.620599913279626,19,28.643462769978115,0.0
16,26.620599913279626,18,28.736018435011037,0.0
16,26.620599913279626,18,28.589577712789705,0.0
17,26.620599913279626,18,27.689181100589,0.0
17,26.620599913279626,18,27.579986157386905,0.0
17,26.620599913279626,17,28.96348437244068,0.0
17,26.620599913279626,17,28.825477089919914,0.0
18,26.620599913279626,18,26.186645976871773,-1.0
18,26.620599913279626,17,27.721276035108616,0.0
19,26.620599913279626,17,27.413172235337264,0.0
19,26.620599913279626,16,28.21163838293966,0.0
19,26.620599913279626,16,28.18843800243816,0.0
20,26.620599913279626,16,27.29689890862961,0.0
20,26.620599913279626,15,27.684574969984936,0.0
20,26.620599913279626,15,29.123025734153707,0.0
20,26.620599913279626,16,29.12311401126336,0.0
21,26.620599913279626,16,25.90254258951917,-1.0
21,26.620599913279626,15,28.784801922656428,0.0
22,26.620599913279626,15,28.708523957410502,0.0
22,26.620599913279626,14,28.807035712138187,0.0
22,26.620599913279626,14,28.67184786118668,0.0
23,26.620599913279626,14,27.761894541319933,0.0
23,26.620599913279626,14,27.59105956003568,0.0
23,26.620599913279626,14,27.617948568420477,0.0
23,26.620599913279626,14,27.63011999603648,0.0
24,26.620599913279626,14,26.738317129783205,0.0
-33,27.58970004336019,13,12.012872012707206,3.0
-31,27.58970004336019,51,11.629199385429246,-2.0
-31,27.58970004336019,51,28.23648803952195,0.0
-31,27.58970004336019,51,30.1261464039369,0.0
-30,27.58970004336019,51,30.162528635248457,0.0
-30,27.58970004336019,51,28.75464267693073,0.0
-30,27.58970004336019,50,28.992290563074263,0.0
-30,27.58970004336019,50,30.22168624873593,0.0
-29,27.58970004336019,50,30.25528428108136,0.0
-29,27.58970004336019,50,29.346647417981444,0.0
-29,27.58970004336019,50,29.199817280639486,0.0
-28,27.58970004336019,50,28.431556003572556,0.0
-28,27.58970004336019,50,28.34104317306719,0.0
-28,27.58970004336019,49,29.73826331250349,0.0
-28,27.58970004336019,49,29.803470996909297,0.0
-27,27.58970004336019,49,28.52810109281755,0.0
-27,27.58970004336019,48,28.72431665132455,0.0
-27,27.58970004336019,48,30.418825286998867,0.0
-26,27.58970004336019,48,30.210561537026315,0.0
-26,27.58970004336019,48,29.213458583201515,0.0
-26,27.58970004336019,47,29.19484024847716,0.0
-26,27.58970004336019,47,29.732020651595636,0.0
-25,27.58970004336019,47,29.659269597286645,0.0
-25,27.58970004336019,47,28.627493552978287,0.0
-25,27.58970004336019,47,28.731960459957875,0.0
-24,27.58970004336019,47,28.304334161068333,0.0
-24,27.58970004336019,47,27.509441496810965,-1.0
-24,27.58970004336019,46,28.48401987517728,0.0
-23,27.58970004336019,46,27.360686285063053,-1.0
-23,27.58970004336019,45,29.50702675685021,0.0
-22,27.58970004336019,45,30.18586980381193,0.0
-22,27.58970004336019,45,28.747670989997417,0.0
-22,27.58970004336019,45,28.726622127830936,0.0
-21,27.58970004336019,45,27.50425764774006,-1.0
