Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-90,11.0,51,7.044937057495105,-36.0
-90,11.0,51,34.93632655617189,0.0
-90,11.0,49,28.70156995834502,0.0
-90,11.0,47,25.03575964735396,0.0
-90,11.0,45,18.28553160534545,0.0
-90,11.0,43,27.27243903841556,0.0
-90,11.0,42,21.619569595351024,0.0
-90,11.0,40,14.234513885455629,0.0
-90,11.0,38,15.556475038553458,0.0
-90,11.0,37,21.22951428974677,0.0
-90,11.0,35,21.21010204498745,0.0
-90,11.0,34,20.219976946466005,0.0
-90,11.0,32,19.72517696204514,0.0
-90,11.0,30,31.642304405634988,0.0
-90,11.0,29,30.713862246378724,0.0
-90,11.0,27,26.157686309315963,0.0
-90,11.0,26,25.621672792667056,0.0
-90,11.0,24,24.92688816786638,0.0
-90,11.0,22,21.393102242442183,0.0
-90,11.0,20,20.566704465382628,0.0
-90,11.0,18,20.709569238005983,0.0
-90,11.0,48,7.521178665161145,-3.0
-90,11.0,48,6.791296122729818,-6.0
-90,11.0,43,7.360766313911426,10.0
-90,11.0,29,9.162567758866004,-10.0
-90,11.0,51,7.1530215853898085,0.0
-90,11.0,47,18.22380841588749,0.0
-90,11.0,45,17.779385873417482,0.0
-90,11.0,44,27.27404125269375,0.0
-90,11.0,43,28.88995440031832,0.0
-90,11.0,40,25.781249898704445,0.0
-90,11.0,39,22.67005228723974,0.0
-90,11.0,38,26.00325280756445,0.0
-90,11.0,29,14.06780429492666,0.0
-90,11.0,28,18.61188288462841,0.0
-90,11.0,26,26.12432759346781,0.0
-90,11.0,24,28.704878834763804,0.0
-90,11.0,23,28.16960134014801,0.0
-90,11.0,22,26.19221553269324,0.0
-90,11.0,19,19.593467323346744,0.0
-90,11.0,18,21.24121523841147,0.0
-90,11.0,17,18.20305240937911,0.0
-90,11.0,16,18.043956893841283,0.0
-90,11.0,14,25.188665238501383,0.0
-90,11.0,30,6.197279758645834,-2.0
-90,11.0,47,5.89305705474743,7.0
-90,14.0,51,7.158037261962889,-2.0
-90,14.0,48,7.771344516437381,-6.0
-90,14.0,30,6.739258684337528,7.0
