Boresight,snr_thresh_db,Rx Beam Index (YOLO Predicted),Initial SNR (dB),Offset Error
-90,11.0,14,20.97471530206228,0.0
-90,11.0,14,21.14938364097557,0.0
-90,11.0,16,9.887323878279886,0.0
-90,11.0,15,11.54780252097963,0.0
-90,11.0,16,14.334598504618851,0.0
-90,11.0,15,14.60983730249653,0.0
-90,11.0,16,18.765802822022764,0.0
-90,11.0,17,19.3809680261037,0.0
-90,11.0,17,21.01442171034805,0.0
-90,11.0,18,21.510356136197345,0.0
-90,11.0,18,19.795619127909205,0.0
-90,11.0,18,19.01543328685476,0.0
-90,11.0,18,21.113045038458708,0.0
-90,11.0,18,21.49811811742376,0.0
-90,11.0,18,23.910038105908868,0.0
-90,11.0,19,24.02579548687017,0.0
-90,11.0,19,22.80808988951479,0.0
-90,11.0,19,23.10128160886336,0.0
-90,11.0,19,24.017262853110424,0.0
-90,11.0,19,24.206635402607404,0.0
-90,11.0,19,24.39459296415157,0.0
-90,11.0,19,24.690032283227,0.0
-90,11.0,19,26.132780611606293,0.0
-90,11.0,19,26.09322446515877,0.0
-90,11.0,19,26.39701590360868,0.0
-90,11.0,20,26.725132893812173,0.0
-90,11.0,20,27.02852845283121,0.0
-90,11.0,21,27.36284854576367,0.0
-90,11.0,22,24.281493051955565,0.0
-90,11.0,22,24.668922955704478,0.0
-90,11.0,22,25.76898971618887,0.0
-90,11.0,23,25.862849048015505,0.0
-90,11.0,22,26.446085914409693,0.0
-90,11.0,23,26.42675581665985,0.0
-90,11.0,23,27.338568332902756,0.0
-90,11.0,23,27.306104376817828,0.0
-90,11.0,23,27.484001429988112,0.0
-90,11.0,24,27.45126768466747,0.0
-90,11.0,24,27.23472192251629,0.0
-90,11.0,24,27.50114978745522,0.0
-90,11.0,25,27.096154326024404,0.0
-90,11.0,25,27.06289820508221,0.0
-90,11.0,25,27.07965822400294,0.0
-90,11.0,25,26.64346707234236,0.0
-90,11.0,25,25.522878797421896,0.0
-90,11.0,25,25.54107039173104,0.0
-90,11.0,25,23.638523258790528,0.0
-90,11.0,25,23.362227627483637,0.0
-90,11.0,26,23.305361183601025,0.0
-90,11.0,26,23.506453069202223,0.0
-90,11.0,26,22.572363724808525,0.0
-90,11.0,26,22.07329021870082,0.0
-90,11.0,27,24.847760996248965,0.0
-90,11.0,27,24.71918030335424,0.0
-90,11.0,28,25.543498479822134,0.0
-90,11.0,29,25.47073607989759,0.0
-90,11.0,29,25.590794633750647,0.0
-90,11.0,30,25.40835635032384,0.0
-90,11.0,30,27.59766754155251,0.0
-90,11.0,31,27.58033814152897,0.0
-90,11.0,31,26.13683327397565,0.0
-90,11.0,31,26.246925403391717,0.0
-90,11.0,32,26.981176674661118,0.0
-90,11.0,32,26.978685530184592,0.0
-90,11.0,32,25.488109405228517,0.0
-90,11.0,32,25.323175359158085,0.0
-90,11.0,32,23.79149459579331,0.0
-90,11.0,32,23.356002000220485,0.0
-90,11.0,33,25.049525477356752,0.0
-90,11.0,34,24.60483738442117,0.0
-90,11.0,35,28.265070207829567,0.0
-90,11.0,36,28.06156437630362,0.0
-90,11.0,37,28.425498812818372,0.0
-90,11.0,36,28.455049887676708,0.0
-90,11.0,36,27.006725078405367,0.0
-90,11.0,36,26.831590641821947,0.0
-90,11.0,36,24.71351918626512,0.0
-90,11.0,37,24.226851755629013,0.0
-90,11.0,37,24.051095388504493,0.0
-90,11.0,37,23.395879262108693,0.0
-90,11.0,37,20.230437007427653,0.0
-90,11.0,37,19.77046196361229,0.0
-90,11.0,38,21.32017963790767,0.0
-90,11.0,38,21.09340211766724,0.0
-90,11.0,39,25.01220769496217,0.0
-90,11.0,40,24.50485538844154,0.0
-90,11.0,40,24.063304017029864,0.0
-90,11.0,41,24.01969900014616,0.0
-90,11.0,41,26.14045042984729,0.0
-90,11.0,42,25.6204380988616,0.0
-90,11.0,42,26.277254477798422,0.0
-90,11.0,42,25.96167653896317,0.0
-90,11.0,43,24.705442310514144,0.0
-90,11.0,43,24.741544651451434,0.0
-90,11.0,43,22.83341984550114,0.0
-90,11.0,43,22.69743311356233,0.0
-90,11.0,43,20.45901448749184,0.0
-90,11.0,43,19.86826738888891,0.0
-90,11.0,43,14.900707890478202,0.0
-90,11.0,43,14.4959035437317,0.0
-90,11.0,44,21.618353420664505,0.0
-90,11.0,44,21.26389438657461,0.0
-90,11.0,44,19.938115295899067,0.0
-90,11.0,44,19.6292061011838,0.0
-90,11.0,43,10.708550744760627,0.0
-90,11.0,44,10.44225110564635,2.0
-90,11.0,46,15.017910437006378,0.0
-90,11.0,46,10.69696315120646,1.0
-90,11.0,47,14.406960103071498,0.0
-90,11.0,47,11.235052602875925,0.0
-90,11.0,47,10.524486265597533,2.0
-90,11.0,50,19.44817662020924,0.0
-90,11.0,51,19.30270607770012,0.0
-90,11.0,51,17.368538932625043,0.0
-90,11.0,13,22.958000222994173,0.0
-90,11.0,14,23.29035779989744,0.0
-90,11.0,15,21.94203863548117,0.0
-90,11.0,15,22.094323625919078,0.0
-90,11.0,15,23.579918615947108,0.0
-90,11.0,16,23.782651360750435,0.0
-90,11.0,17,21.438307335128,0.0
-90,11.0,18,21.847247736578797,0.0
-90,11.0,18,22.23481860978599,0.0
-90,11.0,19,22.199103574793625,0.0
-90,11.0,19,18.318721638606903,0.0
-90,11.0,19,18.838391253390967,0.0
-90,11.0,19,21.553414249895653,0.0
-90,11.0,20,22.00798993222045,0.0
-90,11.0,20,21.61268608857607,0.0
-90,11.0,21,22.03567620359071,0.0
-90,11.0,22,15.481944898396662,0.0
-90,11.0,22,16.17543806373888,0.0
-90,11.0,23,15.4135801684464,0.0
-90,11.0,23,15.534823643635434,0.0
-90,11.0,23,17.63834234484463,0.0
-90,11.0,23,17.68307866021648,0.0
-90,11.0,23,20.858986895272334,0.0
-90,11.0,23,21.252631007130745,0.0
-90,11.0,23,22.519719245939115,0.0
-90,11.0,23,22.738548434546487,0.0
-90,11.0,23,23.062820717024664,0.0
-90,11.0,23,23.063764870023803,0.0
-90,11.0,23,24.116599774344166,0.0
-90,11.0,23,24.375130422424263,0.0
-90,11.0,24,24.07092179606765,0.0
-90,11.0,24,24.24385707159169,0.0
-90,11.0,25,25.43222413981745,0.0
-90,11.0,26,25.379411228440745,0.0
-90,11.0,26,24.12999171018413,0.0
-90,11.0,27,24.748391323581032,0.0
-90,11.0,28,24.85256133113711,0.0
-90,11.0,29,25.092078574431696,0.0
-90,11.0,30,19.600018664862404,0.0
-90,11.0,30,20.064685955101453,0.0
-90,11.0,31,22.2194426448022,0.0
-90,11.0,31,22.42216998662758,0.0
-90,11.0,31,25.26643643794118,0.0
-90,11.0,32,25.246670195606868,0.0
-90,11.0,32,22.664387036719376,0.0
-90,11.0,33,23.068385102208765,0.0
-90,11.0,33,22.885270737349444,0.0
-90,11.0,33,22.626747399982776,0.0
-90,11.0,33,24.246620126501057,0.0
-90,11.0,33,24.19621413601854,0.0
-90,11.0,33,24.70782629975095,0.0
-90,11.0,33,24.668302347106632,0.0
-90,11.0,33,24.265758970220787,0.0
-90,11.0,34,24.03733627751005,0.0
-90,11.0,34,24.527463889821064,0.0
-90,11.0,35,24.620311456470944,0.0
-90,11.0,36,26.14817306474553,0.0
-90,11.0,36,26.111362327268665,0.0
-90,11.0,37,26.504790838617936,0.0
-90,11.0,37,26.49894052886816,0.0
-90,11.0,38,25.2109974963214,0.0
-90,11.0,39,25.075104551759253,0.0
-90,11.0,40,25.37327146627545,0.0
-90,11.0,40,25.20881152015069,0.0
-90,11.0,40,26.20774305910939,0.0
-90,11.0,41,26.100451051011305,0.0
-90,11.0,41,25.92705480728124,0.0
-90,11.0,41,25.675268112354686,0.0
-90,11.0,42,25.475394252315965,0.0
-90,11.0,42,25.09529958457226,0.0
-90,11.0,42,25.67969554226272,0.0
-90,11.0,42,25.804001104824977,0.0
-90,11.0,43,25.369914101555537,0.0
-90,11.0,43,25.257395456780472,0.0
-90,11.0,43,23.14539892799762,0.0
-90,11.0,44,22.70825950291838,0.0
-90,11.0,45,25.362776136940468,0.0
-90,11.0,45,25.354925868161388,0.0
-90,11.0,45,24.61200211625065,0.0
-90,11.0,45,24.3055824603085,0.0
-90,11.0,45,21.731271377819454,0.0
-90,11.0,46,21.45463320947616,0.0
-90,11.0,46,24.16821251156209,0.0
-90,11.0,46,23.96740817323284,0.0
-90,11.0,47,24.84153811303095,0.0
-90,11.0,47,24.67009708260736,0.0
-90,11.0,47,22.92512655518621,0.0
-90,11.0,47,22.72971673600462,0.0
-90,11.0,47,18.94439830295491,0.0
-90,11.0,49,18.667632808481287,0.0
-90,11.0,50,23.7961965262147,0.0
-90,11.0,50,23.94376803049049,0.0
-90,11.0,50,23.626930454500183,0.0
-90,11.0,50,23.80977196068,0.0
-90,11.0,50,21.33818324808206,0.0
-90,11.0,51,21.134398102067763,0.0
-90,11.0,51,20.59209558487366,0.0
-90,14.0,14,6.7753753110409605,0.0
-90,14.0,15,20.843623314647232,0.0
-90,14.0,15,15.152229170300473,0.0
-90,14.0,14,15.422072164949045,0.0
-90,14.0,13,23.4662313182876,0.0
-90,14.0,14,23.552162564253777,0.0
-90,14.0,14,23.966403949631413,0.0
-90,14.0,15,23.916350468865915,0.0
-90,14.0,15,23.899397453906587,0.0
-90,14.0,16,23.78433294949373,0.0
-90,14.0,16,20.956591326909503,0.0
-90,14.0,17,21.508391636111952,0.0
-90,14.0,17,21.6698078157922,0.0
-90,14.0,18,21.48224474378425,0.0
-90,14.0,17,22.88925999930169,0.0
-90,14.0,17,23.317862681147886,0.0
-90,14.0,18,23.269270557056927,0.0
-90,14.0,19,23.614788154224517,0.0
-90,14.0,19,21.79943034906925,0.0
-90,14.0,20,21.83148181846057,0.0
-90,14.0,19,21.249184255537656,0.0
-90,14.0,18,21.666841380759134,0.0
-90,14.0,19,25.95837194034516,0.0
-90,14.0,20,26.066107005241108,0.0
-90,14.0,20,25.33780738841196,0.0
-90,14.0,21,25.37057338475404,0.0
-90,14.0,21,26.027344809335275,0.0
-90,14.0,22,26.267535608464712,0.0
-90,14.0,22,24.41916241836428,0.0
-90,14.0,22,24.797674089548565,0.0
-90,14.0,23,25.43392335760808,0.0
-90,14.0,23,25.44276713886137,0.0
-90,14.0,24,22.65955956456925,0.0
-90,14.0,24,22.991594367890077,0.0
-90,14.0,24,24.79009182063497,0.0
-90,14.0,25,25.170530329165985,0.0
-90,14.0,25,24.43646804167041,0.0
-90,14.0,25,23.870354139443734,0.0
-90,14.0,24,26.68837541239006,0.0
-90,14.0,25,26.76039478064631,0.0
-90,14.0,25,26.916240853407587,0.0
-90,14.0,25,26.83121564782513,0.0
-90,14.0,26,25.815462703658557,0.0
-90,14.0,26,25.676204583911343,0.0
-90,14.0,27,25.06734939965672,0.0
-90,14.0,27,24.819110641047374,0.0
-90,14.0,26,25.318572500827315,0.0
-90,14.0,26,24.61839124985057,0.0
-90,14.0,26,23.29268802981912,0.0
-90,14.0,26,23.01072710334043,0.0
-90,14.0,25,20.707918599423166,0.0
-90,14.0,26,20.581371463687876,0.0
-90,14.0,26,20.860786050465208,0.0
-90,14.0,26,20.784625010939564,0.0
-90,14.0,26,18.23582308086617,0.0
-90,14.0,27,18.073842214415336,0.0
-90,14.0,27,21.144512374674377,0.0
-90,14.0,27,20.638437014648645,0.0
-90,14.0,27,18.7079605913853,0.0
-90,14.0,28,18.33186202007772,0.0
-90,14.0,28,21.47475818031296,0.0
-90,14.0,29,21.028469547380386,0.0
-90,14.0,29,18.920277721536426,0.0
-90,14.0,30,18.525339069558925,0.0
-90,14.0,30,22.518726675286032,0.0
-90,14.0,31,22.327494115385875,0.0
-90,14.0,31,17.47509827700766,0.0
-90,14.0,32,16.8030160179367,0.0
-90,14.0,32,19.82511653774173,0.0
-90,14.0,33,19.33609827851797,0.0
-90,14.0,33,21.83519503808658,0.0
-90,14.0,33,21.53414763527793,0.0
-90,14.0,34,20.90392617537306,0.0
-90,14.0,35,20.892276103104507,0.0
-90,14.0,36,25.952899120132276,0.0
-90,14.0,36,25.586851710096862,0.0
-90,14.0,36,23.876709114324143,0.0
-90,14.0,37,23.701253842762227,0.0
-90,14.0,37,22.53474066203272,0.0
-90,14.0,37,22.17184230462827,0.0
-90,14.0,37,17.76105394415667,0.0
-90,14.0,38,17.068245547207084,0.0
-90,14.0,38,17.937353882201705,0.0
-90,14.0,38,17.693273092101236,0.0
-90,14.0,39,22.98574611534312,0.0
-90,14.0,39,22.71943208437904,0.0
-90,14.0,39,20.632198340699603,0.0
-90,14.0,40,20.341500698909957,0.0
-90,14.0,41,24.529110984570693,0.0
-90,14.0,41,24.376385063808,0.0
-90,14.0,41,21.128870331522165,0.0
-90,14.0,42,20.674809687059792,0.0
-90,14.0,43,22.73017351917133,0.0
-90,14.0,43,22.45683071220664,0.0
-90,14.0,44,25.92350585445205,0.0
-90,14.0,44,25.97453565286814,0.0
-90,14.0,44,23.90776219460884,0.0
-90,14.0,44,23.7304284044871,0.0
-90,14.0,45,20.567561193837065,0.0
-90,14.0,45,20.145524834989203,0.0
-90,14.0,46,25.40091118614457,0.0
-90,14.0,47,24.90919765860133,0.0
-90,14.0,47,23.722629912193355,0.0
-90,14.0,48,23.336761809363185,0.0
-90,14.0,48,22.36370140554257,0.0
-90,14.0,49,22.11496845492354,0.0
-90,14.0,50,24.881101888243208,0.0
-90,14.0,50,24.88476775312739,0.0
-90,14.0,50,23.337682674345487,0.0
-90,14.0,51,23.16308413878059,0.0
-90,14.0,51,24.759816011170543,0.0
